Term,NES,NOM p-val,FDR q-val,Lead_genes
Epithelial Mesenchymal Transition,-1.5482825966109757,0.012658227848101266,0.30723072307230725,TNC;NID2;FAS;FOXC2;LAMA1;SGCD;ITGB3;MFAP5;LUM;PLAUR;FBN2;GLIPR1;ITGA5;FSTL3;SDC1;SGCG;VCAN;ADAM12;FZD8;COL4A2;COL6A2;ECM2;FAP;FN1;ABI3BP;CRLF1;IGFBP3;TGFBR3;IGFBP4;LOXL1;DST;QSOX1;CXCL12;BDNF;PLOD2;ELN;PLOD3;CDH2;TAGLN;FBLN1;BGN;FBN1;SFRP4;COL5A3;OXTR;LOXL2;SGCB
Bile Acid Metabolism,-1.467353729057542,0.016666666666666666,0.3552355235523552,ABCA6;SLC27A5;NR1H4;NR0B2;SOAT2;CYP7B1;PXMP2;HSD17B11;SLC27A2
Complement,-1.378386058917544,0.027777777777777776,0.48324832483248326,CD46;CTSC;DPP4;LYN;S100A9;PLAUR;ACTN2;F5;COL4A2;SERPINC1;C2;FN1;IRF7;C3;TMPRSS6;APOC1;ITGAM
Allograft Rejection,-1.3712530811866575,0.057971014492753624,0.38163816381638166,BRCA1;PTPRC;TLR2;TAP1;ITK;FAS;CCL22;LYN;IL27RA;IL11;ETS1;MBL2;C2;IRF7
Myogenesis,-1.3495681965084336,0.01,0.3437143714371437,EPHB3;HSPB2;SGCD;MYL2;BDKRB2;COX6A2;MYH8;SGCG;ACTN2;COL15A1;MYBPH;ADAM12;SVIL;MYH9;NOTCH1;CHRNB1;COL4A2;SPDEF;COL6A2;RYR1;AEBP1;ACTN3;PGAM2;CTF1;TNNI2;DENND2B;MB;CACNA1H;IGFBP3
Apical Surface,-1.3239881514962146,0.1,0.3552355235523552,BRCA1;LYN;B4GALT1;PLAUR;DCBLD2
TNF-alpha Signaling via NF-kB,-1.3026594662729423,0.04285714285714286,0.3675796151043676,TNC;LAMB3;TLR2;TAP1;MAP3K8;B4GALT1;PLAUR;EGR3;CLCF1
Angiogenesis,-1.255556537718505,0.16666666666666666,0.43564356435643564,THBD;LUM;APOH;KCNJ8;VCAN
IL-2/STAT5 Signaling,1.24098435511973,0.034482758620689655,1.0,RHOH;EMP1;LTB;TNFRSF9;CAPG;HK2;CD44;SLC1A5;TNFRSF18;IL10RA;DRC1;F2RL2;MAPKAPK2;LRIG1;BMPR2;IGF1R;WLS;ETFBKMT;TWSG1;SLC29A2;BCL2;GPR83
UV Response Dn,1.1867676896587966,0.12,1.0,CCN1;MET;CDON;PTGFR;GRK5;FZD2;MGMT;TGFBR2;NOTCH2;COL3A1;LAMC1;TENT4A;KALRN
IL-6/JAK/STAT3 Signaling,-1.1825355888828382,0.19298245614035087,0.6443310997766444,TLR2;MAP3K8;FAS;ITGB3;BAK1;STAT2;IL1R1;IL6ST;STAT1;CD36;IRF1
Coagulation,-1.1563842506243354,0.2318840579710145,0.6864686468646864,THBD;DPP4;F12;ITGB3;ACOX2;KLK8;MBL2;SERPINC1;C2;FN1;C3;TMPRSS6;APOC1
Apoptosis,-1.125573937790424,0.2535211267605634,0.7375282982843739,BRCA1;TAP1;FAS;LUM;EGR3;DPYD;TNFSF10;BTG2;KRT18;CTH;TGFBR3;ISG20;RNASEL;IRF1;CAV1;BMF;NEDD9;SC5D;EBP;BGN;CDC25B;DNAJC3;PLAT;BCL2L2;CCND1;CASP8;DCN;BIRC3
Estrogen Response Early,-1.1116057974659919,0.30434782608695654,0.7344734473447345,MYOF;B4GALT1;MLPH;EGR3;PDLIM3;AKAP1;KLK10;SVIL;FCMR;PTGES;RBBP8;KRT19;RHOD;SLC7A2;SFN;ABHD2;KRT18;IL6ST;SLC27A2;SLC22A5;IGFBP4;CELSR2;SLC37A1;AFF1;SCNN1A;CXCL12;STC2;NADSYN1;MYBL1;CLIC3;KRT8;SLC26A2;RASGRP1;CCND1;TPBG;ISG20L2;MYBBP1A
Inflammatory Response,-1.1115218638858178,0.2465753424657534,0.6787140252486787,TLR2;P2RX7;CCL22;LYN;ITGB3;CYBB;PLAUR;ITGA5;DCBLD2;RNF144B;SLC7A2;IRF7;TNFSF10;BTG2;HPN;IL1R1;EIF2AK2;BST2;IRF1;AHR;LCK;BEST1;PTGER2;SLC7A1;ADGRE1;TLR3;HRH1;PIK3R5;ATP2B1;CALCRL;PDPN;PCDH7;KCNJ2;SLC1A2;ADORA2B;GPC3;INHBA;RASGRP1;CSF3R;TPBG;NFKB1;CD55
G2-M Checkpoint,1.0740674505056538,0.2962962962962963,1.0,CDC20;RAD54L;PLK1;NDC80;POLQ;TTK;CCNF;NEK2;CDKN3;CHAF1A;DBF4;AURKA;NOTCH2;GINS2;BIRC5;LIG3;CENPF;E2F1;UBE2C;SRSF2
Androgen Response,-1.0551543266933514,0.42424242424242425,0.8167673910248168,HSD17B14;B4GALT1;SPDEF;KRT19;ALDH1A3;ABHD2;XRCC6;MAF;ELK4;LMAN1;SEC24D;MERTK;KRT8;SLC26A2;CCND1;ADAMTS1;ARID5B;GUCY1A1;FADS1;ITGAV
Estrogen Response Late,-1.0293416166204419,0.4444444444444444,0.8653665366536654,MYOF;SCUBE2;S100A9;ACOX2;EGR3;PDLIM3;KIF20A;KLK10;PTGES;RBBP8;KRT19;SFN;ABHD2;IGSF1;IL6ST;ISG20;SLC27A2;SLC22A5;IGFBP4;PERP;CELSR2;CAV1;AFF1;SCNN1A;CXCL12;TRIM29;TNNC1
Spermatogenesis,1.027551609600456,0.42424242424242425,1.0,NCAPH;TTK;NEK2;CDKN3;DBF4;AURKA;DMC1;SLC2A5;ART3;MLF1;DCC;COIL;ELOVL3;CHFR;TLE4;CNIH2;OAZ3;GPR182;AGFG1;PRKAR2A;PHF7
Apical Junction,-1.0204365203509205,0.43243243243243246,0.8388838883888389,COL17A1;LAMB3;PTPRC;FLNC;B4GALT1;ACTN2;VCAN;MYH9;CLDN5;CRB3;ACTN3;VCL;GRB7
Interferon Alpha Response,-1.0135951119105067,0.3787878787878788,0.8121282716506945,TAP1;TMEM140;USP18;PARP14;STAT2;LPAR6;IRF7;EIF2AK2;BST2;ISG20;IRF1;IFIT2;ISG15;CMTR1;HERC6;RSAD2
Notch Signaling,1.000146939802639,0.3953488372093023,1.0,FZD5;FZD7;NOTCH2;PPARD;DLL1;PSEN2;DTX4;DTX1;DTX2
