Term,NES,NOM p-val,FDR q-val,Lead_genes
ABC transporters,-1.7285377914480096,0.01,0.28349358974358974,ABCA6;TAP1;ABCC3;ABCC1;ABCG2
Butanoate metabolism,-1.6998271372537197,0.01,0.2248397435897436,ACSM5
Porphyrin and chlorophyll metabolism,-1.6465233676980089,0.01,0.3160790598290598,HEPH
Type I diabetes mellitus,-1.594090348473613,0.04838709677419355,0.4716746794871795,FAS
Mineral absorption,-1.5920192011825376,0.01,0.3851602564102565,HEPH;SLC39A4;TRPV6;SLC26A3;SLC8A1;ATP7B;SLC9A3
PI3K-Akt signaling pathway,-1.5842077139947264,0.01,0.3388888888888889,TNC;BRCA1;TNN;LAMB3;TLR2;ITGA8;PIK3R6;LAMA1;EGF;TEK;ITGB3;CHRM1;NGFR;LPAR4;ITGA5;COL2A1;PIK3AP1;ITGA1;FLT1;GNG8;COL4A2;CREB3L2;COL6A2;KDR;CCNE2;LPAR6;FN1
Other glycan degradation,-1.5163809098138143,0.07142857142857142,0.610279304029304,NEU2
Primary bile acid biosynthesis,-1.5031654803113381,0.1346153846153846,0.5902043269230769,SLC27A5;ACOX2;CYP7B1
Homologous recombination,-1.4906285409295608,0.03125,0.5724180911680912,BRCA1;RAD54B;RAD51B;BRIP1;RBBP8
ECM-receptor interaction,-1.4831606915010074,0.016666666666666666,0.5552564102564103,TNC;FREM1;TNN;LAMB3;ITGA8;LAMA1;ITGB3;ITGA5;COL2A1;SDC1;ITGA1;COL4A2;COL6A2;HMMR;HSPG2;FN1
Tyrosine metabolism,1.4818350923676176,0.022727272727272728,1.0,TYRP1;TPO;IL4I1;AOX1;TH
Herpes simplex virus 1 infection,-1.4722266571509541,0.014285714285714285,0.5421037296037297,TLR2;TAP1;FAS;ITGB3;SP100;TRAF5;ITGA5;BAK1;STAT2;IRF7;C3;CFP;EIF2AK2;BST2;RNASEL;STAT1;TRAF2;IRAK4;TLR3;IL12A;ZFP92;ZFP90;ZFP69;TNFRSF1A;NFKB1;CASP8;BIRC3;ZFP37;IRF3;MAVS;BAX;TAB2
Retinol metabolism,1.4634208373095263,0.022222222222222223,1.0,LRAT;BCO1
Primary immunodeficiency,-1.4426322431263472,0.1,0.6394898504273503,TNFRSF13C;PTPRC;TAP1
MicroRNAs in cancer,-1.4360433301458664,0.03125,0.6263929980276135,TNC;BRCA1;TNN;ITGB3;DNMT3B;ITGA5;BAK1;NOTCH1;ABCC1;CCNE2
Phagosome,-1.420581061973562,0.058823529411764705,0.6423992673992673,TLR2;TAP1;MRC2;ITGB3;CYBB;ITGA5;NCF2;MBL2;C3;ITGAM;DYNC2H1;CD36;THBS3
Steroid biosynthesis,-1.4115338714117214,0.12727272727272726,0.6510576923076923,CYP2R1;SOAT2;SC5D;EBP;TM7SF2;LIPA;SOAT1;DHCR7
Pantothenate and CoA biosynthesis,-1.4104010250095123,0.125,0.6170873397435898,ENPP3;DPYD;ENPP1;UPB1
Sphingolipid metabolism,-1.3931121964912019,0.05263157894736842,0.6509426847662141,NEU2;ACER2;ASAH2;CERS6;CERS5;SGPL1;SPTLC1;ACER3;SGPP2;SPTLC2;SMPD4;SMPD3
Steroid hormone biosynthesis,-1.375590556134317,0.11475409836065574,0.6967859686609688,HSD17B1;CYP7B1;HSD11B2;CYP11A1;HSD11B1
Renin-angiotensin system,-1.3618342369631158,0.1568627450980392,0.7357456140350878,ENPEP;ACE2
Focal adhesion,-1.3600042053527819,0.05084745762711865,0.7072676282051282,TNC;TNN;LAMB3;ITGA8;LAMA1;FLNC;EGF;ITGB3;MYL2;ITGA5;COL2A1;ITGA1;FLT1;COL4A2;COL6A2;KDR;FN1;VCL
Hedgehog signaling pathway,-1.3448472754169567,0.043478260869565216,0.7448107448107448,EVC;GPR161;SCUBE2;EVC2;BOC;DISP1;HHATL;GLI2
Viral myocarditis,-1.3307189108133066,0.15254237288135594,0.7891608391608391,LAMA1;SGCD;MYH6;SGCG;ITGAL;DAG1;CAV1;SGCB;CCND1;CD55;CASP8
Inflammatory bowel disease,-1.3243887960368765,0.1746031746031746,0.7850264771460423,TLR2;IL12RB2;STAT1;MAF;GATA3;IL12A;IL12RB1;NFKB1
Notch signaling pathway,1.3158481638545991,0.08888888888888889,1.0,DLL4;RBPJL;NOTCH2;MFNG;DTX3L;TLE6;DLL1;CTBP1;MAML1;PSEN2;DVL2;TLE4;DTX4;ADAM17;DTX1;DTX2;DVL1;HEY2
Dilated cardiomyopathy,-1.3057928383248267,0.1076923076923077,0.8345953525641026,ITGA8;LAMA1;SGCD;ITGB3;MYL2;MYH6;ITGA5;SLC8A1;SGCG;ITGA1;CACNG7;TNNI3
Antigen processing and presentation,-1.2950170543143895,0.14814814814814814,0.8575192307692306,TAP1;HSPA1L;NFYA;CIITA;HSPA1B
Glycosaminoglycan degradation,1.2877333163834492,0.14583333333333334,1.0,HPSE;HYAL3;HYAL2
Olfactory transduction,-1.2860368142466652,0.140625,0.8689040927021697,OR51E2;OR52N4;CNGA3;SLC8A1
Taste transduction,1.2835175867896351,0.15,1.0,HTR3A;PKD1L3;CHRM3;PLCB2;GRM4;ENTPD2;ASIC2;PRKACA;KCNK5;P2RX2;HTR1B
Hematopoietic cell lineage,-1.2771716040575842,0.15217391304347827,0.8863247863247864,ITGB3;CD33;ITGA5;IL11;ITGA1;EPOR;ITGAM;IL1R1;CD36;FLT3
Melanogenesis,1.2745642445576006,0.1,1.0,TYRP1;WNT16;EDN1;FZD5;FZD2;PLCB2;FZD7;WNT2B;MITF;WNT5B;PRKACA;WNT9A;ADCY9;WNT4;HRAS
Human papillomavirus infection,-1.2703838001864434,0.058823529411764705,0.8965659340659341,TNC;TNN;LAMB3;ITGA8;FAS;LAMA1;EGF;ITGB3;WNT8B;WNT6;ITGA5;COL2A1;ITGA1;FZD8;BAK1;NOTCH1;COL4A2;CREB3L2;COL6A2;CRB3;CCNE2;STAT2;FN1
Complement and coagulation cascades,-1.2687809412522328,0.1896551724137931,0.8730658709106985,CD46;C4B;THBD;F12;PLAUR;BDKRB2;TFPI;F5;MBL2;SERPINC1;C2;C3
Starch and sucrose metabolism,-1.2651584594670247,0.2033898305084746,0.8618856837606839,ENPP3;HKDC1;ENPP1
Salivary secretion,-1.2588173809857952,0.15517241379310345,0.8662479321753516,ADRB3;TRPV6;KCNN4;AQP5;ITPR3;ADRA1D
GnRH signaling pathway,1.2527455613507943,0.125,1.0,PLA2G4C;PLD1;EGFR;PLCB2;PRKACA;ADCY9;PLA2G4F;MAP3K1;HRAS;ITPR1;MAPK14;PLA2G4E;CACNA1D;EGR1;PRKCB;KRAS;MMP2;MAP3K3;ADCY2
Pancreatic secretion,1.249921749353493,0.19148936170212766,1.0,SCTR;CTRL;ATP2A3;SCT;CHRM3;PLCB2;TRPC1;ADCY9;RAC1;ITPR1
Phototransduction,-1.2476464960218185,0.18867924528301888,0.8886668669871796,GUCA1A;GNAT1;GRK1;SAG;PDE6G
Mitophagy,1.245784282702182,0.07894736842105263,1.0,RAB7B;EIF2AK3;E2F1;MITF;CITED2;RRAS;HRAS;ULK1;UBA52;KRAS;TFE3;PRKN;RELA;RRAS2;PGAM5;OPTN;NRAS
Systemic lupus erythematosus,-1.241805554696089,0.22950819672131148,0.8845473970473969,C4B;GRIN2A;H4C3;GRIN2B;C2;C3;H2AC6
Apoptosis,-1.2362829627885417,0.09523809523809523,0.8821078431372549,ERN1;CTSC;FAS;NGFR;BAK1;PTPN13;RIPK1;ITPR3;TNFSF10;MAP3K14;ATM;CTSF;TRAF2;MAP3K5;HRK;PARP4;TUBA1C;PARP3;TNFRSF1A;NFKB1;CASP8;BIRC3
Pyrimidine metabolism,-1.2360733681506435,0.1864406779661017,0.8585805860805861,ENPP3;UPP1;DPYD;TK1;ENPP1;UPB1;ENTPD1;RRM2;DCTD;UCKL1
Cardiac muscle contraction,-1.2354628450305343,0.16129032258064516,0.8385327635327635,MYL2;COX6A2;MYH6;SLC8A1;CACNG7;TNNI3
Epstein-Barr virus infection,-1.2353507121376144,0.08955223880597014,0.8161339223839224,TLR2;TAP1;FAS;LYN;TRAF5;BAK1;RIPK1;CCNE2;STAT2;IRF7;MAP3K14;ITGAL;EIF2AK2;SKP2;STAT1;TRAF2;IRAK4;POLK;ISG15
Oocyte meiosis,1.2285093103396998,0.07692307692307693,1.0,CDC20;PLK1;AURKA;PLCZ1;PPP3CC;RPS6KA6;PRKACA;ADCY9;IGF1R;ITPR1;PPP2CA;CPEB3;MAPK14;REC8
Calcium signaling pathway,-1.226016247876981,0.10294117647058823,0.8347882928475033,ADRB3;ADORA2A;P2RX7;HRH2;NTSR1;EGF;GRIN2A;CHRM1;BDKRB2;DRD1;SLC8A1;FLT1;CXCR4;RYR1;TPCN2;LTB4R2;KDR;HTR4;TRHR;EDNRA;ITPR3;ERBB4;ADRA1D;CACNA1H;HTR5A;CACNA1I;CHRNA7;ORAI3
Proteoglycans in cancer,-1.2229969169033117,0.16,0.8304281722550955,TLR2;FAS;FLNC;HSPB2;ITGB3;LUM;PLAUR;WNT8B;WNT6;TWIST2;ITGA5;SDC1;FZD8;KDR;HSPG2;FN1;ITPR3;ARHGEF1;ERBB4;WNT7B;FZD10
Hypertrophic cardiomyopathy,-1.2206668591732734,0.15,0.8169991987179488,ITGA8;LAMA1;SGCD;ITGB3;MYL2;MYH6;ITGA5;SLC8A1;SGCG;ITGA1;CACNG7;TNNI3
Human immunodeficiency virus 1 infection,-1.2187256376387108,0.07246376811594203,0.8066095997498436,TLR2;TAP1;FAS;NFATC4;TRAF5;GNG8;BAK1;CXCR4;RIPK1;ITPR3;AP1S3;ATM;BST2;CDK1;TRAF2;IRAK4;PXN
Neutrophil extracellular trap formation,-1.218258122686186,0.1774193548387097,0.7897321428571428,TLR2;GSDMD;PADI4;ITGB3;CYBB;NCF2;H4C3;C3;ITGAM;ITGAL;H2AC6
NOD-like receptor signaling pathway,-1.21582070953808,0.13846153846153847,0.7813692605843768,P2RX7;GSDMD;CYBB;TRAF5;GBP3;NLRC4;PYCARD;RIPK1;STAT2;IRF7;ITPR3;RNASEL;STAT1;TRAF2;IRAK4;GBP7;PKN2
VEGF signaling pathway,1.2040093840248116,0.25,1.0,PLA2G4C;RAC2;NOS3;MAPKAPK2;PPP3CC;SPHK1;PLA2G4F;RAC1;HRAS;SHC2;MAPK14;PLA2G4E
Leishmaniasis,-1.1962427008426901,0.24561403508771928,0.847370337995338,TLR2;CYBB;NCF2;C3;ITGAM;STAT1;IRAK4;IL12A;CR1L;NFKB1;CYBA;ELK1;TAB2
B cell receptor signaling pathway,1.1942811940324285,0.16666666666666666,1.0,CARD11;FCGR2B;RAC2;BTK;IFITM1;PPP3CC;RAC1;HRAS;FOS
Neuroactive ligand-receptor interaction,1.191727351718027,0.18518518518518517,1.0,CHRNB3;SCTR;GPR50;NMUR2;GLP1R;CHRNA5;CHRNA2;PTGFR;S1PR2;VIPR1;EDN1;OXT;TSHB;TSHR;HTR6;SCT;P2RY13;CHRM3;GRIK1;RLN3;C3AR1;ADRA2C;PMCH;AVP;CHRNA6;GABRE;ADRA2A;F2RL2;CYSLTR1;CRHR2;GHSR;AGTR2;GRM4;NMB;ADRB2;HCRT;EDN3;SSTR3;AVPR1A;LEPR;GABRD;F2R;NMU;P2RX6;P2RX2;UTS2;P2RY6;GRIN2C;HTR1B;PTGER3;CALCR;THRB;PTGER4;DRD2
Vitamin digestion and absorption,1.1842723171919247,0.2765957446808511,1.0,LRAT;SLC52A3;RBP2
Arrhythmogenic right ventricular cardiomyopathy,-1.1812096087104638,0.22950819672131148,0.8980555555555555,ITGA8;LAMA1;SGCD;ITGB3;ITGA5;SLC8A1;SGCG;ACTN2;ITGA1;CACNG7;DSC2;ACTN3
Gastric cancer,1.1804550649080015,0.12121212121212122,1.0,MET;WNT16;CDKN2B;FZD5;FZD2;TERT;TGFBR2;FGF5;EGFR;FGF2;FZD7;E2F1;WNT2B;WNT5B;WNT9A;FRAT2;SHH;SHC4;WNT4;HRAS;SHC2;BCL2;WNT11;RB1
Measles,-1.178740503975474,0.19672131147540983,0.8897958472686734,CD46;TLR2;FAS;BAK1;CCNE2;STAT2;IRF7;HSPA1L
Lipid and atherosclerosis,-1.1745731396236494,0.203125,0.8899993180578286,TLR2;ERN1;FAS;LYN;CYBB;NCF2;PYCARD;IRF7;HSPA1L;TNFSF10;ARHGEF1;LY96
Thiamine metabolism,1.1719237770394437,0.32558139534883723,1.0,AK7;ALPL;NFS1;TPK1
Central carbon metabolism in cancer,1.1696311001857458,0.24390243902439024,1.0,MET;HK2;EGFR;SLC1A5
Relaxin signaling pathway,1.1645869326393896,0.1875,1.0,EDN1;RLN3;TGFBR2;EGFR;PLCB2;GNA15;NOS3;COL3A1;MMP9;PRKACA;SHC4;ADCY9;HRAS;SHC2;FOS;MAPK14;RXFP3;GNB1;GNB4;VEGFB;KRAS;GNB3;GNAI1;COL4A5;ARRB2;GNG4;MMP2;SMAD2;ADCY2;COL1A2
Rap1 signaling pathway,-1.1623162553530542,0.16666666666666666,0.9235944177350427,ADORA2A;ARAP3;EGF;TEK;ITGB3;GRIN2A;NGFR;PFN3;LPAR4;FLT1;KDR;GRIN2B
T cell receptor signaling pathway,-1.1586448983081972,0.23809523809523808,0.9201072736787023,PTPRC;ITK;MAP3K8
cGMP-PKG signaling pathway,-1.1552752378458966,0.22388059701492538,0.9149999999999999,ADRB3;PIK3R6;NFATC4;OPRD1;BDKRB2;MYH6;SLC8A1;KCNJ8;CREB3L2;EDNRA;ITPR3;ADRA1D;TRPC6
Cell cycle,1.1528264494394003,0.15151515151515152,1.0,CDC20;CDKN2B;PLK1;WEE2;TTK;DBF4;CDC14A;E2F1
Lysosome,-1.1525556209560148,0.24285714285714285,0.9083678984414278,CTSC;CD68;AP4E1;SCARB2;AP1S3;NAPSA;CTSF;TPP1;MFSD8;NAGPA;GALNS;PLA2G15;LAPTM5;SLC11A2;NEU1;CTNS;AP3B1;LIPA;MCOLN1;CTSA;SGSH;ACP2;GNS;NPC1;CD63;GALC;GUSB;GLA;AP1B1;CTSB;GLB1;MANBA;ARSA;ATP6V0A2;M6PR;SUMF1;HEXB;CTSL
Protein digestion and absorption,-1.1446557904215218,0.22413793103448276,0.923798076923077,COL17A1;DPP4;KCNN4;COL2A1;ACE2;SLC8A1;COL15A1;COL4A2;COL6A2;SLC7A7;COL20A1;SLC9A3
Fanconi anemia pathway,-1.1424050967376027,0.3,0.9163280116110305,BRCA1;BRIP1;POLH;FANCM;FANCG;PMS2;RMI1;POLK
PPAR signaling pathway,-1.1421678101930355,0.3389830508474576,0.9000830959164293,SLC27A5;ACOX2;ANGPTL4;NR1H3;SLC27A2;CD36
Legionellosis,-1.1417554731028583,0.2727272727272727,0.8847843822843823,TLR2;NLRC4;PYCARD;HSPA1L;C3;ITGAM;IL12A;HSPA1B;CR1L;NFKB1;CASP8
Regulation of actin cytoskeleton,-1.140688376132512,0.19402985074626866,0.8745707417582417,ITGA8;EGF;ITGB3;CHRM1;MYL2;BDKRB2;PFN3;LPAR4;ITGA5;ITGAE;ITGA1;MYH9;CXCR4;FN1;VCL;ARHGEF1;ITGAM;ITGAL
One carbon pool by folate,-1.139915801438731,0.32727272727272727,0.8611139226270804,MTR;AMT;ALDH1L2;DHFR;GART;MTHFS;MTHFD1
Chagas disease,-1.1366488209336088,0.2807017543859649,0.8573911361626878,TLR2;FAS;BDKRB2
Lysine degradation,-1.135954227073873,0.32,0.8456757931334201,COLGALT2;AASS;MECOM;PLOD2;PLOD3;PRDM9;SETDB2;ALDH3A2
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-1.1357475654498679,0.3333333333333333,0.8328846153846153,PIGW;PIGG;PIGA;PIGN
Adherens junction,1.1355610462911,0.2,1.0,MET;RAC2;TGFBR2;EGFR;NECTIN3;RAC1;PTPRB;IGF1R
Toll-like receptor signaling pathway,-1.1347058917303638,0.29508196721311475,0.8211538461538462,TLR2;MAP3K8;RIPK1;IRF7;LY96;STAT1;IRAK4;TLR3;IL12A;TICAM2;NFKB1;CASP8;IRF3;SPP1;TAB2
