Term,NES,NOM p-val,FDR q-val,Lead_genes
Xenobiotic Metabolism,-1.4619281980675822,0.01,0.3952243721696171,GSTA3;RETSAT;IL1R1;CD36;ATOH8;TDO2;TNFRSF1A;PTGES;PPARD;PAPSS2;XDH;PYCR1;UPB1;CYP27A1;CDA;ACOX3;CYP2E1;ABCD2;SLC35D1;RBP4;PROS1;TMEM97
IL-2/STAT5 Signaling,1.371517126409343,0.020833333333333332,1.0,MYO1E;TGM2;TNFRSF1B;CDCP1;MAFF;EMP1;FGL2;BATF;MAP3K8;BMPR2;CD44;NFKBIZ;ANXA4;PLSCR1;CDKN1C;ENPP1;ODC1;WLS;ITIH5;BATF3;IGF2R;LTB;SLC1A5;DHRS3;IL3RA;CSF1;TNFRSF18;ADAM19;ITGAV;TNFRSF9;HK2;SNX9;SOCS1;MAPKAPK2;PHTF2;NT5E
Interferon Gamma Response,-1.347199613324609,0.041666666666666664,0.5310827501029229,IDO1;CASP1;PTPN6;EPSTI1;NOD1;TNFAIP3;IRF5;IFI30;P2RY14;SAMD9L
Notch Signaling,1.2980781145393996,0.12727272727272726,1.0,NOTCH1;FZD7;JAG1;FZD5;SAP30;DTX1;LFNG;NOTCH3;HES1;NOTCH2
Wnt-beta Catenin Signaling,1.1896093795563714,0.19047619047619047,1.0,NOTCH1;MAML1;FZD8;JAG1;NOTCH4;JAG2;NKD1;GNAI1;NUMB;MYC;DLL1;CSNK1E
Fatty Acid Metabolism,-1.174291045989527,0.16279069767441862,1.0,RETSAT;CD36;PPARA;TDO2
Cholesterol Homeostasis,1.149830959410356,0.23076923076923078,1.0,TM7SF2;PPARG;JAG1;PLSCR1;CHKA;AVPR1A;DHCR7;TNFRSF12A;MAL2;GNAI1;PNRC1;GPX8;ATF3;LGALS3;NSDHL;GLDC
Estrogen Response Early,1.141654908283774,0.23636363636363636,1.0,INHBB;TGM2;KRT8;TJP3;KRT19;CALCR;FOXC1;FCMR;MYB;CD44;B4GALT1;MREG;MYBL1;ADCY1;UGCG;JAK2;CYP26B1;BAG1;SVIL;ELF1;FKBP5;DHRS3;SLC7A5;EGR3;GFRA1;NBL1;DHCR7;KRT18;GLA;RASGRP1;IGFBP4;TMEM164;TOB1;SLC27A2;ADCY9;HES1;MINDY1;RBBP8
KRAS Signaling Dn,-1.1254712627072978,0.2641509433962264,1.0,EGF;EDAR;ATP4A;SLC29A3;SLC16A7;MYO15A;SLC12A3;KRT15;CAPN9;SMPX;TFCP2L1
Coagulation,1.1230092156623088,0.24561403508771928,1.0,FBN1;GP1BA;F12;MAFF;PECAM1;PF4;DPP4;KLK8;F8;BMP1;HMGCS2;FYN;TIMP3;SH2B2;ANXA1;MMP15;PREP;HTRA1;LRP1
Apical Junction,1.114396500826111,0.23529411764705882,1.0,FBN1;CLDN5;TGFBI;CLDN14;LDLRAP1;FLNC;PECAM1;LAYN;MADCAM1;ITGA9;B4GALT1;NRTN;ICAM2;NRAP;PARD6G;ADAM15;SHC1;BMP1;PLCG1;RASA1;AMIGO2;WNK4;PCDH1;HRAS;GNAI1;RRAS;AMIGO1;FYB1;CD276;TJP1;INPPL1;TSPAN4;PKD1;VCAM1;IKBKG;VCL;PIK3CB;SRC;NECTIN2
G2-M Checkpoint,-1.0880139886079316,0.23728813559322035,1.0,EGF;E2F1;GINS2;RAD54L;MEIS1;TPX2;NDC80;FBXO5;NEK2;E2F2;MCM5;CDC25B;INCENP;HMMR;PLK4;HIRA
Interferon Alpha Response,-1.0844110448108606,0.3541666666666667,0.9935501578152877,CASP1;EPSTI1;IFI30;SAMD9L;PARP9
IL-6/JAK/STAT3 Signaling,1.0659696882548133,0.35555555555555557,1.0,IL17RA;TNFRSF1B;FAS;BAK1;PF4;MAP3K8;IL7;CD44;CSF3R;CBL;LTB;PDGFC;HMOX1;IL3RA;TNFRSF12A;CSF1;IL13RA1;LEPR;JUN;IL12RB1;SOCS1
PI3K/AKT/mTOR  Signaling,-1.0526716210904763,0.325,0.9774745633123567,E2F1;NOD1;TNFRSF1A;SFN;EGFR
Myogenesis,-1.0516253581902233,0.32608695652173914,0.8604363935776039,CD36;CASQ1;MYH2;COL3A1;DES;LAMA2;TNNT3;ITGB4;CHRNB1;COL1A1;FOXO4;COL6A3;MYLPF;ITGB5;SYNGR2;PGAM2;PSEN2;STC2;TNNT2;TNNC1
Angiogenesis,-1.051118626520613,0.3829787234042553,0.7666620923105073,THBD;COL3A1;LUM
Oxidative Phosphorylation,-1.0463291738355416,0.3333333333333333,0.7072869493618773,RETSAT;AIFM1;CPT1A;MRPS11;ATP5ME;NDUFA3;BAX;NDUFB4;COX17;CYCS;NDUFB8;ETFA;MPC1;COX5B;PHB2;ATP6V0C;NDUFB7;NDUFV2;MRPL15;HTRA2;COX7A2;TIMM17A;NDUFA7;ATP6V1F;UQCRB;ATP5MC1;PRDX3;PHYH;MDH2;LDHB;ATP5PD;TIMM8B;NDUFB3;HSD17B10;COX7B;NDUFC1;COX6C;TIMM10;COX6B1;UQCRQ;ATP5F1E;HCCS;GRPEL1;COX7C;COX6A1;GOT2;NDUFS8;SDHD;ATP5F1C;NDUFB6;HADHA;TIMM13;ATP5MF;NDUFA6;UQCRC1;NDUFAB1;ATP5MG;SLC25A5;SLC25A3;NDUFA5;NDUFS7;UQCRH;NDUFA2;TOMM22;ATP5PO;UQCR11;NDUFA1;NDUFS4;MRPL11;ECI1;MTRF1;SDHB;SLC25A4;MRPL34;MRPS12;SUPV3L1;ATP6V1E1;NDUFS6;NDUFA9;COX8A;ATP6AP1;NDUFA8;BCKDHA;ISCA1;ATP5PB;ATP5MC2;COX10;MGST3;NDUFS3;POLR2F;ATP5F1D;MRPS15;NDUFC2;SDHA;IDH3A;VDAC3;MRPS22;ATP6V1G1;UQCR10;ATP6V1D;VDAC2;NQO2;COX4I1
E2F Targets,1.0462958955931936,0.3620689655172414,1.0,MCM3;CDC20;SPC25;BUB1B;POLE;MMS22L;RRM2;BARD1;LMNB1;SHMT1;PPM1D;HELLS;CDC25A;PLK1;DONSON;USP1;CENPM;SPAG5;CKS2;CDKN3;WEE1;EZH2;AURKA;PSIP1;PRKDC;CDKN2C;NCAPD2;POLA2;PSMC3IP;LIG1;CTCF;CKS1B;MYC;NUP107;NUP153;CENPE;TMPO;ASF1A;GINS1;PRDX4;HMGB2;TBRG4;MAD2L1;TCF19;LYAR;CHEK2;SMC6;DCLRE1B
KRAS Signaling Up,-1.0309440174721611,0.3673469387755102,0.6968823683521089,ITGA2;GYPC;TNFAIP3;LAT2;RELN;FLT4;GALNT3;ETS1;MMP11;ENG;ADGRL4;ST6GAL1;ALDH1A2;EPHB2;FCER1G;TNNT2;LCP1;MTMR10;SPRY2;MAP4K1;RBP4;BTC;CBR4;TRAF1;RETN;MAP3K1;LAPTM5;C3AR1;BIRC3;ETV4;STRN;GLRX;PLAT;ADGRA2
Spermatogenesis,1.0217304641695424,0.3793103448275862,1.0,IL12RB2;ACRBP;ZPBP;DBF4;HSPA1L;CLGN;TULP2;MLF1;HTR5A;CDKN3;CNIH2;TNNI3;TOPBP1;PCSK1N;EZH2;AURKA;TEKT2;PHF7;PIAS2;NPY5R;TCP11;PRKAR2A;NPHP1;STRBP;SLC12A2;ZC3H14;AGFG1;CHFR;GMCL1;DDX4;PGS1;STAM2;JAM3;GAPDHS
Mitotic Spindle,1.01373753474637,0.4,1.0,MYO1E;FLNA;BCL2L11;SUN2;LMNB1;RASA1;PLK1;CNTRL;AKAP13;MID1;DOCK4;KIF11;DOCK2;CENPF;MYO9B;ARL8A;SAC3D1;CEP192;NCK2;CD2AP;PXN;EPB41;PKD2;NOTCH2;WASF1;AURKA;LATS1;VCL;KIF1B;CCDC88A;KNTC1;CEP72;FARP1;NIN;CENPE;KIF3B;TRIO;RAPGEF5;NEDD9;ABL1;PCGF5;WASF2;PALLD;FLNB;ARHGAP5;SORBS2;MARK4;STAU1;DYNC1H1;ARHGAP10;PPP4R2;NUSAP1;EPB41L2;ARHGEF2;BCAR1;SSH2;DST;BCR;CEP131;OPHN1;CYTH2;RAPGEF6;TUBGCP6;TUBGCP5;KIF20B;SHROOM2
Complement,-1.0052964966784983,0.42857142857142855,0.7190887882530534,CASP1;CD36;TNFAIP3;CD46;L3MBTL4;F5;SERPING1;MSRB1;PLA2G4A;CPQ;TIMP1;CDA;FN1;LIPA;PSMB9;FCER1G
Bile Acid Metabolism,-1.0042780820736188,0.358974358974359,0.6663077556449314,RETSAT;CH25H;KLF1;PEX11G;TFCP2L1;EFHC1;ABCA3;CYP27A1;EPHX2;SULT2B1;APOA1;ABCD2;TTR;RBP1;SLC35B2
mTORC1 Signaling,0.9991452518688396,0.5344827586206896,1.0,SLA;TM7SF2;CFP;FGL2;TES;RRM2;EDEM1;EGLN3;MTHFD2L;CDC25A;PLK1;SLC1A5;SLC7A5;DHCR7;GLA;HK2;POLR3G
TGF-beta Signaling,0.9917090017441451,0.4897959183673469,1.0,SMAD6;BMPR2;CDKN1C;SMAD1;SMAD3;CDK9;TJP1;BMPR1A;NOG;SKI
Epithelial Mesenchymal Transition,0.9911778238121303,0.44642857142857145,1.0,FBN1;TGM2;IGFBP2;FAS;VEGFC;PCOLCE;TGFBI;ADAM12;LOXL1;POSTN;FLNA;MFAP5;FZD8;CD44;COL8A2;COL5A2;ANPEP;COL12A1;IL15;CCN2;MYLK;SDC4;BMP1;GLIPR1;DCN;TIMP3;INHBA;TNFRSF12A;IGFBP4;OXTR;ITGAV;HTRA1;CDH2;SGCD;FBLN5;TPM2;JUN;COL1A2;LRP1
Allograft Rejection,0.9851827800688808,0.46,0.9646052119797744,INHBB;FAS;CFP;TLR3;PF4;FLNA;FGR;IL7;IL16;IL15;SPI1;CD74;F2R;CD40;JAK2;LTB;IFNAR2;INHBA;CSF1;CTSS;ITK;IL12RB1;GBP2;SOCS1;FYB1;LY86
Hypoxia,0.9250163827603047,0.7407407407407407,1.0,TGM2;ADM;TGFBI;MAFF;ANGPTL4;TMEM45A;TES;TGFB3;CCN2;CDKN1C;SDC4;SAP30;EXT1;DCN;HMOX1;IER3;P4HA2;HK2;JUN;CITED2;STBD1;PNRC1;PDGFB;ATF3;PPP1R3C;PAM;MXI1;BCL2;B3GALT6;GCNT2;ACKR3;PLIN2;DUSP1;INHA
Hedgehog Signaling,0.9196658479744656,0.5740740740740741,1.0,AMOT;UNC5C;GLI1;RASA1;TLE1;PML;LDB1
Estrogen Response Late,-0.916723154894037,0.627906976744186,0.8939598894312768,PTPN6;GINS2;KIF20A;CXCL12;CLIC3;SFN;PTGES;DHRS2;SOX3;IL17RB;ABCA3;PAPSS2;ASCL1;PDLIM3;PLK4;TST;SULT2B1;CAV1;TNNC1;SLC16A1
Inflammatory Response,-0.8902325442330106,0.6170212765957447,0.9232880472073556,CCL22;IL1R1;TACR1;TLR2;GNA15;IL1A;PVR;HAS2;TNFSF9;RTP4;PROK2;STAB1;TACR3;CALCRL;TIMP1
p53 Pathway,-0.8750375901426762,0.7446808510638298,0.9088102099629477,RETSAT;CASP1;DEF6;IFI30;IRAG2;ITGB4;SFN;IL1A;POLH;TNFSF9;CCNK;MAPKAPK3
TNF-alpha Signaling via NF-kB,0.8678108594343905,0.8518518518518519,1.0,SLC2A6;MAFF;MAP3K8;CD44;KLF2;JAG1;B4GALT1;SPHK1;RNF19B;SDC4;CEBPD;DUSP2;STAT5A;RELB;DUSP4;IER5;DRAM1;EGR3;DUSP5;PANX1;IER3;INHBA;CSF1;KLF9;TNFAIP6;TNFRSF9;JUN;HES1;PNRC1;SMAD3;ATF3
Apoptosis,0.8610865514333436,0.8461538461538461,1.0,MGMT;FAS;PLCB2;EMP1;IGFBP6;BCL2L11;CD44;CASP7;ERBB3;F2R;IGF2R;AVPR1A;DCN;HMOX1;EGR3;IER3;TIMP3;ANXA1;TNFRSF12A;KRT18;CASP8;WEE1;JUN
UV Response Dn,-0.8074774286752001,0.9583333333333334,1.0,COL3A1;KIT;CCN1;FZD2;COL1A1;HAS2;RUNX1;LTBP1;CACNA1A
Pancreas Beta Cells,0.8065361617172099,0.7547169811320755,1.0,ABCC8;DPP4;MAFB
UV Response Up,0.8037582322306042,0.9272727272727272,1.0,IGFBP2;SHOX2;BAK1;BCL2L11;CDKN1C;CHKA;PRKACA;HMOX1;LHX2;DDX21;RASGRP1;TGFBRAP1;TCHH;NPTX2;ATF3;POLE3;GCH1;RXRB;CEBPG;CLCN2;KCNH2;WIZ;MMP14;CREG1;HNRNPU;FGF18;SLC6A8;CCND3
Glycolysis,0.7971458624585416,0.9583333333333334,1.0,TGFBI;ANGPTL4;CD44;MERTK;B4GALT1;SAP30;EGLN3;CACNA1H;EXT1;TGFA;SLC35A3;B4GALT2;DCN;HS2ST1;PHKA2;IER3;IL13RA1;P4HA2;HK2;FUT8;CITED2;IDUA;SLC25A13;SRD5A3;NT5E;AURKA;GAL3ST1;GCLC;NSDHL;PAM;XYLT2;MXI1
Myc Targets V2,-0.7804706067139803,0.9333333333333333,0.9999542564384062,MCM5;MAP3K6;PLK4;TMEM97;PPRC1;UNG;DCTPP1;AIMP2;MRTO4;PA2G4;SORD;DDX18;WDR74;CBX3;HSPD1;NDUFAF4;HSPE1;FARSA;RRP9;PES1
Androgen Response,0.770429697957923,0.8823529411764706,1.0,KRT8;KRT19;MERTK;B4GALT1;SRF;FKBP5;LMAN1;BMPR1B;ITGAV
DNA Repair,-0.752114157386377,0.9795918367346939,0.9793937292799724,CCNO;POLH;AGO4;CDA;POLD1;HCLS1;TYMS;ELL;CANT1;BRF2;POLR3GL;POLB;POLR3C;TAF6;TAF1C;PDE6G;GTF2H3;GMPR2;FEN1;TAF13;COX17;MPC2;POLD3;MRPL40;ARL6IP1;BCAP31;GTF2F1;ERCC3;SNAPC4;POLR2D;POLA1;POLR2K;GTF2H5;POLR2I;ERCC4;DAD1;NELFCD;GTF2A2
Adipogenesis,-0.7330691185043362,1.0,0.9477151090983944,RETSAT;CD36;FZD4;IFNGR1;SQOR;ELMOD3;TST;EPHX2;LIFR;ADIPOR2;MIGA2;CPT2;PHLDB1;RETN;SLC27A1;CAVIN2;RREB1
Pperoxisome,0.7197612505542275,0.9285714285714286,1.0,ABCC8;SEMA3C;ABCB4;ISOC1;DHRS3;MLYCD;SLC27A2;HRAS;ABCB9;CTBP1;PEX6
Apical Surface,0.7141196585124715,0.8409090909090909,1.0,B4GALT1;CROCC;CD160;SLC2A4;RTN4RL1;AKAP7;HSPB1;MDGA1;SCUBE1
heme Metabolism,0.6805255740289878,1.0,1.0,H4C3;TAL1;SLC30A10;KLF3;EPOR;GLRX5;XK;FOXJ2;DCAF10;ANK1;P4HA2;ABCG2;OSBP2;EPB41;ARL2BP;LRP10;NEK7;SLC7A11;GCLC;MXI1;SLC22A4;LMO2;CTNS;SPTB;CDR2;BACH1;MAP2K3;GCLM;SLC6A8;CCND3;CPOX;TNS1;MOCOS;RANBP10;MFHAS1;PGLS;PICALM;MARCHF2;MYL4;KAT2B;BTG2;BCAM;LAMP2;SLC2A1;ADIPOR1;TFDP2;GAPVD1
Protein Secretion,0.6636375599237041,0.9787234042553191,1.0,IGF2R;LMAN1;DOP1A;TMED2;KRT18;GLA;MAPK1;GOLGA4;ABCA1;RAB5A;SSPN;PAM;KIF1B
Myc Targets V1,0.6307359895729939,1.0,1.0,CDC20;CDC45
Reactive Oxygen Species Pathway,0.6267087247602449,1.0,1.0,ABCC1;HHEX;SCAF4;GCLC;NQO1;FES;GSR;GCLM;PRDX4;IPCEF1
