Term,NES,NOM p-val,FDR q-val,Lead_genes
TGF-beta signaling pathway,1.5619432831362072,0.01,1.0,FBN1;BMP4;RBL1;INHBB;SMAD6;BMP6;ACVR1C;AMHR2;BMPR2;TGFB3;BAMBI;DCN;NBL1;INHBA;ZFYVE9;RGMB;BMPR1B;SMAD1;MAPK1;CHRD;PPP2CA;ACVR2B;EP300;SMAD3;BMPR1A;SMAD4;NOG
Ribosome,-1.5425390071229617,0.02702702702702703,1.0,MRPL18;MRPL4;MRPS10;MRPS16;RPL7;MRPS11;RPL36A;RPL37;MRPL15;RPS13;FAU;RPS23;MRPL28;RPL28;RPL5;MRPS21;RPL30;RPLP2;RPS27;RPL38;RPS20;RPL29;MRPL27;RPS29;RPL26;RPL35;RPS7;MRPS18C;MRPL12;RPL35A;RPS28;RPL19;RPL31;MRPL23;RPS26;RPL34;MRPL17;RPS27L;RPL11;RPL10A;RPS21;RPL39;RPS16;RPLP0;MRPS7;MRPL30;MRPL13;MRPL11;RPL17;RPL22L1;MRPL34;MRPL20;MRPS18A;MRPS12;RPS27A;RPS24;RPS17;RPS2;RPS6;RPS14;MRPS14;RPL7A;RPL6;RPL3;RPS11;RPL13;RPL27;RPS15;RPL15;RPL36AL;RPL37A;RPL22;MRPS15;RPS9;RPL32;RPLP1;MRPL19;MRPL16;MRPL9;RPL8;RPL23A;RPL36;MRPS9;RPS4X;RPL14;RPL13A;RPL18A;MRPL36;MRPL2;MRPL32;RPL18;MRPS17;RPL23;RPS10;RPL41;RPS18;RPL21;RPL12;RPS8;RPL9
Carbohydrate digestion and absorption,1.5410465555409314,0.03508771929824561,0.745931503521982,CACNA1D;TAS1R3;PLCB2
Apelin signaling pathway,1.540940576365204,0.01,0.4972876690146547,PIK3R6;PIK3CG;PLCB2;MYLK3;KLF2;JAG1;SPHK1;CCN2;ADCY1;MYLK;ADCY8;PRKACA;ADCY3;RYR2;MAPK1;HRAS;NOTCH3;GNAI1;HDAC4;KRAS;ADCY9;RRAS;APLN;SMAD3;RRAS2;SMAD4;ADCY7;GNA13;GNG4;MEF2D;LIPE;MRAS;CALML4;PIK3R5
Renin secretion,1.52473340029334,0.01,0.4403692008744231,CACNA1D;PDE3A;PLCB2;CACNA1S;NPPA;PPP3CC;PDE1C;ORAI1;PRKACA;PRKG2;KCNMA1;ADRB1;GNAI1
Insulin secretion,1.5129896827876088,0.018518518518518517,0.39543356813213504,CACNA1D;ABCC8;PLCB2;CACNA1S;KCNMB2;CREB3L1;CCKAR;KCNN3;ADCY1;ADCY8;PRKACA;ADCY3;RYR2;KCNN4;KCNMA1;KCNMB1;ADCY9;CREB5
Systemic lupus erythematosus,1.4970745916536825,0.016129032258064516,0.395433568132135,H4C3;C7;H2BC21;H2AC6;H2AC20;C4B;H4C11;H2BC8;CD40
Small cell lung cancer,-1.4963362505071938,0.01,1.0,E2F1;LAMA5;ITGA2;COL4A3;LAMA2;E2F2;LAMA3;ITGA6;FN1
Bladder cancer,-1.4951278682355806,0.02564102564102564,1.0,EGF;E2F1;EGFR;E2F2
Oxidative phosphorylation,-1.4915736953236183,0.01,0.9468984962406014,ATP4A;COX7B2;COX7A1;ATP5ME;NDUFA3;NDUFB4;NDUFA10;COX17;NDUFB8;COX5B;ATP6V0C;NDUFB7;NDUFV2;COX7A2;ATP6V0D1;NDUFS5;NDUFA7;ATP6V1F;UQCRB;ATP5MC1;NDUFB10;ATP5PD;NDUFB3;COX7B;NDUFA11;NDUFC1;ATP6V0A1;COX6C;NDUFV3;COX6B1;UQCRQ;ATP5F1E;COX7C;COX6A1;NDUFS8;ATP6V0E2;SDHD;ATP5F1C;NDUFB6;ATP5MF;NDUFA6;UQCRC1;NDUFAB1;ATP5MG;COX6A2;NDUFA13;NDUFA5;NDUFS7;UQCRH;NDUFA2;NDUFB9;COX6B2;ATP5PO;UQCR11;NDUFA1;NDUFS4;COX4I2;SDHB;ATP6V1E1;NDUFS6;NDUFA9;COX8A;PPA1;ATP6AP1;NDUFA12;NDUFA8;ATP5PB;ATP5MC2;COX10;NDUFS3;ATP5F1D;NDUFC2;SDHA;ATP6V1G2;ATP6V1G1;UQCR10;ATP6V1D
Amoebiasis,-1.4294975955876479,0.02127659574468085,1.0,IL1R1;LAMA5;COL3A1;COL4A3;TLR2;LAMA2;COL1A1;GNA15
Cell adhesion molecules,1.4236500807754,0.018518518518518517,0.7035636212221104,ITGB7;OCLN;VSIR;CLDN5;CLDN1;CLDN14;PECAM1;MADCAM1;F11R;ITGA9;ICAM2;SDC4;CD40;CNTN2;IGSF11
Phagosome,-1.408428946552482,0.02631578947368421,1.0,CD36;ITGA2;COLEC11;TLR2;TAP2;MRC2;ITGB5;MPO;TUBA1C
Oxytocin signaling pathway,1.407634866323458,0.01,0.712229778965266,PIK3R6;CACNA1D;PIK3CG;PLCB2;CACNA1S;KCNJ4;KCNJ12;CACNA2D4;NPPA;MYLK3;PPP3CC;ADCY1;MYLK;NPR2;ADCY8;PRKACA;ADCY3;RYR2;NFATC3;OXTR;MAPK1;NFATC1;HRAS;GNAI1;JUN;KRAS;ADCY9
Salivary secretion,1.4034871338264057,0.02127659574468085,0.6580573772703965,PLCB2;ADRA1A;ADCY1;SLC4A2;LPO;ATP2B3;ADCY8;PRKACA;PRKG2;ADCY3;KCNN4;KCNMA1;ADRB1;ADCY9;ATP2B4;PRKG1;ADCY7;CALML4;PRKCB;SLC12A2;ADRB3;ADCY2;ADRA1B;ADCY5
Bile secretion,1.399971092191161,0.057692307692307696,0.6075297546757348,AQP9;SLC27A5;ABCB4;ADCY1;SLC4A2;ADCY8;PRKACA;ADCY3;ABCG2;ADCY9
Thiamine metabolism,-1.376311426742264,0.10638297872340426,1.0,ALPL;AK7;TPK1;AK8;AK2;NTPCR;ACP1;AK1
Prostate cancer,-1.3758265212358127,0.01,1.0,EGF;E2F1;PDGFD;CREB3L3;EGFR;E2F2
Glycerophospholipid metabolism,-1.3742239533647491,0.07142857142857142,1.0,MBOAT1;PLD4;LPIN3;PNPLA7;PLA2G2D;PLA2G4A;PLA2G2C;PLD2;GPD1;AGPAT4;AGPAT1;CHPT1;PLPP2
Regulation of actin cytoskeleton,-1.3627162151584962,0.01,1.0,EGF;NCKAP1L;ITGA2;PDGFD;FGF7;ITGAE;CHRM4;CHRM2;CXCL12;ITGB4;RAC2;EGFR;VAV1;MYLPF;ITGA10;ITGB5;SSH3;ITGA6;FN1
Nicotinate and nicotinamide metabolism,1.3587066760779978,0.06,0.7696248371497338,ASPDH;AOX1;ENPP1;SIRT4;NMNAT3;NAPRT;NT5E;NUDT12
Chemical carcinogenesis,-1.3559231655364792,0.037037037037037035,1.0,DLL4;EGF;GSTA3;E2F1;NAT1;CREB3L3;FGF7;PPARA
Melanoma,-1.3539400154631387,0.06976744186046512,0.9562367457104298,EGF;E2F1;PDGFD;FGF7;EGFR;E2F2
Malaria,-1.3533146022384288,0.11363636363636363,0.8852660497397339,CD36;GYPC;TLR2;TLR9
Glutathione metabolism,-1.3524114443249864,0.11764705882352941,0.8284361315376353,GSTA3;NAT8;GGT5
GnRH secretion,1.3511366488233219,0.03773584905660377,0.7444336490972391,CACNA1D;PLCB2;CACNA1S;CACNA1G;KCNN3;CACNA1H;KCNN4;MAPK1;HRAS;KRAS;CACNA1I;HCN2
Hippo signaling pathway,1.3484984710336578,0.01,0.7099829973281515,BMP4;TEAD3;BMP6;AMOT;WNT2B;FZD7;BMPR2;FZD8;WNT11;FZD5;TGFB3;FZD6;WNT4;CCN2;TEAD1;PARD6G;LIMD1;DCHS1;TCF7L1;FRMD6;RASSF6;SAV1;YAP1;BMPR1B;NKD2;SMAD1;PPP2CA;NKD1;MOB1A;DVL3;LATS2;SMAD3;BMPR1A;SMAD4;LATS1;WNT8B;SOX2;MYC;PRKCI;CSNK1E;PPP1CC;TGFBR2;PPP2R1B;WNT7A
cGMP-PKG signaling pathway,1.3424566456885694,0.044444444444444446,0.6920087442312363,PIK3R6;CACNA1D;PDE3A;PIK3CG;PLCB2;CACNA1S;ADRA2C;KCNJ8;NPPA;ADRA1A;KCNMB2;MYLK3;CREB3L1;PPP3CC;SRF;ADCY1;MYLK;OPRD1;ATP2B3;NPR2;ADCY8;PRKG2;ADCY3;KCNMA1;NFATC3;ADRB1;MAPK1;NFATC1;KCNMB1;GNAI1;ADCY9;ATP2B4;CREB5;PPP1R12A;ADRA2A
Legionellosis,-1.317566170343966,0.09803921568627451,0.959224985540775,CASP1;TLR2
Viral protein interaction with cytokine and cytokine receptor,-1.3129513590723618,0.01,0.9216852226720648,CCL22;TNFRSF1A;CXCL12;CX3CR1;TNFRSF10B
Phosphatidylinositol signaling system,1.3105434746326683,0.08333333333333333,0.8250182171484091,PLCB2;IP6K3;PLCG1;MTMR1;IPMK;PIK3C2B;MTM1;ITPKA;DGKI;INPP5A;ITPKC;PIP4P1;INPPL1;PLCE1;MTMR3;PIK3CB;CDS2;PLCD1;ITPKB;PIK3C2A;CALML4;PRKCB;DGKE;DGKH;PI4KB;BPNT2;PI4KA;INPP4B
Axon guidance,1.3044165332579745,0.05357142857142857,0.809403084770464,EPHA3;EPHB3;TRPC3;SEMA3C;EPHA8;SEMA7A;SEMA3F;BMPR2;EFNA4;SEMA6A;EFNB2;UNC5C;WNT4;NTN1;PPP3CC;SEMA6D;PLXNA4;PARD6G;SEMA6C;EFNA2;PLCG1;SEMA6B;RASA1;SEMA3D;FYN;SEMA5A;ENAH;BMPR1B;NFATC3;MAPK1;HRAS;GNAI1;KRAS;RRAS;NCK2;EPHA4
NOD-like receptor signaling pathway,-1.2952457066205691,0.08333333333333333,0.9604114925322356,CASP12;CASP1;NOD1;TNFAIP3;CARD9;GSDMD
Drug metabolism,-1.291542549573444,0.07692307692307693,0.9219964976543924,GSTA3;NAT1;XDH;UPB1;MPO;CDA;TPMT;CYP2E1;DPYS
Breast cancer,-1.2884952913750296,0.058823529411764705,0.8899843231560683,DLL4;EGF;E2F1;KIT;FGF7;FLT4;FZD2;FZD4;EGFR
Hematopoietic cell lineage,-1.2781701204604832,0.11904761904761904,0.9015146038172355,IL1R1;CD36;ITGA2;KIT;CD33;DNTT;IL1A;CD38;THPO;ITGA6;FLT3
Inositol phosphate metabolism,1.2737587516161777,0.06976744186046512,0.9478775236108531,PIK3CG;PLCB2;PLCG1;MTMR1;IPMK;PIK3C2B;MTM1;ITPKA;INPP5A;ITPKC;PLCH1;INPPL1;PLCE1;MTMR3;PIK3CB;PLCD1;ITPKB;PIK3C2A
MicroRNAs in cancer,1.2700975355615571,0.04838709677419355,0.9226783256416484,NOTCH1;TNXB;CYP1B1;BAK1;BMPR2;EFNA4;BCL2L11;MIR129-1;CD44;RECK;ABCC1;TNR;SOX4;ERBB3;SHC1;EFNA2;PLCG1;SHC4;NOTCH4;CDC25A;BMI1;HMOX1;TIMP3;SLC7A1;MAPK1;HRAS;NOTCH3;HDAC4;PDGFRA;KRAS;EP300;SOCS1;NOTCH2;PDGFB;ATM;EZH2
ECM-receptor interaction,-1.2672905576530042,0.11627906976744186,0.9204845905973725,LAMA5;CD36;ITGA2;RELN;COL4A3;LAMA2;TNC;ITGB4;COL1A1;COL6A3;ITGA10;ITGB5;LAMA3;HMMR;ITGA6;FN1;COL9A3
