Term,NES,NOM p-val,FDR q-val,Lead_genes
Wnt-beta Catenin Signaling,1.4519371956920208,0.04597701149425287,0.3250207813798836,NOTCH1;FZD8;JAG1;MAML1;DLL1;FRAT1;FZD1;NOTCH4;NKD1;GNAI1;NUMB;CSNK1E;JAG2;HEY2;SKP2;DVL2;AXIN1
Angiogenesis,1.3516198924122935,0.06976744186046512,0.6213632585203658,KCNJ8;LUM;POSTN;PGLYRP1;JAG1;PF4
TNF-alpha Signaling via NF-kB,1.2835311729589305,0.05,0.984621778886118,SLC2A6;TNC;FUT4;IL1A;KLF2;CD44;JAG1;MAFF;MAP3K8;SPHK1;RNF19B;B4GALT1;DUSP5;IER5;CEBPD;RELB;FJX1;STAT5A;DUSP4;HES1;KLF9;DUSP2;YRDC;FOSB;IER3;SDC4;MCL1
Estrogen Response Early,1.2381789404878922,0.020202020202020204,1.0,KRT15;GREB1;KRT8;KRT19;TJP3;TGM2;INHBB;CALCR;FCMR;FOXC1;CD44;SLC7A2;MYB;MREG;B4GALT1;PTGES;BAG1;FKBP5;SIAH2;UGCG;ADCY1;NBL1;JAK2;DHRS2;DLC1;HES1;CYP26B1;GFRA1;IGF1R;TOB1;SLC1A1;SVIL;LAD1;ADCY9;SLC27A2;SLC7A5;MINDY1;KRT18;DHCR7;NRIP1;LRIG1;SNX24;RASGRP1;TPBG;ELF1;CHPT1;GLA;SLC22A5;SLC26A2;BCL2;FARP1;SLC1A4;FLNB;PODXL;RHOBTB3;ALDH3B1;RPS6KA2;SOX3;TTC39A;SLC2A1;DHRS3;KDM4B;MYBL1;GAB2;EGR3;KAZN;AMFR;OLFM1
IL-6/JAK/STAT3 Signaling,1.2277959026431846,0.20652173913043478,1.0,IL17RA;FAS;IL7;CD44;TNFRSF1B;BAK1;MAP3K8;PF4;CSF3R;PDGFC;LTB;ITGA4;CBL;IL3RA;IL12RB1;JUN;CSF1
Apoptosis,1.218200680508648,0.10309278350515463,0.9463840399002494,PLCB2;MGMT;IL1A;GNA15;LUM;BRCA1;FAS;IGFBP6;EMP1;CD44;TOP2A;BCL2L11;CASP7;RETSAT;AVPR1A;CASP8;TIMP3;IER3;MCL1;ERBB3;TIMP2;JUN;DCN;KRT18
Epithelial Mesenchymal Transition,1.2140611164722892,0.1111111111111111,0.8344020900130626,FBN1;TNC;THBS2;IGFBP2;LUM;PCOLCE;FAS;COL11A1;TGM2;POSTN;MFAP5;FZD8;ADAM12;LOXL1;CD44;VEGFC;FLNA;TGFBI;COL12A1;FOXC2;BMP1;IL15;SNTB1;PCOLCE2;MYLK;GAS1;GLIPR1;FGF2;COL4A2;TIMP3;SDC4;COLGALT1;SGCD
Myc Targets V2,-1.2057470640310617,0.2857142857142857,0.6170212765957447,MCM5;MAP3K6;TMEM97;PLK4;NOP16;DCTPP1;CBX3;DDX18;PPRC1;WDR74;PA2G4;AIMP2;FARSA;NOC4L;MRTO4;EXOSC5;RABEPK;CDK4;HSPD1;HSPE1;SLC29A2;PUS1;NIP7;NDUFAF4;PES1;PLK1;SORD;NPM1;PPAN
Apical Junction,1.2038037914922501,0.13541666666666666,0.7982128013300083,FBN1;LDLRAP1;CLDN14;PECAM1;FLNC;CLDN5;CLDN9;ITGA9;MADCAM1;TGFBI;NRAP;BMP1;NRTN;B4GALT1;SHC1;KCNH2;PLCG1;PARD6G;ADAM15;ADRA1B;RASA1;NECTIN3;AMIGO2;HRAS;GNAI1;CD274;VCAM1;VCL;MAP3K20;SRC;CDH8
IL-2/STAT5 Signaling,1.1985376954137414,0.1134020618556701,0.7371386348942458,MYO1E;CDCP1;FGL2;EMP1;TGM2;BMPR2;NFKBIZ;CD44;MAFF;TNFRSF1B;MAP3K8;ENPP1;BATF;ANXA4;IKZF2;MAPKAPK2;BATF3;ODC1;CDKN1C;PLSCR1;CKAP4;HK2;LTB;SPRY4;IGF1R;ITIH5;IL3RA;WLS
