Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,-2.2510198828021726,0.01,0.01,RPS13;RPL37;FAU;RPLP2;RPL38;RPS23;MRPL28;RPL39;RPS27;RPS29;MRPS21;MRPL23;MRPS16;RPL30;RPL5;RPS28;RPS27A;RPL36A;RPL28;MRPL18;RPL7;RPL22;MRPS11;RPL26;MRPL4;RPL34;MRPS18C;RPL29;RPL35A;RPL36;MRPS10;RPL35;RPS26;RPS16;RPS12;RPS21;RPL31;RPL27;RPL17;RPS24;MRPS2;RPL10A;RPL15;RPS17;RPL41;RPS14;RPL18A;RPL19;RPL23A;RPS27L;RPS2;RPL37A;RPS15;RPS25;MRPL22;RPS8;RPL32;RPL11;RPLP1;MRPL17;RPS6;RPL12;RPS19;RPL36AL;RPL21;RPS20;RPL22L1;RPL23;RPL13;RPS7;MRPS12;RPL18;MRPL14;RPS11;MRPL12;MRPL32;RPSA;RPL6;RPL27A;RPL3;MRPL11;MRPL20;RPS5;RPLP0;MRPS18A;RPL7A;RPS4X;RPS18;RPS10;MRPS15;MRPL34;MRPL13;MRPS14;MRPL27;RPL14;MRPS17;RPL9;MRPL30;MRPL36;MRPL2;RPL8
Proteasome,-1.8430454459597616,0.01,0.10662033650329189,PSMB9;PSMB8;SEM1;PSMA5;PSME2;PSMA1;PSME4;ADRM1;PSMB10;PSMA2;PSMB5;PSMB3;PSMD7;POMP;PSMB6;PSMD8;PSMB2;PSMD14;IFNG;PSMC1;PSMB1;PSMA3;PSMC3;PSMA4;PSMA7;PSMD4;PSMF1;PSMB4;PSMB7;PSMD9;PSMC4;PSMC2;PSMD6;PSMC5;PSME1
Oxidative phosphorylation,-1.7596743243796646,0.01,0.10338941721531333,ATP4A;COX7B2;COX7A1;NDUFA3;NDUFS5;COX5B;NDUFB4;NDUFA7;ATP5MG;COX7C;NDUFA1;ATP5ME;ATP6V1F;COX17;UQCR11;UQCRB;NDUFB8;NDUFV2;NDUFV3;NDUFA13;COX7A2;ATP5MF;ATP6V0D1;NDUFA2;NDUFA12;NDUFC1;COX6A1;COX6A2;UQCRQ;COX7B;ATP6AP1;NDUFB10;ATP6V0C;NDUFB7;COX6B1;ATP5MC1;ATP5MC2;NDUFA5;ATP5F1E;NDUFB3;NDUFA10;NDUFAB1;NDUFA6;ATP5PB;COX6C;NDUFA11;ATP5PD;COX6B2;UQCR10;COX10;ATP5PF;ATP6V0E2;NDUFB6;COX8A;NDUFS4;UQCRH;NDUFB9;NDUFS6;NDUFA8;NDUFS7;ATP6V1G1;ATP5F1C;NDUFS8;SDHB;SDHD
Adipocytokine signaling pathway,-1.5948183442437394,0.01,0.32955376737381126,SLC2A4;CD36
Cell adhesion molecules,1.5709949411032937,0.01,0.51694115939926,ITGB7;OCLN;CLDN14;PECAM1;CLDN1;F11R;CLDN5;CLDN9;VSIR;ITGA9;MADCAM1;IGSF11;CNTN2;CLDN23;NECTIN3;ITGA4;SDC4;CD274;VCAM1;NEO1;PTPRF;CD40
Thiamine metabolism,-1.5639509311883042,0.12,0.33730797366495974,ALPL;AK8;TPK1;AK2;AK7
Renin-angiotensin system,-1.559006050808727,0.047619047619047616,0.29078273591806875,ANPEP
T cell receptor signaling pathway,-1.518603132897176,0.01,0.3129376110356359,ITK;PTPN6;LCP2;TEC;MAPK12
Type I diabetes mellitus,1.4944549368869573,0.014705882352941176,1.0,IL1A;FAS
Melanogenesis,1.481889301368268,0.01,0.8766838375776923,FZD4;MITF;PLCB2;FZD9;WNT2B;FZD8;WNT11;FZD6;CREB3L1;FZD7;PRKACA;FZD5;ADCY3;ADCY1;WNT4;FZD1;KRAS;PRKCB;HRAS;MAPK1;DVL3;GNAI1;ADCY9;WNT10A;ADCY8
Diabetic cardiomyopathy,-1.4632336369725079,0.01,0.36832479882955377,SLC2A4;CD36;MAPK12;COX7B2;TNNI3;TGFBR2;COX7A1;CPT2;NDUFA3;NDUFS5;COL3A1;COX5B;NDUFB4;NDUFA7;AGT;NOS3;MPC1;COX7C;MPC2;NDUFA1;RELA;ATP2A3;PLCB3;UQCR11;UQCRB;NDUFB8;NDUFV2;NDUFV3;SLC25A5;NDUFA13;COX7A2;NDUFA2;NDUFA12;GAPDH;NDUFC1;COX6A1;COX6A2;UQCRQ;COX7B;NDUFB10;NDUFB7;COX6B1;AKT2;ATP5MC1;ATP5MC2;NDUFA5;COL1A1;ATP5F1E;NDUFB3;NDUFA10;NDUFAB1;NDUFA6;ATP5PB;COX6C;NDUFA11;CTSD;ATP5PD;COX6B2;UQCR10;ATP5PF;NDUFB6;COX8A;NDUFS4;PIK3CA;UQCRH;NDUFB9;CAMK2G;NDUFS6;NDUFA8;NDUFS7
Sphingolipid metabolism,1.4600961086665996,0.06315789473684211,0.8320938837698614,SGMS2;ASAH2;SGPP1;CERS6;SPHK1;SGPP2;UGCG;CERK;SPTLC2;SGMS1;GAL3ST1;SPTLC1;GLA;NEU4;NEU2
Hippo signaling pathway,1.4571078106691848,0.01,0.7073931654937242,FZD4;BMP4;TEAD3;FZD9;WNT2B;BMPR2;BMP6;FZD8;WNT11;FZD6;AMOT;TEAD1;FZD7;CRB2;TGFB3;PARD6G;FZD5;PPP2CA;WNT4;LIMD1;FZD1;NKD1;SMAD4;DVL3;LLGL2;NKD2;LATS2;SOX2;WNT10A;PARD6B;SMAD1;LATS1;PRKCI;BMPR1A;CSNK1E;TCF7L1;TEAD2;FRMD6;BIRC5;DVL2;AXIN1;PPP2R2C;BMP8B;NF2;DCHS1;PPP2R1B;WWTR1;YWHAH;PPP1CC;TGFB1;SMAD3;RASSF6;WNT7A;BIRC2;FAT4;BMPR1B;WNT8B;DLG1;CCND3;MOB1A;WNT7B
Mucin type O-glycan biosynthesis,1.4552017375633386,0.024096385542168676,0.5985634477254589,ST3GAL1;GALNT15;GALNTL6;GALNT6;GALNT9;GALNT13;ST3GAL2;GALNT12;GALNT11;GALNT18;ST6GALNAC3;GALNT3
Type II diabetes mellitus,-1.454706576143712,0.01,0.34463139071771115,SLC2A4;CACNA1A;CACNA1B;HK3
Renin secretion,1.4443864368265389,0.021739130434782608,0.5972678558472653,CACNA1D;PLCB2;CACNA1S;PDE3A;EDN3;NPPA;ORAI1;PRKACA;PPP3CC;PRKG2;KCNMA1;GNAI1;ADRB1;PDE1C
Protein digestion and absorption,1.4281174820575824,0.053763440860215055,0.6665820213306246,COL8A1;SLC36A2;COL11A1;COL19A1;COL22A1;COL11A2;COL18A1;SLC7A7;COL12A1;CPA2;COL26A1;COL4A2;SLC1A1;COL27A1
Breast cancer,1.426587445639964,0.010416666666666666,0.6005788128693157,FZD4;NOTCH1;BRCA1;FZD9;WNT2B;FZD8;JAG1;WNT11;FZD6;BAK1;DLL1;FRAT1;FZD7;SHC1;FZD5;FRAT2;WNT4;FGF2;HES1;FZD1;KRAS;SHC2;NOTCH4;FLT4;IGF1R;HRAS;DDB2;MAPK1;DVL3;LRP6;WNT10A;JUN
Vascular smooth muscle contraction,1.417269318851066,0.031914893617021274,0.5976565334107233,CACNA1D;PLCB2;CACNA1S;ADRA1A;ADORA2A;KCNMB2;EDN3;MYLK3;ADM;NPPA;PRKACA;PLA2G4A;MYLK;AVPR1A;ADRA1B;ADCY3;ADCY1;PLA2G3;KCNMA1;PRKCB;NPR2;MAPK1;ADCY9;PLA2G4E;ADCY8
