Term,NES,NOM p-val,FDR q-val,Lead_genes
Interferon Alpha Response,1.8986512038651508,0.01,0.01,SELL;DDX60;CD74;IFITM1;TXNIP;IRF1;GBP4;PARP14;SP110;TRIM25;CASP1;IFI30;GBP2;IFIT3;TAP1;USP18;PSMB9;PLSCR1;PROCR;MX1;NMI;IFIH1;IFIT2;TRIM21;PARP9;CSF1;TRIM26;IFITM2;IL15;ISG15;OGFR;PARP12;DHX58
Interferon Gamma Response,1.811274905304794,0.01,0.01,CCL7;ZBP1;DDX60;CD74;CSF2RB;ICAM1;FGL2;CFH;CD38;TXNIP;IL2RB;CFB;SERPING1;IRF1;PLA2G4A;TNFSF10;GBP6;GBP4;PARP14;NLRC5;SSPN;SP110;TRIM25;FPR1;CASP1;RIPK1;IFI30;VAMP5;IFIT3;VAMP8;CASP4;TAP1;RNF213;IFIT1;USP18;CD40;PSMB9;PLSCR1;MX1;NMI;SOCS3;IL10RA;GCH1;IFIH1;IFIT2;TRIM21;DDX58;VCAM1;ST8SIA4;TRIM26;IFITM2;PTPN6;IL15;IFNAR2;ISG15;OGFR;BANK1;PARP12;DHX58;NOD1;IRF8;TAPBP;IFITM3;CD274;PNP
Allograft Rejection,1.642023031160589,0.01,0.01,CCL7;CD79A;LTB;CCR1;FGR;MMP9;CCR2;TIMP1;CD74;MAP4K1;ICAM1;TLR2;ITK;IL16;IL2RB;ITGAL;C2;ELF4;TLR1;GBP2;BRCA1;IGSF6;CD7;TAP1;CD40;EIF3A;FLNA;TAP2;CAPG;CCR5;LCK;IL2RA;GPR65;HCLS1;GCNT1;CSF1;ST8SIA4;NCK1;CD28;BCL10;BCL3;PTPN6;IL15;IL27RA;INHBB;IFNAR2
Inflammatory Response,1.5906873168537552,0.01,0.02219626168224299,SELL;CCL7;HAS2;CYBB;TIMP1;CD48;ICAM1;PTAFR;TLR2;IFITM1;BTG2;IL2RB;IRF1;TNFSF10;MET;SPHK1;FPR1;EMP3;CALCRL;TLR1;SERPINE1;HPN;BEST1;CD40;LTA;TNFRSF1B;IL7R;NMI;IL10RA;LCK;GNAI3;KCNA3;GCH1;KCNMB2;C5AR1;CSF1;PDPN;ADM;SLC31A2;PTGER4;FZD5;IL15
Coagulation,1.5413351973253333,0.02857142857142857,0.041433021806853584,MMP8;VWF;MMP9;DCT;TIMP1;ANG;COMP;THBS1;S100A13;CFH;APOC1;FN1;HMGCS2;CFB;SERPING1;C2;C3;F12;SERPINE1;HPN;CTSO;CPN1;DPP4
IL-6/JAK/STAT3 Signaling,1.5358065955050144,0.013333333333333334,0.03617168570439599,CCL7;LTB;CCR1;CSF2RB;TLR2;CD38;IRF1;LEPR;TNFRSF1B;SOCS3;IL3RA;IL2RA;BAK1;CSF1;OSMR;A2M;SOCS1;ITGA4;MAP3K8;STAT1;IL6ST;IL13RA1;IFNAR1;TGFB1;TYK2;TNFRSF1A;ITGB3;CBL
Epithelial Mesenchymal Transition,1.466260843148627,0.01,0.062008604064678834,MGP;FBLN5;TIMP1;TAGLN;CCN1;COMP;THBS1;FMOD;LGALS1;COL3A1;COL8A2;FN1;COL6A3;SDC1;DCN;FOXC2;COL5A2;LUM;MFAP5;COL1A2;WNT5A;PRRX1;LOX;COL1A1;MYL9;EMP3;SFRP1;BGN;MSX1;SERPINE1;PCOLCE;THBS2;EFEMP2;NOTCH2;ACTA2;TPM2;CCN2;FLNA;COL16A1;COL6A2;LOXL2;TGFBI;CAPG;LAMA2;FBLN2;DAB2;WIPF1;MEST;CXCL12;SNTB1;VCAM1;ELN;IL15;ANPEP;FBLN1;COL5A1;COLGALT1;IGFBP2;TIMP3;FZD8;MMP2;SPARC;FBN1;LAMC1;SGCD
Reactive Oxygen Species Pathway,1.451378445724897,0.014705882352941176,0.061656282450674976,MPO;HHEX;MGST1;JUNB;LSP1
Complement,1.3473439003399015,0.04938271604938271,0.17647398176993193,S100A9;MMP8;TIMP1;LTF;ANG;S100A13;CFH;APOC1;FN1;CFB;SERPING1;IRF1;PLA2G4A;CP;C2;CASP1;C3;SERPINE1;CASP4;CTSO;PRCP;PSMB9;PLSCR1;PRKCD;DPP4;LCK;GNAI3
Apical Junction,1.3284290880390017,0.046511627906976744,0.19335410176531675,CLDN19;ACTG2;VWF;CDH3;MMP9;ICAM1;MPZL2;FLNC;CDH1;TRAF1;CD99;TSPAN4;LDLRAP1;MDK;MYL9;CNN2;ACTN3;MYL12B;COL17A1;GTF2F1;NEXN;VASP;IRS1;COL16A1;TGFBI;CLDN5;PCDH1;SHC1;MVD;INSIG1;MPZL1;NLGN2;SYK;TSC1;VCAM1;GAMT;MAP3K20;THBS3;MYH9;CERCAM;LAMB3;CD274;MMP2;FBN1;TJP1;INPPL1;IKBKG;VCL;TAOK2;PKD1;RRAS;EGFR;PARD6G;PBX2;ITGA9;NF2;PECAM1;AMH
