Term,NES,NOM p-val,FDR q-val,Lead_genes
Viral protein interaction with cytokine and cytokine receptor,1.9215098653951321,0.01,0.03503329988139768,CCL7;CCL8;CCR10;CXCL5;CCR1;CCR2;CXCR4;IL2RB;TNFSF10;CCR9;LTA;TNFRSF1B;TNFRSF14;CCL28;CCR5;IL10RA;IL2RA;CXCL12;CSF1
Linoleic acid metabolism,1.7788441785609983,0.01,0.10509989964419304,CYP2E1;PLB1;PLA2G4C;PLA2G4A;PLA2G4E;PLA2G2D
Drug metabolism,1.7438001997071897,0.01,0.09634157467384363,MPO;CYP2E1;FMO2;GSTM2;DPYS;MGST1;NME4;GSTO2;GSTT1;FMO1;GSTT2;UPB1;FMO5;MAOA;ALDH3A1;AOX1;GSTM4;GSTM1;GSTA3;RRM2;ALDH3B1;TK2;NME2
IL-17 signaling pathway,1.734799537924202,0.01,0.07882492473314479,CCL7;S100A9;S100A8;LCN2;CXCL5;MMP9
Protein digestion and absorption,1.7261556437363745,0.01,0.0665632697746556,KCNK5;SLC36A2;SLC1A5;COL6A6;COL4A6;COL4A4;COL3A1;COL9A2;COL8A2;COL6A3;COL13A1;COL4A5;COL5A2;COL6A5;SLC6A19;COL1A2;FXYD2;COL1A1;KCNJ13;COL2A1;COL8A1;CPA2;COL17A1;PRCP;COL16A1;COL6A2;DPP4
Staphylococcus aureus infection,1.687875523452149,0.015625,0.0832040872183195,CAMP;C4B;ICAM1;PTAFR;CFH;CFB;ITGAL;C2;KRT9;FPR1;C3
Neutrophil extracellular trap formation,1.681059780934069,0.01,0.07882492473314479,MPO;CAMP;CYBB;H4C12;VWF;H2AC6;CLEC7A;TLR2;AGER;H4C8;ITGAL;H4C9;FPR1;CASP1;C3;CASP4;HMGB1;CYBA;HDAC7;C5AR1;SYK;H2BC21
Primary immunodeficiency,1.6648754871641198,0.015384615384615385,0.08210929659702582,CD79A;BTK;TNFRSF13C;TAP1;CD40;TAP2;IL7R;LCK
alpha-Linolenic acid metabolism,1.649618251354104,0.01,0.0807712191710002,PLB1;PLA2G4C;PLA2G4A;PLA2G4E;PLA2G2D
ECM-receptor interaction,1.6482445277912467,0.01,0.07532159474500501,VWF;TNXB;COMP;THBS1;COL6A6;COL4A6;COL4A4;COL9A2;FN1;COL6A3;SDC1;THBS4;COL4A5;COL6A5;COL1A2;COL1A1;COL2A1;THBS2;COL6A2;LAMA2;FREM2;COL9A3;THBS3;LAMA4;HSPG2;LAMB3;COL4A3;ITGA1;LAMC1;TNC;ITGA4;LAMA5;DAG1;ITGA9;FREM1;GP1BA
Intestinal immune network for IgA production,1.627968435206935,0.01,0.08837946106443506,CCR10;CXCR4;CCR9;TNFRSF13C;CD40;TNFRSF17;CCL28;TNFSF13;CXCL12;CD28;IL15
Cell adhesion molecules,1.6234353264144739,0.01,0.08904297053188577,SELL;CLDN2;CLDN19;CDH3;ICAM1;CD22;CDH1;ITGAL;SDC1;OCLN;CD99;SIGLEC1;CD40;CDH5;CLDN5;MPZL1;NLGN2;VCAM1;MPZ;CD28
