Term,NES,NOM p-val,FDR q-val,Lead_genes
Myogenesis,1.8151365860362905,0.01,0.0977828311540648,PTGIS;MYBPC3;HRC;ACTN3;BDKRB2;ATP2A1;TCAP;AEBP1;MYH1;MYH8;SH3BGR;SPHK1;MYH3;COX7A1;LSP1;MYH11;TAGLN;MYH4;DAPK2;ENO3;KCNH2;CASQ1;MYH2;COX6A2;MYOM1;DES;GADD45B;TPM2;IGFBP3;FABP3;MYO1C;MAPK12;EPHB3;CAMK2B;ITGB4;CTF1;MYLK;NQO1;DMPK;ADCY9;KLF5;COL3A1;KIFC3;PFKM;SMTN;BHLHE40;IGFBP7;GAA;VIPR1;MYH7;FKBP1B;PYGM;BIN1;SSPN;NOTCH1;SPEG;TNNC1;PICK1;ACHE;ADAM12;FDPS;MEF2C;GSN;SOD3;PSEN2;PTP4A3;SORBS3;KCNH1;FOXO4;MYL4;OCEL1
Apical Junction,1.717546651581226,0.01,0.07333712336554861,CLDN14;NRAP;MPZL2;ACTN3;NRTN;LAMB3;FLNC;CDH1;CD99;CLDN19;VWF;TSPAN4;MMP9;CDH15;LDLRAP1;CALB2;KCNH2;ICAM1;MVD;MYL9;NLGN2;NRXN2;LAMC2;COL9A1;DMP1;CDSN;GAMT;COL16A1;SDC3;ICAM5;SHC1;WNK4;ATP1A3;TGFBI;SLC30A3;ITGA3;INPPL1;INSIG1;ITGB4;EVL;COL17A1;TAOK2;RAC2;AMH;SRC;TMEM8B;NECTIN4;CD34;CNN2;TNFRSF11B;CLDN11;CADM3;GTF2F1;ADRA1B;BMP1;SPEG;NECTIN2;AMIGO1
Notch Signaling,1.678948545419573,0.025,0.0488914155770324,NOTCH3;FZD7;JAG1;DLL1;APH1A;FZD1;FZD5;DTX1;HEYL;WNT5A;DTX2;KAT2A;LFNG;NOTCH1
Xenobiotic Metabolism,1.61869612015723,0.01,0.036668561682774305,CFB;GSTT2;HES6;XDH;PTGDS;FBLN1;VNN1;TNFRSF1A;SLC1A5;AOX1;BLVRB;NINJ1;DDC;PTGES;GSTA3;EPHX1;APOE;TKFC;RETSAT;PGD;ALDH2;PSMB10;BCAR1;SPINT2;DHPS;DCXR;CYP27A1;ATOH8;CDA;LONP1;CSAD;NQO1;GCH1;PINK1;CAT;DHRS7;ABCC3;FAS;DDAH2;IGFBP4;SLC6A12;AP4B1;ACOX3;TMEM97;RAP1GAP;POR;SMOX;TMEM176B;GSTO1;PYCR1;CNDP2
Epithelial Mesenchymal Transition,1.5841573721241766,0.01,0.03422399090392269,FOXC2;MSX1;COL8A2;FMOD;EMP3;CRLF1;FBLN1;MGP;LUM;TAGLN;LOXL2;PCOLCE;COL7A1;COMP;SPP1;LOXL1;ELN;COL1A2;PLAUR;DCN;SFRP4;THBS2;ECM1;MYL9;CCN1;LAMC2;BGN;GREM1;POSTN;ITGB3;CAPG;GADD45B;TPM2;COL16A1;FN1;IGFBP3;QSOX1;IGFBP2;LAMA1;CCN2;COL5A3;TGFBR3;TGFBI;FZD8;PDLIM4;RHOB;ACTA2;SDC4;MYLK;LRP1;BASP1;COL3A1;ANPEP;FAS;TIMP1;WNT5A;IGFBP4;MAGEE1;APLP1;VIM;PCOLCE2;COL5A1;TNFRSF11B;CD44
Coagulation,1.4939500326000084,0.025,0.08148569262838734,F12;MMP8;CFB;CPN1;TMPRSS6;VWF;MMP9;PF4;F9;COMP;SERPING1;MAFF;C2;ITGB3;RAPGEF3;FN1;SH2B2;LRP1;CSRP1;C1QA;FURIN;TIMP1;CFH;F8;CAPN5;PDGFB;CASP9;BMP1;HTRA1;THBS1;MMP2;GSN
Wnt-beta Catenin Signaling,1.4914150237342287,0.01,0.06984487939576058,WNT6;FRAT1;JAG1;NOTCH4;WNT5B;DLL1;WNT1;JAG2;FZD1;AXIN1;FZD8;KAT2A;NOTCH1;MAML1;HDAC11;NCOR2;PSEN2;AXIN2;NCSTN;LEF1;HDAC5;DVL2
UV Response Up,1.4531002496734624,0.01,0.08555997725980671,CDKN2B;MSX1;BTG2;PDLIM3;JUNB;SULT1A1;CDKN1C;KCNH2;ICAM1;NPTXR;EPHX1;CASP3;IRF1;BID;CYB5R1;H2AX;RFC4;IGFBP2;CLCN2;SPR;MAPK8IP2;CCNE1;POLE3;RHOB;CDC34;FEN1;TCHH;GCH1;GRINA;HYAL2;SQSTM1;FURIN;SLC25A4;SLC6A12;GRPEL1;ATP6V1F;TFRC;HSPA2;WIZ;TYRO3;ALDOA;TGFBRAP1;DLG4;FGF18;KLHDC3;MGAT1;BCL2L11;ENO2;ATF3;PLCL1;CCK;NFKBIA;PDAP1;ALAS1;PSMC3;DGAT1;PRKACA;RXRB;CREG1;PARP2;RRAD;UROD;ARRB2;MRPL23
Apical Surface,1.3954777482894627,0.06666666666666667,0.12222853894258101,IL2RB;PCSK9;SLC2A4;PLAUR;CD160;RHCG;EPHB4;SLC22A12;SULF2;ADIPOR2
IL-2/STAT5 Signaling,1.3479884132067013,0.01,0.1662308129619102,EOMES;SELL;BATF3;SOCS1;TNFRSF18;IL1R2;IL2RB;RHOH;PTGER2;LTB;PTH1R;SLC1A5;AGER;ENO3;SPP1;CDKN1C;ECM1;CASP3;MAFF;PLEC;IL10RA;CAPG;IL3RA;GADD45B;TNFRSF8;KLF6;MYO1C;CCNE1;PLSCR1;NOP2;RHOB;FGL2;PLPP1
Angiogenesis,1.3311954108923036,0.10869565217391304,0.16667528037624682,MSX1;PF4;LUM;SPP1;JAG1;S100A4;POSTN;JAG2
Cholesterol Homeostasis,1.2772290791565217,0.07894736842105263,0.26482850104225886,GPX8;SEMA3B;PLAUR;JAG1;MVD;GSTM2;ANTXR2;PPARG;TM7SF2;MVK;PMVK;PLSCR1;CBS;FBXO6;ATF5;NIBAN1;TMEM97;FASN;LGALS3;ABCA2;ALDOC;ATF3;FDPS;SREBF2
Adipogenesis,1.2740444008496812,0.1,0.2482179560064722,CYP4B1;SLC1A5;UCP2;CDKN2C;PTGER3;SULT1A1;REEP6;PIM3;PFKL;OMD;APOE;CIDEA;SLC5A6;RETSAT;ETFB;ANGPT1;SLC19A1;PPARG;ALDH2;LAMA4;FZD4;STOM;SLC25A10;ADIPOR2;CAVIN1;ESRRA;ESYT1;VEGFB;MYLK;MGST3;CAT;TKT;ACADS;DHRS7;ELMOD3;RAB34;MTARC2;ITIH5;GRPEL1;SNCG;ALDOA;MGLL;MIGA2;PEX14;SSPN;POR;SLC27A1;AGPAT3;ADCY6;COQ5;SLC25A1;TALDO1;TOB1;CAVIN2;PREB;CD151;DGAT1;ABCB8;UQCRC1
Reactive Oxygen Species Pathway,1.2704234343636749,0.14634146341463414,0.23572646796069194,MPO;LSP1;JUNB;TXNRD2;PRDX4;NQO1;FES;CAT
Myc Targets V2,1.240242891635114,0.10526315789473684,0.25912450255827174,MAP3K6;UNG;SORD;EXOSC5;SLC19A1;PPAN;NOP2;CDK4;TBRG4;RRP9;IPO4;FARSA;TMEM97;PUS1;DCTPP1;TCOF1;PES1;HK2;MCM4;DUSP2;PLK1;GRWD1
p53 Pathway,1.233853499940111,0.05555555555555555,0.2505685048322911,OSGIN1;SOCS1;ST14;CDKN2B;BTG2;SPHK1;VDR;ADA;IFI30;NINJ1;CASP1;EPHX1;S100A4;CEBPA;RETSAT;JAG2;PERP;STEAP3;COQ8A;STOM;TAX1BP3;DCXR;IER3;ZBTB16;DDIT4;PRKAB1;AEN;ITGB4;TCHH;RXRA;TXNIP;MKNK2;ACVR1B;FAS;RALGDS;RPL36;GM2A;NUDT15;FOXO3;RNF19B;MXD4;SLC3A2;CTSF;NOTCH1;PHLDA3;PTPN14;MXD1;POM121;POLH;TRAFD1;ATF3;TOB1;PMM1;RAD9A;ABHD4;PDGFA;NUPR1;XPC;ANKRA2;GLS2;IP6K2;PPP1R15A;RRAD;CSRNP2;DDB2
Estrogen Response Late,1.2062438383510825,0.07142857142857142,0.2832826137845701,KCNK5;SCUBE2;ST14;CDH1;S100A9;PDLIM3;ZFP36;PTGER3;SEMA3B;FKBP5;BLVRB;FOXC1;PTGES;LAMC2;GPER1;SLC7A5;GALE;TH;NBL1;CELSR2;OVOL2;SORD;ISG20;GINS2;SGK1;ETFB;LLGL2;PERP;SLC2A8;ITPK1;DCXR;RAPGEFL1
IL-6/JAK/STAT3 Signaling,1.1771686407794464,0.16216216216216217,0.3245846756364096,IL1B;SOCS1;IL1R2;LTB;PF4;TNFRSF1A;IRF1;ITGB3;IL3RA;CRLF2;CD14;IL15RA;ACVR1B;FAS;TLR2;SOCS3;CD44
KRAS Signaling Dn,1.155841197827459,0.08823529411764706,0.3615391520301607,TNNI3;EGF;BTG2;MSH5;WNT16;FGF22;TFAP2B;P2RX6;KRT1;GPRC5C;SLC6A3;CPA2;KCNE2;ZC2HC1C;CELSR2;ATP4A;EDAR;SLC5A5;SCN10A;SGK1;GAMT;NTF3;COQ8A;IGFBP2;KCND1;SLC30A3;ZBTB16;SNN;SNCB;TENM2;PRODH;SIDT1;RIBC2;SPHK2;CLSTN3;CHST2;KLHDC8A;ENTPD7;MYH7;THNSL2;PTGFR;KCNN1;LFNG
DNA Repair,1.1286404576246174,0.13513513513513514,0.4265776009096077,RAD51;SAC3D1;ADA;NME4;POLD1;VPS37D;BCAM;EDF1;CCNO;POLD4;RFC4;HCLS1;LIG1;AAAS;NT5C;CDA;FEN1;COX17;NUDT9;TK2;TAF1C;NELFCD;IMPDH2;ADRM1;GTF2F1;POLA2;ERCC2;NPR2;POM121;ADCY6;POLH;POLR2D;RAD52;TARBP2;GTF2H5;CANT1;XPC;POLR2A;NELFB;RAE1;SURF1;DDB2;DDB1;POLR2C;POLR2E;POLR1D;SF3A3;ELL;ERCC1;SSRP1;SNAPC4;POLL;ELOA;PCNA;RNMT;POLR1C;DUT;APRT;NME3;POLA1;RFC5
Hypoxia,1.1279760208153569,0.25,0.4074284631419367,PGF;DUSP1;ALDOB;GALK1;ZFP36;ENO3;CDKN1C;HS3ST1;PLAUR;DCN;SLC2A1;PFKL;CCN1;S100A4;NAGK;MAFF;BGN;ISG20;IGFBP3;CXCR4;SDC3;HK1;TPST2;B3GALT6;CCN2;ADM;KLF6;TGFBI;EFNA3;IER3;DDIT4;SELENBP1;DPYSL4;NDST2;CAVIN1;SDC4;BHLHE40;FOXO3;GPC4;GAA;PGK1;CHST2;COL5A1;PDGFB;ALDOA;PYGM;ILVBL;ANKZF1;EXT1;BCAN;CITED2;ALDOC;PIM1;SLC25A1;GPC1;ENO2;ATF3;SLC37A4;SLC6A6;SULT2B1
heme Metabolism,1.1088783853323536,0.14285714285714285,0.45002325701586643,SLC4A1;ALAS2;BTG2;UCP2;BLVRB;SLC2A1;HTRA2;BCAM;IGSF3;SEC14L1;SLC6A9;PGLS;SELENBP1;GYPC;ABCG2;MGST3;CAT;HDGF;OSBP2;TNS1;NARF;ALDH1L1;FOXO3;ENDOD1;PPP2R5B;SPTB;NFE2L1;TFRC;ACP5;RAP1GAP;SMOX;ANK1;FN3K;HMBS;SLC30A1;RAD23A;KHNYN;FBXO34;MYL4;PPOX;LRP10;TMCC2;PDZK1IP1;EZH1;UROD;HTATIP2;CIR1;CAST;ATP6V0A1;HAGH;ABCB6;FECH;PSMD9;RBM38;SLC6A8;CPOX;MFHAS1;PIGQ;SLC10A3;MOCOS;MINPP1;RNF123;ADD2;DCAF11;ALAD
Allograft Rejection,1.1072123335547837,0.18421052631578946,0.4325827421706998,IL18RAP;IL1B;SOCS1;CD79A;IL2RB;MAP4K1;LTB;MMP9;PF4;CD7;CD74;KRT1;NCF4;ICAM1;STAT4;BCL3;TRAT1;C2;STAB1;ITGAL;IL27RA;CAPG;HCLS1;PSMB10
KRAS Signaling Up,1.0652071670492873,0.2894736842105263,0.5479912829259049,MPZL2;IL1B;CFB;HKDC1;KCNN4;MAP4K1;FLT4;TLR8;MMP9;CBX8;ALDH1A2;SEMA3B;IL7R;SPP1;PLAUR;F13A1;CIDEA;IL10RA;NGF;ADGRA2;PSMB8;IGFBP3;IGF2;CXCR4;ACE;PCSK1N;PLVAP;IL1RL2
Glycolysis,1.0644671950485651,0.3076923076923077,0.5299829448550312,CDK1;ARTN;ALDOB;GALK1;CLN6;DCN;GALE;PFKFB1;ISG20;PKM;IGFBP3;QSOX1;CXCR4;CHST12;SDC3;B3GALT6;PGLS;TGFBI;EFNA3;IER3;DDIT4;DPYSL4;SLC25A10;NOL3;CHPF2;NDUFV3;RBCK1;EGLN3;B4GALT7;GPC4;STMN1;PGK1;CHST2;CAPN5;COL5A1;B3GAT3;CHPF;HMMR;B4GALT2;CD44;ALDOA;PGAM1;ANKZF1;EXT1;MERTK;CITED2;GOT2;TALDO1;GPC1;ENO2;SLC16A3;SLC37A4;CHST1;HK2;XYLT2;CTH;B3GNT3;LCT;MET;GNE;EXT2
Estrogen Response Early,1.0284464241407256,0.40540540540540543,0.6402895001530591,KCNK5;TSKU;P2RY2;PDLIM3;GREB1;SEMA3B;FKBP5;BLVRB;TTC39A;CALB2;FOXC1;PTGES;SLC2A1;SLC7A5;NBL1;CELSR2;OVOL2;THSD4;SYNGR1;ITPK1;RAPGEFL1;FHL2;AKAP1;ASB13;ABHD2;SLC39A6;CYP26B1;ADCY9;TIAM1;BHLHE40;IGFBP4;MAST4;TBC1D30;MREG;ENDOD1;ARL3;MYOF;FASN;CD44;HR
TGF-beta Signaling,0.9975315041982721,0.47619047619047616,0.7297496473164466,CDH1;SMAD6;LTBP2;JUNB;CDKN1C;NOG
Complement,0.9844141701810455,0.4444444444444444,0.7569438804515553,MMP13;MMP8;CFB;TMPRSS6;PCSK9;S100A9;CEBPB;PLAUR;NOTCH4;CASP1;CASP3;SERPING1;CPM;IRF1;MAFF;C2
Inflammatory Response,0.9636461395496089,0.55,0.8100801787849681,IL18RAP;SELL;IL1B;IL2RB;P2RY2;PTGER2;BTG2;SPHK1;EMP3;MSR1;CYBB;IL7R;PLAUR;PTGER4;ICAM1;IRF1;CCL17;STAB1;IL10RA;ITGB3
