Term,NES,NOM p-val,FDR q-val,Lead_genes
Selenocompound metabolism,1.685348164436148,0.02127659574468085,1.0,INMT;TXNRD3;TXNRD2;PSTK
Phototransduction,-1.6503608706482418,0.01,0.2550611670455776,RHO;GUCA1B;RGS9;GUCY2F;RCVRN
Basal cell carcinoma,1.6448340259698668,0.01,0.7609424786181452,BMP4;WNT4;GLI1;WNT9A;WNT16;FZD9;WNT3;FZD7;WNT10B;WNT6;WNT5B;APC2;FZD2;WNT1;GADD45B;WNT7B;FZD4;FZD10;FZD1;FZD5;AXIN1;FZD8
Wnt signaling pathway,1.6349374024565597,0.01,0.5614064508916093,ROR2;WNT4;WNT9A;WNT16;NOTUM;NKD2;FZD9;WNT3;FZD7;WNT10B;NFATC4;WNT6;SFRP5;FRAT1;WNT5B;SFRP4;APC2;FZD2;WNT1;LGR5;PRICKLE4;WNT7B;FZD4;FZD10;FZD1;FZD5;CAMK2G;AXIN1;RSPO3;FZD8;CAMK2B;SERPINF1;FRAT2;RAC2;WNT5A;TLE3;GPC4;CBY1;LGR6;FOSL1;VANGL2
IL-17 signaling pathway,1.6299655381945117,0.01,0.4312007378836156,MMP13;IL1B;LCN2;IL17RE;S100A9;MMP9;CEBPB;CASP3;MAPK7;CCL17;IKBKE;IL17RC
Complement and coagulation cascades,1.608140002518919,0.01,0.4180110682542344,F12;CFB;BDKRB2;VWF;F9;PLAUR;SERPING1;MASP1;C2;F13A1;C7
Breast cancer,1.594945854790547,0.01,0.37878025602325455,EGF;FLT4;WNT4;WNT9A;WNT16;FGF22;NOTCH3;FZD9;WNT3;ERBB2;FZD7;WNT10B;WNT6;FRAT1;JAG1;NOTCH4;WNT5B;DLL4;APC2;FZD2;DLL1;WNT1;ESR2;JAG2;GADD45B;WNT7B;SHC2;FZD4;FZD10;FZD1;E2F1;SHC1;FZD5;FGF7;AXIN1;HEYL;FZD8;PIK3R2;CDK4;FRAT2;PIK3CD
Cytokine-cytokine receptor interaction,1.5901007458705732,0.01,0.35945473275676193,CXCR2;BMP15;TNFRSF13C;IL18RAP;IL1B;BMP4;TNFRSF18;IL1R2;IL17RE;CCL8;IL2RB;LTB;PF4;TNFRSF1A;GDF9;BMP7;NODAL;IL7R;BMP5;TNFRSF10B;CCL17;MPL;EDAR;IL10RA;NGF;IL27RA;IL17RC;IL3RA;CXCR4;TNFRSF8;IL1RL2;CRLF2;CCR2;RELT;BMP3;CTF1;GDF1;IL15RA;TNFRSF11A;ACVR1B;TNFSF8;IL20RB;FAS;AMH;ACVR2B
Protein digestion and absorption,1.5871272965625236,0.01,0.31705936609089386,CPA3;KCNK5;SLC36A2;KCNN4;COL8A2;COL13A1;SLC1A5;COL9A2;COL7A1;ELN;COL1A2;SLC8A2;CPA2;COL9A1;COL26A1;COL9A3;COL16A1;SLC16A10;COL5A3;SLC9A3;ATP1A3;COL4A6;CTRL;SLC7A8;KCNJ13;COL17A1;COL3A1;ATP1A1
Leukocyte transendothelial migration,1.579445082553963,0.01,0.29761305830398566,CLDN14;CLDN23;RHOH;CD99;CLDN19;MMP9;CYBB;NCF4;ICAM1;MYL9;ITGAL;RAPGEF3;CXCR4;BCAR1;MAPK12;ITK;PIK3R2;NCF1;PIK3CD;ESAM;F11R;RAC2
Glycosaminoglycan degradation,1.5482690929215035,0.0196078431372549,0.3368438705349656,HYAL1;SGSH;NAGLU;HYAL3;HYAL2;GNS;GALNS;HGSNAT;GLB1;ARSB
mTOR signaling pathway,1.540724643054528,0.01,0.335737045111521,WNT4;WNT9A;WNT16;TNFRSF1A;LPIN3;FZD9;WNT3;FZD7;WNT10B;WNT6;PRR5;WNT5B;SESN2;SLC7A5;LAMTOR2;FZD2;WNT1;EIF4EBP1;SGK1;WNT7B;FZD4;FZD10;FZD1;STRADA;FZD5;STK11;DDIT4;GRB10;FZD8;PIK3R2;PIK3CD;RPTOR;ATP6V1G1;WNT5A;EIF4B;ATP6V1F
Inflammatory bowel disease,1.5267430311192813,0.03333333333333333,0.3398876404494382,TBX21;IL18RAP;IL1B
Drug metabolism,1.5243333521959639,0.01,0.31998606793173284,FMO4;GSTT2;FMO2;MPO;XDH;AOX1;NME4;GSTA3;GSTM2;GSTP1;UGT1A5;NAT2;CDA;MGST3;NME2;TK2;UGT1A8;UGT1A10;UGT1A9;UGT1A1;IMPDH2;GSTM1
Inflammatory mediator regulation of TRP channels,1.521006047180245,0.01,0.30292757720227115,IL1B;TRPA1;BDKRB2;PLA2G4E;P2RY2;PTGER2;ITPR3;PTGER4;ALOX12;NGF;ADCY8;ASIC2;CAMK2G;MAPK12;CAMK2B;PIK3R2;PIK3CD;ADCY9;SRC
Human papillomavirus infection,1.5141755944172053,0.01,0.3111409245905305,LAMB3;EGF;ITGB7;CREB3L3;TNXB;HES6;VWF;WNT4;WNT9A;WNT16;RBPJL;TNFRSF1A;NOTCH3;FZD9;WNT3;COL9A2;FZD7;WNT10B;COMP;SPP1;WNT6;MFNG;TERT;COL1A2;JAG1;NOTCH4;WNT5B;PTGER4;THBS2;CASP3;LAMC2;COL9A1;IRF1;LAMB2;APC2;TADA3;FZD2;WNT1;ITGB3;IKBKE;PKM;EIF4EBP1;LLGL2;LAMC3;COL9A3;FN1;ITGA2B;WNT7B;LAMA4;FZD4;FZD10;LAMA1;FZD1;E2F1;FZD5;AXIN1;ITGA3;HEYL;LAMA5;COL4A6;CCNE1;FZD8;TUBG2;PIK3R2;ITGB4;CDK4
Hypertrophic cardiomyopathy,1.5054611986542465,0.01,0.32086407848398457,MYBPC3;TNNI3;ATP2A1;ITGB7;CACNG6;SLC8A2;ITGB3;CACNG8;DES;TPM2;ITGA2B;LAMA1;ACE;CACNA2D4;ITGA3;PRKAB1;LMNA;ITGB4
Focal adhesion,1.494685018281206,0.01,0.31870061457418786,MYLK4;LAMB3;EGF;ITGB7;TNXB;FLNC;VEGFD;VWF;FLT4;PGF;MYLK3;COL9A2;ERBB2;COMP;SPP1;COL1A2;THBS2;MYL9;LAMC2;COL9A1;LAMB2;ITGB3;LAMC3;COL9A3;FN1;ITGA2B;LAMA4;SHC2;LAMA1;BCAR1;PIP5K1C;SHC1;PAK6;ITGA3;LAMA5;COL4A6;PIK3R2;VEGFB;ITGB4;MYLK;PIK3CD;RAC2;PAK5;SRC;THBS4
Gastric acid secretion,1.4926151045410099,0.02702702702702703,0.3088862802094397,MYLK4;SLC9A4;SLC26A7;MYLK3;ITPR3;KCNE2;ATP4A;ADCY8;CAMK2G;ATP1A3;SLC9A1;SLC4A2;CAMK2B;MYLK;ADCY9;ATP1A1;CALML4;CHRM3;PRKCG;ADCY7;ADCY6
ECM-receptor interaction,1.4831024312354821,0.01,0.3236008014334007,LAMB3;ITGB7;TNXB;VWF;COL9A2;COMP;SPP1;COL1A2;THBS2;LAMC2;COL9A1;LAMB2;DMP1;ITGB3;LAMC3;COL9A3;FN1;HSPG2;ITGA2B;LAMA4;LAMA1;ITGA3;LAMA5;COL4A6;GP5;ITGB4;SDC4
