Term,NES,NOM p-val,FDR q-val,Lead_genes
Oxidative Phosphorylation,1.9161093693637026,0.01,0.01,COX17;NDUFA2;NDUFB3;HTRA2;NDUFC2;TIMM13;TIMM10;ETFB;COX5B;UQCRB;NDUFS6;NDUFB6;GRPEL1;NDUFB8;SLC25A4;NDUFA5;NDUFA3;COX5A;ATP6V1F;ATP6V1G1;NDUFB1;COX6A1;TIMM8B;NDUFA1;COX8A;MRPS12;SURF1;POLR2F;NDUFB4;NDUFA8;SDHD;BAX;IDH3B;UQCR10;NDUFA7;COX7C;AIFM1;ATP5PB;UQCR11;ATP6V0B;UQCRQ;NDUFV1;SLC25A5;SDHA;MGST3;MRPL34;COX6B1;ALAS1;COX7B;RETSAT;HSD17B10;CYCS;NDUFS3;UQCRFS1;AFG3L2;ATP6V1E1;COX15;MTX2;COX6C;ATP6V1D;UQCRC1;SUCLG1;TIMM17A;NDUFB7;CYC1;LDHB;NDUFA6;UQCRH;NDUFS2;NDUFA9;VDAC1;CYB5R3;SLC25A12;MDH1;ACAA2;MRPL11;NDUFS1;COX7A2L;ATP6V0C;NDUFA4;POR;LDHA;MFN2;FXN;SUCLA2;NDUFS4;TIMM9;PDHX;HSPA9;SLC25A11;NDUFS7;COX4I1;VDAC2;MRPL15;SDHC;SUPV3L1;GOT2;MDH2;FDX1;ATP1B1;BCKDHA;ACADVL;NDUFAB1;PDHA1;NDUFV2;PHB2;NDUFB2;NDUFC1;SLC25A3
TNF-alpha Signaling via NF-kB,-1.8830113909293806,0.01,0.01,FOS;EGR1;NR4A3;FOSL2;FOSB;IL1A;NR4A1;DUSP4;TRAF1;KLF10;CXCL10;PTGS2;JUNB;TIPARP;ABCA1;NFIL3;KLF4;INHBA;EGR3;DDX58;IRS2;PFKFB3;MAP3K8;TGIF1;ATF3;TRIB1;SIK1;F2RL1;TNFSF9;CCRL2;NFE2L2;NFAT5;BCL6;CLCF1;CD80;BHLHE40;GPR183;PHLDA1;SERPINE1;ACKR3;GADD45A;KDM6B;DUSP5;EGR2;VEGFA;PDLIM5;TNFAIP8;SAT1;CDKN1A;BCL3;CFLAR;F3;DRAM1;REL;NR4A2;LIF;TNC;FUT4;PLPP3
DNA Repair,1.794069334435097,0.01,0.01,ADA;COX17;EDF1;SAC3D1;RAD51;NME3;POLD4;VPS37D;NME4;GTF2H5;FEN1;GTF2H3;NUDT9;POLD1;POLR2D;NELFCD;BOLA2;AAAS;LIG1;HCLS1;ADRM1;SURF1;POLR2F;POLR1D;TK2;NME1;CCNO;POLR2G;POLR2I;DUT;RFC4;POLR2E;POLR2H;NT5C;MPC2;POLL;GTF2F1;BCAM;POLR2C;POLR2K;POLA2;IMPDH2;RFC5;POLR2J;MRPL40;DGUOK;AK1;DDB2;PRIM1;PCNA;SNAPC5;CMPK2;ERCC1;POLR1C;BCAP31;RPA2;ZNRD1;GMPR2;VPS28;MPG;CETN2;SSRP1;TARBP2;NELFB;NELFE;GUK1;POLA1;RAD52;SF3A3;DDB1;NPR2;RFC3;ITPA;POLH;XPC;ERCC3;TAF13;DAD1;ELOA
Interferon Gamma Response,-1.7301932986101611,0.01,0.01,SELP;BATF2;RSAD2;IFIT1;CASP4;GBP6;OAS2;RNF213;CXCL10;PTGS2;ZBP1;CSF2RB;SAMD9L;RTP4;DDX58;PLA2G4A;UPP1;JAK2;HELZ2;IFI44;TRIM14;IRF9;EIF2AK2;LCP2;SERPING1;IL15;PARP14;USP18;MX2;CD38;IFIT3;SP110;CDKN1A;B2M;PTPN2;IRF2;VCAM1;PTPN1;PELI1;GBP4;IRF7;SPPL2A;CFH;CD86;PNPT1;ST8SIA4;TRIM25;IFITM3;CMKLR1;ARID5B;SLAMF7;LATS2;PSMB9;FGL2;IFIH1;OAS3;ISG15;IL18BP;XAF1;LGALS3BP;STAT1;VAMP5;RIPK1;NCOA3
Reactive Oxygen Species Pathway,1.66111369684226,0.01,0.03668430335097002,MPO;LSP1;NQO1;TXNRD2;NDUFB4;PDLIM1;GLRX;SELENOS;HHEX;SOD1;PRDX4;SRXN1;HMOX2;CDKN2D;MSRA;NDUFA6;NDUFS2;PTPA
Inflammatory Response,-1.577319403678199,0.01,0.02315112540192926,SELE;IL1A;NLRP3;HAS2;MSR1;CXCL10;ADORA2B;TLR1;ABCA1;C5AR1;GNA15;RTP4;TLR3;INHBA;CCL17;MMP14;ADGRE1;HRH1;PDPN;TNFSF9;CCRL2;PVR;PTAFR;EIF2AK2;CSF3R;GPR183;LCP2;TIMP1;IL15;SERPINE1;LPAR1;SLC7A2;OSMR;NDP;LYN;LCK;MET;CALCRL;SLC1A2;C3AR1;ITGB8;CDKN1A;F3;IRF7;IFITM1;SGMS2;GNAI3;LIF;CMKLR1;P2RX7;IRAK2;TACR1;PSEN1;IL18
Myc Targets V2,1.5177998040366598,0.027777777777777776,0.07222222222222222,UNG;MAP3K6;DCTPP1;DUSP2;RRP9;SORD;FARSA;CDK4;SLC19A1;EXOSC5;PUS1;PLK4;RCL1;NOP2;PPAN;NOP16;PES1;NPM1;TMEM97;HSPD1;MRTO4;MCM5;HSPE1;TBRG4;PRMT3;IPO4
UV Response Dn,-1.441393690048344,0.01,0.09067524115755628,HAS2;BDNF;PTGFR;ADORA2B;NRP1;SLC22A18;CAV1;RND3;DAB2;RBPMS;RASA2;COL3A1;RUNX1;NIPBL;DDAH1;BHLHE40;PRDM2;TJP1;SERPINE1;LPAR1;PDLIM5;MET;BMPR1A;LTBP1;GRK5;FBLN5;SYNJ2;F3;NOTCH2;CDK13;SDC2;INPP4B;ZMIZ1;GJA1;CDON;MMP16;PLPP3;SCHIP1;NR3C1;SMAD3;MGMT;ICA1;ATRX;PHF3;ATXN1;SNAI2;KCNMA1;DUSP1;YTHDC1;DLG1;TGFBR2;VLDLR;GCNT1;MAPK14;SCAF8;TOGARAM1;ANXA2;ACVR2A;CELF2;PIK3R3;EFEMP1;SYNE1;ATP2B4;SRI;ABCC1;NEK7;ATP2C1
TGF-beta Signaling,-1.4181934598495325,0.0847457627118644,0.0987781350482315,KLF10;JUNB;TGIF1;TGFB1;ENG;WWTR1;TJP1;SERPINE1;APC;TGFBR1;BMPR1A;HIPK2;BMPR2;LEFTY2;SMURF2;SMAD3;TRIM33;LTBP2;SKIL;ID3;MAP3K7;XIAP;CDH1;SKI;RHOA;SLC20A1;ARID4B
Fatty Acid Metabolism,1.3295789723254454,0.029411764705882353,0.25312169312169314,INMT;TDO2;G0S2;CBR3;CIDEA;MCEE;ENO3;VNN1;EPHX1;UROD;PCBD1;CCDC58;APEX1;SDHD;BPHL;IDH3B;ACSL5;MLYCD;ERP29;ALDOA;SDHA;REEP6;CBR1;ADSL;S100A10;DHCR24;H2AZ1;ACAT2;GPD1;GRHPR;RETSAT;HSD17B10;AUH;UROS;ENO2;EHHADH;ADIPOR2;SUCLG1;GABARAPL1;ALDH1A1;GCDH;YWHAH;MIF;AOC3;MDH1;ACAA2;HSD17B7
