Term,NES,NOM p-val,FDR q-val,Lead_genes
Oxidative phosphorylation,2.208901268879856,0.01,0.01,COX7A1;COX6A2;ATP12A;COX17;NDUFA2;NDUFB3;NDUFC2;COX5B;ATP4A;UQCRB;NDUFS6;NDUFB6;NDUFV3;NDUFB8;NDUFA5;NDUFA3;COX5A;ATP6V1F;ATP6V1G1;NDUFB1;COX6A1;NDUFA1;COX8A;ATP6V1C2;NDUFB4;NDUFA8;NDUFB10;NDUFS5;SDHD;UQCR10;NDUFA7;COX7C;ATP5PB;UQCR11;ATP6V0B;UQCRQ;NDUFV1;SDHA;NDUFA11;NDUFB9;COX6B1;COX7B;ATP6V0E2;NDUFA13;PPA2;NDUFS3;UQCRFS1;ATP6V1E1;NDUFA4L2;COX15;COX6C;ATP6V1D;UQCRC1;NDUFB7;CYC1;NDUFA6;UQCRH;NDUFS2;NDUFA9;NDUFS1;COX7A2L;ATP6V0C;NDUFA4;NDUFS4;NDUFA10;NDUFS7;ATP6V1B2;COX4I1
Ribosome,2.025113653495785,0.01,0.01,MRPL2;RPL38;RPL36;RPL11;RPS28;MRPS21;RPS29;RPL23;MRPS5;MRPL21;RPL28;MRPS12;RPL22L1;MRPL27;RPLP2;RPL41;RPL8;MRPL22;RPS9;RPL36AL;RPS18;RPL35A;RPL36A;RPL37;MRPL28;RPL7A;RPS15;MRPL36;MRPL16;RPS3;MRPL23;MRPL34;MRPL20;RPS23;RPL15;RPL27A;RPS16;MRPL17;RPS17;RPL37A;MRPS18C;RPS10;RPL21;MRPL12;MRPS16;RPL10A;RPS13;RPL13A;UBA52;MRPL11;MRPL4;RPL30;RPS6;FAU;RPS26;RPS20;MRPL32;MRPL9;MRPL13;MRPL15;RPL6;RPS21;RPL13;RPL31
Leishmaniasis,-1.7821298174613884,0.01,0.08467541092478831,FOS;IL1A;PTGS2;NOS2;TGFB1;C3;JAK2;ITGA4;TLR4;TAB2;ITGAM;IRAK4;TRAF6;CR1L;IL12A;TGFB2;TGFB3
Malaria,-1.7754503925873548,0.01,0.0517460844540373,SELP;SELE;CD36;TGFB1;COMP;GYPC;TLR4;PECAM1;MET;VCAM1;SDC2;CR1L;IL12A;TGFB2;TGFB3;IL18;SDC1
Parkinson disease,1.7347576278817214,0.01,0.13040304922552914,COX7A1;COX6A2;NDUFA2;NDUFB3;KLC3;SLC6A3;SEM1;HTRA2;NDUFC2;TH;COX5B;ADORA2A;UQCRB;NDUFS6;NDUFB6;NDUFV3;NDUFB8;SLC25A4;NDUFA5;PARK7;PSMB5;NDUFA3;COX5A;NDUFB1;COX6A1;NDUFA1;COX8A;CAMK2G;ADRM1;EIF2AK3;NDUFB4;NDUFA8;NDUFB10;NDUFS5;KLC2;CAMK2B;UBB;SDHD;BAX;PSMB7;UQCR10;NDUFA7;COX7C;ATP5PB;TUBB3;UQCR11;UQCRQ;KLC1;NDUFV1;SLC25A5;SDHA;SNCA;UBC;TUBA8;NDUFA11;NDUFB9;COX6B1;COX7B;NDUFA13;CYCS;PSMC2;NDUFS3;CASP3;UQCRFS1;PSMD6;CASP9;NDUFA4L2;UCHL1;PSMA4;PRKACA;PSMB4;COX6C;UQCRC1;PSMB6;PINK1;NDUFB7;UBE2G2;TRAP1;CYC1;NDUFA6;UQCRH;NDUFS2;NDUFA9;VDAC1;PSMC4;TUBB4B;UBA52;PSMA2;PSMD9;NDUFS1;PSMC3;COX7A2L;DAXX;PSMB1;NDUFA4;BCL2L1;PSMD13;MFN2;NDUFS4;PSMB3;NDUFA10;NDUFS7;PSMD2;COX4I1;VDAC2;CALML4;PSMD7;PSMD4;PSMC1;SDHC;CALM3;PSMA7
Diabetic cardiomyopathy,1.724899399517578,0.01,0.10866920768794096,COX7A1;MMP9;COX6A2;NDUFA2;NDUFB3;RAC2;TNNI3;NDUFC2;COL1A1;COX5B;UQCRB;NDUFS6;NDUFB6;NDUFV3;ATP2A1;NDUFB8;SLC25A4;NDUFA5;GFPT2;NDUFA3;COX5A;COL1A2;NDUFB1;COX6A1;NDUFA1;COX8A;CAMK2G;NDUFB4;NDUFA8;SLC2A4;NDUFB10;NDUFS5;CAMK2B;SDHD;UQCR10;NDUFA7;COX7C;ATP5PB;CYBB;UQCR11;UQCRQ;NDUFV1;SLC25A5;MPC2;SDHA;NDUFA11;NDUFB9;COX6B1;COX7B;NDUFA13;NDUFS3;UQCRFS1;TBC1D4;ACE;PARP1;NDUFA4L2;CYBA;COX6C;MAPK13;UQCRC1;PPP1CA;NDUFB7;CYC1;NDUFA6;UQCRH;NDUFS2;NDUFA9;VDAC1;PTPA;NDUFS1;SLC2A1;COX7A2L;PPP1CC;NDUFA4;GAPDH;AKT1;NDUFS4;NDUFA10;NDUFS7;COX4I1;PLCB2;VDAC2
Proteasome,1.713569854113846,0.018518518518518517,0.0999756710729057,SEM1;PSMB5;PSMB10;ADRM1;PSMB7;PSMF1;PSMC2;PSMD6;PSMA4;PSMB4;PSMB6;POMP;PSMC4;PSMA2;PSMD9;PSMC3;PSMB1;PSMD13;PSMB3;PSMD2;PSMD7;PSMD4;PSMC1;PSMA7;PSMB2;PSMD8;PSMA5;PSMD3;PSME2;PSMC5;PSMA6
Pertussis,-1.708831839168036,0.01,0.08781153725533603,FOS;IL1A;CXCL5;NLRP3;NOS2;LY96;C4A;C3;SERPING1;TIRAP;C4B;PYCARD;TLR4;ITGAM;IRAK4;C2;TRAF6;GNAI3;IL12A
RNA polymerase,1.6997358478586115,0.01,0.09599113345768118,POLR2L;POLR2D;POLR2F;POLR1D;POLR2G;POLR2I;POLR2E;POLR2H;POLR2C;POLR2K;POLR3E;POLR3B;POLR2J;POLR3D;POLR3H;POLR3K;POLR1C
Thermogenesis,1.694005325109437,0.01,0.08693536615035277,BMP8B;COX7A1;COX6A2;CREB3L4;CREB3L3;COX17;NDUFA2;NDUFB3;NDUFC2;NDUFAF8;ADRB3;COX5B;UQCRB;NDUFS6;NDUFB6;NDUFV3;NDUFAF2;NDUFB8;PPARG;NDUFA5;NDUFA3;COX5A;PNPLA2;NDUFB1;COX6A1;NDUFA1;COX8A;COA3;NDUFB4;NDUFA8;NDUFB10;NDUFS5;COX20;SDHD;UQCR10;ACSL5;NDUFA7;COX7C;ATP5PB;UQCR11;NDUFAF3;PRKAB1;COX14;UQCRQ;NDUFV1;SDHA;NDUFA11;NDUFB9;COX6B1;COX7B;NDUFA13;NDUFS3;UQCRFS1;SLC25A29;NDUFA4L2;KLB;COA7;PRKACA;COX15;COX6C;MAPK13;UQCRC1;NDUFB7;CYC1;NDUFA6;UQCRH;NDUFS2;NDUFA9;COA6;GRB2;NDUFS1;RPS6;COX7A2L;NPR1;NDUFAF7;NDUFAF5;NDUFA4;COA4;ADCY9;NDUFS4;RPTOR;NDUFA10;NDUFS7;COX4I1
