Term,NES,NOM p-val,FDR q-val,Lead_genes
Oxidative Phosphorylation,2.619139397801867,0.01,0.01,NDUFS7;TIMM10;CASP7;MRPS12;TIMM13;ECH1;POLR2F;NDUFS8;UQCR11;HSD17B10;MGST3;NDUFA2;MRPS11;UQCRQ;COX17;UQCR10;BDH2;TIMM8B;MRPL34;NDUFB1;TIMM50;NDUFC1;ATP6V0B;LDHA;NDUFA7;SDHB;NDUFC2;COX7B;COX7C;NDUFA6;NDUFV2;COX6B1;NDUFB2;NDUFA8;ATP6V1F;NDUFA1;NDUFB7;NDUFA4;GPX4;CYC1;COX6A1;COX5A;NDUFS4;BAX;MRPS15;COX4I1;NDUFA5;ATP6V0C;UQCRC1;COX5B;NDUFB6;ALAS1;COX6C;TIMM17A;MTX2;IDH3G;UQCRB;COX8A;COX7A2;ECI1;COX11;ISCU;FDX1;ETFB;IDH3B;HTRA2;MDH2;POR;ATP5PB;NDUFB8;NDUFS3;MDH1;NDUFB5;BCKDHA;SLC25A3;LDHB;SUCLG1;ATP6V1E1;NDUFA3;NDUFB4;MPC1;ATP6V1D;VDAC3;NDUFAB1;PRDX3;MRPL15;UQCRH;SLC25A4;NDUFA9;TOMM22;CYCS;MRPL11;SDHD;CYB5A;NDUFS6;ATP6V1H;HADHB;ATP6V1G1;NDUFV1;PDHB;ACADVL;UQCRC2;UQCRFS1;GRPEL1;MRPS30;SLC25A11;SURF1;NDUFB3
Interferon Gamma Response,-1.9206649297955865,0.01,0.01,CXCL9;CCL5;ZBP1;CXCL10;GBP4;NLRC5;FPR1;IL15;RSAD2;CD40;CD274;PARP14;USP18;CMKLR1;TNFSF10;DDX60;LCP2;CFB;DHX58;IL2RB;ITGB7;FGL2;RTP4;GBP6;CSF2RB;IFIH1;IRF1;IL10RA;CD74;STAT4;NCOA3;EPSTI1;TRIM25;CD86;OAS2;RNF213;ST8SIA4;SAMD9L;IFI30;SAMHD1;P2RY14;TAP1;AUTS2;NFKB1;NFKBIA;PSMB8;LGALS3BP;STAT1;IRF8;SPPL2A;CFH;HELZ2;CASP8;SERPING1;IFIT1;ARID5B;SSPN;NUP93
DNA Repair,1.906602662259842,0.01,0.01,NME4;ADA;CDA;RFC4;APRT;TAF10;RFC5;CCNO;SAC3D1;NME1;POLR2F;EDF1;BOLA2;MPC2;COX17;POLR2G;RPA3;POLR2I;POLR2J;ADRM1;NT5C;POLR2E;DUT;VPS28;NELFE;POLR2C;DAD1;ITPA;POLR2K;GPX4;SNAPC5;NME3;POLE4;RFC2;GTF3C5;CETN2;BRF2;PCNA;EIF1B;FEN1;DGUOK;PNP;POLD4;POLR1D;AK1;BCAP31;GTF2H3;TK2;GUK1;GTF2B;TARBP2;POLB;CLP1;VPS37D;ZWINT;AAAS;NELFB;NUDT9;GTF2H5;RBX1;ZNRD1;NELFCD;SURF1;TAF13;GTF2F1;HCLS1
Myc Targets V1,1.8479630494896837,0.01,0.01,RFC4;CDC45;NME1;SNRPA;PSMB3;SRM;SNRPD2;MRPL23;LSM7;NHP2;LDHA;PSMC4;DUT;MRPS18B;POLD2;RPL18;PSMA7;ERH;RPS2;CYC1;COX5A;RRP9;RANBP1;PSMD3;NOP16;U2AF1;RPS5;PCBP1;RACK1;PSMD8;RPL6;PCNA;PSMA2;PSMA1;PPIA;PSMA6;PSMD14;SNRPD3;EIF2S1;PSMC6;SLC25A3;MCM6;TUFM;SNRPG;RPLP0;PHB;CCT7;MCM5;PSMB2;HSPE1;VDAC3;NDUFAB1;RPL14;CLNS1A;PSMA4;PSMD7;COPS5;C1QBP;H2AZ1;FBL;PRDX3;TXNL4A;RPL34;MAD2L1;HSP90AB1;CCT3;RAN;HDDC2;CAD;RPS10;PGK1;MCM7;ACP1;RNPS1;RPS6;GOT2;BUB3;RSL1D1;CCT2;EEF1B2;ODC1;SNRPA1;PTGES3;LSM2;PPM1G;RPS3;SSBP1;PHB2;AIMP2;CNBP;TRIM28;SNRPD1;XRCC6;YWHAQ;ILF2;EIF4A1;UBE2E1;EIF3D;HNRNPC;IMPDH2;CCT5;APEX1;MYC;VDAC1;CDK4;SRSF3
Allograft Rejection,-1.8371901260350259,0.01,0.01,CXCL9;CCL5;IL11;PTPRC;IL27RA;IL15;CCR5;CD40;CCR2;C2;NCF4;ITK;LY75;LCP2;ITGAL;IL2RB;NOS2;CD247;TGFB2;CD80;FCGR2B;ETS1;CD74;INHBB;TGFB1;STAT4;LYN;GBP2;CCND2;BRCA1;CD86;MAP4K1;ITGB2;ST8SIA4;IL2RG;IL16;WAS;FLNA;CTSS;TAP1;SPI1;GCNT1
Fatty Acid Metabolism,1.8166197896854364,0.01,0.01,INMT;TDO2;CD36;LTC4S;MIF;G0S2;MLYCD;ECH1;HSD17B10;ACOT8;GPD1;CCDC58;GRHPR;ALDH3A1;LDHA;S100A10;ALDOA;CIDEA;BPHL;AUH;ACSM3;BLVRA;MCEE;IDH3G;ECI1;LGALS1;IDH3B;MDH2;OSTC;ERP29;MDH1;BCKDHB;ALAD;AOC3;CBR1;SUCLG1;ADSL;NTHL1;H2AZ1;GABARAPL1;ACAT2;SDHD;NSDHL;ENO2;HADHB;YWHAH;PDHB;ACADVL;HMGCL;UROD;PSME1;ECI2;HSD17B7;ODC1;FASN;DHCR24;UROS;RDH11;HIBCH;HSP90AA1;ACADS;HSPH1;GSTZ1;REEP6;ACAA2
Inflammatory Response,-1.760862022351587,0.01,0.01,CXCL9;CCL5;IL7R;CXCL10;MSR1;CYBB;FPR1;IL15;CD40;NOD2;ADM;TACR3;CMKLR1;TNFSF10;LCP2;AQP9;IL2RB;SGMS2;RTP4;IL1A;EDN1;ABCA1;PTGER2;IRF1;IL10RA;CALCRL;PTAFR;LYN;TNFRSF9;GNA15;SLC7A1;MMP14;SCARF1;OPRK1;C5AR1;SLC4A4;NFKB1;NFKBIA;F3;SLC7A2;KCNJ2;RGS16;C3AR1;ADGRE1;HRH1;SLC1A2;INHBA;GP1BA;TACR1;ACVR2A;FZD5;ITGA5;TIMP1;ITGB8;CSF3R;KIF1B;TLR3;SERPINE1;TNFRSF1B;NAMPT;CD48;LCK;AXL;PIK3R5;RNF144B;GPC3;TLR2;STAB1;CSF1;NMI;KCNA3;LPAR1;EIF2AK2
UV Response Dn,-1.7519581935323405,0.01,0.01,COL3A1;COL11A1;CAV1;RUNX1;PTGFR;RBPMS;NOTCH2;TGFBR2;BHLHE40;LAMC1;SLC7A1;TJP1;PDGFRB;PDLIM5;CDON;NR3C1;SMAD3;GCNT1;KIT;NFKB1;F3;ADGRL2;RASA2;NRP1;BMPR1A;FBLN5;SCAF8;NR1D2;VLDLR;ATRX;DLC1;ACVR2A;PPARG;ANXA2;PHF3;ABCC1;SERPINE1;WDR37;PTEN;IGFBP5;IGF1R;PTPRM;TGFBR3;SFMBT1;NIPBL;CDK13;NEK7;INPP4B;GRK5;YTHDC1;GJA1;TENT4A;CDC42BPA;ARHGEF9;LPAR1;PLPP3;SDC2;DLG1;ATRN;TFPI;DYRK1A;PIK3R3;ADD3;CITED2;ADORA2B;ERBB2;RND3;SYNE1;COL5A2;ATP2B1;PRKAR2B
Notch Signaling,-1.568246532260138,0.015384615384615385,0.026016260162601626,NOTCH3;TCF7L2;JAG1;NOTCH2;MAML2;HEYL;FZD7;NOTCH1;ST3GAL6;FZD1;LFNG;FZD5
Interferon Alpha Response,-1.529221603770134,0.03076923076923077,0.032520325203252036,CXCL10;GBP4;IL15;RSAD2;PARP14;UBA7;USP18;DDX60;DHX58;RTP4;ELF1;IFIH1;IRF1;CD74;EPSTI1;GBP2;TRIM25;SAMD9L;IFI30;TAP1;PSMB8;LGALS3BP;HELZ2;CASP8
