Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,2.827304474639179,0.01,0.01,RPL3L;MRPL22;MRPS7;MRPS12;MRPL36;MRPS11;FAU;MRPL4;MRPL24;MRPL23;MRPL34;MRPS14;MRPL33;MRPL17;RPS15;RPS19;RPS16;MRPS21;RPL36;RPL18;RPL35;RPS2;RPL29;MRPS16;MRPL2;RPL36AL;MRPS15;RPL22L1;MRPL12;MRPL20;RPL41;RPL32;UBA52;RPS5;MRPS10;RPL28;RPLP2;RPL11;RPL8;MRPL21;RPL31;MRPS18A;RPL27;RPLP1;RPL37A;RPL13;RPL6;MRPS18C;RPL19;RPL37;RPL24;RPL18A;MRPL30;RPS26;RPL13A;RPS17;MRPL28;MRPL13;MRPL32;MRPS17;MRPL27;RPL12;RPLP0;RPL10A;RPS12;RPL21;RPL7A;RPS9;RPS18;RPS8;RPS25;MRPL14;RPSA;RPL38;RPL14;RPS20;RPS27L;RPL27A;RPL23;MRPL15;RPL34;MRPL11;MRPS6;RPL10;RPL15;RPS21;RPS27A;RPL17;RPS10;MRPL18;RPL26;RPS6;RPL7;RPS7;RPL30;RPS4X;RPL9;RPS14;RPS11
Oxidative phosphorylation,2.4669019839224715,0.01,0.01,NDUFS7;NDUFA11;NDUFS8;UQCR11;NDUFA2;UQCRQ;COX17;UQCR10;NDUFA13;NDUFB1;COX4I2;NDUFS5;NDUFC1;NDUFV3;ATP6V0B;NDUFA7;SDHB;NDUFC2;COX7B;COX7C;NDUFA6;COX6B2;NDUFV2;COX6B1;NDUFB2;NDUFA8;ATP6V1F;NDUFA1;NDUFB7;NDUFA4;PPA1;CYC1;COX6A1;ATP6V0D1;COX5A;NDUFS4;COX4I1;NDUFA10;NDUFA5;ATP6V0C;UQCRC1;COX5B;NDUFB6;NDUFB11;COX6C;UQCRB;COX8A;COX7A2;COX11;ATP5PB;NDUFB8;NDUFS3;NDUFB5;LHPP;NDUFB10;NDUFB9;NDUFA12;ATP6V1E1;NDUFA3;NDUFB4;ATP6V1D;ATP6V0E2;NDUFAB1;ATP6V1G2;PPA2;UQCRH;NDUFA9;SDHD;NDUFS6;ATP6V1H;ATP6V1G1;NDUFV1;UQCRC2;ATP4A;UQCRFS1;NDUFB3
Proteasome,2.233068905066358,0.01,0.01,PSMB3;PSMB4;PSMB10;PSMB5;ADRM1;PSMA5;PSMC4;PSMA7;PSMB1;SEM1;PSMB6;PSMC3;PSMD3;PSMD13;PSMD8;PSMC2;PSMA2;PSMA1;POMP;PSMA6;PSMD14;PSMC6;PSMD4;PSMB2;PSMA4;PSMD7;PSMB7;PSME2;PSMA3;PSMC5;PSMC1;PSME1;PSMF1
Huntington disease,2.162999575049016,0.01,0.01,DNAH12;GPX7;BBC3;TUBA8;CREB3L4;NDUFS7;DNAH11;NDUFA11;POLR2F;PSMB3;DNAH10;NDUFS8;UQCR11;PSMB4;NDUFA2;PSMB5;UQCRQ;POLR2G;UQCR10;DCTN3;POLR2I;CREB3L1;NDUFA13;NDUFB1;POLR2J;ADRM1;TUBB2A;DNAH6;COX4I2;NDUFS5;POLR2L;PSMA5;NDUFC1;NDUFV3;AP2S1;NDUFA7;POLR2E;SDHB;TUBB2B;NDUFC2;COX7B;COX7C;PSMC4;NDUFA6;COX6B2;CLTA;TUBB4B;NDUFV2;COX6B1;NDUFB2;NDUFA8;PSMA7;POLR2C;PSMB1;NDUFA1;POLR2K;NDUFB7;SEM1;PSMB6;NDUFA4;PSMC3;CYC1;TUBB4A;COX6A1;TUBA4A;COX5A;NDUFS4;BAX;COX4I1;PSMD3;DCTN2;SOD1;NDUFA10;NDUFA5;STX1A;UQCRC1;COX5B;NDUFB6;NDUFB11;GPX1;PSMD13;COX6C;AP2M1;UQCRB;CREB3L3;COX8A;COX7A2;PSMD8;PSMC2;PSMA2;PSMA1;CLTB;PSMA6;PSMD14;ATG101;ATP5PB;NDUFB8;TUBA1B;PSMC6;NDUFS3;NDUFB5;PSMD4;TUBA1C;NDUFB10;NDUFB9;TUBB3;TUBA1A;KLC2;NDUFA12;NDUFA3;DNAH17;PSMB2;NDUFB4;DCTN6;TGM2;IFT57;VDAC3;NDUFAB1;CREB3L2;PSMA4;TUBB6;PSMD7;PSMB7;DNAL4;UQCRH;SLC25A4;NDUFA9;GRIN1;CYCS;PSMA3;SDHD;NDUFS6;AP2A1
Staphylococcus aureus infection,-2.0939150932143473,0.01,0.01,FPR1;KRT20;C2;C3;CFB;ITGAL;KRT18;FCGR2B;ITGAM;KRT9;PTAFR;ITGB2;C5AR1;CFH;SELPLG;C3AR1;C4B
Parkinson disease,2.0900626188467846,0.01,0.01,CALML4;TH;SLC6A3;TUBA8;NDUFS7;NDUFA11;UCHL1;PSMB3;NDUFS8;UQCR11;PSMB4;NDUFA2;PSMB5;UQCRQ;UQCR10;NDUFA13;NDUFB1;ADRM1;TUBB2A;COX4I2;NDUFS5;PSMA5;NDUFC1;NDUFV3;NDUFA7;SDHB;TUBB2B;NDUFC2;TXN2;COX7B;COX7C;PSMC4;NDUFA6;COX6B2;TUBB4B;NDUFV2;COX6B1;NDUFB2;NDUFA8;PSMA7;PSMB1;NDUFA1;NDUFB7;SEM1;PSMB6;NDUFA4;PSMC3;CYC1;TUBB4A;COX6A1;TUBA4A;COX5A;NDUFS4;BAX;COX4I1;PSMD3;GNAS;NDUFA10;NDUFA5;DDIT3;UQCRC1;UBA52;COX5B;NDUFB6;NDUFB11;PSMD13;COX6C;SEPTIN5;UQCRB;COX8A;COX7A2;PSMD8;SNCA;PSMC2;PSMA2;PSMA1;PARK7;PSMA6;PSMD14;HTRA2;EIF2S1;ATP5PB;NDUFB8;SLC18A2;TUBA1B;PSMC6;NDUFS3;NDUFB5;PSMD4;UBB;CALM3;TUBA1C;NDUFB10;NDUFB9;TUBB3;TUBA1A;KLC2;NDUFA12;NDUFA3;PSMB2;NDUFB4;VDAC3;ATF4;NDUFAB1;PSMA4;TUBB6;PSMD7;PSMB7;CALM2;UQCRH;SLC25A4;NDUFA9;CYCS;PSMA3;SDHD;NDUFS6;UBC;KLC1;PSMC5;RPS27A;XBP1;NDUFV1;PRKACA;UQCRC2;UQCRFS1
Viral protein interaction with cytokine and cytokine receptor,-2.000444438033515,0.01,0.01,CXCL9;CCL5;CXCL10;TNFRSF14;CCR5;CCR2;TNFSF10;IL2RB;CX3CR1;CXCL12;IL10RA;CXCL5;IL2RG;IL10RB;IL20RB;IL6ST
Protein digestion and absorption,-1.9892051048227883,0.01,0.01,COL6A6;COL4A3;COL3A1;ACE2;CTRL;COL9A1;KCNN4;COL4A6;MME;COL11A1;KCNJ13;COL4A5;COL24A1;COL5A1;COL8A1;ELN;COL19A1;COL7A1;COL17A1;SLC9A3;COL10A1;COL18A1;COL4A4;COL4A2;COL23A1;SLC38A2;COL11A2;COL4A1;COL27A1
Amyotrophic lateral sclerosis,1.9182374181887893,0.01,0.01,DNAH12;GPX7;TUBA8;NDUFS7;DNAH11;NDUFA11;PSMB3;ANXA11;DNAH10;NDUFS8;UQCR11;PSMB4;NDUFA2;PSMB5;UQCRQ;PRPH;UQCR10;DCTN3;NDUFA13;NDUFB1;ADRM1;TUBB2A;DNAH6;COX4I2;NDUFS5;PSMA5;NDUFC1;NDUFV3;NDUFA7;TOMM40;SDHB;TUBB2B;MAPK11;NDUFC2;COX7B;COX7C;PSMC4;NDUFA6;COX6B2;CCS;TUBB4B;CHCHD10;NDUFV2;COX6B1;NDUFB2;NDUFA8;PSMA7;PSMB1;NDUFA1;NDUFB7;SEM1;PSMB6;NDUFA4;PSMC3;CYC1;TUBB4A;COX6A1;TUBA4A;COX5A;NDUFS4;BAX;COX4I1;PSMD3;DCTN2;SOD1;NDUFA10;NDUFA5;SQSTM1;DDIT3;UQCRC1;COX5B;NDUFB6;SIGMAR1;NDUFB11;GPX1;PSMD13;COX6C;UQCRB;COX8A;COX7A2;PSMD8;PSMC2;PSMA2;PSMA1;PSMA6;PSMD14;EIF2S1;ATG101;ATP5PB;NDUFB8;TUBA1B;PSMC6;NDUFS3;NDUFB5;PSMD4;TUBA1C;NDUFB10;NDUFB9;TUBB3;TUBA1A;BID;KLC2;NDUFA12;NDUFA3;DNAH17;PSMB2;NDUFB4;DCTN6;PFN1;ANXA7;MAPK12;ATF4;NDUFAB1;PSMA4;TUBB6;PSMD7;PSMB7;GABARAP;DNAL4;GABARAPL1;UQCRH;NDUFA9;GRIN1;NUP37;TOMM40L;CYCS;ACTG1;PSMA3;SDHD;NDUFS6;BAD;KLC1;PSMC5;XBP1;TNFRSF1A;NDUFV1
Cytokine-cytokine receptor interaction,-1.8519400631478682,0.01,0.012359029816159432,CXCL9;CCL5;IL7R;CXCL10;IL11;TNFRSF14;IL27RA;IL15;NGFR;CCR5;CD40;CCR2;EDA2R;TNFSF10;IL2RB;CX3CR1;TGFB2;IL21R;CXCL12;IL1A;CSF2RB;IL10RA;IL17RE;TGFBR1;INHBB;TGFB1;TGFBR2;TNFRSF9;CXCL5;ACVRL1;GDF7;GDF10;TNFSF13B;IL13RA1;IL2RG;IL16;ACVR2B;CLCF1;GDF11;CXCL16;IL10RB;LEPR;TNFRSF19;BMP7;IL20RB;BMPR1A;IL6ST
