Term,NES,NOM p-val,FDR q-val,Lead_genes
Interferon Gamma Response,-2.3213535967315977,0.01,0.01,IFI44;SELP;GBP6;SLAMF7;IFIT1;OAS2;FGL2;SERPING1;CXCL10;RSAD2;DDX60;ZBP1;OAS3;CCL2;SAMD9L;STAT4;CD74;USP18;CFB;CASP1;SOCS1;CD40;BATF2;ITGB7;NLRC5;PARP14;CFH;MX1;ST8SIA4;IL2RB;PLA2G4A;CD86;ISG15;CASP4;UPP1;RTP4;UBE2L6;TRIM25;IRF9;IFIH1;HERC6;CSF2RB;STAT1;NMI;SPPL2A;CD274;IFIT3;TRIM21;LGALS3BP;XAF1;SOCS3;DDX58;VCAM1;EIF2AK2;FPR1;PDE4B;IFI30;CCL5;CDKN1A;LCP2;MYD88;STAT2;RNF213;AUTS2;HELZ2;CMPK2;HIF1A;CASP8;ICAM1;MX2;ARID5B;PML;PNPT1;B2M;TAPBP;JAK2;IFIT2;GBP4;CD38;DHX58
Oxidative Phosphorylation,2.137241774987868,0.01,0.01,COX5B;NDUFB1;UQCR11;NDUFS6;COX8A;NDUFA3;NDUFB3;UQCRB;NDUFA5;NDUFA1;COX17;NDUFA2;COX7C;UQCRQ;UQCR10;TIMM10;NDUFA8;COX7B;TIMM13;MGST3;NDUFB6;NDUFB2;TIMM8B;HTRA2;COX4I1;SLC25A4;COX6A1;NDUFB8;MRPS12;NDUFA6;COX6C;ETFB;NDUFB7;MRPL34;COX6B1;CYCS;MRPS15;SURF1;MRPS11;ATP6V1G1;COX5A;POLR2F;HSD17B10;TIMM17A;SLC25A5;NDUFA7;BAX;ATP6V1F;TOMM22;GRPEL1;NDUFB4;MRPL11;IDH3B;NDUFA4;NDUFS4;VDAC1;AFG3L2;ATP6V0C;COX7A2;SDHA;NDUFAB1;ATP6V0B;PHB2;UQCRH;NDUFC1;NDUFS3;NDUFV1;NDUFS8;NDUFC2;FXN;TIMM9;IDH2;COX7A2L;CYB5R3;SDHD
Epithelial Mesenchymal Transition,-2.0784455633983514,0.01,0.01,COL3A1;TIMP1;FMOD;LOX;FOXC2;SPP1;COL1A1;DCN;THBS1;COL1A2;LOXL2;TNFRSF11B;LRRC15;ECM2;MMP14;LUM;COL6A3;FBLN1;SDC1;BGN;ACTA2;PCOLCE;ANPEP;MMP2;TNC;CCN2;CD44;DAB2;EMP3;LOXL1;COMP;VIM;THBS2;FBLN5;LAMC2;NOTCH2;NID2;LAMA1;EDIL3;ABI3BP;FN1;GAS1;VCAM1;IGFBP2;OXTR;TGM2;FERMT2;PRRX1;PLAUR;HTRA1;SLIT2;PLOD1;SFRP4;WNT5A;ITGB5;PMP22;FBLN2;SFRP1;PMEPA1;PDGFRB;ITGA5;TGFBR3;ADAM12;COL6A2
Interferon Alpha Response,-2.077187129027781,0.01,0.01,IFI44;CXCL10;RSAD2;DDX60;SAMD9L;CD74;USP18;CASP1;BATF2;PARP14;MX1;GBP2;ISG15;UBA7;RTP4;UBE2L6;TRIM25;IRF9;IFIH1;HERC6;NMI;TRIM5;IFIT3;TENT5A;TRIM21;LGALS3BP;EIF2AK2;IFI30;ELF1;STAT2;HELZ2;CMPK2;CASP8;LPAR6;PNPT1;B2M;IFIT2;GBP4;DHX58;TDRD7;PARP12;IFITM3
Inflammatory Response,-1.848260436745326,0.01,0.01,CXCR6;TIMP1;BDKRB1;SELE;MSR1;SPHK1;CXCL10;CCL2;MMP14;CD40;IL7R;TLR3;CD48;CALCRL;EMP3;TLR2;ITGB8;GPC3;MET;IL2RB;GPR183;TACR3;PTGER4;IL1A;RTP4;TNFSF9;OSMR;NMI;GNA15;CSF3R;BEST1;C3AR1;ADGRE1;IL1R1;LPAR1;APLNR;CD14;ACVR2A;EIF2AK2;TACR1;FPR1;CLEC5A;PDE4B;CD55;CCL5;ABCA1;CDKN1A;PCDH7;PLAUR;CCL22;LCP2;PROK2;SCARF1;HIF1A;CYBB;ICAM1;ITGA5;LDLR;SGMS2;TAPBP;INHBA;VIP;F3;ADORA2B;IRAK2;PDPN;NOD2;AHR;IFNAR1;TNFRSF1B
IL-6/JAK/STAT3 Signaling,-1.7646579573164791,0.01,0.01,LEPR;IL2RG;A2M;CXCL10;CCR1;SOCS1;CD44;CD36;TLR2;IRF9;IL13RA1;OSMR;CSF2RB;STAT1;CSF3R;IL1R1;SOCS3;CD14;PDGFC;IL10RB;MYD88;IL6ST;STAT2
KRAS Signaling Up,-1.7172885428182194,0.01,0.01,SPP1;BTC;MPZL2;IL2RG;ALDH1A2;KCNN4;TRAF1;CXCL10;CFB;ADAM8;IL7R;IGF2;CFH;ANO1;ENG;SEMA3B;ADGRL4;LY96;MALL;MMP11;TPH1;EMP1;F2RL1;ITGBL1;JUP;C3AR1;PRDM1;RABGAP1L;MTMR10;TFPI;F13A1;GYPC;ERO1A;LCP1;AVL9;ADAM17;SNAP91;PRRX1;WNT7A;GUCY1A1;PLAUR;PTCD2;DOCK2;TRIB2;MAP3K1;GALNT3;IKZF1;LAPTM5;VWA5A;PRKG2;PECAM1;BTBD3;BMP2;INHBA;SATB1;AKAP12;PLAU;TLR8;PLAT;NRP1;MMD;TSPAN7;APOD;NGF;TNFRSF1B;EVI5;ACE;TSPAN13;TMEM100;TNFAIP3;CROT;DUSP6;IL33;CAB39L;STRN;KLF4;TMEM176B;MAFB;GFPT2;PTBP2
Allograft Rejection,-1.701438635540836,0.01,0.01,CD8A;TIMP1;C2;IL2RG;BCL3;GPR65;CCR1;CCL2;STAT4;CD74;CD79A;SOCS1;CD3E;CD40;TLR3;ITGAL;PTPRC;TLR2;GBP2;ST8SIA4;IL2RB;CD86;TLR6;CCR2;STAT1;NOS2;CCR5;ACVR2A;GALNT1;IKBKB;FCGR2B;TRAT1;ABCE1;CCL5;CD80;CCL22;LCP2;ELF4;SOCS5;IGSF6;HIF1A;ICAM1;WAS;B2M;TAPBP;LY86;JAK2;INHBA;DEGS1
UV Response Dn,-1.6741572741080841,0.01,0.01,PTGFR;COL3A1;COL1A1;COL1A2;EFEMP1;DAB2;CAV1;MET;TGFBR2;FBLN5;RBPMS;NOTCH2;SLC22A18;PLCB4;LTBP1;PTEN;LPAR1;BMPR1A;GRK5;SDC2;ACVR2A;TFPI;NEK7;NR3C1;PRKAR2B;IGFBP5;INPP4B;PRDM2;KIT;ANXA2;PDLIM5;PMP22;TJP1;RUNX1;PIK3R3;PDGFRB;ATP2B4;LDLR;ZMIZ1;TOGARAM1;TGFBR3;WDR37;DMAC2L;F3;ADORA2B;DDAH1;CDK13;NRP1;NFIB
DNA Repair,1.5655429318162322,0.01,0.05935929648241207,ADA;POLR2K;BOLA2;SNAPC5;EDF1;NT5C;COX17;NME3;POLR2J;CCNO;POLR1D;GTF2A2;TAF10;NUDT9;GTF2H5;GTF2F1;NME4;HCLS1;VPS37D;SURF1;POLR2E;POLD4;NME1;POLR2F;AK1;NELFE;SF3A3;ERCC1;MRPL40;GUK1;ALYREF;AAAS;EIF1B;FEN1;POLR2I;TARBP2;POLR1C;TAF12;RAE1;STX3;POLR3GL;POLR2H;ADRM1;PCNA;MPC2;POLA2;IMPDH2;SSRP1;DAD1;VPS28;MPG
