Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,2.754978483094551,0.01,0.01,RPS21;RPL36A;RPL38;RPL35A;RPS29;RPS28;MRPS18C;MRPS21;RPL36AL;RPL37;RPL23;RPL36;RPS15;RPS23;MRPL20;RPS19;RPL37A;RPL30;RPLP2;RPL21;RPL41;FAU;MRPL14;RPS27;RPL35;MRPL2;RPL28;RPL23A;RPL11;MRPL27;RPL8;RPS18;MRPS12;RPS26;RPS17;RPL14;MRPL34;MRPL33;MRPL22;RPS25;RPS16;RPL27;RPL34;RPS9;RPL29;MRPS15;MRPS11;RPL32;MRPS7;UBA52;MRPL23;RPS2;RPL7A;RPL31;RPS6;RPS27A;RPS27L;RPL18;RPL15;RPL10A;RPS24;MRPL21;MRPL11;RPL19;RPL27A;RPL13A;RPL24;RPS3;MRPL30;RPS13;MRPL12;RPL13;RSL24D1;MRPS16;RPS10;MRPL18;RPL22;RPL18A;RPL26;MRPS5;RPS11;RPL17
Oxidative phosphorylation,2.4780217925403334,0.01,0.01,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;COX8A;NDUFA3;NDUFB3;UQCRB;NDUFA5;NDUFA1;COX17;NDUFA2;COX7C;NDUFS5;NDUFA13;NDUFB9;UQCRQ;UQCR10;NDUFA8;NDUFA12;COX7B;NDUFB6;NDUFB2;COX4I1;COX6A1;NDUFB8;NDUFA6;COX6C;NDUFB7;NDUFV3;COX6B1;ATP6V1G1;COX5A;NDUFB10;NDUFA7;ATP6V1F;NDUFB4;NDUFA4;NDUFS4;LHPP;NDUFB11;ATP6V0C;COX7A2;SDHA;NDUFAB1;ATP6V0B;UQCRH;NDUFC1;NDUFS3;NDUFV1;NDUFS8;NDUFC2
Malaria,-2.310140520543323,0.01,0.01,SELP;SELE;THBS1;CCL2;CD40;SDC1;ITGAL;CD36;TLR2;MET;COMP;TLR9;TLR4;THBS2;SDC2;VCAM1;GYPC;MYD88;HGF;PECAM1;ICAM1
Parkinson disease,2.0690627727275657,0.01,0.01,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;PSMA8;COX8A;NDUFA3;NDUFB3;UQCRB;SEM1;NDUFA5;NDUFA1;NDUFA2;COX7C;NDUFS5;NDUFA13;NDUFB9;UQCRQ;UQCR10;NDUFA8;NDUFA12;COX7B;NDUFB6;NDUFB2;HTRA2;COX4I1;SLC25A4;PARK7;COX6A1;NDUFB8;PSMB5;NDUFA6;COX6C;NDUFB7;NDUFV3;COX6B1;CYCS;KLC3;PSMA7;COX5A;UBA52;NDUFB10;SLC25A5;NDUFA7;BAX;CAMK2B;PSMB6;PSMB2;RPS27A;PSMA4;NDUFB4;PSMB7;SNCA;PRKACA;NDUFA4;PSMC5;NDUFS4;PSMD7;CALML4;VDAC1;NDUFB11;COX7A2;PSMD4;SLC18A1;SDHA;NDUFAB1;UQCRH;CALM2;NDUFC1;CALM3;PINK1;SLC6A3;NDUFS3;NDUFV1;NDUFS8;PSMC3;PSMC1;NDUFC2;PSMA2;TUBB2A;UBE2G2;COX7A2L;TUBB2B;SDHD;ADRM1;RYR3
Thermogenesis,2.0172691955334323,0.01,0.01,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;COX8A;NDUFA3;NDUFB3;UQCRB;NDUFA5;NDUFA1;COX17;NDUFA2;COX7C;NDUFS5;NDUFA13;NDUFB9;UQCRQ;NDUFAF8;UQCR10;NDUFA8;NDUFA12;COX7B;NDUFB6;NDUFB2;COX14;NDUFAF2;COX4I1;COX6A1;CREB3L3;NDUFB8;NDUFA6;COX6C;COX20;NDUFB7;NDUFV3;COX6B1;COX5A;NDUFAF3;NDUFB10;RPS6;NDUFA7;COA6;NDUFB4;COA3;PRKACA;NDUFA4;PLIN1;NDUFS4;MAP2K3;HRAS;NDUFB11;COA7;COX7A2;SDHA;SIRT6;NDUFAB1;UQCRH;NDUFC1;NDUFS3;NDUFAF5;NDUFV1;NDUFS8;SLC25A29;DPF1;ACTL6B;NDUFC2
Neuroactive ligand-receptor interaction,-2.006976866861904,0.01,0.01,MC3R;GLP1R;PTGFR;AVPR1A;CYSLTR2;LEPR;C3;SSTR5;BDKRB1;GPR50;GRIN3B;LPAR2;GALR1;SCTR;P2RX1;CYSLTR1;APLN;DRD2;TSHB;INSL5;CHRNB4;GABRQ;PRLR;GABRE;ADRA2A;CALCRL;TRHR;HTR1D;TACR3;CHRNA3;GLRA3;PTGER4;NPFFR1;NPY5R;P2RY6;GRM3;ADRA2B;GRM1;EDNRB;SSTR2;S1PR3;LHCGR;GHSR;CHRM2;GABRA2;GPR35;F2RL1;GABRG1;C3AR1;EDNRA;P2RY1;HTR2C;LPAR1;CHRNA5;APLNR;HTR1A;GLRB;GPR83;OXTR;TACR1;FPR1;ADRA2C;NPBWR1;GRM4;LPAR4;S1PR1
Cell adhesion molecules,-1.9732982763473945,0.01,0.011436474374318467,CDH3;CD8A;CDH1;SELP;SELE;CLDN3;SIGLEC1;CLDN2;CLDN1;PDCD1;CD40;ITGB7;SDC1;ITGAL;PTPRC;CD99;ITGB8;CD22;CD86;CD274;ICAM2;SDC2;VCAM1;CDH5;OCLN;ITGA6;CD80;MPZL1;ALCAM;JAM2;NEGR1;NCAM2;NTNG2;PECAM1;ICAM1;CLDN5;NECTIN3
Cytokine-cytokine receptor interaction,-1.955494224069739,0.01,0.01,CXCR6;LEPR;IL31RA;IL1RL1;IL13RA2;IL2RG;CXCL5;CXCL10;CCR1;BMP7;CCL2;TNFRSF11B;CD40;IL7R;IL17RE;BMP5;PRLR;AMHR2;IL2RB;BMP6;TGFBR2;IL1A;CTF1;TNFRSF4;TNFSF9;IFNLR1;IL13RA1;OSMR;CCR2;CSF2RB;CSF3R;EDA2R;GDF5;CCR5;IL1R1;ACKR3;TGFBR1;BMPR1A;ACVR2A;ACKR4;CLCF1;BMPR1B;ACVR1C;TNFRSF14;TNFRSF13B;IL17RC;CCL5;BMPR2;CCL22;IL10RB;IL6ST;TNFRSF25;GDF10;IL21R
Non-alcoholic fatty liver disease,1.938747118720269,0.01,0.01,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;COX8A;NDUFA3;NDUFB3;UQCRB;NDUFA5;NDUFA1;NDUFA2;COX7C;NDUFS5;NDUFA13;NDUFB9;UQCRQ;UQCR10;NDUFA8;NDUFA12;COX7B;NDUFB6;NDUFB2;COX4I1;COX6A1;NDUFB8;NDUFA6;COX6C;NDUFB7;NDUFV3;COX6B1;CYCS;COX5A;NDUFB10;NDUFA7;BAX;NDUFB4;NDUFA4;NDUFS4;NDUFB11;COX7A2;SDHA;NDUFAB1;UQCRH;NDUFC1;NDUFS3;NDUFV1;NDUFS8;NDUFC2
Prion disease,1.892804366836984,0.01,0.01,COX7A1;COX5B;NDUFB1;UQCR11;COX6A2;NDUFS6;PSMA8;COX8A;NDUFA3;NDUFB3;UQCRB;SEM1;NDUFA5;NDUFA1;PPP3R2;NDUFA2;COX7C;NDUFS5;NDUFA13;NDUFB9;UQCRQ;UQCR10;NDUFA8;NDUFA12;COX7B;NDUFB6;NDUFB2;COX4I1;SLC25A4;COX6A1;CREB3L3;NDUFB8;C1QA;PSMB5;NDUFA6;COX6C;NDUFB7;NDUFV3;SOD1;BAD;COX6B1;CYCS;KLC3;PSMA7;COX5A;NDUFB10;C7;SLC25A5;NDUFA7;BAX;PSMB6;PSMB2;PSMA4;NDUFB4;PSMB7;PRKACA;NDUFA4;C1QC;PSMC5;GRIN2B;NDUFS4;PSMD7;VDAC1;NDUFB11;COX7A2;PSMD4;SDHA;NDUFAB1;UQCRH;NDUFC1;NDUFS3;NDUFV1;NDUFS8;PSMC3;PSMC1;RYR1;NDUFC2;PSMA2;TUBB2A;COX7A2L;TUBB2B;SDHD;ADRM1;C1QB;RYR3
