Term,NES,NOM p-val,FDR q-val,Lead_genes
TNF-alpha Signaling via NF-kB,-2.2385609460715377,0.01,0.01,FOS;CXCL10;EGR1;CCL2;CCL5;NR4A3;NR4A2;IL1B;EGR3;FOSB;DDX58;SIK1;NFKBIE;IFIH1;TLR2;TNC;EGR2;ABCA1;GPR183;IRS2;IL7R;CD44;KLF2;DUSP5;KLF10;TANK;BCL6;NFE2L2;INHBA;BHLHE40;ACKR3;FOSL2;PMEPA1;TNFAIP3;PNRC1;NFIL3;DENND5A;PDE4B;PLAU;IL1A;DUSP4;PFKFB3;TNFAIP8;PDLIM5;PANX1;PTGER4;SMAD3;BCL3;PLEK;CD83;ZFP36;TIPARP;TNFAIP2;EHD1;MCL1;CCRL2;DNAJB4;BMP2;NAMPT;NR4A1;TNFSF9;REL;IL6ST;CCND1;DUSP1;PTGS2;ATF3;KLF9;CCNL1
Interferon Gamma Response,-1.9961231855469652,0.01,0.01,CXCL10;ZBP1;IFI44;IFIT1;MX1;GBP6;CCL2;CCL5;SELP;RSAD2;ST8SIA4;DDX60;SLAMF7;OAS2;PARP14;SAMD9L;FPR1;USP18;DDX58;CD86;IFIT3;IRF9;CASP1;IFIH1;IRF4;IL2RB;UPP1;AUTS2;HERC6;SPPL2A;IFI30;STAT1;CD274;NLRC5;HIF1A;CSF2RB;TRIM25;EIF2AK2;UBE2L6;PML;LGALS3BP;TNFAIP3;NMI;CASP4;LATS2;PDE4B;JAK2;TDRD7;ARID5B;ISG15;SOCS1;CASP8;CFH;STAT4;ITGB7;ZNFX1;OAS3;CMPK2;PLA2G4A;TNFAIP2;VCAM1;BANK1;MARCHF1;TRIM21;IRF2;NAMPT;LCP2;FGL2;ADAR
UV Response Dn,-1.8502598215309332,0.01,0.03557312252964427,PTEN;NOTCH2;BMPR1A;LTBP1;CAV1;ZMIZ1;NRP1;ACVR2A;SNAI2;NFIB;ADORA2B;PRDM2;NR3C1;MET;PRKAR2B;TOGARAM1;INPP4B;PLCB4;GRK5;BHLHE40;EFEMP1;TGFBR2;DDAH1;PIK3R3;TJP1;NEK7;DYRK1A;IGFBP5;CDK13;MTA1;TENT4A;IRS1;PDLIM5;SIPA1L1;SDC2;SMAD3;KIT;WDR37;MAGI2;COL1A1;RASA2;PRKCE;RUNX1;LPAR1;LAMC1;ATP2B4;CELF2;DLG1;DLC1;APBB2;COL3A1;ARHGEF9;DAB2;MAP1B;DUSP1;MGMT;NR1D2;SCAF8;ATRN;MIOS;F3;AKT3;PHF3;RBPMS;ADD3;NIPBL;MAPK14;CDC42BPA;ATRX;PLPP3;RGS4;TGFBR3;PTGFR;SLC7A1;MYC;RND3;PPARG;PDGFRB;DMAC2L;VLDLR;CACNA1A;ATXN1;NFKB1
Inflammatory Response,-1.7237997287690807,0.01,0.0266798418972332,CXCL10;SELE;CXCR6;CCL2;CCL5;ITGB8;TLR3;IL1B;FPR1;TACR1;IL2RB;TLR2;TACR3;CSF3R;IL1R1;ABCA1;CALCRL;C3AR1;GPR183;ADGRE1;MMP14;IL7R;OSMR;ACVR2A;HIF1A;ADORA2B;INHBA;RASGRP1;CD48;MET;EIF2AK2;PCDH7;NMI;MSR1;PDE4B;NDP;IL1A;GNAI3;PTGER4;CLEC5A;LYN;CD14;LPAR1;CCRL2;SLC4A4;IFNAR1;ATP2A2;IL18RAP;NAMPT;LCP2;SGMS2;TNFSF9;AHR;AQP9;TLR1;CHST2;PIK3R5
Oxidative Phosphorylation,1.6725315626735222,0.01,0.01938066147040236,NDUFB1;UQCR11;NDUFA3;COX5B;NDUFA1;NDUFS6;COX8A;NDUFB3;UQCRB;NDUFA2;UQCRQ;NDUFA5;COX7C;COX17;NDUFB6;TIMM13;NDUFB2;TIMM10;COX7B;COX6A1;UQCR10;NDUFA8;NDUFB4;POLR2F;TIMM8B;NDUFA6;NDUFB8;MRPS11;COX6B1;HTRA2;NDUFB7;MRPS12;MGST3;COX6C;ETFB;SLC25A4;GRPEL1;CYCS;NDUFC1;COX4I1;NDUFA4;BAX;NDUFC2;HSD17B10;COX7A2;MRPS15;ATP6V1G1;ATP6V1F;MRPL34;NDUFA7;NDUFAB1;ATP6V0B;TIMM17A;COX5A;SLC25A5;NDUFS4;UQCRH;MRPL11;SURF1;CYB5A;ISCU;TOMM22;IDH3B;PHB2;TIMM9;ACADVL;ECI1;NDUFS8;NDUFS3;NDUFV2;FXN;SDHD;SDHA;AFG3L2;NDUFS7;VDAC1;IDH2;LDHA
Interferon Alpha Response,-1.573053179393018,0.01,0.02134387351778656,CXCL10;IFI44;MX1;RSAD2;DDX60;TENT5A;PARP14;SAMD9L;USP18;IFIT3;IRF9;CASP1;IFIH1;HERC6;GBP2;IFI30;TRIM25;EIF2AK2;UBE2L6;LGALS3BP;NMI;TDRD7;ISG15;CASP8;ELF1;MOV10;NCOA7;CMPK2;CCRL2;TRIM21;IRF2;ADAR;LPAR6
Apical Surface,-1.4849067133176854,0.01,0.07114624505928854,IL2RG;IL2RB;CD160;MDGA1;EFNA5;HSPB1;ATP6V0A4;SHROOM2;RHCG;NTNG1;ADAM10;NCOA6;LYN
Protein Secretion,-1.470676225076284,0.01,0.06098249576510446,ATP7A;ABCA1;STAM;LAMP2;COPB1;USO1;CLTC;SNAP23;SGMS1;VAMP7;ADAM10;AP2B1;ZW10;ARFGEF1;MON2;YIPF6;DNM1L;CAV2;RPS6KA3;SCAMP1;RAB14;MAPK1;ARFIP1;EGFR;AP1G1;CLCN3;VAMP3;GBF1;ARCN1;SEC31A;OCRL;TPD52;DOP1A;ARFGEF2;ATP6V1H;RAB5A;ARFGAP3;TSG101;NAPG;VAMP4;VPS4B;CTSC;PAM;GNAS;STX7;STX12;KRT18;TOM1L1;SCRN1;TMX1;SH3GL2;LMAN1;BET1;SNX2;GLA;SEC24D;GALC;AP3S1
IL-2/STAT5 Signaling,-1.4533161839094622,0.01,0.0533596837944664,CXCL10;SELP;CST7;TLR7;TNFRSF4;CD79B;CD86;IL1RL1;XBP1;SPRY4;P4HA1;RABGAP1L;BMPR2;IRF4;IL2RB;TWSG1;FAM126B;CD44;NRP1;PHTF2;SLC39A8;CAPN3;LRRC8C;MUC1;ITGA6;CD48;BCL2;RRAGD;SNX14;PTCH1;BHLHE40;NFIL3;ITGAV;DENND5A;SCN9A;SOCS1;GPR83;SH3BGRL2;SPRED2;CCND2;TNFRSF8;CD83;IL2RA;CDC42SE2;BMP2;HIPK2;FGL2;AHR;RORA;CYFIP1;IRF6;CISH;PTRH2;TNFRSF1B;NCOA3;EMP1;LCLAT1;LRIG1
KRAS Signaling Up,-1.4159162930189415,0.01,0.04743083003952569,CXCL10;BTC;ADGRL4;IL1B;ENG;ADAM8;MALL;IL2RG;RABGAP1L;DUSP6;TLR8;AVL9;C3AR1;BTBD3;ERO1A;IKZF1;IL7R;NRP1;MAP3K1;SNAP91;INHBA;TRIB2;MAFB;PRDM1;WNT7A;MTMR10;LAPTM5;EVI5;PRRX1;TNFAIP3;GALNT3;JUP;LY96;LCP1;ANO1;SATB1;ADAM17;PLAU;MMD;ITGBL1;CAB39L;TSPAN7;CFH;STRN;CCND2;GUCY1A1;PTCD2;MMP9
