Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,2.178113470988806,0.01,0.01,RPS29;RPS21;RPL38;RPS28;RPL36;RPL37;RPL36A;RPL3L;RPL35A;RPL41;RPS27;MRPS18C;MRPL20;MRPS21;RPL37A;RPL36AL;RPL11;RPL23;RPS23;RPLP2;FAU;RPL30;MRPL14;RPS19;MRPL22;MRPL33;RPS15;RPL35;MRPS11;RPS18;RPS26;MRPL27;RPL23A;MRPL2;RPL21;RPS17;MRPS12;RPL27;RPL8;RPL31;RPS27L;RPL34;UBA52;RPS16;MRPL21;RPS13;RPS9;MRPS7;RPL13A;RPL32;RPL29;RPL39;MRPS15;RPL28;MRPL34;MRPS16;RPS25;RPL14;RPL13;RPS10;RPL18;MRPL23;MRPL12;RPS24;RPS27A;RPS3;RPL19;RPL10A;RPS2;RPL27A;MRPL11;RPL24;RPL7A;RPS11;MRPS10;MRPL28;MRPL13;RPS20;RPS14;RPL22;MRPL30;RPLP1;RPL17;RPL15;MRPL18;RPS6;RPL22L1;RPL18A;RPL26;RPL10;RPS12;MRPS18A;RPL9;MRPS5;MRPL32
"Parathyroid hormone synthesis, secretion and action",-2.100901564498439,0.01,0.01,FOS;EGR1;MMP25;NR4A2;VDR;ATF2;MMP14;MAFB;BCL2;PLCB4;MMP15;GNA12;PLCB1;KL;CREB1;PDE4B;MEF2C;GNAI3;MEF2D;ADCY2;MEF2A;GNA13;PRKACB;CREB3L1;PRKCB;ADCY5;GNAI1;MAPK1;ADCY7;ADCY4;PDE4A;RXRG;EGFR;RHOA;BRAF;LRP5
Chagas disease,-2.0814112166695895,0.01,0.01,FOS;C3;CCL2;CCL5;IL1B;TLR4;GNA14;TGFBR1;NOS2;TLR2;PPP2R1B;GNAL;PLCB4;TRAF6;TGFBR2;PIK3R3;TLR6;PIK3CA;MAP2K4;PLCB1;PPP2R2A;MAPK8;GNAI3;CHUK;CASP8;MAPK9;GNAI1;TLR9;CCL3;MAPK1;IKBKB
Toll-like receptor signaling pathway,-2.075381288629262,0.01,0.01,FOS;CXCL10;CCL5;TLR3;TLR7;IL1B;TLR4;CD86;TLR2;TLR8;STAT1;TAB2;TRAF6;PIK3R3;TLR6;PIK3CA;MAP2K4;LY96;TRAF3;MAPK8;CHUK;CASP8;MAPK9;RAC1;TLR9;CCL3;MAPK1;IKBKB;CD14;IFNAR1
Circadian rhythm,-2.0446869585400753,0.01,0.01,RORB;CLOCK;BHLHE40;PER2;PRKAA2;CREB1;PRKAA1;CRY1;PRKAG2;RORA;FBXL3;CUL1;SKP1;NPAS2;BHLHE41
Oxidative phosphorylation,1.983202276818676,0.01,0.01,COX7A1;NDUFB1;UQCR11;NDUFA3;COX5B;NDUFA1;NDUFS6;COX8A;COX6A2;NDUFB3;UQCRB;NDUFA2;UQCRQ;NDUFA5;COX7C;NDUFA13;COX17;NDUFB6;NDUFB2;NDUFS5;NDUFB9;COX7B;COX6A1;UQCR10;NDUFA12;NDUFA8;NDUFB4;NDUFA6;NDUFB8;NDUFV3;COX6B1;NDUFB7;COX6C;NDUFC1;COX4I1;NDUFA4;NDUFC2;NDUFB11;COX7A2;ATP6V1G1;ATP6V1F;NDUFA7;NDUFB10;NDUFAB1;ATP6V0B;COX5A;NDUFS4;UQCRH;COX6B2
TNF signaling pathway,-1.9249207285639907,0.01,0.026330359889264843,FOS;CXCL10;SELE;CCL2;CCL5;IL1B;CXCL5;ITCH;ATF2;MMP14;TAB3;TAB2;RPS6KA5;TNFAIP3;PIK3R3;PIK3CA;MAP2K4;TRAF3;CREB1;MAPK8;DNM1L;CHUK;CREB3L1;CASP8;MAPK9;BCL3;VEGFC;BAG4;MMP9;MAPK1;IKBKB;VCAM1
Th17 cell differentiation,-1.9247117763867554,0.01,0.021941966574387368,FOS;IL1B;CD4;IL2RG;TGFBR1;NFATC3;NFKBIE;IRF4;IL2RB;IL1R1;STAT1;HIF1A;NFATC1;TGFBR2;IL21R;SMAD4;JAK2;MAPK8;CHUK;MAPK9;SMAD3;HSP90AA1;IL2RA;PPP3CB;MAPK1;IKBKB;RUNX1;RXRG;PPP3R1;AHR;RORA;IL6ST;MTOR;PRKCQ
"Growth hormone synthesis, secretion and action",-1.9060225102695834,0.01,0.01880739992090346,FOS;SSTR5;SOS2;GHSR;ATF2;STAT1;SOS1;IRS2;SSTR2;MAP3K1;PLCB4;KRAS;GSK3B;PIK3R3;PIK3CA;MAP2K4;CRKL;PTK2;PLCB1;CREB1;JAK2;NRAS;MAPK8;GNAI3;SOCS1;IRS1;CRK;ADCY2;PRKACB;CREB3L1;CACNA1F;MAPK9;PRKCB;ADCY5;EP300;GNAI1;MAPK1;ADCY7;ADCY4;PIK3CB;SSTR1;MTOR;CREB3L2;IGF1;GHR;BCAR1;ADCY8;PRKCG;AKT3;GNAQ;ADCY10;SHC3;MAPK14;JUNB
Long-term depression,-1.9028254061803078,0.01,0.016456474930790527,PPP1R17;GRM1;PPP2R1B;PLCB4;KRAS;GNA12;PLCB1;PRKG1;GUCY1A2;NOS1;NRAS;GNAI3;GNA13;PRKCB;GUCY1A1;CRHR1;LYN;GNAI1;MAPK1;PLA2G4B;PLA2G4A;CRH;PRKG2;BRAF;GRIA3
