Term,NES,NOM p-val,FDR q-val,Lead_genes
Allograft Rejection,-1.825622242238288,0.01,0.038600723763570564,CDKN2A;NOS2;IL18RAP;CCR2;CD40;CXCL9;TLR6;ITGAL;IL2RB;CD79A;RPL3L;CCL5;IL12RB1;TRAT1;PTPRC;CD4;CCR5;IL15;CD74;CFP;RPL39;C2;LTB;FCGR2B;BRCA1;TGFB1;CARTPT;INHBB;ITK;ELF4;F2R;GBP2;NCF4;CD86
Reactive Oxygen Species Pathway,-1.533567524534774,0.07407407407407407,0.13510253317249699,NDUFB4;MGST1;PRDX4;MBP;LSP1;OXSR1;GPX4;GSR;NDUFA6;HHEX;ATOX1;GPX3;PRDX6;PRNP;GLRX;NQO1
Oxidative Phosphorylation,-1.4983533763626409,0.01,0.10293526336952151,NDUFB4;UQCR10;NDUFA7;UQCRH;CYB5A;GPX4;COX6A1;NDUFA6;COX6C;NDUFB7;ATP6AP1;TCIRG1;OXA1L;ECHS1;POLR2F;NDUFB1;PDK4;TIMM8B;VDAC2;MTX2;BCKDHA;VDAC3;ATP6V1E1;NDUFS3;TOMM22;SLC25A3;ATP6V1F;MRPL11;HCCS;COX7A2;NDUFS8;FDX1;SLC25A11;FXN;COX7C;NDUFV2;TIMM9;NDUFB5;CYC1;MRPS12;ALDH6A1;NDUFA2;BDH2;ISCA1;NDUFS7;MRPL35;MDH1;COX4I1;COX5A;NDUFAB1;MRPL34;COX7A2L;UQCRC1;PHYH;UQCRFS1;SDHB;ISCU;IDH1;MRPS15;COX6B1;UQCRQ;LDHB;MRPS30;COX17;CYB5R3;ATP6V1D;ACAA2;GLUD1;MRPS11;NDUFA5;GRPEL1;PDHX;ALAS1;HSD17B10;NQO2;PDHA1;LDHA;ATP5PB;MAOB;IDH3A;COX7B;HSPA9;NDUFB2
KRAS Signaling Dn,-1.3947381702383248,0.125,0.3281061519903498,SHOX2;SLC6A3;TNNI3;OXT;KLK7;EDAR;HNF1A;PDCD1;NPHS1;SGK1;CAPN9;RSAD2;CCNA1;PNMT;KRT15;AKR1B10;MSH5;BRDT;CPA2;RGS11;EFHD1;TSHB;P2RX6;BMPR1B;ITIH3;TEX15;SNCB;SLC5A5
TGF-beta Signaling,-1.3823847229290191,0.03225806451612903,0.27792521109770807,CDH1;LEFTY2;ID2;TGFB1;SERPINE1;LTBP2;FKBP1A;SLC20A1;BCAR3;ENG;IFNGR2;ACVR1;BMPR1A;ID3;TGIF1
Interferon Gamma Response,-1.3469173147908253,0.05263157894736842,0.27663852030558905,CXCL10;CD40;CXCL9;IL2RB;EPSTI1;BANK1;CCL5;IFI44;CASP1;FPR1;ITGB7;MX2;IL15;CD74;GBP4;RSAD2;CIITA;TNFSF10;CD274;PLA2G4A;UBE2L6;RTP4;NLRC5;SERPING1;FGL2;CASP8;CD86;GBP6;IFIT2;BATF2;PSME1;PARP14;LYSMD2;CFB
Adipogenesis,-1.302525543698787,0.01,0.2977770118904015,CYP4B1;UBC;ANGPT1;UQCR10;RETN;PEMT;DDT;CHCHD10;CDKN2C;GPAM;PIM3;GPX4;DGAT1;C3;GBE1;COX6A1;SLC25A10;NDUFB7;OMD;VEGFB;MRAP;TST;ECHS1;TANK;CCNG2;PPARG;STAT5A;BCKDHA;LAMA4;CD302;CMBL;NDUFS3;GPX3;PEX14;SSPN;RNF11;CYC1;DNAJB9;PREB;STOM;ITIH5;ACADL;HIBCH;CMPK1;PFKFB3;APLP2;RTN3;PLIN2;REEP5;NDUFAB1;UQCRC1;FZD4;PHYH;SDHB;IDH1;SLC19A1;HADH;SQOR;UQCRQ;CD36;ATP1B3;COL15A1;JAGN1;MTCH2;ACAA2;NDUFA5;GRPEL1;CAVIN2;SOWAHC;COQ9;ACADS;BCL6;MTARC2;IDH3A;COX7B;ME1;LTC4S;ALDOA;MRPL15;QDPR;ARL4A;ACOX1
IL-2/STAT5 Signaling,-1.2709067731429935,0.01,0.3039806996381182,CXCL10;CDC6;CD79B;IL2RB;CST7;EOMES;BATF3;CD48;MAP3K8;MUC1;ANXA4;GBP4;S100A1;TNFSF10;TRAF1;TNFRSF4;LTB;SPP1;IL3RA;CD44;RHOH;EEF1AKMT1;ITGA6;RGS16;FGL2;CD86;PTH1R;GPX4
Xenobiotic Metabolism,-1.269071470086941,0.01,0.2744940356520573,TTPA;SLC6A12;FMO1;AQP9;PTGES;PTGDS;PEMT;HACL1;ID2;SERPINE1;DDT;CYB5A;ARG2;EPHA2;CYP2E1;GSR;FETUB;CFB;GSTA3;PPARD;PDK4;HSD11B1;TMBIM6;DHRS1;LCAT;ELOVL5;VTN;SSR3;DCXR;CBR1;TMEM176B;SLC46A3;HMOX1;CYP2S1;PTS;NDRG2;NQO1;ENTPD5;SLC35D1;GNMT;TKFC;IDH1;SLC35B1;TMEM97;CD36;ASL;GAD1;NINJ1;DHPS;MPP2;SHMT2;RBP4;CDO1;ALAS1;ADH5;JUP;UGDH;PSMB10;SERTAD1;GSTO1
Inflammatory Response,-1.2486847603934688,0.11764705882352941,0.28950542822677927,CXCL10;IL18RAP;OPRK1;CD40;CXCL9;IL2RB;IL7R;ADM;CCL5;CYBB;CD48;FPR1;EMP3;CCL17;IL15;NDP;AQP9;PROK2;TNFSF10
Interferon Alpha Response,-1.1958740581873855,0.15384615384615385,0.3684614541068099,CXCL10;EPSTI1;IFI44;CASP1;IL15;CD74;GBP4;RSAD2;LPAR6;UBE2L6;RTP4;GBP2;CASP8;IFIT2;BATF2;PSME1;PARP14
Angiogenesis,1.1947812175936947,0.22972972972972974,1.0,LUM;THBD;FSTL1;CCND2;NRP1;PDGFA;COL5A2;LPL;MSX1;TIMP1;APOH;POSTN;VAV2
Myc Targets V1,-1.1553531115073836,0.01,0.440691596300764,CDK2;PRDX4;IFRD1;LSM2;RPL34;SRSF2;RPS6;USP1;KPNA2;UBE2L3;RPLP0;LSM7;AIMP2;TRIM28;HDDC2;MRPL23;SRM;RPL18;CDC45;RPS10;YWHAE;VDAC3;TXNL4A;SLC25A3;HDAC2;PSMC4;RACK1;RPL22;RPS5;CYC1;RPL6;MYC;SNRPG;PHB;NOP56;PPIA;RPL14;TFDP1;COX5A;EEF1B2;SNRPD1;DUT;NDUFAB1;PSMB2;AP3S1;CCNA2;FBL;XPOT;SRPK1;SNRPD2;U2AF1;PSMB3;CDC20;CLNS1A;PA2G4;LDHA;RPS3;CDK4;UBE2E1;XRCC6;SSB;MRPS18B;SYNCRIP;ETF1;RRP9;TCP1;RPS2;TUFM;CBX3;POLE3;ABCE1;NOP16;SRSF7;RAN;BUB3;STARD7;NPM1;SRSF3;PWP1
Mitotic Spindle,1.148524953457225,0.20930232558139536,1.0,KIF23;KIF20B;KIF22;SASS6;DST;CNTRL;BRCA2;TSC1;RASAL2;TOP2A;FBXO5;CENPF;NOTCH2;ACTN4;MYH9;MID1;MYH10;KIF1B;SSH2;AKAP13;ARHGEF12;ALMS1;DYNC1H1;CEP250;NF1;TRIO;SPTBN1;PALLD;CCDC88A;CLASP1;RASA1;DOCK4;PCM1;SPTAN1;RALBP1;KIF5B;TUBGCP5;CEP72;ARFGEF1;NCK2;LATS1;PCGF5;CDC42BPA;ARHGEF11;NUSAP1;TAOK2;ALS2;SORBS2;SUN2;KIF11;ITSN1;APC;RAPGEF6;SOS1;DYNLL2;BCL2L11;ANLN;CLIP1;INCENP;KIF3C;PCNT;CEP131;OPHN1;ROCK1;SHROOM1;FGD4;SMC3;DOCK2;RAPGEF5;ARHGAP5;FLNA;PLEKHG2;CD2AP;RICTOR;FLNB;SMC4;NUMA1;PDLIM5;RABGAP1;VCL;CEP192;ARF6;KIF2C;NEDD9
UV Response Dn,1.1465464574690158,0.2441860465116279,1.0,SNAI2;NFIB;SCN8A;IGF1R;MAP1B;SYNE1;CELF2;PTEN;NOTCH2;NRP1;BDNF;COL5A2;PRKCE;PTPRM;ZMIZ1;IRS1;DAB2;CDON;KCNMA1;LDLR;NIPBL;ATRX;ATRN;MMP16;ATXN1;RXRA;KALRN;VAV2;FZD2;SIPA1L1;MGLL;ITGB3;SCAF8;RBPMS;PHF3;COL1A1;ARHGEF9;CDC42BPA;ATP2B1;APBB2;LAMC1;CACNA1A;NR3C1;ABCC1;VLDLR;PDGFRB;SFMBT1;SYNJ2;INSIG1;TOGARAM1
IL-6/JAK/STAT3 Signaling,-1.1205430220650536,0.28,0.5196251275865269,CXCL10;CXCL9;IL12RB1;MAP3K8;LTB;TGFB1;IL3RA;CD44
Estrogen Response Late,-1.0963984819489643,0.15384615384615385,0.551438910908151,CDC6;CDH1;KRT19;S100A9;OPN3;SFN;SGK1;SLC16A1;MAPK13;PKP3;CCNA1;SOX3;SLC27A2;TRIM29;TJP3;PTGES;KIF20A;CAV1;ID2;CD44;LAMC2;HMGCS2;WFS1;RET;MYB;SIAH2;SCNN1A;LLGL2;COX6C;CCND1;KLK10;CD9;CCN5;TST;BTG3;BATF;SLC7A5;LTF;ISG20;PRKAR2B;ELOVL5;KCNK5;SULT2B1;EGR3;DCXR;NXT1;CXCL14;SLC1A4;GLA;IGSF1;BAG1;RAPGEFL1
Notch Signaling,-1.061588670525306,0.35294117647058826,0.6304784881383193,TCF7L2;FZD1;SAP30;JAG1;FZD7;PSENEN;CCND1;LFNG;PPARD;DTX2
Pancreas Beta Cells,-1.060886498634162,0.27586206896551724,0.5910735826296744,NKX6-1;HNF1A;SCGN;SST;LMO2;MAFB
