Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,-2.282135070968159,0.01,0.01,RPL3L;RPS27;RPLP1;RPL39;MRPL33;RPS7;RPL26;RPL37A;RPS12;RPL38;RPL12;RPL29;RPSA;RPL34;MRPS6;RPS6;RPL36;UBA52;RPL17;RPS25;RPL10A;RPS20;RPS26;RPL36A;RPLP0;RPL41;RPL27A;RPL18A;RPL19;MRPL23;RPS24;MRPL4;RPL18;RPS10;RPS14;RPS27L;RPS13;RPL24;RPS15A;MRPL11;RPL22;RPS4X;RPL10;MRPS2;RPS5;RPS27A;MRPS12;FAU;RPL28;RPS15;RPL6;RSL24D1;MRPL35;RPL30;RPL27;RPL35;RPL5;RPL14;RPL7;RPL31;RPS8;MRPS18A;MRPL16;MRPL36;MRPL34;RPL21;RPL13;MRPL17;MRPL24;MRPS15
Viral protein interaction with cytokine and cytokine receptor,-2.0019277118545045,0.01,0.01,CXCL10;IL18RAP;CXCL5;CCR2;CXCL9;IL2RB;TNFRSF14;CCL5;TNFRSF10B;CCL17;CCR5;CXCR4;TNFSF10;ACKR3
Primary immunodeficiency,-1.79490677725825,0.01,0.08163681820501047,CD40;IL7R;CD79A;PTPRC;AIRE;CD4;BTK;CIITA
Cytokine-cytokine receptor interaction,-1.755024139714203,0.01,0.09796418184601255,CXCL10;IL18RAP;CXCL5;CCR2;CD40;CXCL9;IL2RB;IL7R;CLCF1;EDAR;TNFRSF14;CCL5;TNFRSF10B;EDA2R;IL12RB1;IL13RA2;CCL17;CD4;CCR5;IL15;AMHR2;CXCR4;RELT;NGF;TNFSF13B;TNFRSF25;NODAL;TNFSF10;TNFRSF4;LTB;TGFB1;IL3RA;ACKR3;IL17D;INHBB;TNFSF12;TNFRSF11B;LTA
Tyrosine metabolism,-1.7183617151159285,0.029411764705882353,0.1224552273075157,DBH;IL4I1;GOT1L1;ALDH3B2;PNMT;MIF
Protein digestion and absorption,1.5962071000511608,0.01,0.9265788698615728,ATP1A4;COL4A3;KCNJ13;COL4A4;COL8A1;COL17A1;COL13A1;KCNQ1;COL9A3;COL4A6;COL9A1;XPNPEP2;COL4A5;SLC9A3;COL6A5;COL9A2;KCNN4;ELN;SLC8A1;COL5A2;SLC1A5;COL7A1;COL25A1;COL18A1;KCNE3;COL27A1;MME
Staphylococcus aureus infection,-1.567260543311109,0.01,0.35103831828154497,KRT19;FGG;ITGAL;KRT20;FPR1;C2;FCGR2B;KRT15;KRT12;C3;CFB;ITGAM;C4A;CFH;SELPLG
Phenylalanine metabolism,-1.5372100964066988,0.022222222222222223,0.3568695195819029,IL4I1;GOT1L1;ALDH3B2;MIF
Coronavirus disease,-1.518183036448958,0.01,0.3704270626052349,CXCL10;FGG;RPL3L;RPS27;CYBB;CASP1;MX2;RPLP1;MAPK13;RPL39;C2;RPS7;RPL26;RPL37A;RPS12;RPL38;C7;RPL12;RPL29;RPSA;RPL34;RPS6;RPL36;UBA52;RPL17;RPS25;IRAK4;RPL10A;C3;RPS20;MAPK3;RPS26;RPL36A;TLR3;CFB;RPLP0;RPL41;RPL27A;RELA;MAPK12;RPL18A;RPL19;RPS24;RPL18;RPS10;JUN;C4A;RPS14;RPS27L;RPS13;RPL24;RPS15A;RPL22;IKBKE;RPS4X;RPL10;RPS5;RPS27A;NFKBIB;FAU;RPL28;RPS15;RPL6;RSL24D1;RPL30;RPL27;ADAM17;RPL35;RPL5;RPL14;RPL7;RPL31;MX1;RPS8
Intestinal immune network for IgA production,-1.4898329089988478,0.07894736842105263,0.4190690001190537,CD40;ITGB7;IL15;CXCR4;TNFSF13B;TGFB1;CD86
