Term,NES,NOM p-val,FDR q-val,Lead_genes
Interferon Gamma Response,2.542952171252346,0.01,0.01,CCL7;CXCL10;CCL2;PTGS2;IFIT1;CD74;FGL2;MX1;OAS3;ZBP1;CFH;SLAMF7;SAMD9L;DDX60;GBP4;PLA2G4A;SERPING1;UBE2L6;USP18;TNFSF10;IFIT3;RSAD2;IFI44;PARP14;STAT4;TXNIP;CASP4;GBP6;RTP4;OAS2;IFITM3;ICAM1;CD86;IFIH1;MX2;CASP1;VAMP5;ST8SIA4;DDX58;TRIM21;TNFAIP6;FPR1;CASP8;SP110;CD38;B2M;PSMA3;VCAM1;TNFAIP3;IL15;BANK1;NLRC5;EPSTI1;PLSCR1;RNF213;IFI30;IFIT2;IRF1;FAS;ISG15;PNPT1;SRI;STAT1;PTPN2;JAK2;NMI;IFI35;CD40;RIPK1;SPPL2A;HIF1A;PSMB8;NAMPT;ISG20
Interferon Alpha Response,2.348875461401956,0.01,0.01,CXCL10;CD74;MX1;SAMD9L;IFITM1;DDX60;GBP4;UBE2L6;GBP2;USP18;IFIT3;RSAD2;IFI44;PARP14;TXNIP;TRIM5;RTP4;IFITM3;IFIH1;CASP1;TRIM21;CASP8;SP110;B2M;PSMA3;PARP9;IL15;LPAR6;ELF1;EPSTI1;PLSCR1;IFI30;IFIT2;IRF1;TENT5A;ISG15;PNPT1;NMI;TMEM140;IFI35;PSMB8;ISG20
Allograft Rejection,2.3044415263836187,0.01,0.01,CCL7;CCR1;CCL19;CCL2;CCR2;CD74;CD8A;CXCL13;PF4;SRGN;C2;GBP2;ITGAL;IL2RG;TIMP1;RPL39;FCGR2B;STAT4;PTPRC;CD79A;FGR;ICAM1;IGSF6;CD86;ST8SIA4;TLR6;GLMN;ITK;TLR1;B2M;CD80;SPI1;CAPG;TLR3;IL18;TLR2;IL15;EGFR;UBE2D1;CCL22;ACVR2A;LYN;FAS;STAT1;NCK1;JAK2
Inflammatory Response,2.0081276537430837,0.01,0.01,CCL7;CXCL10;CCL2;SPHK1;IFITM1;OSMR;MSR1;TNFSF10;PLAUR;TIMP1;CD48;RGS1;EMP3;IL1A;CALCRL;RTP4;CYBB;CCL17;SLAMF1;C3AR1;ICAM1;TNFRSF9;TNFSF9;ITGA5;TNFAIP6;FPR1;PROK2;C5AR1;LPAR1;IL7R;TLR1;GPC3;KCNJ2;TLR3;IL18;TLR2;IL15;PVR;HAS2;SLC7A2;NDP;PDPN;EDN1;P2RX7;CD55;IRF1;CCL22;GNAI3;APLNR;ACVR2A;LYN;OPRK1;SRI;NPFFR2;NMI;KLF6;CD40;HIF1A;ADM;NAMPT;SLC31A2;EIF2AK2;ADGRE1;GPR183;GNA15
Epithelial Mesenchymal Transition,1.8587006192940556,0.01,0.01,LOX;FOXC2;SPP1;MGP;CCN2;FMOD;COL3A1;TNFRSF11B;COL1A1;COL1A2;DCN;BGN;COMP;LUM;PLAUR;THBS1;PRRX1;TIMP1;MFAP5;EMP3;FBLN1;FN1;ITGA2;FBLN5;SDC1;NNMT;ECM2;IGFBP4;VIM;ITGA5;TAGLN;SFRP4;COL5A1;ECM1;VCAM1;COL5A2;CAPG;ANPEP;TGFBI;TNFAIP3;IL15;PVR;THBS2;DAB2;CALD1;VEGFC;TGFBR3;COL6A2;GAS1
Pperoxisome,-1.8458372382081027,0.01,0.06487488415199258,TTR;ALB;STS;CRABP1;DLG4
KRAS Signaling Up,1.8318013867726641,0.01,0.01,CXCL10;MPZL2;PTGS2;LY96;SPP1;GYPC;F13A1;CFH;ALDH1A2;APOD;TFPI;RBP4;TLR8;IL2RG;PLAUR;PRRX1;ANGPTL4;ADGRL4;ITGA2;IGF2;MALL;C3AR1;ITGBL1;GNG11;PLAU;IL7R;ATG10;CXCR4
Angiogenesis,1.8136858318386277,0.01,0.01,SPP1;COL3A1;THBD;PF4;LUM;TIMP1;VTN;SLCO2A1;COL5A2;APOH;LPL;JAG1
IL-6/JAK/STAT3 Signaling,1.8046474085634674,0.01,0.01,CCL7;CXCL10;CCR1;CXCL13;PF4;OSMR;IL2RG;IL1R2
Coagulation,1.597288341143545,0.01,0.015247478301665495,ANXA1;DPP4;THBD;PF4;CFH;VWF;SERPING1;C2;LEFTY2;COMP;THBS1;TIMP1;FN1;ITGA2;HMGCS2;PROS1;CTSK;PLAU;LAMP2;PLEK;F8
