Term,NES,NOM p-val,FDR q-val,Lead_genes
Viral protein interaction with cytokine and cytokine receptor,2.4472959164063313,0.01,0.01,CCL7;CXCL10;CCR1;CCL19;CCL2;CCR2;CCL8;CXCL13;PF4;CCL3;CCR9;IL2RG;TNFSF10;CCL28;CCL17
IL-17 signaling pathway,2.1185226880534453,0.01,0.01,CCL7;LCN2;CXCL10;S100A8;CCL2;PTGS2;S100A9
Rheumatoid arthritis,2.110511942912301,0.01,0.01,CCL2;CCL3;ATP6V0A4;ITGAL;TLR4;ACP5;IL1A;ICAM1;TNFSF13;CD86;FOS;CTSK;CD80;IL18;TLR2;IL15
Cytokine-cytokine receptor interaction,2.1044666031818298,0.01,0.01,CCL7;CXCL10;CCR1;CCL19;CCL2;CCR2;CCL8;IL13RA2;BMP5;CXCL13;PF4;CCL3;TNFRSF11B;CNTF;CCR9;EDA2R;OSMR;IL2RG;TNFSF10;CXCL16;IL1RL1;IL1A;BMP4;IL21R;CCL28;IL1R2;CLCF1;IL31RA;CCL17;TNFRSF9;TNFSF13;TNFSF9;BMP6;TNFRSF13B
Thyroid hormone synthesis,-2.034308313528802,0.01,0.14805502144653157,TTR;ALB;FXYD2;TG;ATP1A3;CREB3L3;ADCY5;ATP1B2;TSHB;ADCY6;CREB3L1;ADCY8;DUOX2;ATP1A1;ITPR3;ADCY3;PDIA4;PRKACA;ITPR1;ATF6B
Porphyrin and chlorophyll metabolism,1.9833814349006142,0.01,0.01,ALAS2;CP;UGT1A8;UGT1A9;UGT1A5;UGT1A10;UGT1A1;HCCS;HMOX1
Proximal tubule bicarbonate reclamation,-1.9644476486133535,0.01,0.09111078242863481,AQP1;PCK1;FXYD2;ATP1A3;SLC38A3;ATP1B2
NOD-like receptor signaling pathway,1.938748934561304,0.01,0.01,CAMP;CCL2;OAS3;GBP5;GBP4;GBP2;TLR4;CASP12;ANTXR2;TXNIP;CASP4;GBP7;CYBB;OAS2;GBP3;NLRC4;CASP1;CASP8;AIM2;IKBKE;IL18;TNFAIP3;BIRC3;VDAC3;YWHAE;NEK7;ERBIN;TRAF6;P2RX7;PKN2;ATG5;GSDMD;BRCC3;CHUK;TANK;STAT1;ATG12;RIPK1;DNM1L;BIRC2;MAPK8;NAMPT;TAB2
Influenza A,1.9334957580255152,0.01,0.01,CXCL10;CCL2;TPSB2;MX1;OAS3;TLR4;TNFSF10;RSAD2;SLC25A31;IL1A;OAS2;ICAM1;IFIH1;MX2;CASP1;DDX58;CASP8;CDK6;IKBKE;TLR3;IL18;NXT2;NXF2;IL33;XPO1;FAS;CHUK;STAT1;ACTG1;APAF1;JAK2
Drug metabolism,1.9230872278549003,0.01,0.01,FMO2;UPB1;UGT1A8;DPYS;NAT2;MGST2;UGT1A9;UGT1A5;UGT1A10;NAT1;FMO4;GSTO2;UGT1A1;GSTM2;FMO5;MGST1;GSTA3;NME4;MPO;GSTA4;FMO1;ALDH3A1;AOX1;GMPS;RRM2B;HPGDS;GSTT2;CYP2E1;CMPK1;ADH5;NME1;GSTK1;NME7;GSTT1;GSTM5;RRM1;GSTM4;RRM2
