Term,NES,NOM p-val,FDR q-val,Lead_genes
Epithelial Mesenchymal Transition,1.6295387875509633,0.01,0.08278291501541171,FMOD;FOXC2;MGP;LOX;SPP1;IGFBP2;MFAP5;EMP3;TAGLN;TIMP1;CCN2;COMP;ACTA2;TPM2;FN1;BGN;PCOLCE;FBLN1;COL3A1;ITGA5;LGALS1;COL5A1;COL1A2;LOXL2;ANPEP;TGM2;TNFRSF11B;MYL9;ELN;COL6A2;LAMC2;LUM;IGFBP4;ECM1;PLAUR;POSTN;CAPG;GPX7;PCOLCE2;CCN1;COL1A1;MYLK;THBS1;CRLF1;GADD45B;VIM;TNFRSF12A;SDC1;COL12A1;TNFAIP3;IGFBP3;GADD45A;ADAM12;ITGB3;TGFB1;PPIB;TGFBR3
Angiogenesis,1.5942443778937714,0.023809523809523808,0.07760898282694849,SPP1;THBD;TIMP1;COL3A1;S100A4;PGLYRP1;SLCO2A1;VTN;LUM;PF4;POSTN
Hedgehog Signaling,-1.5716250798027742,0.037037037037037035,0.04585152838427948,PLG;CDK6;PTCH1;VEGFA;CELSR1;VLDLR;ACHE;SCG2;ADGRG1;NRP2;SHH;CRMP1;SLIT1;RTN1
Allograft Rejection,1.5486811107574616,0.01,0.08968149126669604,GZMB;CCR2;CXCL9;CCL5;CCL4;NOS2;IL2RA;FGR;CD74;IL2RG;TIMP1;IRF4;LTB;RPL3L;CD96;BCL3;ITGAL;C2;ICAM1;CD4;IL2RB;TLR1;CD79A
Interferon Gamma Response,1.5214487660020064,0.01,0.09571774548656979,CFB;CXCL9;PTGS2;CCL5;CASP4;FGL2;CD74;IRF4;CSF2RB;CASP1;IFI30;SERPING1;IFITM2;ICAM1;IL2RB;CFH;TNFAIP2;OAS2;ISG15;ITGB7;UPP1;CDKN1A;VAMP5;ZBP1;ISG20;MX1;FPR1;IFI35;SP110;TRIM14;IFITM3;HELZ2;PTPN6;IFIH1;IRF7;MVP
KRAS Signaling Up,1.510282951689442,0.01,0.08071334214002641,MPZL2;CFB;PTGS2;ALDH1A2;SPP1;IGF2;LY96;IL2RG;GYPC;F2RL1;TSPAN1;CFH;IL1RL2;TFPI;KCNN4;ADGRL4;EMP1;PLEK2;IL7R;F13A1;TNNT2;RBP4;KLF4;LAT2;ANGPTL4;PLAUR;ADAM8;GADD45G;FLT4;LCP1;CXCR4;MALL;FCER1G;SEMA3B;TRAF1;GNG11;TNFAIP3;IGFBP3;ETV4;PCP4;PCSK1N;PTCD2
Oxidative Phosphorylation,1.461790800187571,0.01,0.11210186408337003,UQCR11;NDUFB1;NDUFB2;TIMM13;NDUFS6;UQCR10;COX6C;COX17;NDUFA2;UQCRQ;NDUFA3;TIMM10;NDUFB7;MRPS11;MRPS12;NDUFA1;NDUFA5;ETFB;NDUFC1;BAX;UQCRH;COX6B1;NDUFS7;COX5B;COX7C;MRPL11;NDUFA8;NDUFS4;COX7A2;NDUFB6;NDUFA4;BCKDHA;NDUFS8;NDUFA7;GPX4;ATP6V1F;MRPL34;FXN;COX4I1;NDUFS3;NDUFA6;POLR2F;NDUFB4;COX7B;TIMM8B;NDUFB5;NDUFB3;TIMM9;NDUFB8;MRPS15;HSD17B10;MRPL15;BDH2;NDUFAB1;UQCRB;TIMM17A;COX8A;ACAA2;SDHB;COX10;ECH1;ATP6V1G1;FDX1;COX6A1;COX5A;MTRF1;NDUFV2;LDHB;VDAC3;ATP6V0B;NDUFV1;ECI1;MDH1;SURF1;SDHC;NDUFC2;CPT1A;PHB2;COX7A2L;TCIRG1;ACADSB;IDH2;ALAS1;ISCU;CYB5A;MDH2;CYC1;PRDX3;SUCLG1;HADHA;OXA1L;UQCRC1;GRPEL1;IDH3G;ATP5PB;ATP6V1E1;TIMM50;ETFA;NQO2;NDUFA9;CYCS;MRPS22
Inflammatory Response,1.4431822544368793,0.010869565217391304,0.11086997546706927,OSM;CXCL9;CCL5;GPR132;CYBB;SPHK1;EMP3;CXCR6;KCNA3;TIMP1;OSMR;IFITM1;LTA;CD70;TNFRSF9;HAS2;ICAM1;ITGA5;IL2RB;TLR1;IL1R1;CDKN1A;IL7R;FPR1;ICAM4;CCRL2;CD14;NOD2;PLAUR
Myogenesis,1.4113333449088605,0.01,0.12934830471158082,SPHK1;TAGLN;TPM2;GJA5;AEBP1;HSPB2;MYH11;COL3A1;COX6A2;SH3BGR;MYOM1;MYH4;MYL4;CDKN1A;IGFBP7;CHRNB1;PTGIS;COL6A2;COX7A1;MYLPF;TNNC1;TNNT2;TCAP;MYH3;LSP1;HRC;SOD3;DAPK2;IGF1;TNNI1;DES;COL1A1;STC2;MYLK;KLF5;SMTN;ACTA1;GADD45B;FXYD1;PVALB;CRYAB;CTF1;MYH7;IGFBP3;TNNT1;ADAM12;FABP3;SYNGR2;TGFB1;BIN1;MAPK12;MYH2;APOD;CACNG1;TEAD4;PDLIM7;FST;FGF2;NQO1
IL-6/JAK/STAT3 Signaling,1.3707007333220451,0.08139534883720931,0.1816625079504868,CXCL9;IL2RA;IL2RG;CSF2RB;LTB;OSMR;IL1R1;IL1R2;MAP3K8;PF4;CD14;HMOX1;TNFRSF12A;ACVRL1;IL3RA;EBI3;IL17RB;ITGB3;TGFB1
Estrogen Response Late,1.3575149268991296,0.010752688172043012,0.187296345222369,CDH1;TOP2A;PKP3;CCN5;LTF;ACOX2;KRT19;FOXC1;HR;TRIM29;SLC26A2;S100A9;MYOF;NBL1;FKBP5;ST6GALNAC2;NMU;ISG20;PDLIM3;LAMC2;TNNC1;DCXR;CYP26B1;IGFBP4;KLF4;COX6C;GPER1;KIF20A;PERP;CLIC3;ANXA9;ETFB;PTPN6;DUSP2;SEMA3B;CDC6;MDK;TST;NAB2;KCNK5;SCUBE2;BLVRB;IL17RB;PCP4;PRSS23;LSR;EGR3;ALDH3B1
Complement,1.3515714539295294,0.04081632653061224,0.18438012889796246,CFB;GZMB;CCL5;F10;CASP4;DPP4;LTF;TIMP1;CASP1;FN1;SERPING1;C2;S100A9;CFH;GNGT2;LGALS3;ADRA2B;ATOX1;CP;NOTCH4;MT3;MAFF;F5;GZMK;PLAUR;S100A13;APOA4
