Term,NES,NOM p-val,FDR q-val,Lead_genes
Ribosome,2.1189373841422867,0.01,0.01,RPL3L;RPL41;RPL36;RPL37A;RPL38;MRPS21;RPLP2;RPS28;RPS27;RPL34;RPS21;RPS29;FAU;RPL37;RPL24;RPS11;MRPS11;MRPS12;RPLP1;RPS15;RPL35A;MRPL28;RPL11;RPL28;RPL21;RPS27L;MRPL13;MRPL24;RPS12;RPL27;RPL18A;RPS18;RPS19;RPL10A;RPL32;RPS10;RPS25;RPS13;RPL26;RPL13A;RPL35;MRPL36;RPL14;RPS24;MRPS9;RPSA;MRPL23;RPL31;MRPL11;RPS8;RPS23;RPS20;MRPS16;RPL39;RPL17;RPL30;RPL23;MRPL14;RPL9;MRPL12;RPL13;RPL8;RPL18;RPL27A;RPS14;RPL19;RPL29;MRPL20;MRPL34;RPS5;MRPS17;MRPL33;RPS17;MRPL30;RPL36A;MRPL32;RPS9;MRPL22;RPS26;MRPS15;MRPL15;UBA52;MRPS10;RPS27A;MRPS14;MRPL2;RPL6;RPS16;RPL5;MRPL27;RPS4X;MRPL4;RPL36AL;MRPS18C;RPL10;RPL22;RPS2;RPS3;RPLP0;MRPS7;RPL7;MRPL21;MRPL17;RPL22L1;MRPS18A;RPL23A
"Glycine, serine and threonine metabolism",-1.9012588291970043,0.01,0.35032537960954446,BHMT
Fat digestion and absorption,-1.8956084478657074,0.01,0.17516268980477223,APOB;FABP1;APOA1;PLA2G2D
Cysteine and methionine metabolism,-1.8286492471570368,0.01,0.19920462762111352,BHMT;MAT1A
Oxidative phosphorylation,1.7588752461400032,0.01,0.08922363847045191,COX6A2;COX6B2;UQCR11;COX7A1;NDUFB1;NDUFB2;NDUFS6;ATP6V1C2;NDUFA11;UQCR10;NDUFA13;COX6C;COX17;NDUFA2;UQCRQ;NDUFA3;NDUFB7;COX4I2;NDUFA1;NDUFV3;NDUFA5;NDUFC1;UQCRH;COX6B1;NDUFS7;COX5B;COX7C;NDUFA8;NDUFS4;COX7A2;NDUFB6;NDUFA4L2;NDUFA4;NDUFS8;NDUFA7;ATP6V1F;COX4I1;NDUFS3;NDUFA6;NDUFB4;NDUFB11;COX7B;NDUFB10;NDUFB5;NDUFB3;NDUFS5;NDUFB8;NDUFB9;NDUFAB1;UQCRB;COX8A;SDHB;COX10;ATP6V1G1;COX6A1;COX5A;PPA1;NDUFA10;NDUFV2;NDUFA12;ATP6V0B;NDUFV1;SDHC;NDUFC2;COX7A2L;TCIRG1
Primary bile acid biosynthesis,1.6315902437872922,0.014925373134328358,0.2541521823097721,CH25H;ACOX2;CYP39A1;SLC27A5
Prion disease,1.6302013521332013,0.01,0.19061413673232905,CCL5;CYBB;COX6A2;COX6B2;RAC2;CACNA1S;C7;CYBA;TUBA1C;UQCR11;COX7A1;NDUFB1;NDUFB2;NDUFS6;NDUFA11;UQCR10;NDUFA13;COX6C;NDUFA2;PSMA8;UQCRQ;NDUFA3;NDUFB7;COX4I2;NDUFA1;NDUFV3;GRIN3B;NDUFA5;NDUFC1;BAX;UQCRH;COX6B1;NDUFS7;PSMB6;COX5B;COX7C;PSMB1;PSMB4;PSMB3;NDUFA8;NDUFS4;COX7A2;NDUFB6;NDUFA4L2;NDUFA4;DDIT3;NDUFS8;NDUFA7;C1QA;SEM1;COX4I1;NDUFS3;NDUFA6;PSMD4;NDUFB4;NDUFB11;SOD1;COX7B;NDUFB10;MAPK11;NDUFB5;NDUFB3;NCF2;NDUFS5;MAPK12;NDUFB8;PSMA6;NDUFB9;PSMC5;NDUFAB1;PSMC3;UQCRB;PSMA3;COX8A;PSMC4;CREB3L4;PSMA2;PSMB7;PSMB5;PSMA7;SDHB;ITPR2;BAD;CREB3;COX6A1;PSMD6;PSMD3;COX5A;ADRM1;NDUFA10;NDUFV2;VDAC3;PSMC1;NDUFA12;C1QB;RYR1;PSMB2;NDUFV1;SDHC;HSPA1L;PSMA5;PSMC2;NDUFC2;PSMA1;CREB3L2;HSPA8;HSPA1A;COX7A2L;EIF2S1
Viral protein interaction with cytokine and cytokine receptor,1.620272333739006,0.03571428571428571,0.17358053302433374,CCR2;CXCL9;CCL5;CCL4;IL2RA;IL2RG;LTA;CCL3;IL2RB
Diabetic cardiomyopathy,1.5994219698759786,0.01,0.186558516801854,CYBB;COL3A1;COX6A2;COX6B2;RAC2;COL1A2;PLN;CPT1B;CYBA;UQCR11;COX7A1;NDUFB1;NDUFB2;NDUFS6;NDUFA11;UQCR10;NDUFA13;COX6C;NDUFA2;UQCRQ;NDUFA3;NDUFB7;COX4I2;NDUFA1;NDUFV3;NDUFA5;COL1A1;NDUFC1;UQCRH;COX6B1;NDUFS7;AGER;COX5B;COX7C;NDUFA8;NDUFS4;COX7A2;NDUFB6;NDUFA4L2;NDUFA4;NDUFS8;NDUFA7;COX4I1;NDUFS3;NDUFA6;NDUFB4;NDUFB11;COX7B;TGFB1;NDUFB10;NOS3;MAPK11;NDUFB5;NDUFB3;NCF2;NDUFS5;CPT2;MAPK12;NDUFB8;SLC2A1;NDUFB9;PPARA;MPC2;NDUFAB1;UQCRB;COX8A;SDHB;CTSD;COX6A1;COX5A;NDUFA10;NDUFV2;ATP2A1;VDAC3;TBC1D4;NDUFA12;RELA;ATP2A3;NDUFV1;SDHC
Cytokine-cytokine receptor interaction,1.5761484151817557,0.01,0.21668597914252608,OSM;CCR2;CXCL9;CCL5;CCL4;IL2RA;BMP6;CXCR6;IL2RG;CSF2RB;LTB;OSMR;LTA;CD70;TNFRSF9;CXCL16;CCL3;BMP4;CD4;IL2RB;BMP5;IL1RL2;IL1R1;TNFRSF18;BMP8B;TNFRSF11B;IL1R2;CCL28;TNFRSF4;IL12A;IL7R;BMP7;TNFRSF13C;PF4;TNFSF13;IL17RE;CCR10;GDF5
Cholesterol metabolism,-1.5746902477071807,0.045454545454545456,0.5563991323210412,APOB;APOA1;APOH;LIPG;LDLR
Hedgehog signaling pathway,-1.5652206546537095,0.01,0.4822125813449024,DHH;GLI3;PTCH1;SUFU;FBXW11;MOSMO;SMURF2;BOC;GPR161;PRKACB;EFCAB7;SMURF1;CCND1;CSNK1D;BCL2;CSNK1G3;SHH
Platelet activation,-1.5020373401623215,0.01,0.5804410701373826,F2;FGG;FGA;FGB;PLA2G4F;ITGA2;P2RY12;F2RL3;ADCY8;PLA2G4C;PRKCI;ADCY7;MAPK13;GP9;PIK3CB;PIK3R1;GNA13;PLA2G4E;PRKACB;SRC;GUCY1B1;PLCB3;ARHGEF12;F2R
Proteasome,1.4898282798863507,0.024390243902439025,0.4755214368482039,PSMA8;PSMB6;POMP;PSMB1;PSMB4;PSMB3;SEM1;PSME2;PSMD4;PSMA6;PSMC5;PSME1;PSMC3;PSMA3;PSMB10;PSMC4;PSMA2;PSMB7;PSMB5;PSMA7;PSMD6;PSMD3;ADRM1;PSMC1;PSMB2;PSMA5;PSMC2;PSMA1;PSMA4;PSMD13
Toll-like receptor signaling pathway,1.4878724152897915,0.011363636363636364,0.43259945925067594,CXCL9;CCL5;CCL4;SPP1;LY96;CCL3;TLR1;IKBKE;TLR4;TLR7;MAP3K8;IL12A;CTSK
Steroid hormone biosynthesis,-1.4830522483781,0.14814814814814814,0.5475674000619771,CYP2E1;CYP19A1
Huntington disease,1.4788970361214238,0.01,0.42827346465816923,COX6A2;COX6B2;TGM2;GPX6;PPARG;TUBA1C;UQCR11;COX7A1;NDUFB1;NDUFB2;NDUFS6;NDUFA11;UQCR10;POLR2L;NDUFA13;COX6C;NDUFA2;PSMA8;UQCRQ;NDUFA3;AP2S1;POLR2J;NDUFB7;COX4I2;NDUFA1;BBC3;NDUFV3;GPX7;NDUFA5;POLR2H;NDUFC1;BAX;POLR2K;UQCRH;COX6B1;NDUFS7;PSMB6;COX5B;COX7C;PSMB1;PSMB4;PSMB3;NDUFA8;POLR2E;NDUFS4;COX7A2;NDUFB6;NDUFA4L2;NDUFA4;NDUFS8;NDUFA7;DCTN3;SEM1;COX4I1;NDUFS3;ATG101;NDUFA6;PSMD4;POLR2F;NDUFB4;NDUFB11;SOD1;COX7B;NDUFB10;NDUFB5;NDUFB3;NDUFS5;NDUFB8;PSMA6;NDUFB9;PSMC5;POLR2I;NDUFAB1;PSMC3;UQCRB;PSMA3;COX8A;PSMC4;CREB3L4;PSMA2;PSMB7;PSMB5;PSMA7;SDHB;GPX1;DNAH11;POLR2C;CREB3;COX6A1;PSMD6;DNAH14;HIP1;PSMD3;COX5A;ADRM1;CLTB;DNAH8;NDUFA10;NDUFV2;DNALI1;VDAC3;DNAH12;DNAH6;PSMC1;POLR2G;NDUFA12;GPX3;PSMB2;NDUFV1;SDHC;PSMA5;PSMC2;NDUFC2;TBP;PSMA1;DNAL4;CREB3L2;CLTA
Nicotinate and nicotinamide metabolism,1.4626072921294362,0.023529411764705882,0.45644158853892336,ENPP3;QPRT;SIRT7;ENPP1;NT5C;BST1;NMNAT1;NAPRT;NADSYN1;NNMT;PNP;NT5C1A;NT5E;SIRT4;CD38;NT5M;SIRT5;NMRK1;SIRT3;SIRT1
Galactose metabolism,1.4464921225307172,0.04054054054054054,0.4920818848976439,LCT;HK3;B4GALT1;HK2;HKDC1;AKR1B10;GALK1;GALE;GALM;PFKL;GCK
Complement and coagulation cascades,-1.4456374160585557,0.01,0.5898861171366595,F2;FGG;FGA;FGB;PLG;KNG1;C4A;MASP2;F2RL3;ITGAM
Parkinson disease,1.4420808901392692,0.01,0.4698279704073447,COX6A2;COX6B2;TUBA1C;UQCR11;COX7A1;NDUFB1;NDUFB2;NDUFS6;NDUFA11;UQCR10;NDUFA13;COX6C;NDUFA2;PSMA8;UQCRQ;NDUFA3;NDUFB7;COX4I2;NDUFA1;PARK7;NDUFV3;NDUFA5;NDUFC1;BAX;UQCRH;COX6B1;NDUFS7;PSMB6;COX5B;COX7C;PSMB1;UCHL1;PSMB4;PSMB3;NDUFA8;NDUFS4;COX7A2;NDUFB6;NDUFA4L2;CALML4;NDUFA4;DDIT3;NDUFS8;NDUFA7;SEM1;COX4I1;NDUFS3;NDUFA6;PSMD4;NDUFB4;NDUFB11;COX7B;NDUFB10;NDUFB5;NDUFB3;NDUFS5;NDUFB8;PSMA6;UBA52;RPS27A;NDUFB9;PSMC5;NDUFAB1;PSMC3;UQCRB;PSMA3;COX8A;PSMC4;PSMA2;PSMB7;PSMB5;PSMA7;SNCA;SDHB;ITPR2;UBB;COX6A1;PSMD6;PSMD3;COX5A;ADRM1;NDUFA10;NDUFV2;VDAC3;NFE2L2;PSMC1;NDUFA12;PSMB2;UBC;NDUFV1;SDHC;PSMA5;PSMC2;NDUFC2;PSMA1;COX7A2L;EIF2S1;TXN2;PSMA4;LRRK2;TH;RYR3;PSMD13
Steroid biosynthesis,-1.4369424826716908,0.08571428571428572,0.5426608821402747,CYP27B1;TM7SF2;SC5D;NSDHL;DHCR24;SQLE;LSS
Malaria,1.4326522969123654,0.08450704225352113,0.48551564310544615,HGF;COMP;GYPC;ITGAL;ICAM1;TLR4;IL12A;THBS4;THBS1;SDC1
