Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Oxidative Phosphorylation,92/200,3.842942550172955e-12,1.921471275086477e-10,0,0,2.770714012982054,72.82761590378517,COX7B;MRPS15;MRPS11;COX4I1;MRPS12;HCCS;ETFB;TCIRG1;MRPL34;COX6A1;PHB2;COX7C;TOMM22;AIFM1;OPA1;NNT;PDK4;IDH3B;TIMM17A;COX8A;ATP6V1G1;ATP6V0B;ECH1;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;HADHB;AFG3L2;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;VDAC1;SLC25A5;ATP6V0C;SLC25A4;NDUFB8;NDUFB7;UQCRB;NDUFB6;ABCB7;NDUFB5;MGST3;TIMM9;NDUFB4;COX17;NDUFB3;TIMM13;NDUFB2;HTRA2;NDUFB1;UQCR11;COX7A2;UQCR10;TIMM10;MRPS30;COX5B;COX5A;HSD17B10;UQCRH;MRPL11;CYB5R3;GRPEL1;POLR2F;NDUFV1;ATP6V1F;TIMM8B;NDUFA8;SURF1;NQO2;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;IDH2;NDUFA2;NDUFA1;COX6C;ACADSB;LRPPRC;PDP1;GLUD1;ALDH6A1;UQCRQ;NDUFAB1;OGDH;CYCS;BAX
MSigDB_Hallmark_2020,Myc Targets V1,76/200,4.25865626178818e-06,0.00010646640654470452,0,0,1.9845890410958904,24.542533258047406,YWHAE;HDDC2;RPL34;PHB2;EEF1B2;SYNCRIP;FBL;PSMD7;XPO1;SNRPD2;TRIM28;SNRPD1;C1QBP;DHX15;SNRPD3;RPS10;STARD7;EIF1AX;NCBP2;RPL22;RPS6;CAD;NME1;PSMA4;PSMA2;SNRPG;NHP2;SRSF3;VDAC1;ERH;SNRPA1;PABPC1;PPIA;SRSF7;SNRPA;KPNB1;PRPS2;CSTF2;ODC1;CUL1;DDX21;U2AF1;COX5A;GSPT1;PSMA7;HSPD1;CDC45;PSMB2;G3BP1;ORC2;FAM120A;RPS3;USP1;RPL14;RPS2;RPL18;HNRNPA1;H2AZ1;NOP56;RANBP1;XRCC6;NOP16;PTGES3;PA2G4;DEK;MRPL23;HSPE1;LSM7;APEX1;HNRNPA2B1;NDUFAB1;POLE3;PRPF31;HDGF;ABCE1;EIF4G2
MSigDB_Hallmark_2020,UV Response Dn,58/144,7.328128973601602e-06,0.00012213548289336003,0,0,2.1808598204988345,25.786029258090903,NRP1;IRS1;CELF2;PTEN;FHL2;ICA1;PRDM2;VLDLR;NR3C1;RND3;RGS4;GJA1;SIPA1L1;DBP;ZMIZ1;CCN1;WDR37;IGFBP5;ANXA4;MAGI2;F3;INPP4B;ATRN;PLCB4;MMP16;DDAH1;MAP1B;RASA2;KIT;NOTCH2;SDC2;INSIG1;MRPS31;PIK3R3;ADD3;ATP2C1;LTBP1;SCAF8;ATXN1;GRK5;PRKAR2B;TOGARAM1;FYN;APBB2;PDLIM5;BDNF;MGMT;CAV1;NEK7;ATP2B4;NR1D2;ACVR2A;TJP1;DLC1;BHLHE40;AGGF1;CDK13;BMPR1A
MSigDB_Hallmark_2020,Hypoxia,72/200,6.117411843594828e-05,0.0007646764804493535,0,0,1.8193434559452524,17.650881523712048,ERO1A;ERRFI1;CDKN1A;NCAN;SLC2A1;IRS2;VLDLR;RBPJ;NR3C1;ENO3;HK1;GYS1;DPYSL4;FAM162A;KIF5A;PDK3;IDS;CCN1;LARGE1;TPI1;IGFBP3;FOS;AMPD3;F3;PGF;TPST2;PPP1R3C;DDIT4;RRAGD;ALDOC;S100A4;ANGPTL4;ALDOA;PPP1R15A;KDM3A;PFKFB3;SDC4;SDC2;AK4;GLRX;FOXO3;PRDX5;UGP2;NFIL3;NOCT;MXI1;VHL;PPARGC1A;DTNA;HSPA5;TIPARP;SIAH2;CAV1;KLHL24;GCK;PNRC1;HS3ST1;FOSL2;VEGFA;GRHPR;EFNA3;PFKL;KLF6;NAGK;P4HA1;P4HA2;CCNG2;BHLHE40;MAFF;ACKR3;PAM;GALK1
MSigDB_Hallmark_2020,DNA Repair,55/150,0.0002505592002877841,0.0025055920028778,0,0,1.8698285240055177,15.50427283265919,FEN1;SNAPC5;ZNRD1;MRPL40;GUK1;MPC2;PDE4B;NELFE;NCBP2;VPS37D;NME3;EDF1;GTF2F1;NME1;APRT;RRM2B;BOLA2;POLR1C;POLR1D;HCLS1;EIF1B;CCNO;POM121;GTF2A2;CSTF3;DCTN4;AK1;COX17;AAAS;NT5C;POLD4;POLR2A;POLR2E;POLR2F;POLR2G;POLR2I;POLR2J;RAE1;POLR2K;SF3A3;BCAP31;SURF1;POLR3GL;TAF13;ALYREF;TAF10;ADRM1;SMAD5;TARBP2;GTF2H5;NUDT9;AGO4;ERCC1;ADA;GSDME
MSigDB_Hallmark_2020,Protein Secretion,36/96,0.0017362112499322,0.014468427082769,0,0,1.93446519524618,12.29555747019464,COPB1;CLTC;SNAP23;USO1;ICA1;CLTA;CLCN3;RPS6KA3;GOLGA4;LAMP2;AP2S1;MAPK1;KIF1B;ARFIP1;DNM1L;ARFGEF1;ABCA1;ARFGEF2;MON2;DST;CAV2;GBF1;ADAM10;AP2B1;STAM;SCAMP1;ARCN1;SOD1;VAMP7;RER1;RAB14;YIPF6;ERGIC3;PAM;VAMP3;BET1
MSigDB_Hallmark_2020,Unfolded Protein Response,40/113,0.0034175707265987,0.0244112194757051,0,0,1.766622827946602,10.032342400583746,ERO1A;DCTN1;POP4;IFIT1;HSP90B1;RPS14;TATDN2;SERP1;EXOSC4;BAG3;KIF5B;EIF4EBP1;DNAJB9;BANF1;CHAC1;SEC11A;PAIP1;TSPYL2;NOP56;XBP1;HSPA5;WFS1;FUS;EDEM1;EEF2;LSM4;ARFGAP1;VEGFA;CNOT4;DNAJC3;SLC7A5;SPCS3;CNOT6;TUBB2A;SPCS1;DDIT4;NHP2;CALR;ATF6;DCP2
MSigDB_Hallmark_2020,mTORC1 Signaling,63/200,0.0072607094501283,0.0453794340633019,0,0,1.483605854996144,7.307170884410693,ERO1A;GSK3B;CDKN1A;BTG2;TFRC;PITPNB;UBE2D3;ARPC5L;SLC2A1;ATP2A2;VLDLR;SLC7A11;TM7SF2;SERP1;ME1;STARD4;TPI1;IGFBP5;ELOVL5;ELOVL6;CACYBP;ACSL3;SYTL2;SLC7A5;PSMA4;DDIT4;ALDOA;SQSTM1;PPIA;PPP1R15A;IDI1;FKBP2;INSIG1;USO1;GMPS;PIK3R3;AK4;GLRX;ADD3;CORO1A;ACACA;HSP90B1;HSPD1;PSMB5;NFIL3;PRDX1;SERPINH1;SEC11A;XBP1;SDF2L1;HSPA5;EDEM1;PLK1;PDAP1;HSPE1;QDPR;SQLE;PFKL;P4HA1;CCNG1;BHLHE40;CALR;NFKBIB
MSigDB_Hallmark_2020,Androgen Response,34/100,0.012925462119336,0.0640474536764277,0,0,1.6595441046013808,7.216620648100506,SRP19;IDI1;INSIG1;GNAI3;DBI;SAT1;UBE2J1;RPS6KA3;ZMIZ1;PMEPA1;DNAJB9;ITGAV;PDLIM5;SLC38A2;GUCY1A1;XRCC6;XRCC5;TMEM50A;ELOVL5;ADRM1;ARID5B;LIFR;ACSL3;PA2G4;MERTK;INPP4B;SPCS3;APPBP2;VAPA;SELENOP;BMPR1B;SGK1;PLPP1;FKBP5
MSigDB_Hallmark_2020,Mitotic Spindle,61/199,0.0149626422861218,0.0640474536764277,0,0,1.4253949406777302,5.989792764746914,YWHAE;DOCK4;ITSN1;WASL;SMC3;ARHGAP5;UXT;PREX1;PCM1;PPP4R2;KIF5B;KIF1B;KIFAP3;SUN2;ARHGEF12;DST;CEP131;SHROOM2;ACTN4;SMC1A;DYNLL2;BCR;BIN1;INCENP;RASA2;ARHGEF3;CDC42EP2;EZR;KPTN;SOS1;PAFAH1B1;NOTCH2;ROCK1;NEDD9;RASAL2;FGD4;CYTH2;FGD6;KIF3B;KATNA1;FLNA;RICTOR;KIF3C;PDLIM5;MYH10;CLASP1;ARFGEF1;PCGF5;PLK1;RANBP9;ARHGAP29;LRPPRC;NET1;CCDC88A;ANLN;MYO1E;APC;ABI1;NF1;TUBGCP5;CNTROB
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,35/105,0.0162376282411279,0.0640474536764277,0,0,1.6106513897729684,6.636566640732558,GSK3B;CDKN1A;RALB;PRKAA2;CAB39;UBE2D3;CLTC;PTEN;SLC2A1;PIK3R3;ACACA;HSP90B1;RPS6KA3;GNA14;MAPK8;GRK2;PPP2R1B;CFL1;MAPK1;PLCG1;HRAS;FGF22;MAP2K6;PRKCB;PPP1CA;PIKFYVE;ARPC3;UBE2N;PIN1;GRB2;CALR;PFN1;PLCB1;SQSTM1;NFKBIB
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,61/200,0.0166523379558712,0.0640474536764277,0,0,1.4150466697263056,5.794905708400658,BTG2;CDKN1A;TNFAIP6;TNC;RNF19B;IRS2;SAT1;PDE4B;PMEPA1;DENND5A;CCN1;CCNL1;PHLDA1;DUSP4;KLF10;EDN1;DDX58;FOS;F3;TUBB2A;SGK1;IL6ST;FJX1;SQSTM1;PPP1R15A;PFKFB3;SDC4;CEBPD;PTGS2;TANK;SNN;NFIL3;DNAJB4;PDLIM5;ABCA1;EGR1;EGR2;EGR3;LAMB3;TIPARP;INHBA;PNRC1;KLF2;FOSL2;VEGFA;NFKB2;FOSL1;NFKBIA;NR4A2;YRDC;SPSB1;KLF6;NR4A3;BCL6;TNIP1;TNIP2;MAFF;BHLHE40;FOSB;ACKR3;NFE2L2
MSigDB_Hallmark_2020,Adipogenesis,61/200,0.0166523379558712,0.0640474536764277,0,0,1.4150466697263056,5.794905708400658,COX7B;RNF11;ITSN1;ETFB;COX6A1;LIPE;AIFM1;ALDH2;DBT;ME1;PIM3;HADH;COX8A;CHUK;MCCC1;ECH1;ELMOD3;ELOVL6;LIFR;PPM1B;GPD2;NDUFS3;ANGPTL4;ALDOA;PFKFB3;NDUFB7;MGST3;ATL2;AK2;UQCR11;UQCR10;TANK;SULT1A1;GRPEL1;DDT;UCP2;UBQLN1;SNCG;DNAJB9;APOE;DRAM2;ABCA1;ESRRA;NDUFA5;EPHX2;CIDEA;CHCHD10;SORBS1;DNAJC15;SOD1;QDPR;COQ3;DHRS7;PFKL;GPAM;BCL6;UQCRQ;CCNG2;NDUFAB1;REEP6;CRAT
MSigDB_Hallmark_2020,TGF-beta Signaling,20/54,0.0195709615624985,0.0698962912946375,0,0,1.8933512491290931,7.447891645189132,KLF10;PPP1R15A;SMAD1;WWTR1;BMPR2;SMURF2;UBE2D3;XIAP;TGFBR1;HIPK2;PPP1CA;NCOR2;SKI;TJP1;APC;PMEPA1;SKIL;TRIM33;ENG;BMPR1A
MSigDB_Hallmark_2020,Cholesterol Homeostasis,24/74,0.0557153861266179,0.1857179537553932,0,0,1.5446570702794242,4.460195650188649,ERRFI1;IDI1;FDPS;STARD4;PCYT2;MVK;TNFRSF12A;CHKA;ECH1;HSD17B7;GNAI1;PNRC1;TM7SF2;SQLE;ALCAM;NFIL3;FABP5;FASN;PMVK;PDK3;MAL2;MVD;ALDOC;CPEB2
MSigDB_Hallmark_2020,p53 Pathway,56/200,0.0918488077520512,0.2701435522119154,0,0,1.2522023302074452,2.989772618547284,CYFIP2;RB1;CDKN1A;BTG2;STEAP3;CCP110;RNF19B;ABAT;SLC7A11;TRIAP1;SAT1;PITPNC1;HINT1;CCND2;FAM162A;RPL36;HRAS;RPS12;TSPYL2;APAF1;FBXW7;ABCC5;VWA5A;TRAFD1;AEN;FOS;H2AJ;RAP2B;DDIT4;CDH13;TAX1BP3;S100A4;PPP1R15A;POM121;NOTCH1;HSPA4L;AK1;TGFA;RPS27L;FOXO3;KLK8;CDKN2AIP;ZFP36L1;EPS8L2;RPL18;RALGDS;PMM1;ZBTB16;TPRKB;WWP1;CCNG1;MDM2;BAX;FGF13;ADA;MXD4
MSigDB_Hallmark_2020,heme Metabolism,56/200,0.0918488077520512,0.2701435522119154,0,0,1.2522023302074452,2.989772618547284,BTG2;TFRC;SLC2A1;ICAM4;SLC7A11;NR3C1;BACH1;NUDT4;ALAD;HEBP1;NNT;LAMP2;ARHGEF12;GLRX5;BPGM;ANK1;SPTB;KAT2B;BMP2K;BLVRB;HAGH;KDM7A;OSBP2;USP15;MGST3;GMPS;HTRA2;FOXO3;PPOX;CLCN3;ADD1;TRAK2;UCP2;MXI1;DCAF10;SNCA;FN3K;RBM38;DMTN;SMOX;NEK7;XPO7;KLF3;UBAC1;MFHAS1;ALDH6A1;XK;SYNJ1;P4HA2;TMCC2;HDGF;ACKR1;GCLM;LPIN2;EZH1;PICALM
MSigDB_Hallmark_2020,Hedgehog Signaling,12/36,0.1250800608996806,0.3450806199383684,0,0,1.6076858108108107,3.342059288404687,NRP1;DPYSL2;PTCH1;SLIT1;NF1;NRCAM;THY1;VLDLR;CELSR1;L1CAM;AMOT;VEGFA
