Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,95/158,1.2923883426741344e-22,4.096871046277006e-20,0,0,4.922425879872688,248.09213541305385,RPL30;MRPS15;MRPS16;RPL32;RPL31;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;MRPS10;RPL10A;RPL8;MRPL34;MRPL33;RPS15;RPS14;RPL7A;RPS17;MRPL2;RPS16;MRPL1;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPL23;RPL22;RPS6;MRPS18A;MRPS21;RPL13A;MRPS7;MRPS5;MRPS18C;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL18;RPL11;RPL36A;RPS27L;MRPL14;MRPL12;MRPL13;MRPL11;MRPL20;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;MRPL27;MRPL28;RPL35A;RPL23A;MRPL23;MRPL21;MRPL22;MRPL30;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS24;RPS23
KEGG_2021_Human,Huntington disease,126/306,7.94333286524638e-12,1.259018259141551e-09,0,0,2.2826482042405885,58.34149365950664,NDUFA13;NDUFA11;NDUFA12;COX6A1;COX6A2;PSMD7;TUBB3;CREB3L1;KIF5B;KIF5A;EP300;SDHD;SDHA;COX6B1;ULK2;ULK1;VDAC1;NDUFB10;UQCRB;NDUFB11;SLC1A2;COX7A2;COX7A1;UQCRH;KLC3;ATG101;NDUFV3;PPARGC1A;NDUFV1;GRIA3;BDNF;GRIN2B;SEM1;DLG4;UQCRQ;GNAQ;CYCS;MAP3K10;TAF4B;DNAL4;RCOR1;DNAL1;ATG2B;COX7B;HIP1;COX4I1;CLTC;CLTB;CLTA;COX7C;BBC3;TUBA1B;GRM5;TUBA1A;RB1CC1;COX8A;APAF1;NDUFC2;NDUFC1;TUBB2B;PLCB4;PSMA4;TUBB2A;CREB1;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PLCB1;SLC25A5;PLCB2;SLC25A4;CREB5;DCTN6;NDUFB9;NDUFB8;NDUFB7;DCTN2;NDUFB6;DCTN1;NDUFB5;DCTN4;NDUFB4;DCTN3;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;MAPK8;PSMB5;PSMB2;POLR2A;AP2S1;POLR2E;POLR2F;POLR2G;POLR2I;POLR2J;POLR2K;POLR2L;NDUFA8;NDUFA7;KCNJ10;NDUFA6;NDUFA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;AP2B1;COX6C;MTOR;SOD1;PSMC5;NDUFAB1;BAX
KEGG_2021_Human,Parkinson disease,107/249,1.3834740945832122e-11,1.4618709599429274e-09,0,0,2.453286840196533,61.34158727772346,NDUFA13;NDUFA11;NDUFA12;UBE2L6;PARK7;COX6A1;COX6A2;PSMD7;TUBB3;KIF5B;KIF5A;PRKACA;PRKACB;SDHD;SDHA;COX6B1;VDAC1;ATF6;UBA52;NDUFB10;UQCRB;NDUFB11;HTRA2;COX7A2;COX7A1;UQCRH;UBE2J1;KLC3;PLCG1;NDUFV3;DRD2;NDUFV1;XBP1;HSPA5;SEM1;GNAL;UQCRQ;CYCS;CALM3;CALM2;BCL2L1;NFE2L2;COX7B;COX4I1;LRRK2;COX7C;TUBA1B;TUBA1A;SLC18A2;COX8A;APAF1;NDUFC2;NDUFC1;TUBB2B;PSMA4;TUBB2A;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;SLC25A5;SLC25A4;CAMK2B;NDUFB9;CAMK2D;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;GNAI3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;GNAI1;PSMA7;ADCY5;PSMB6;PSMB7;MAPK8;PSMB5;PSMB2;RPS27A;SNCA;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;UBE2G1;UBE2G2;COX6C;PSMC5;PINK1;NDUFAB1;BAX
KEGG_2021_Human,Thermogenesis,101/232,2.0491612203919794e-11,1.6239602671606434e-09,0,0,2.5087530821000827,61.74293583722636,ATF2;NDUFA13;NDUFA11;NDUFA12;COX6A1;COX6A2;LIPE;RPS6KA3;RPS6KA6;CREB3L1;DPF3;PRKACA;PRKACB;SMARCC2;RPS6;ACSL4;FRS2;ACSL3;SDHD;SDHA;COX6B1;ADCY9;COX16;NDUFB10;UQCRB;NDUFB11;COX17;COX7A2;COX7A1;UQCRH;COX14;NDUFV3;PPARGC1A;NDUFV1;COA3;SMARCA2;NDUFAF8;RHEB;UQCRQ;NDUFAF4;NDUFAF5;NDUFAF2;NDUFAF3;GRB2;COX20;COX7B;COX4I1;PRKAG2;COX7C;HRAS;COA7;COA6;COX8A;ACTL6B;NDUFC2;SIRT6;NDUFC1;ARID1B;CREB1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;SOS1;SOS2;CREB5;NDUFB9;KDM3A;NDUFB8;PRKAA1;NDUFB7;PRKAA2;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;ADCY5;NRAS;CNR1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;MTOR;NDUFAB1;RPS6KB2;KRAS;PNPLA2
KEGG_2021_Human,Coronavirus disease,98/232,3.1031140841757046e-10,1.967374329367397e-08,0,0,2.377730701332049,52.05671580985644,RPL30;RPL32;RPL31;RPL34;RPL8;RPL10A;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;PRKCB;RPS8;RPL23;RPL22;RPS6;ADAM17;RPL24;RPL27;RPL26;RPL29;IL6ST;RPL28;UBA52;PIK3R3;PIK3R1;PLCG1;RPL41;EIF2AK2;RPS26;NFKBIA;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;TAB2;RPS21;RSL24D1;RPS24;RPS23;NFKBIB;NRP1;RPLP1;ADAR;PIK3CB;IKBKB;RPL7A;RPLP2;JAK1;CHUK;DDX58;RPL13A;FOS;TYK2;OAS2;TRAF3;TRAF6;RPL37A;TLR7;TLR4;TLR3;C1QA;RPL11;RPL36A;RPS27L;MAPK8;RPL14;RPS3;RPL13;MAPK1;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;STAT1;RPL35A;RPL23A;RPL22L1;FAU;C1QC
KEGG_2021_Human,Alzheimer disease,140/369,5.610774732509407e-10,2.964359317009137e-08,0,0,1.993135158903445,42.45609514977235,NDUFA13;NDUFA11;IRS1;NDUFA12;IRS2;COX6A1;COX6A2;FRAT1;FRAT2;PSMD7;TUBB3;KIF5B;KIF5A;ADAM10;SDHD;SDHA;COX6B1;ADAM17;ULK2;ULK1;VDAC1;ATF6;NDUFB10;UQCRB;NDUFB11;CHRNA7;PIK3R3;CACNA1D;COX7A2;GPR83;PIK3R1;COX7A1;RTN4;UQCRH;GRIN2A;PPP3R1;KLC3;APH1B;ATG101;DVL2;APOE;NAE1;NDUFV3;NDUFV1;WNT4;FZD3;XBP1;EIF2AK2;GRIN2B;SEM1;UQCRQ;GNAQ;CYCS;CALM3;CALM2;ATG2B;GSK3B;COX7B;COX4I1;ATP2A2;IDE;PIK3CB;COX7C;IKBKB;PPP3CA;PPP3CB;TUBA1B;GRM5;TUBA1A;RB1CC1;NOS1;HRAS;COX8A;PSENEN;MME;APAF1;CHUK;NDUFC2;NDUFC1;WNT9A;AXIN2;BACE2;TUBB2B;PLCB4;PSMA4;TUBB2A;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PLCB1;SLC25A5;PLCB2;SLC25A4;NDUFB9;NDUFB8;NDUFB7;LRP1;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;PTGS2;COX5A;HSD17B10;PSMA7;PSMB6;PSMB7;NRAS;MAPK8;PSMB5;PSMB2;MAPK1;APBB1;SNCA;NDUFA8;NDUFA7;NDUFA6;NDUFA5;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;WNT7A;COX6C;MTOR;PSMC5;APC;NDUFAB1;KRAS
KEGG_2021_Human,Prion disease,110/273,7.551492654630952e-10,3.4197473878828745e-08,0,0,2.1955068426468998,46.11465775206629,ATF2;NDUFA13;NCF1;NDUFA11;NDUFA12;COX6A1;COX6A2;PSMD7;TUBB3;CREB3L1;KIF5B;KIF5A;PRKACA;PRKACB;SDHD;SDHA;COX6B1;VDAC1;NOTCH1;NDUFB10;UQCRB;NDUFB11;PIK3R3;CACNA1D;COX7A2;PIK3R1;COX7A1;UQCRH;GRIN2A;PPP3R1;KLC3;NDUFV3;NDUFV1;EGR1;HSPA5;CAV2;CAV1;GRIN2B;SEM1;UQCRQ;CYCS;GSK3B;COX7B;COX4I1;PIK3CB;COX7C;PPP3CA;PPP3CB;TUBA1B;TUBA1A;COX8A;APAF1;NDUFC2;NDUFC1;TUBB2B;PSMA4;TUBB2A;CREB1;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;SLC25A5;SLC25A4;CREB5;C1QA;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;PSMB7;MAPK8;PSMB5;PSMB2;MAPK1;FYN;NCAM2;NDUFA8;NDUFA7;NDUFA6;HSPA1L;NDUFA5;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;SOD1;PSMC5;NDUFAB1;BAX;HSPA1B;C1QC;HSPA1A
KEGG_2021_Human,Amyotrophic lateral sclerosis,137/364,1.5787722137065443e-09,6.255884896812183e-08,0,0,1.966591095608376,39.85615122831732,NDUFA13;NDUFA11;NDUFA12;COX6A1;COX6A2;PSMD7;TUBB3;KIF5B;KIF5A;NUP214;GABARAPL1;SDHD;SDHA;COX6B1;ULK2;SRSF3;ULK1;VDAC1;MATR3;NUP98;PFN1;ATF6;SQSTM1;SRSF7;PFN2;POM121;SEH1L;NDUFB10;UQCRB;NDUFB11;SLC1A2;COX7A2;COX7A1;NUP160;UQCRH;GRIN2A;PPP3R1;KLC3;ATG101;NUP88;NDUFV3;NDUFV1;MAP2K6;XBP1;HSPA5;NUP155;FUS;ALYREF;CHCHD10;NUP153;GRIN2B;SETX;SEM1;UQCRQ;CYCS;DNAL4;DNAL1;ATG2B;BCL2L1;COX7B;COX4I1;NXT2;COX7C;PPP3CA;PPP3CB;TUBA1B;TUBA1A;RB1CC1;NEFM;NOS1;RAB8A;COX8A;NDC1;APAF1;NDUFC2;NDUFC1;TOMM40L;TUBB2B;PSMA4;TUBB2A;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS4;NDUFS3;DCTN6;NDUFB9;NDUFB8;NDUFB7;DCTN2;NDUFB6;DCTN1;NDUFB5;DCTN4;NDUFB4;DCTN3;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;TANK;PSMA7;PSMB6;PSMB7;PSMB5;PSMB2;ERBB4;UBQLN1;HNRNPA1;RAE1;UBQLN4;UBQLN2;RANBP2;NDUFA8;NDUFA7;NDUFA6;NDUFA5;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;COX6C;MTOR;SOD1;PSMC5;CCS;PINK1;HNRNPA2B1;NDUFAB1;BAX
KEGG_2021_Human,Retrograde endocannabinoid signaling,67/148,6.9511148210376554e-09,2.448337109187707e-07,0,0,2.68080577907538,50.35723098928256,GABRB3;GABRB2;NDUFA13;DAGLA;NDUFA11;NDUFA12;GRM1;RIMS1;GRM5;PRKACA;PRKACB;PRKCB;NDUFC2;NDUFC1;GABRG2;GABRG1;ADCY9;NDUFS8;PLCB4;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;PLCB1;PLCB2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;GNAI3;NDUFB2;NDUFB1;CACNA1D;PTGS2;GNAI1;ADCY5;GNG3;MAPK8;GNG5;CNR1;MAPK1;NDUFV3;NDUFV1;GRIA3;KCNJ3;GABRA2;GABRA1;NDUFA8;KCNJ6;NDUFA7;NDUFA6;NDUFA5;KCNJ9;NDUFA4;GABRA4;NDUFA3;NDUFA2;NDUFA1;GNG13;GNAQ;NDUFAB1
KEGG_2021_Human,Non-alcoholic fatty liver disease,69/155,9.799699298442325e-09,3.106504677606217e-07,0,0,2.600570585048485,47.95689886237611,GSK3B;NDUFA13;COX7B;GSK3A;NDUFA11;IRS1;NDUFA12;COX4I1;PRKAG2;IRS2;PIK3CB;COX6A1;COX6A2;COX7C;IKBKB;COX8A;NDUFC2;NDUFC1;SDHD;FOS;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB8;PRKAA1;NDUFB7;PRKAA2;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;PIK3R3;NDUFB1;COX7A2;UQCR11;PIK3R1;UQCR10;COX5B;COX7A1;COX5A;UQCRH;MAPK8;NDUFV3;NDUFV1;NDUFA8;XBP1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;ITCH;UQCRQ;NDUFAB1;CYCS;BAX
