gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Fkbp5,12,UP,12,0,0.8321640859125016,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115;Acc6_mbh_AC3174;Acc6_mbh_COMBO;Acc8_frontalcortex_ST_A_Ex;Acc8_frontalcortex_ST_A_Ex_KD;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Plin4,9,UP,9,0,1.382484292676555,Acc10_hippocampus_Ex4_Pre_TBI;Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc8_frontalcortex_ST_A_Ex;Acc8_frontalcortex_ST_A_Ex_KD;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Hif3a,9,UP,9,0,0.8990094968985244,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2;Acc5_arc_IP118_PY115;Acc5_nts_IP118_PY115;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Rbm3,9,UP,6,3,0.22063723052664702,Acc10_hippocampus_Ex4_Po_t_TBI;Acc10_hippocampus_Ex4_Pre_TBI;Acc10_hippocampus_Exendin4;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD;Acc8_hypothalamus_LT_A_Ex
Mpp5,9,DOWN,1,8,-0.24174175293387823,Acc10_hippocampus_Ex4_Po_t_TBI;Acc10_hippocampus_Ex4_Pre_TBI;Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Xdh,8,UP,8,0,0.7290676352468002,Acc10_hippocampus_Ex4_Pre_TBI;Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc8_frontalcortex_ST_A_Ex;Acc8_hippocampus_ST_A_Ex
Cdkn1a,8,UP,5,3,0.5787234060592998,Acc10_hippocampus_Ex4_Po_t_TBI;Acc10_hippocampus_Ex4_Pre_TBI;Acc10_hippocampus_Exendin4;Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc5_arc_IP118_PY115;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115
Vstm2a,8,DOWN,1,7,-0.24037867666883211,Acc10_hippocampus_Ex4_Po_t_TBI;Acc10_hippocampus_Ex4_Pre_TBI;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Ednrb,8,DOWN,0,8,-0.4194065269906772,Acc10_hippocampus_Ex4_Po_t_TBI;Acc10_hippocampus_Ex4_Pre_TBI;Acc11_hippocampus_Ex4_mTBI;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc8_frontalcortex_ST_A_Ex;Acc8_hippocampus_ST_A_Ex;Acc8_hippocampus_ST_A_Ex_KD
Cd53,7,UP,6,1,4.339430567899964,Acc11_hippocampus_Ex4;Acc11_hippocampus_Ex4_mTBI;Acc3_hypothalamus_GLP_1_MK_801;Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO;Acc8_hypothalamus_LT_A_Ex
Msantd2,7,UP,4,3,2.15899109320343,Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2;Acc6_mbh_AC3174;Acc6_mbh_AC710222;Acc6_mbh_COMBO
Mertk,7,UP,7,0,1.4320253568647223,Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc5_arc_IP118_PY115;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115;Acc6_mbh_AC710222
Map3k6,7,UP,7,0,0.7261603478665091,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_hypothalamus_GLP_1_MK_801;Acc3_hypothalamus_conjugate_2;Acc5_nts_IP118_PY115;Acc5_pvn_IP118_PY115;Acc8_hippocampus_ST_A_Ex
Zbtb16,7,UP,6,1,0.575160418772313,Acc3_accumbens_GLP_1;Acc3_brainstem_GLP_1;Acc3_brainstem_GLP_1_MK_801;Acc3_hypothalamus_GLP_1_MK_801;Acc5_arc_IP118_PY115;Acc5_pvn_IP118_PY115;Acc8_hypothalamus_LT_A_Ex
