Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Database
GO_Biological_Process_2023,Negative Regulation Of Signaling (GO:0023057),4/28,0.0007365347697575421,0.6110347236581227,0,0,11.193970420932878,80.74831137888285,BRAP;AP1AR;OPRM1;SOCS5,GO_Biological_Process_2023
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),5/66,0.0029796778939887,0.6110347236581227,0,0,5.513698630136986,32.06734081661495,MAPK1;FYN;ROMO1;FOS;MT3,GO_Biological_Process_2023
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),5/68,0.0033931949013364,0.6110347236581227,0,0,5.338116981952599,30.35244429384853,NDUFS6;NDUFB1;UQCR11;COX5B;COX6A2,GO_Biological_Process_2023
GO_Biological_Process_2023,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),4/43,0.0037294362184782,0.6110347236581227,0,0,6.883346460138269,38.48821937358181,NR4A3;UQCR11;COX5B;MT3,GO_Biological_Process_2023
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),5/70,0.0038464363290856,0.6110347236581227,0,0,5.173340358271865,28.76691875629465,NDUFS6;NDUFB1;UQCR11;COX5B;COX6A2,GO_Biological_Process_2023
GO_Biological_Process_2023,Negative Regulation Of Cell Communication (GO:0010648),3/22,0.0040500269182016,0.6110347236581227,0,0,10.571428571428571,58.2383356578288,BRAP;OPRM1;SOCS5,GO_Biological_Process_2023
GO_Biological_Process_2023,"Blood Coagulation, Intrinsic Pathway (GO:0007597)",2/7,0.0043935355727965,0.6110347236581227,0,0,26.70915254237288,144.96715740142128,F12;FLNA,GO_Biological_Process_2023
GO_Biological_Process_2023,Cellular Response To Leptin Stimulus (GO:0044320),2/7,0.0043935355727965,0.6110347236581227,0,0,26.70915254237288,144.96715740142128,NR4A3;MT3,GO_Biological_Process_2023
GO_Biological_Process_2023,Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),2/7,0.0043935355727965,0.6110347236581227,0,0,26.70915254237288,144.96715740142128,DOCK5;NR4A3,GO_Biological_Process_2023
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),5/73,0.0046052529543971,0.6110347236581227,0,0,4.944349315068493,26.60335668179244,MAPK1;FYN;ROMO1;FOS;MT3,GO_Biological_Process_2023
