gene_symbol,group,log2FC,padj,direction
Hif3a,Acc3_accumbens_GLP_1,0.7232104932061383,3.3653978984312074e-09,UP
Arrdc2,Acc3_accumbens_GLP_1,0.9465969455884748,1.0261374077462596e-06,UP
Xdh,Acc3_accumbens_GLP_1,0.7871063246824131,1.0261374077462596e-06,UP
Plin4,Acc3_accumbens_GLP_1,1.0452815683337469,5.171704521694488e-05,UP
Sult1a1,Acc3_accumbens_GLP_1,0.5207844657307026,7.329348956813061e-05,UP
Zbtb16,Acc3_accumbens_GLP_1,0.7639335372552917,0.0001924875129194,UP
Nfkbia,Acc3_accumbens_GLP_1,0.6752762652003109,0.0002026082404342,UP
Fkbp5,Acc3_accumbens_GLP_1,0.5312424400106062,0.0002026082404342,UP
Cdkn1a,Acc3_accumbens_GLP_1,0.7544816512050618,0.0002564436471574,UP
Galnt15,Acc3_accumbens_GLP_1,0.8016905232523706,0.00036057117304,UP
Ddit4,Acc3_accumbens_GLP_1,0.5644977774120019,0.0029591518953032,UP
Cebpd,Acc3_accumbens_GLP_1,0.6814303879771819,0.0068429479510671,UP
Trim59,Acc3_accumbens_GLP_1,-0.6425611367142475,0.0079486415691106,DOWN
Pla2g3,Acc3_accumbens_GLP_1,0.5598794116870516,0.0190265562794723,UP
Ada,Acc3_accumbens_GLP_1,0.9858902237497004,0.0196821614781098,UP
Tlr7,Acc3_accumbens_GLP_1,0.6998145724315262,0.0196821614781098,UP
Smim3,Acc3_accumbens_GLP_1,0.5519509508573367,0.0247223761013847,UP
Map3k6,Acc3_accumbens_GLP_1,0.5511259163726181,0.0378374361191813,UP
Sgk1,Acc3_accumbens_GLP_1,0.7281484228562426,0.0411239780455169,UP
Arl4d,Acc3_accumbens_GLP_1,0.6856764200609967,0.0485597782314376,UP
Cdkn1a,Acc3_brainstem_GLP_1,1.0778622968225204,4.0309866271798585e-14,UP
Fkbp5,Acc3_brainstem_GLP_1,0.5640280346698718,4.923129477411949e-12,UP
Plin4,Acc3_brainstem_GLP_1,1.0561328680385345,2.5297630161045084e-11,UP
Arrdc2,Acc3_brainstem_GLP_1,1.0787258531077486,3.041385462885835e-11,UP
Hif3a,Acc3_brainstem_GLP_1,0.6183911907826265,3.1402620401151426e-11,UP
Xdh,Acc3_brainstem_GLP_1,0.9166600272826356,7.665466574516036e-10,UP
Nfkbia,Acc3_brainstem_GLP_1,0.8870098528262664,9.022975429343856e-10,UP
Trim59,Acc3_brainstem_GLP_1,-0.7465433730808878,6.3400775960578805e-09,DOWN
Hspa1b,Acc3_brainstem_GLP_1,-1.3358794505357152,1.887188338308157e-07,DOWN
Ddit4,Acc3_brainstem_GLP_1,0.6689391346587851,3.5244726347117815e-07,UP
Mt1,Acc3_brainstem_GLP_1,0.5203826027621455,7.974379113642013e-07,UP
Pla2g3,Acc3_brainstem_GLP_1,0.7912921670285753,1.6514128447307787e-06,UP
Angptl4,Acc3_brainstem_GLP_1,0.8889478326289029,1.8869992485246936e-06,UP
Sult1a1,Acc3_brainstem_GLP_1,0.6266703146433322,3.0669390564935034e-06,UP
Fmo2,Acc3_brainstem_GLP_1,0.7364897508428091,1.4563705863375152e-05,UP
Nrros,Acc3_brainstem_GLP_1,0.5280475885256788,2.262122470972745e-05,UP
Arl4d,Acc3_brainstem_GLP_1,0.9036669213248087,5.147818370108421e-05,UP
Map3k6,Acc3_brainstem_GLP_1,0.6695045793615323,5.147818370108421e-05,UP
Net1,Acc3_brainstem_GLP_1,0.6545036068616664,8.103196765966213e-05,UP
Plekhf1,Acc3_brainstem_GLP_1,0.5258417507016953,0.0001652435298019,UP
Gm19439,Acc3_brainstem_GLP_1,0.5823573323365744,0.000178240238653,UP
Gdf1,Acc3_brainstem_GLP_1,0.7797513836555605,0.0002513645810677,UP
Itgb8,Acc3_brainstem_GLP_1,-0.5256157738998501,0.000367554130933,DOWN
Hspa1a,Acc3_brainstem_GLP_1,-0.6386552717409382,0.0003899035777103,DOWN
Il1r1,Acc3_brainstem_GLP_1,0.5919826720850012,0.0005079564797871,UP
Mt2,Acc3_brainstem_GLP_1,0.5033943387031521,0.0005822985320762,UP
Gm21986,Acc3_brainstem_GLP_1,-0.6025101211398797,0.0006344169658007,DOWN
Kcna1,Acc3_brainstem_GLP_1,-0.5507930320190821,0.0006404313851288,DOWN
Cebpd,Acc3_brainstem_GLP_1,0.6218691611549924,0.0010664686263441,UP
Prrg1,Acc3_brainstem_GLP_1,-0.581763634440852,0.0011597900958505,DOWN
Klhl11,Acc3_brainstem_GLP_1,-0.6438755154222973,0.0025888971444985,DOWN
Adcy9,Acc3_brainstem_GLP_1,-0.508178989479989,0.0031871445954601,DOWN
A230103l15rik,Acc3_brainstem_GLP_1,0.5261294688420936,0.0033055598823646,UP
Ptchd1,Acc3_brainstem_GLP_1,-0.5528613915702912,0.0036238644200295,DOWN
A330074k22rik,Acc3_brainstem_GLP_1,-0.5140988728882333,0.0062551124195641,DOWN
Aff2,Acc3_brainstem_GLP_1,-0.5756330311649825,0.0092077818363279,DOWN
