group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Hif3a,HIF3A,0.7232104932061383,3.3653978984312074e-09,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Arrdc2,ARRDC2,0.9465969455884748,1.0261374077462596e-06,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Xdh,XDH,0.7871063246824131,1.0261374077462596e-06,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Tma16,TMA16,0.3788008317275,5.125938431033902e-05,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Plin4,PLIN4,1.0452815683337469,5.171704521694488e-05,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Zfp189,ZFP189,0.6961723006872538,6.974794868198417e-05,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Sult1a1,SULT1A1,0.5207844657307026,7.329348956813061e-05,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Zbtb16,ZBTB16,0.7639335372552917,0.0001924875129194,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Nfkbia,NFKBIA,0.6752762652003109,0.0002026082404342,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Fkbp5,FKBP5,0.5312424400106062,0.0002026082404342,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Cdkn1a,CDKN1A,0.7544816512050618,0.0002564436471574,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Rsrp1,RSRP1,0.2627844368856211,0.0002564436471574,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Galnt15,GALNT15,0.8016905232523706,0.00036057117304,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Ddit4,DDIT4,0.5644977774120019,0.0029591518953032,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Elmsan1,ELMSAN1,0.3212703995267376,0.0029591518953032,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Errfi1,ERRFI1,0.3518769327226734,0.0067016283767981,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Cebpd,CEBPD,0.6814303879771819,0.0068429479510671,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Trim59,TRIM59,-0.6425611367142475,0.0079486415691106,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Ppl,PPL,0.7547993675469639,0.0081543817960863,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Kcnk6,KCNK6,0.4994273655329728,0.0117922902428835,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Mpzl1,MPZL1,-0.3448796522217739,0.011810398544433,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Sox2ot,SOX2OT,-0.4245693853903439,0.0151634054642018,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Gm15666,GM15666,-1.2223887987809257,0.0190265562794723,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Pla2g3,PLA2G3,0.5598794116870516,0.0190265562794723,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Ada,ADA,0.9858902237497004,0.0196821614781098,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Tlr7,TLR7,0.6998145724315262,0.0196821614781098,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Smim3,SMIM3,0.5519509508573367,0.0247223761013847,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Iffo2,IFFO2,0.2802844675468986,0.0278799687154589,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Tob2,TOB2,0.3562703441424352,0.0284353030204027,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Tnnt1,TNNT1,-2.898281946069244,0.0305546606873608,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Sox10,SOX10,-0.4703523814432992,0.0323599767424147,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Aqp1,AQP1,3.199866583219253,0.0357617050578519,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Tpst2,TPST2,0.3535243978454923,0.0375590785003896,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Map3k6,MAP3K6,0.5511259163726181,0.0378374361191813,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,H2-t23,H2-T23,0.420050143932647,0.0392287685408137,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Sgk1,SGK1,0.7281484228562426,0.0411239780455169,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Zfp36l2,ZFP36L2,-0.3167186881246837,0.0435328335866219,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Spsb1,SPSB1,0.4981194606785788,0.0476534423366359,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Plekho2,PLEKHO2,-0.3851728020652509,0.0476534423366359,DOWN
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Trp53inp1,TRP53INP1,0.3605196146280334,0.0476534423366359,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Arl4d,ARL4D,0.6856764200609967,0.0485597782314376,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Ttr,TTR,4.796400945610501,0.0487369865803245,UP
Acc3_accumbens_GLP_1,3,accumbens,GLP_1,GSE244607,gene_name,Caskin2,CASKIN2,-0.2120758471191277,0.0487369865803245,DOWN
