group,animal_id,litter,glucose,weight_pre,weight_post
Sham,17,First,8.8,3,3.5
Sham,19,First,6.7,3.2,3.8
Sham,14,Second,6.9,3.9,4.7
Sham,15,Second,6.9,3.5,4.9
HI-Vehicle,7,First,7.2,3.2,3.6
HI-Vehicle,10,First,6.3,5.3,5.1
HI-Vehicle,13,First,6.9,5,5.3
HI-Vehicle,11,First,7,2.6,3.6
HI-Vehicle,3,Second,5.4,4.7,5.9
HI-Vehicle,7,Second,4.7,4.2,4.5
HI-Vehicle,11,Second,6.5,3.4,4.1
HI-Vehicle,13,Second,5.1,4.5,5.2
HI-Vehicle,1,Third,6.7,7.121,8.5
HI-Vehicle,4,Third,5.3,7.7,8.3
HI-Vehicle,5,Third,4.3,7.4,7.8
HI-Vehicle,7,Third,7.6,8.3,9.3
HI-Vehicle,9,Third,6.6,8.1,9.6
HI-Vehicle,2,Fourth,5.7,6,7.1
HI-Vehicle,4,Fourth,7.7,6,6.7
HI-Vehicle,6,Fourth,8.5,6,7
HI-Vehicle,8,Fourth,7.2,5.8,6.3
HI-Vehicle,3,Fifth,6.3,8.3,8.4
HI-Vehicle,4,Fifth,4.5,8,8.1
HI-Semaglutide,2,First,5.7,3.8,4.2
HI-Semaglutide,8,First,4.5,4.5,4.5
HI-Semaglutide,6,First,5.7,4.5,4.3
HI-Semaglutide,16,First,5.4,3.6,3.2
HI-Semaglutide,2,Second,5.9,5.1,4.8
HI-Semaglutide,4,Second,5.2,4.7,4.1
HI-Semaglutide,6,Second,5.6,4.9,4.5
HI-Semaglutide,8,Second,5,5.1,4.4
HI-Semaglutide,10,Second,7.6,4.4,4.1
HI-Semaglutide,2,Third,5.2,7.91,7.1
HI-Semaglutide,3,Third,4.3,8.21,7.1
HI-Semaglutide,6,Third,4.9,8.25,7.3
HI-Semaglutide,8,Third,7.7,8.01,7.4
HI-Semaglutide,1,Fourth,7.7,5.9,5.6
HI-Semaglutide,5,Fourth,7.1,5.3,5.3
HI-Semaglutide,7,Fourth,8.8,5.5,5.2
HI-Semaglutide,5,Fifth,4.3,7.1,7.1
HI-Semaglutide,6,Fifth,4.2,6.2,5.8
HI-Semaglutide,7,Fifth,5.1,8.1,7.8
