Category,ID,Term,Genes,adj_pval
KEGG,,Focal adhesion,"ROCK1, ROCK2, CAV1, SPP1, KDR, FN1, MAPK1, AKT1, CTNNB1, FYN, LAMC1, VEGFA",8.260396543346426e-14
KEGG,,Proteoglycans in cancer,"ROCK1, ROCK2, CAV1, KDR, FN1, MAPK1, AKT1, CTNNB1, HIF1A, VEGFA",1.1987617938645108e-10
KEGG,,Leukocyte transendothelial migration,"CDH5, CLDN5, ROCK1, ROCK2, PECAM1, CTNNB1, F11R, JAM2",9.528230066152942e-10
KEGG,,Pathways in cancer,"NFKBIA, ROCK1, ROCK2, SLC2A1, FN1, MAPK1, AKT1, CTNNB1, LAMC1, HIF1A, VEGFA, NFKB2",2.0625441852608553e-09
KEGG,,Fluid shear stress and atherosclerosis,"CDH5, CAV1, KDR, PECAM1, AKT1, CTNNB1, VEGFA",1.2226218448871188e-07
KEGG,,Tight junction,"TJP1, CLDN5, ROCK1, ROCK2, F11R, JAM2, TJP2",3.964426282278269e-07
KEGG,,HIF-1 signaling pathway,"TFRC, SLC2A1, MAPK1, AKT1, HIF1A, VEGFA",7.392806625910635e-07
KEGG,,Pathogenic Escherichia coli infection,"NFKBIA, TJP1, CLDN5, ROCK1, ROCK2, MAPK1, FYN",8.554386457134306e-07
KEGG,,Human cytomegalovirus infection,"NFKBIA, ROCK1, ROCK2, MAPK1, AKT1, CTNNB1, VEGFA",1.6619182065466595e-06
KEGG,,Renal cell carcinoma,"SLC2A1, MAPK1, AKT1, HIF1A, VEGFA",1.6619182065466595e-06
KEGG,,Yersinia infection,"NFKBIA, ROCK1, ROCK2, FN1, MAPK1, AKT1",1.6619182065466595e-06
KEGG,,Central carbon metabolism in cancer,"SLC7A5, SLC2A1, MAPK1, AKT1, HIF1A",1.6619182065466595e-06
KEGG,,Epithelial cell signaling in Helicobacter pylori infection,"NFKBIA, TJP1, ADAM10, F11R, JAM2",1.6619182065466595e-06
KEGG,,Kaposi sarcoma-associated herpesvirus infection,"NFKBIA, MAPK1, AKT1, CTNNB1, HIF1A, VEGFA",1.0909590818404153e-05
KEGG,,Human papillomavirus infection,"SPP1, FN1, MAPK1, AKT1, CTNNB1, LAMC1, VEGFA",1.5276217004485945e-05
KEGG,,Sphingolipid signaling pathway,"ROCK1, ROCK2, MAPK1, AKT1, FYN",1.9164849142980663e-05
KEGG,,Thyroid hormone signaling pathway,"SLC2A1, MAPK1, AKT1, CTNNB1, HIF1A",1.958394672183862e-05
KEGG,,PI3K-Akt signaling pathway,"SPP1, KDR, FN1, MAPK1, AKT1, LAMC1, VEGFA",1.9771369085283557e-05
KEGG,,Platelet activation,"ROCK1, ROCK2, MAPK1, AKT1, FYN",1.9771369085283557e-05
KEGG,,Osteoclast differentiation,"NFKBIA, MAPK1, AKT1, FYN, NFKB2",2.112941821956953e-05
KEGG,,VEGF signaling pathway,"KDR, MAPK1, AKT1, VEGFA",2.5284967521657728e-05
KEGG,,Cell adhesion molecules,"CDH5, CLDN5, PECAM1, F11R, JAM2",4.067526870938766e-05
KEGG,,Adherens junction,"TJP1, MAPK1, CTNNB1, FYN",4.855854521067372e-05
KEGG,,Hepatitis C,"NFKBIA, CLDN5, MAPK1, AKT1, CTNNB1",4.972267579663963e-05
KEGG,,PD-L1 expression and PD-1 checkpoint pathway in cancer,"NFKBIA, MAPK1, AKT1, HIF1A",0.0001097842989302852
KEGG,,Small cell lung cancer,"NFKBIA, FN1, AKT1, LAMC1",0.0001170873762998239
KEGG,,Chemokine signaling pathway,"NFKBIA, ROCK1, ROCK2, MAPK1, AKT1",0.0001170873762998239
KEGG,,Prostate cancer,"NFKBIA, MAPK1, AKT1, CTNNB1",0.00013772735837117272
KEGG,,AGE-RAGE signaling pathway in diabetic complications,"FN1, MAPK1, AKT1, VEGFA",0.0001499353813747143
KEGG,,Rap1 signaling pathway,"KDR, MAPK1, AKT1, CTNNB1, VEGFA",0.0001537426687187897
KEGG,,T cell receptor signaling pathway,"NFKBIA, MAPK1, AKT1, FYN",0.0001537426687187897
KEGG,,Toll-like receptor signaling pathway,"NFKBIA, SPP1, MAPK1, AKT1",0.0001537426687187897
KEGG,,C-type lectin receptor signaling pathway,"NFKBIA, MAPK1, AKT1, NFKB2",0.0001537426687187897
KEGG,,cAMP signaling pathway,"NFKBIA, ROCK1, ROCK2, MAPK1, AKT1",0.000163551992208486
KEGG,,Human T-cell leukemia virus 1 infection,"NFKBIA, SLC2A1, MAPK1, AKT1, NFKB2",0.00016969385196000358
KEGG,,Toxoplasmosis,"NFKBIA, MAPK1, AKT1, LAMC1",0.0001884813534705762
KEGG,,Shigellosis,"NFKBIA, ROCK1, ROCK2, MAPK1, AKT1",0.0002789369485439499
KEGG,,Salmonella infection,"NFKBIA, ROCK2, MAPK1, AKT1, CTNNB1",0.0002876263958196082
KEGG,,Relaxin signaling pathway,"NFKBIA, MAPK1, AKT1, VEGFA",0.0003019755888634085
KEGG,,Breast cancer,"MAPK1, AKT1, CTNNB1, NFKB2",0.0004883358460869596
KEGG,,Endometrial cancer,"MAPK1, AKT1, CTNNB1",0.0005499444618862354
KEGG,,MAPK signaling pathway,"KDR, MAPK1, AKT1, VEGFA, NFKB2",0.0005679641864285301
KEGG,,GnRH secretion,"SPP1, MAPK1, AKT1",0.0007029666696156063
KEGG,,cGMP-PKG signaling pathway,"ROCK1, ROCK2, MAPK1, AKT1",0.0007249687235432458
KEGG,,Fc epsilon RI signaling pathway,"MAPK1, AKT1, FYN",0.0008041293676250875
KEGG,,Adipocytokine signaling pathway,"NFKBIA, SLC2A1, AKT1",0.0008214209216786025
KEGG,,Axon guidance,"ROCK1, ROCK2, MAPK1, FYN",0.0009426060692698894
KEGG,,Chronic myeloid leukemia,"NFKBIA, MAPK1, AKT1",0.0010260341609469
KEGG,,Pancreatic cancer,"MAPK1, AKT1, VEGFA",0.0010260341609469
KEGG,,Bacterial invasion of epithelial cells,"CAV1, FN1, CTNNB1",0.001045025907678
KEGG,,B cell receptor signaling pathway,"NFKBIA, MAPK1, AKT1",0.001189280300572
KEGG,,Alzheimer disease,"LRP1, MAPK1, AKT1, ADAM10, CTNNB1",0.0013097282730546
KEGG,,Colorectal cancer,"MAPK1, AKT1, CTNNB1",0.0013645032783546
KEGG,,ECM-receptor interaction,"SPP1, FN1, LAMC1",0.0014325874577167
KEGG,,Lipid and atherosclerosis,"NFKBIA, ROCK2, MAPK1, AKT1",0.0015136162717821
KEGG,,Regulation of actin cytoskeleton,"ROCK1, ROCK2, FN1, MAPK1",0.0015660971464918
KEGG,,Choline metabolism in cancer,"MAPK1, AKT1, HIF1A",0.0018587186767681
KEGG,,Ras signaling pathway,"KDR, MAPK1, AKT1, VEGFA",0.0019094554140656
KEGG,,Chagas disease,"NFKBIA, MAPK1, AKT1",0.0020174908900702
KEGG,,Th17 cell differentiation,"NFKBIA, MAPK1, HIF1A",0.0022796776458266
KEGG,,Insulin resistance,"NFKBIA, SLC2A1, AKT1",0.0023036161659699
KEGG,,TNF signaling pathway,"NFKBIA, MAPK1, AKT1",0.002518210265261
KEGG,,Cholinergic synapse,"MAPK1, AKT1, FYN",0.0025427859481897
KEGG,,Neurotrophin signaling pathway,"NFKBIA, MAPK1, AKT1",0.0029063754260607
KEGG,,Prion disease,"CAV1, MAPK1, FYN, LAMC1",0.0031174518327065
KEGG,,Vascular smooth muscle contraction,"ROCK1, ROCK2, MAPK1",0.0038797772189924
KEGG,,Apelin signaling pathway,"SPP1, MAPK1, AKT1",0.004098867278133
KEGG,,Autophagy,"MAPK1, AKT1, HIF1A",0.004098867278133
KEGG,,Thyroid cancer,"MAPK1, CTNNB1",0.0043935944768109
KEGG,,Apoptosis,"NFKBIA, MAPK1, AKT1",0.0044108732190883
KEGG,,Signaling pathways regulating pluripotency of stem cells,"MAPK1, AKT1, CTNNB1",0.0044366365863397
KEGG,,MicroRNAs in cancer,"ROCK1, MMP16, MAPK1, VEGFA",0.0044818837173758
KEGG,,Phospholipase D signaling pathway,"MAPK1, AKT1, FYN",0.0047586749574903
KEGG,,Gastric cancer,"MAPK1, AKT1, CTNNB1",0.0047851143466314
KEGG,,Bladder cancer,"MAPK1, VEGFA",0.0049549906962615
KEGG,,mTOR signaling pathway,"SLC7A5, MAPK1, AKT1",0.0050504806663806
KEGG,,Oxytocin signaling pathway,"ROCK1, ROCK2, MAPK1",0.0050504806663806
KEGG,,Hepatitis B,"NFKBIA, MAPK1, AKT1",0.005754260790647
KEGG,,Hepatocellular carcinoma,"MAPK1, AKT1, CTNNB1",0.0062953906023092
KEGG,,Influenza A,"NFKBIA, MAPK1, AKT1",0.0066424506314427
KEGG,,Vibrio cholerae infection,"TJP1, TJP2",0.0067039356959718
KEGG,,Malaria,"LRP1, PECAM1",0.0067039356959718
KEGG,,Legionellosis,"NFKBIA, NFKB2",0.0085631598031134
KEGG,,Viral myocarditis,"CAV1, FYN",0.0093529262095816
KEGG,,Epstein-Barr virus infection,"NFKBIA, AKT1, NFKB2",0.0097967571724343
KEGG,,Viral carcinogenesis,"NFKBIA, MAPK1, NFKB2",0.009816391426151
KEGG,,Human immunodeficiency virus 1 infection,"NFKBIA, MAPK1, AKT1",0.0109414120859697
KEGG,,Acute myeloid leukemia,"MAPK1, AKT1",0.01106711891462
KEGG,,Prolactin signaling pathway,"MAPK1, AKT1",0.0119132799464204
KEGG,,Melanoma,"MAPK1, AKT1",0.0123047953014387
KEGG,,Non-small cell lung cancer,"MAPK1, AKT1",0.0123047953014387
KEGG,,Glioma,"MAPK1, AKT1",0.0131706296144066
KEGG,,Leishmaniasis,"NFKBIA, MAPK1",0.0137079955139737
KEGG,,Chemical carcinogenesis,"MAPK1, AKT1, VEGFA",0.0140736531431852
KEGG,,ErbB signaling pathway,"MAPK1, AKT1",0.0162305771896059
