Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-4420097,VEGFA-VEGFR2 Pathway,"CDH5, ROCK1, ROCK2, CAV1, KDR, AKT1, CTNNB1, FYN, VEGFA",1.934848973250834e-11
Reactome,R-HSA-194138,Signaling By VEGF,"CDH5, ROCK1, ROCK2, CAV1, KDR, AKT1, CTNNB1, FYN, VEGFA",2.2795527708589768e-11
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"ROCK1, ROCK2, CAV1, ADAM10, LAMC1, HIF1A, VEGFA, CDH5, KDR, MAPK1, AKT1, CTNNB1, FYN",1.5216870927760088e-10
Reactome,R-HSA-1474244,Extracellular Matrix Organization,"ADAM15, MMP16, KDR, FN1, PECAM1, ADAM10, ADAM9, LAMC1, NID1, F11R, JAM2",1.7359140018999276e-10
Reactome,R-HSA-202733,Cell Surface Interactions At Vascular Wall,"SLC7A5, SLC16A1, CAV1, FN1, PECAM1, FYN, F11R, JAM2",5.8872295004375715e-09
Reactome,R-HSA-109582,Hemostasis,"SLC7A5, SLC16A1, CAV1, FN1, PECAM1, MAPK1, AKT1, FYN, F11R, JAM2, VEGFA",1.691094674183644e-07
Reactome,R-HSA-162582,Signal Transduction,"TFRC, ROCK1, ROCK2, CAV1, FN1, ADAM10, LAMC1, F11R, HIF1A, VEGFA, NFKBIA, TJP1, CDH5, KDR, MAPK1, AKT1, CTNNB1, FYN, TJP2",1.7831238902933277e-07
Reactome,R-HSA-1643685,Disease,"SLC16A1, ROCK1, ROCK2, CAV1, SLC2A1, FN1, ADAM10, VEGFA, NFKB2, NFKBIA, TJP1, KDR, MAPK1, AKT1, CTNNB1, FYN",4.418875069080575e-07
Reactome,R-HSA-1474228,Degradation Of Extracellular Matrix,"ADAM15, MMP16, ADAM10, ADAM9, LAMC1, NID1",1.6020330780537305e-06
Reactome,R-HSA-216083,Integrin Cell Surface Interactions,"KDR, FN1, PECAM1, F11R, JAM2",4.467110074271415e-06
Reactome,R-HSA-9013026,RHOB GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1, TJP2",4.946223805377535e-06
Reactome,R-HSA-5218920,VEGFR2 Mediated Vascular Permeability,"CDH5, CAV1, AKT1, CTNNB1",4.946223805377535e-06
Reactome,R-HSA-9013106,RHOC GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1, TJP2",5.72496611192128e-06
Reactome,R-HSA-9013407,RHOH GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1",1.4072140502323326e-05
Reactome,R-HSA-111465,Apoptotic Cleavage Of Cellular Proteins,"TJP1, ROCK1, CTNNB1, TJP2",1.6417731980245763e-05
Reactome,R-HSA-109581,Apoptosis,"TJP1, ROCK1, MAPK1, AKT1, CTNNB1, TJP2",1.6566215497251988e-05
Reactome,R-HSA-351906,Apoptotic Cleavage Of Cell Adhesion Proteins,"TJP1, CTNNB1, TJP2",2.090557396007032e-05
Reactome,R-HSA-449147,Signaling By Interleukins,"NFKBIA, FN1, MAPK1, AKT1, FYN, HIF1A, VEGFA, NFKB2",2.204490302878028e-05
Reactome,R-HSA-5357801,Programmed Cell Death,"TJP1, ROCK1, MAPK1, AKT1, CTNNB1, TJP2",3.463993140510344e-05
Reactome,R-HSA-75153,Apoptotic Execution Phase,"TJP1, ROCK1, CTNNB1, TJP2",4.2398704445874087e-05
Reactome,R-HSA-1500931,Cell-Cell Communication,"CDH5, CLDN5, CTNNB1, FYN, F11R",4.2398704445874087e-05
Reactome,R-HSA-3928663,EPHA-mediated Growth Cone Collapse,"ROCK1, ROCK2, FYN",4.433390851713409e-05
Reactome,R-HSA-421270,Cell-cell Junction Organization,"CDH5, CLDN5, CTNNB1, F11R",7.071770780420391e-05
Reactome,R-HSA-5663205,Infectious Disease,"TJP1, ROCK1, ROCK2, CAV1, MAPK1, AKT1, CTNNB1, FYN, VEGFA, NFKB2",7.071770780420391e-05
Reactome,R-HSA-76002,"Platelet Activation, Signaling And Aggregation","FN1, PECAM1, MAPK1, AKT1, FYN, VEGFA",8.352899213022605e-05
Reactome,R-HSA-8980692,RHOA GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1, TJP2",9.276931316269264e-05
Reactome,R-HSA-5663202,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers,"KDR, FN1, MAPK1, AKT1, ADAM10, CTNNB1, FYN",0.0001209687855884972
Reactome,R-HSA-210991,Basigin Interactions,"SLC7A5, SLC16A1, CAV1",0.00017398555571804494
Reactome,R-HSA-446728,Cell Junction Organization,"CDH5, CLDN5, CTNNB1, F11R",0.00023019084008859883
Reactome,R-HSA-2682334,EPH-Ephrin Signaling,"ROCK1, ROCK2, ADAM10, FYN",0.00027832694732426007
Reactome,R-HSA-1280215,Cytokine Signaling In Immune System,"NFKBIA, FN1, MAPK1, AKT1, FYN, HIF1A, VEGFA, NFKB2",0.0003211465445439308
Reactome,R-HSA-3928662,EPHB-mediated Forward Signaling,"ROCK1, ROCK2, FYN",0.00039183233347058735
Reactome,R-HSA-8935964,RUNX1 Regulates Expression Of Components Of Tight Junctions,"TJP1, CLDN5",0.0003980539462479278
Reactome,R-HSA-6785807,Interleukin-4 And Interleukin-13 Signaling,"FN1, AKT1, HIF1A, VEGFA",0.0004648807902089953
Reactome,R-HSA-9679506,SARS-CoV Infections,"TJP1, ROCK1, ROCK2, CAV1, AKT1, VEGFA",0.0004949069147116889
Reactome,R-HSA-5603029,IkBA Variant Leads To EDA-ID,"NFKBIA, NFKB2",0.0007645748103849225
Reactome,R-HSA-168256,Immune System,"NFKBIA, ROCK1, FN1, PECAM1, MAPK1, AKT1, ADAM10, CTNNB1, FYN, HIF1A, VEGFA, NFKB2",0.0008107340033089025
Reactome,R-HSA-195399,VEGF Binds To VEGFR Leading To Receptor Dimerization,"KDR, VEGFA",0.000964719265470564
Reactome,R-HSA-194315,Signaling By Rho GTPases,"TFRC, ROCK1, ROCK2, CAV1, MAPK1, CTNNB1, TJP2",0.0012090018595221
Reactome,R-HSA-9716542,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3","TFRC, ROCK1, ROCK2, CAV1, MAPK1, CTNNB1, TJP2",0.0013732082100876
Reactome,R-HSA-1234158,Regulation Of Gene Expression By Hypoxia-inducible Factor,"HIF1A, VEGFA",0.0016691299227171
Reactome,R-HSA-4755510,SUMOylation Of Immune Response Proteins,"NFKBIA, NFKB2",0.0016691299227171
Reactome,R-HSA-203615,eNOS Activation,"CAV1, AKT1",0.0016691299227171
Reactome,R-HSA-1834949,Cytosolic Sensors Of Pathogen-Associated DNA,"NFKBIA, CTNNB1, NFKB2",0.0018265310952714
Reactome,R-HSA-373755,Semaphorin Interactions,"ROCK1, ROCK2, FYN",0.001870273190888
Reactome,R-HSA-210990,PECAM1 Interactions,"PECAM1, FYN",0.001870273190888
Reactome,R-HSA-9755779,SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways,"CAV1, AKT1",0.0021609200908568
Reactome,R-HSA-422475,Axon Guidance,"ROCK1, ROCK2, MAPK1, ADAM10, FYN, LAMC1",0.0023428635455854
Reactome,R-HSA-9009391,Extra-nuclear Estrogen Signaling,"CAV1, MAPK1, AKT1",0.0025382547285772
Reactome,R-HSA-202131,Metabolism Of Nitric Oxide: NOS3 Activation And Regulation,"CAV1, AKT1",0.002728395228622
Reactome,R-HSA-9675108,Nervous System Development,"ROCK1, ROCK2, MAPK1, ADAM10, FYN, LAMC1",0.002865732964568
Reactome,R-HSA-168249,Innate Immune System,"NFKBIA, ROCK1, PECAM1, MAPK1, ADAM10, CTNNB1, FYN, NFKB2",0.0028741707948579
Reactome,R-HSA-1810476,RIP-mediated NFkB Activation Via ZBP1,"NFKBIA, NFKB2",0.0033265731891006
Reactome,R-HSA-1266738,Developmental Biology,"ROCK1, ROCK2, MAPK1, AKT1, ADAM10, CTNNB1, FYN, LAMC1",0.0035270115746033
Reactome,R-HSA-5218921,VEGFR2 Mediated Cell Proliferation,"KDR, VEGFA",0.0036023494516012
Reactome,R-HSA-5627117,RHO GTPases Activate ROCKs,"ROCK1, ROCK2",0.0038806227918061
Reactome,R-HSA-9725371,Nuclear Events Stimulated By ALK Signaling In Cancer,"FN1, MAPK1",0.0038806227918061
Reactome,R-HSA-416572,Sema4D Induced Cell Migration And Growth-Cone Collapse,"ROCK1, ROCK2",0.00416106851397
Reactome,R-HSA-2028269,Signaling By Hippo,"TJP1, TJP2",0.00416106851397
Reactome,R-HSA-389513,CTLA4 Inhibitory Signaling,"AKT1, FYN",0.0044434046704231
Reactome,R-HSA-1606322,ZBP1(DAI) Mediated Induction Of Type I IFNs,"NFKBIA, NFKB2",0.0044434046704231
Reactome,R-HSA-975871,MyD88 Cascade Initiated On Plasma Membrane,"NFKBIA, MAPK1, NFKB2",0.0044832806012318
Reactome,R-HSA-9679191,Potential Therapeutics For SARS,"ROCK1, ROCK2, VEGFA",0.0045474874664425
Reactome,R-HSA-3000157,Laminin Interactions,"LAMC1, NID1",0.0046535198776081
Reactome,R-HSA-975138,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation,"NFKBIA, MAPK1, NFKB2",0.00486315910017
Reactome,R-HSA-9013422,RHOBTB1 GTPase Cycle,"ROCK1, ROCK2",0.00486315910017
Reactome,R-HSA-389357,CD28 Dependent PI3K/Akt Signaling,"AKT1, FYN",0.00486315910017
Reactome,R-HSA-975155,MyD88 Dependent Cascade Initiated On Endosome,"NFKBIA, MAPK1, NFKB2",0.0048740510942701
Reactome,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,"NFKBIA, MAPK1, NFKB2",0.0048740510942701
Reactome,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,"NFKBIA, MAPK1, NFKB2",0.0048740510942701
Reactome,R-HSA-400685,Sema4D In Semaphorin Signaling,"ROCK1, ROCK2",0.004931426568857
Reactome,R-HSA-9634638,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling,"AKT1, MAPK1",0.004931426568857
Reactome,R-HSA-6811558,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling","MAPK1, AKT1, FYN",0.0049446870216796
Reactome,R-HSA-8957275,Post-translational Protein Phosphorylation,"FN1, ADAM10, LAMC1",0.0049446870216796
Reactome,R-HSA-168138,Toll Like Receptor 9 (TLR9) Cascade,"NFKBIA, MAPK1, NFKB2",0.0049446870216796
Reactome,R-HSA-166166,MyD88-independent TLR4 Cascade,"NFKBIA, MAPK1, NFKB2",0.005006679314736
Reactome,R-HSA-933542,TRAF6 Mediated NF-kB Activation,"NFKBIA, NFKB2",0.005006679314736
Reactome,R-HSA-9012999,RHO GTPase Cycle,"TFRC, ROCK1, ROCK2, CAV1, TJP2",0.0054438828589885
Reactome,R-HSA-166058,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane,"NFKBIA, MAPK1, NFKB2",0.0055063421021939
Reactome,R-HSA-199418,Negative Regulation Of PI3K/AKT Network,"MAPK1, AKT1, FYN",0.0055563292646544
Reactome,R-HSA-354192,Integrin Signaling,"FN1, AKT1",0.0055563292646544
Reactome,R-HSA-418990,Adherens Junctions Interactions,"CDH5, CTNNB1",0.0062583608572792
Reactome,R-HSA-4641262,Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane,"CAV1, CTNNB1",0.0062583608572792
Reactome,R-HSA-195258,RHO GTPase Effectors,"ROCK1, ROCK2, MAPK1, CTNNB1",0.006365082424451
Reactome,R-HSA-420029,Tight Junction Interactions,"CLDN5, F11R",0.0065404321112764
Reactome,R-HSA-381426,Regulation Of IGF Transport And Uptake By IGFBPs,"FN1, ADAM10, LAMC1",0.0066282629475204
Reactome,R-HSA-5602358,Diseases Associated With TLR Signaling Cascade,"NFKBIA, NFKB2",0.0067852264070082
Reactome,R-HSA-114608,Platelet Degranulation,"FN1, PECAM1, VEGFA",0.0067852264070082
Reactome,R-HSA-76005,Response To Elevated Platelet Cytosolic Ca2+,"FN1, PECAM1, VEGFA",0.0073909325647617
Reactome,R-HSA-2454202,Fc Epsilon Receptor (FCERI) Signaling,"NFKBIA, MAPK1, FYN",0.0073909325647617
Reactome,R-HSA-6802948,Signaling By High-Kinase Activity BRAF Mutants,"FN1, MAPK1",0.0073909325647617
Reactome,R-HSA-389356,CD28 Co-Stimulation,"AKT1, FYN",0.0077589929994562
Reactome,R-HSA-9706574,RHOBTB GTPase Cycle,"ROCK1, ROCK2",0.0081318245987832
Reactome,R-HSA-76009,Platelet Aggregation (Plug Formation),"FN1, AKT1",0.0085092323658305
Reactome,R-HSA-166016,Toll Like Receptor 4 (TLR4) Cascade,"NFKBIA, MAPK1, NFKB2",0.0086188552414761
Reactome,R-HSA-5621481,C-type Lectin Receptors (CLRs),"NFKBIA, FYN, NFKB2",0.0086188552414761
Reactome,R-HSA-9607240,FLT3 Signaling,"AKT1, FYN",0.0086188552414761
Reactome,R-HSA-5674135,MAP2K And MAPK Activation,"FN1, MAPK1",0.0086188552414761
Reactome,R-HSA-9656223,Signaling By RAF1 Mutants,"FN1, MAPK1",0.0089959151998799
Reactome,R-HSA-1442490,Collagen Degradation,"ADAM10, ADAM9",0.0098597870780554
Reactome,R-HSA-6802955,Paradoxical Activation Of RAF Signaling By Kinase Inactive BRAF,"FN1, MAPK1",0.0102515452944324
Reactome,R-HSA-9696273,RND1 GTPase Cycle,"TFRC, CAV1",0.0104421670304846
Reactome,R-HSA-9696264,RND3 GTPase Cycle,"ROCK1, CAV1",0.0104421670304846
Reactome,R-HSA-3769402,Deactivation Of Beta-Catenin Transactivating Complex,"AKT1, CTNNB1",0.0104421670304846
Reactome,R-HSA-9696270,RND2 GTPase Cycle,"TFRC, CAV1",0.0108353585617209
Reactome,R-HSA-445989,TAK1-dependent IKK And NF-kappa-B Activation,"NFKBIA, NFKB2",0.011687105587493
Reactome,R-HSA-168898,Toll-like Receptor Cascades,"NFKBIA, MAPK1, NFKB2",0.011687105587493
Reactome,R-HSA-1227986,Signaling By ERBB2,"AKT1, FYN",0.0135042570210708
Reactome,R-HSA-3928665,EPH-ephrin Mediated Repulsion Of Cells,"ADAM10, FYN",0.0135042570210708
Reactome,R-HSA-9006927,Signaling By Non-Receptor Tyrosine Kinases,"AKT1, HIF1A",0.0150388231587037
Reactome,R-HSA-212436,Generic Transcription Pathway,"TJP1, CLDN5, CAV1, MAPK1, AKT1, CTNNB1, VEGFA",0.0159049980529012
Reactome,R-HSA-9013409,RHOJ GTPase Cycle,"TFRC, CAV1",0.0159049980529012
Reactome,R-HSA-9725370,Signaling By ALK Fusions And Activated Point Mutants,"FN1, MAPK1",0.0161978800990481
Reactome,R-HSA-109606,Intrinsic Pathway For Apoptosis,"MAPK1, AKT1",0.0161978800990481
Reactome,R-HSA-8939211,ESR-mediated Signaling,"CAV1, MAPK1, AKT1",0.0165190646130257
Reactome,R-HSA-375165,NCAM Signaling For Neurite Out-Growth,"MAPK1, FYN",0.0170710704186011
