Category,ID,Term,Genes,adj_pval
BP,GO:0035633,Maintenance Of Blood-Brain Barrier,"TJP1, CDH5, CLDN5, PECAM1, LAMC1, F11R, JAM2, TJP2",1.0314990563357093e-13
BP,GO:0030334,Regulation Of Cell Migration,"ROCK1, ROCK2, CAV1, ADAM10, VEGFA, TJP1, CDH5, CLDN5, ADAM15, KDR, PECAM1, AKT1, ADAM9, FYN, ENG",1.0314990563357093e-13
BP,GO:1903140,Regulation Of Establishment Of Endothelial Barrier,"CDH5, CLDN5, ROCK1, ROCK2, F11R, VEGFA",5.191309053344925e-11
BP,GO:0030335,Positive Regulation Of Cell Migration,"TJP1, CDH5, ROCK2, CAV1, KDR, FN1, PECAM1, ADAM10, ADAM9, HIF1A, VEGFA",2.0252140441792191e-10
BP,GO:0001932,Regulation Of Protein Phosphorylation,"CDH5, TFRC, ROCK2, KDR, FN1, PECAM1, AKT1, FYN, VEGFA, ENG",4.161711298364979e-09
BP,GO:0010605,Negative Regulation Of Macromolecule Metabolic Process,"SLC7A5, CLDN5, LRP1, ROCK2, KDR, ADAM10, HIF1A, VEGFA, ENG",4.4122165175673215e-09
BP,GO:2000810,Regulation Of Bicellular Tight Junction Assembly,"TJP1, CLDN5, ROCK1, ROCK2, F11R",5.561120251427385e-09
BP,GO:2000147,Positive Regulation Of Cell Motility,"TJP1, CDH5, ROCK2, CAV1, KDR, PECAM1, ADAM10, ADAM9, VEGFA",1.5467715770332924e-08
BP,GO:0010468,Regulation Of Gene Expression,"LRP1, TFRC, ROCK1, ROCK2, FN1, ADAM10, HIF1A, VEGFA, NFKB2, CDH5, SLC7A5, CLDN5, KDR, AKT1, ENG",2.2407658637857772e-08
BP,GO:0010604,Positive Regulation Of Macromolecule Metabolic Process,"NFKBIA, CDH5, CLDN5, TFRC, ROCK1, ROCK2, FN1, AKT1, HIF1A, VEGFA",4.654324168349138e-08
BP,GO:0045765,Regulation Of Angiogenesis,"CDH5, CLDN5, ROCK1, ROCK2, KDR, CTNNB1, HIF1A, VEGFA",1.932610502727637e-07
BP,GO:0048522,Positive Regulation Of Cellular Process,"TJP1, CLDN5, CAV1, KDR, FN1, AKT1, ADAM10, CTNNB1, LAMC1, NID1, VEGFA",2.8368147206103974e-07
BP,GO:0031401,Positive Regulation Of Protein Modification Process,"CDH5, TFRC, ROCK2, KDR, PECAM1, AKT1, VEGFA, ENG",3.403534837311663e-07
BP,GO:0010629,Negative Regulation Of Gene Expression,"SLC7A5, CLDN5, LRP1, ROCK2, KDR, ADAM10, HIF1A, VEGFA, ENG",3.54536883033222e-07
