ID,logFC
Gfap,0.7807844308648234
Il1r1,2.040283914208114
Il6ra,-0.6979157777744749
Il6st,0.791445771511517
Lifr,-0.9504884495545508
Osmr,1.4115146450544287
Mapk1,-0.4981543865020959
Fyn,-0.467438106724205
Akt1,-0.6213314275048448
Nfkbia,1.1019713850898296
Nfkb2,1.5596681779860877
Ikbkg,-0.113369266265294
Ptprd,-1.6611281762326269
Ptprt,-3.286386165769716
Fgfr1,-2.271764667863989
Socs3,3.047050246865894
Stat1,0.9381993829863592
Cdkn1a,1.0886586825853062
Vegfa,0.62261703631614
Hif1a,1.3746908458707692
Mcl1,0.9978954591527688
Ccnd1,0.6014259809050925
