Category,ID,Term,Genes,adj_pval
KEGG,,JAK-STAT signaling pathway,"SOCS3, CDKN1A, CCND1, STAT1, AKT1, LIFR, OSMR, IL6ST, GFAP, MCL1",8.568852783823984e-14
KEGG,,Kaposi sarcoma-associated herpesvirus infection,"NFKBIA, CDKN1A, CCND1, STAT1, MAPK1, AKT1, IKBKG, IL6ST, HIF1A, VEGFA",2.5412286524756933e-13
KEGG,,Osteoclast differentiation,"NFKBIA, SOCS3, IL1R1, STAT1, MAPK1, AKT1, FYN, IKBKG, NFKB2",3.054947005555514e-13
KEGG,,Pathways in cancer,"NFKBIA, CDKN1A, CCND1, STAT1, MAPK1, AKT1, IKBKG, IL6ST, HIF1A, NFKB2, VEGFA, FGFR1",2.161890231208745e-12
KEGG,,Pancreatic cancer,"CDKN1A, CCND1, STAT1, MAPK1, AKT1, IKBKG, VEGFA",4.4083315788678895e-11
KEGG,,Hepatitis C,"NFKBIA, SOCS3, CDKN1A, CCND1, STAT1, MAPK1, AKT1, IKBKG",9.180905003680808e-11
KEGG,,Prostate cancer,"NFKBIA, CDKN1A, CCND1, MAPK1, AKT1, IKBKG, FGFR1",1.8249389339699595e-10
KEGG,,Th17 cell differentiation,"NFKBIA, IL1R1, STAT1, MAPK1, IKBKG, IL6ST, HIF1A",3.2200821949969727e-10
KEGG,,Human T-cell leukemia virus 1 infection,"NFKBIA, CDKN1A, CCND1, IL1R1, MAPK1, AKT1, IKBKG, NFKB2",8.888842893690872e-10
KEGG,,PI3K-Akt signaling pathway,"CDKN1A, CCND1, MAPK1, AKT1, IKBKG, OSMR, VEGFA, FGFR1, MCL1",9.025760925418879e-10
KEGG,,Human cytomegalovirus infection,"NFKBIA, CDKN1A, CCND1, IL1R1, MAPK1, AKT1, IKBKG, VEGFA",9.025760925418879e-10
KEGG,,Chronic myeloid leukemia,"NFKBIA, CDKN1A, CCND1, MAPK1, AKT1, IKBKG",2.2893554723954294e-09
KEGG,,PD-L1 expression and PD-1 checkpoint pathway in cancer,"NFKBIA, STAT1, MAPK1, AKT1, IKBKG, HIF1A",5.5673129039023155e-09
KEGG,,C-type lectin receptor signaling pathway,"NFKBIA, STAT1, MAPK1, AKT1, IKBKG, NFKB2",1.3360605420108704e-08
KEGG,,Epstein-Barr virus infection,"NFKBIA, CDKN1A, CCND1, STAT1, AKT1, IKBKG, NFKB2",1.4714623033938829e-08
KEGG,,Viral carcinogenesis,"NFKBIA, CDKN1A, CCND1, MAPK1, IKBKG, IL6ST, NFKB2",1.4714623033938829e-08
KEGG,,Proteoglycans in cancer,"CDKN1A, CCND1, MAPK1, AKT1, HIF1A, VEGFA, FGFR1",1.4828566421458818e-08
KEGG,,Breast cancer,"CDKN1A, CCND1, MAPK1, AKT1, NFKB2, FGFR1",8.403063631023464e-08
KEGG,,Renal cell carcinoma,"CDKN1A, MAPK1, AKT1, HIF1A, VEGFA",8.766697141963747e-08
KEGG,,Prolactin signaling pathway,"SOCS3, CCND1, STAT1, MAPK1, AKT1",8.962653171714917e-08
KEGG,,Melanoma,"CDKN1A, CCND1, MAPK1, AKT1, FGFR1",9.853804569531985e-08
KEGG,,Hepatitis B,"NFKBIA, CDKN1A, STAT1, MAPK1, AKT1, IKBKG",1.2308132335151517e-07
KEGG,,MAPK signaling pathway,"IL1R1, MAPK1, AKT1, IKBKG, NFKB2, VEGFA, FGFR1",1.330810630596113e-07
KEGG,,Influenza A,"NFKBIA, SOCS3, STAT1, MAPK1, AKT1, IKBKG",1.6139252520265075e-07
KEGG,,Human papillomavirus infection,"CDKN1A, CCND1, STAT1, MAPK1, AKT1, IKBKG, VEGFA",2.757970083800952e-07
KEGG,,Small cell lung cancer,"NFKBIA, CDKN1A, CCND1, AKT1, IKBKG",2.757970083800952e-07
KEGG,,AGE-RAGE signaling pathway in diabetic complications,"CCND1, STAT1, MAPK1, AKT1, VEGFA",4.0429125894592244e-07
KEGG,,T cell receptor signaling pathway,"NFKBIA, MAPK1, AKT1, FYN, IKBKG",4.584747319429065e-07
KEGG,,Toll-like receptor signaling pathway,"NFKBIA, STAT1, MAPK1, AKT1, IKBKG",4.584747319429065e-07
KEGG,,HIF-1 signaling pathway,"CDKN1A, MAPK1, AKT1, HIF1A, VEGFA",5.480530268872754e-07
KEGG,,Bladder cancer,"CDKN1A, CCND1, MAPK1, VEGFA",5.480530268872754e-07
