Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-449147,Signaling By Interleukins,"CDKN1A, IL1R1, STAT1, LIFR, OSMR, HIF1A, NFKB2, VEGFA, NFKBIA, SOCS3, CCND1, MAPK1, AKT1, FYN, IKBKG, IL6ST, MCL1",8.151033127203566e-22
Reactome,R-HSA-1280215,Cytokine Signaling In Immune System,"CDKN1A, IL1R1, STAT1, LIFR, OSMR, HIF1A, NFKB2, VEGFA, NFKBIA, SOCS3, CCND1, MAPK1, AKT1, FYN, IKBKG, IL6ST, MCL1",7.3341687263108655e-19
Reactome,R-HSA-168256,Immune System,"CDKN1A, IL1R1, STAT1, LIFR, OSMR, HIF1A, NFKB2, VEGFA, NFKBIA, SOCS3, CCND1, MAPK1, AKT1, FYN, IKBKG, IL6ST, MCL1",1.331936844146188e-11
Reactome,R-HSA-6785807,Interleukin-4 And Interleukin-13 Signaling,"SOCS3, CDKN1A, CCND1, STAT1, AKT1, HIF1A, VEGFA, MCL1",1.6452246562001187e-11
Reactome,R-HSA-6783589,Interleukin-6 Family Signaling,"SOCS3, STAT1, LIFR, OSMR, IL6ST",3.529120534630754e-09
Reactome,R-HSA-162582,Signal Transduction,"CDKN1A, STAT1, HIF1A, GFAP, VEGFA, NFKBIA, SOCS3, CCND1, MAPK1, AKT1, FYN, IKBKG, IL6ST, FGFR1",1.5541251474241589e-06
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"STAT1, MAPK1, AKT1, FYN, HIF1A, GFAP, VEGFA, FGFR1",1.938643082166389e-06
Reactome,R-HSA-5603029,IkBA Variant Leads To EDA-ID,"NFKBIA, IKBKG, NFKB2",2.1465269057634005e-06
Reactome,R-HSA-1643685,Disease,"NFKBIA, CDKN1A, CCND1, IL1R1, STAT1, MAPK1, AKT1, FYN, IKBKG, NFKB2, VEGFA, FGFR1",2.3626494474873937e-06
Reactome,R-HSA-8878166,Transcriptional Regulation By RUNX2,"CDKN1A, CCND1, STAT1, MAPK1, AKT1",6.727179874306724e-06
Reactome,R-HSA-4755510,SUMOylation Of Immune Response Proteins,"NFKBIA, IKBKG, NFKB2",6.727179874306724e-06
Reactome,R-HSA-1059683,Interleukin-6 Signaling,"SOCS3, STAT1, IL6ST",6.727179874306724e-06
Reactome,R-HSA-9006927,Signaling By Non-Receptor Tyrosine Kinases,"SOCS3, CCND1, AKT1, HIF1A",9.405057441414308e-06
Reactome,R-HSA-1810476,RIP-mediated NFkB Activation Via ZBP1,"NFKBIA, IKBKG, NFKB2",2.208509057847565e-05
Reactome,R-HSA-6788467,IL-6-type Cytokine Receptor Ligand Interactions,"LIFR, OSMR, IL6ST",2.208509057847565e-05
Reactome,R-HSA-1606322,ZBP1(DAI) Mediated Induction Of Type I IFNs,"NFKBIA, IKBKG, NFKB2",4.038115549940153e-05
Reactome,R-HSA-9634638,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling,"CCND1, MAPK1, AKT1",5.4507807173927536e-05
Reactome,R-HSA-982772,Growth Hormone Receptor Signaling,"SOCS3, STAT1, MAPK1",5.4507807173927536e-05
Reactome,R-HSA-933542,TRAF6 Mediated NF-kB Activation,"NFKBIA, IKBKG, NFKB2",5.8638935191458246e-05
Reactome,R-HSA-975871,MyD88 Cascade Initiated On Plasma Membrane,"NFKBIA, MAPK1, IKBKG, NFKB2",7.226194498261266e-05
Reactome,R-HSA-975138,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation,"NFKBIA, MAPK1, IKBKG, NFKB2",7.226194498261266e-05
Reactome,R-HSA-975155,MyD88 Dependent Cascade Initiated On Endosome,"NFKBIA, MAPK1, IKBKG, NFKB2",7.226194498261266e-05
Reactome,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,"NFKBIA, MAPK1, IKBKG, NFKB2",7.226194498261266e-05
Reactome,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,"NFKBIA, MAPK1, IKBKG, NFKB2",7.226194498261266e-05
