Category,ID,Term,Genes,adj_pval
BP,GO:0034097,Response To Cytokine,"IL1R1, STAT1, LIFR, OSMR, IL6ST, NFKB2, MCL1",3.634619410813692e-08
BP,GO:0071345,Cellular Response To Cytokine Stimulus,"PTPRT, NFKBIA, STAT1, AKT1, LIFR, OSMR, IL6ST, HIF1A",2.806778673772957e-07
BP,GO:0007167,Enzyme-Linked Receptor Protein Signaling Pathway,"PTPRT, PTPRD, LIFR, FYN, IL6ST, FGFR1",8.449678949713988e-07
BP,GO:0019221,Cytokine-Mediated Signaling Pathway,"NFKBIA, IL1R1, STAT1, AKT1, LIFR, OSMR, IL6ST",1.4131650270967085e-06
BP,GO:0008284,Positive Regulation Of Cell Population Proliferation,"CDKN1A, STAT1, AKT1, LIFR, OSMR, IL6ST, VEGFA, FGFR1",3.801497723356381e-06
BP,GO:0043536,Positive Regulation Of Blood Vessel Endothelial Cell Migration,"AKT1, HIF1A, VEGFA, FGFR1",2.1226324982199964e-05
BP,GO:0043535,Regulation Of Blood Vessel Endothelial Cell Migration,"AKT1, HIF1A, VEGFA, FGFR1",3.505738758253012e-05
BP,GO:0007169,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,"PTPRT, MAPK1, AKT1, FYN, VEGFA, FGFR1",4.39109658624488e-05
BP,GO:0000302,Response To Reactive Oxygen Species,"MAPK1, AKT1, FYN, HIF1A",6.160526143075777e-05
BP,GO:0042127,Regulation Of Cell Population Proliferation,"CDKN1A, STAT1, AKT1, LIFR, OSMR, IL6ST, VEGFA, FGFR1",6.490485539222893e-05
BP,GO:0001938,Positive Regulation Of Endothelial Cell Proliferation,"AKT1, HIF1A, VEGFA, FGFR1",9.38958633570126e-05
BP,GO:0010595,Positive Regulation Of Endothelial Cell Migration,"AKT1, HIF1A, VEGFA, FGFR1",0.000128040629111382
BP,GO:0001936,Regulation Of Endothelial Cell Proliferation,"STAT1, AKT1, HIF1A, VEGFA",0.0001694520316080342
BP,GO:0042327,Positive Regulation Of Phosphorylation,"CDKN1A, CCND1, AKT1, VEGFA, FGFR1",0.00023116577418929937
BP,GO:0042981,Regulation Of Apoptotic Process,"SOCS3, STAT1, AKT1, FYN, IL6ST, VEGFA, MCL1",0.00034359693243508595
BP,GO:0071902,Positive Regulation Of Protein Serine/Threonine Kinase Activity,"CCND1, AKT1, VEGFA, FGFR1",0.00034359693243508595
BP,GO:0001932,Regulation Of Protein Phosphorylation,"CDKN1A, CCND1, AKT1, FYN, VEGFA",0.0003712747964584714
BP,GO:0007249,I-kappaB kinase/NF-kappaB Signaling,"NFKBIA, IKBKG, NFKB2",0.0006477905790003694
BP,GO:1903376,Regulation Of Oxidative Stress-Induced Neuron Intrinsic Apoptotic Signaling Pathway,"HIF1A, MCL1",0.0006665946595454154
BP,GO:0061418,Regulation Of Transcription From RNA Polymerase II Promoter In Response To Hypoxia,"HIF1A, VEGFA",0.0008859829424423769
BP,GO:0048522,Positive Regulation Of Cellular Process,"AKT1, LIFR, OSMR, IL6ST, VEGFA, FGFR1",0.001160962463003
BP,GO:0060548,Negative Regulation Of Cell Death,"AKT1, FYN, IKBKG",0.0014444091785672
BP,GO:0001934,Positive Regulation Of Protein Phosphorylation,"CDKN1A, CCND1, MAPK1, AKT1, VEGFA",0.0014444091785672
BP,GO:0042509,Regulation Of Tyrosine Phosphorylation Of STAT Protein,"SOCS3, IL6ST, VEGFA",0.0014444091785672
BP,GO:0043069,Negative Regulation Of Programmed Cell Death,"SOCS3, AKT1, IL6ST, VEGFA, MCL1",0.0014444091785672
BP,GO:0034614,Cellular Response To Reactive Oxygen Species,"MAPK1, AKT1, FYN",0.0019268824802514
BP,GO:0000079,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity,"CDKN1A, CCND1, AKT1",0.0023160216281278
BP,GO:0036211,Protein Modification Process,"PTPRT, PTPRD, MAPK1, AKT1, FYN, FGFR1",0.0023160216281278
BP,GO:0031401,Positive Regulation Of Protein Modification Process,"CDKN1A, CCND1, AKT1, VEGFA",0.0023160216281278
