Category,ID,Term,Genes,adj_pval
KEGG,,Glutamatergic synapse,"GRIA1, GRIA2, GRIN2A, GRM5, GRIK1, CACNA1C, GRM1, GRIN1",1.883066869489688e-12
KEGG,,Long-term potentiation,"GRIA1, GRIA2, GRIN2A, GRM5, CACNA1C, GRM1, GRIN1",2.7542403815039358e-12
KEGG,,Nicotine addiction,"GRIA1, GABRB3, GRIA2, GABRA1, GRIN2A, GRIN1",1.3658923381482179e-11
KEGG,,Neuroactive ligand-receptor interaction,"GRIA1, GABRB3, GRIA2, GABRA1, GRIN2A, GRM5, GRIK1, GRM1, GRIN1",6.051261535123912e-11
KEGG,,Retrograde endocannabinoid signaling,"GRIA1, GABRB3, GRIA2, GABRA1, GRM5, CACNA1C, GRM1",3.2556376642304527e-10
KEGG,,Amphetamine addiction,"GRIA1, GRIA2, GRIN2A, CACNA1C, GRIN1",3.023664229190508e-08
KEGG,,Taste transduction,"GABRA1, CACNA1C, SCN2A, SCN3A, GRM1",7.957651714404635e-08
KEGG,,Circadian entrainment,"GRIA1, GRIA2, GRIN2A, CACNA1C, GRIN1",1.28082904496825e-07
KEGG,,Pathways of neurodegeneration,"GRIA1, GRIA2, GRIN2A, GRM5, CACNA1C, GRM1, GRIN1",5.977988716333858e-07
KEGG,,Spinocerebellar ataxia,"GRIA1, GRIA2, GRIN2A, GRM1, GRIN1",7.200172199894212e-07
KEGG,,cAMP signaling pathway,"GRIA1, GRIA2, GRIN2A, CACNA1C, GRIN1",5.0668091216312656e-06
KEGG,,Calcium signaling pathway,"GRIN2A, GRM5, CACNA1C, GRM1, GRIN1",7.79993282819766e-06
KEGG,,Dopaminergic synapse,"GRIA1, GRIA2, GRIN2A, CACNA1C",2.0651791919841622e-05
KEGG,,Oxytocin signaling pathway,"KCNJ4, CACNB4, CACNA2D1, CACNA1C",3.532351973297178e-05
KEGG,,Cocaine addiction,"GRIA2, GRIN2A, GRIN1",3.809276422124782e-05
KEGG,,Long-term depression,"GRIA1, GRIA2, GRM1",6.592102701130836e-05
KEGG,,Arrhythmogenic right ventricular cardiomyopathy,"CACNB4, CACNA2D1, CACNA1C",0.0001313642588047225
KEGG,,Cardiac muscle contraction,"CACNB4, CACNA2D1, CACNA1C",0.00017802046466529334
KEGG,,GABAergic synapse,"GABRB3, GABRA1, CACNA1C",0.00017802046466529334
KEGG,,Hypertrophic cardiomyopathy,"CACNB4, CACNA2D1, CACNA1C",0.00017802046466529334
KEGG,,Dilated cardiomyopathy,"CACNB4, CACNA2D1, CACNA1C",0.00020550492211080507
KEGG,,Huntington disease,"GRIA1, GRIA2, GRM5, GRIN1",0.0003280588777883736
KEGG,,Amyotrophic lateral sclerosis,"GRIA1, GRIA2, GRIN2A, GRIN1",0.0006100150352908396
KEGG,,Alzheimer disease,"GRIN2A, GRM5, CACNA1C, GRIN1",0.0006157870270150013
KEGG,,Adrenergic signaling in cardiomyocytes,"CACNB4, CACNA2D1, CACNA1C",0.0006461335670734417
KEGG,,GnRH secretion,"CACNA1C, HCN1",0.0029634172880957
KEGG,,Cortisol synthesis and secretion,"CACNA1C, KCNK3",0.0029634172880957
KEGG,,Renin secretion,"KCNMA1, CACNA1C",0.003161992278299
KEGG,,Prion disease,"GRIN2A, CACNA1C, GRIN1",0.003161992278299
KEGG,,MAPK signaling pathway,"CACNB4, CACNA2D1, CACNA1C",0.0037757305403838
KEGG,,Insulin secretion,"KCNMA1, CACNA1C",0.004485026415294
KEGG,,Gap junction,"GRM5, GRM1",0.0045456828131393
KEGG,,Morphine addiction,"GABRB3, GABRA1",0.0047078647822674
KEGG,,Aldosterone synthesis and secretion,"CACNA1C, KCNK3",0.0052839141617059
KEGG,,Serotonergic synapse,"GABRB3, CACNA1C",0.006591231494406
KEGG,,Cholinergic synapse,"KCNJ4, CACNA1C",0.006591231494406
KEGG,,Vascular smooth muscle contraction,"KCNMA1, CACNA1C",0.008801968099054
KEGG,,Phospholipase D signaling pathway,"GRM5, GRM1",0.010536362887966
KEGG,,Cushing syndrome,"CACNA1C, KCNK3",0.0112219580056337
KEGG,,cGMP-PKG signaling pathway,"KCNMA1, CACNA1C",0.0126263725133627
KEGG,,Alcoholism,"GRIN2A, GRIN1",0.0151368744897603
KEGG,,Rap1 signaling pathway,"GRIN2A, GRIN1",0.0186090651323332
KEGG,,Ras signaling pathway,"GRIN2A, GRIN1",0.0219369884171287
KEGG,,Type II diabetes mellitus,CACNA1C,0.048002128654438
