Category,ID,Term,Genes,adj_pval
BP,GO:0007215,Glutamate Receptor Signaling Pathway,"GRIA2, GRIN2A, GRM5, GRIK1, GRM1, GRIN1",5.256782002728928e-11
BP,GO:0007268,Chemical Synaptic Transmission,"GRIA1, GABRB3, GRIA2, GABRA1, GRIN2A, CACNB4, GRIK1, KCNK3, GRIN1",5.256782002728928e-11
BP,GO:0098916,Anterograde Trans-Synaptic Signaling,"GRIA1, GABRB3, GRIA2, GRIN2A, CACNB4, GRIK1, KCNK3, GRIN1",1.8654448788787568e-10
BP,GO:0051966,"Regulation Of Synaptic Transmission, Glutamatergic","GRIN2A, GRM5, GRIK1, GRM1, GRIN1, HCN1",2.4657662169076547e-10
BP,GO:0097553,Calcium Ion Transmembrane Import Into Cytosol,"GRIN2A, CACNA2D1, CACNA1C, SCN2A, SCN3A, GRIN1",2.531688734109164e-09
BP,GO:0030001,Metal Ion Transport,"KCNJ4, CACNA2D1, KCNMA1, SCN2A, SCN3A, KCNK3",1.6974613056319037e-07
BP,GO:0035249,"Synaptic Transmission, Glutamatergic","GRIA1, GRIA2, GRIN2A, GRIK1",1.897443228733666e-07
BP,GO:1904646,Cellular Response To Amyloid-Beta,"GRIN2A, GRM5, CACNA2D1, GRIN1",4.3701485003920173e-07
BP,GO:0098659,Inorganic Cation Import Across Plasma Membrane,"KCNJ4, CACNA2D1, CACNA1C, SCN2A, SCN3A",4.950564412887645e-07
BP,GO:0098703,Calcium Ion Import Across Plasma Membrane,"CACNA2D1, CACNA1C, SCN2A, SCN3A",4.970556304953284e-07
BP,GO:1904645,Response To Amyloid-Beta,"GRIN2A, GRM5, CACNA2D1, GRIN1",8.415234074935937e-07
BP,GO:0050804,Modulation Of Chemical Synaptic Transmission,"GRIA1, GRIA2, GRM5, GRIK1, GRM1",9.065372172098344e-07
BP,GO:0098655,Monoatomic Cation Transmembrane Transport,"GRIN2A, CACNA1C, SCN2A, KCNK3, GRIN1, HCN1",1.5090537812125882e-06
BP,GO:0035235,Ionotropic Glutamate Receptor Signaling Pathway,"GRIA2, GRIN2A, GRIN1",1.5979976553003535e-06
BP,GO:1901653,Cellular Response To Peptide,"GRIN2A, GRM5, CACNA2D1, GRIN1",1.823340607220008e-06
BP,GO:0070588,Calcium Ion Transmembrane Transport,"GRIN2A, CACNA2D1, CACNA1C, GRIN1",7.262456166710755e-06
BP,GO:0034765,Regulation Of Monoatomic Ion Transmembrane Transport,"KCNJ4, GRIN2A, GRIN1",2.165024641946848e-05
BP,GO:0006813,Potassium Ion Transport,"KCNJ4, KCNMA1, KCNK3, HCN1",3.4580862985500725e-05
