Category,ID,Term,Genes,adj_pval
KEGG,,PI3K-Akt signaling pathway,"GSK3B, CDKN1A, PHLPP1, PTEN, PIK3R1, PIK3CG, IGF1R, RPTOR, CCND1, AKT3, EIF4EBP1, KDR, MAPK1, AKT1, HRAS, MCL1, PDPK1, BAD, MTOR, VEGFA, RPS6KB1, RPS6KB2, KRAS, GRB2, FGFR2, FGFR1, CREB5",8.818372247106504e-36
KEGG,,Prostate cancer,"GSK3B, CDKN1A, PDPK1, BAD, PTEN, PIK3R1, FOXO1, MTOR, IGF1R, NFKBIA, CCND1, AKT3, MAPK1, AKT1, KRAS, GRB2, HRAS, FGFR2, FGFR1, CREB5",1.3622455156760799e-34
KEGG,,Pathways in cancer,"GSK3B, CDKN1A, PTEN, XIAP, PIK3R1, FOXO1, IGF1R, CCND1, AKT3, MAPK1, AKT1, HRAS, BAD, MTOR, NFKB2, VEGFA, NFKBIA, RPS6KB1, RPS6KB2, BAX, KRAS, GRB2, BIRC2, FGFR2, FGFR1",9.082364735526826e-28
KEGG,,Breast cancer,"GSK3B, CDKN1A, PTEN, PIK3R1, MTOR, IGF1R, NFKB2, CCND1, RPS6KB1, AKT3, RPS6KB2, MAPK1, AKT1, BAX, KRAS, GRB2, HRAS, FGFR1",1.005334122757213e-26
KEGG,,mTOR signaling pathway,"GSK3B, PDPK1, PTEN, PIK3R1, MTOR, IGF1R, RPTOR, RPS6KB1, AKT3, RPS6KB2, EIF4EBP1, MAPK1, AKT1, ULK2, ULK1, KRAS, GRB2, HRAS",1.9410700375736752e-26
KEGG,,Hepatocellular carcinoma,"GSK3B, CDKN1A, BAD, PTEN, GAB1, PIK3R1, MTOR, IGF1R, CCND1, RPS6KB1, AKT3, RPS6KB2, MAPK1, AKT1, BAX, KRAS, GRB2, HRAS",8.341041167244201e-26
KEGG,,Longevity regulating pathway,"IRS2, PIK3R1, FOXO1, MTOR, IGF1R, RPTOR, RPS6KB1, AKT3, RPS6KB2, EIF4EBP1, AKT1, BAX, ULK1, KRAS, HRAS, CREB5",1.3915686979477722e-25
KEGG,,Autophagy,"PDPK1, BAD, PTEN, IRS2, PIK3R1, MTOR, IGF1R, RPTOR, RPS6KB1, AKT3, RPS6KB2, MAPK1, AKT1, ULK2, ULK1, KRAS, HRAS",1.452198191363934e-25
KEGG,,Insulin signaling pathway,"GSK3B, PDPK1, BAD, IRS2, PIK3R1, FOXO1, MTOR, RPTOR, RPS6KB1, AKT3, RPS6KB2, EIF4EBP1, MAPK1, AKT1, KRAS, GRB2, HRAS",1.452198191363934e-25
KEGG,,Endometrial cancer,"GSK3B, CDKN1A, PDPK1, BAD, PTEN, PIK3R1, CCND1, AKT3, MAPK1, AKT1, BAX, KRAS, GRB2, HRAS",3.103386946256924e-25
KEGG,,ErbB signaling pathway,"GSK3B, CDKN1A, BAD, GAB1, PIK3R1, MTOR, RPS6KB1, AKT3, RPS6KB2, EIF4EBP1, MAPK1, AKT1, KRAS, GRB2, HRAS",6.55860023211911e-25
KEGG,,Colorectal cancer,"GSK3B, CDKN1A, BAD, PIK3R1, MTOR, CCND1, RPS6KB1, AKT3, RPS6KB2, MAPK1, AKT1, BAX, KRAS, GRB2, HRAS",7.2733704002496865e-25
