Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-1257604,PIP3 Activates AKT Signaling,"GSK3B, GSK3A, CDKN1A, PHLPP1, PDPK1, BAD, PTEN, XIAP, IRS2, PIK3R1, FOXO1, MTOR, RPTOR, AKT3, RPS6KB2, MAPK1, AKT1, FYN, GRB2, FGFR2, FGFR1",1.7531279551874264e-26
Reactome,R-HSA-2219528,PI3K/AKT Signaling In Cancer,"GSK3B, GSK3A, CDKN1A, PDPK1, BAD, PTEN, IRS2, PIK3R1, FOXO1, MTOR, AKT3, RPS6KB2, AKT1, FYN, GRB2, FGFR2, FGFR1",1.7531279551874264e-26
Reactome,R-HSA-9006925,Intracellular Signaling By Second Messengers,"GSK3B, GSK3A, CDKN1A, PHLPP1, PDPK1, BAD, PTEN, XIAP, IRS2, PIK3R1, FOXO1, MTOR, RPTOR, AKT3, RPS6KB2, MAPK1, AKT1, FYN, GRB2, FGFR2, FGFR1",1.4739015986684574e-25
Reactome,R-HSA-162582,Signal Transduction,"GSK3B, GSK3A, CDKN1A, PHLPP1, PTEN, XIAP, IRS2, PIK3R1, FOXO1, PIK3CG, IGF1R, RPTOR, CCND1, AKT3, EIF4EBP1, KDR, MAPK1, AKT1, FYN, HRAS, PDPK1, BAD, MTOR, VEGFA, NFKBIA, RPS6KB1, RPS6KB2, BAX, GRB2, BIRC2, FGFR2, FGFR1, EIF4G1",4.092620150894855e-21
Reactome,R-HSA-5663202,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers,"GSK3B, GSK3A, CDKN1A, PDPK1, BAD, PTEN, IRS2, PIK3R1, FOXO1, MTOR, AKT3, RPS6KB2, KDR, MAPK1, AKT1, FYN, GRB2, HRAS, FGFR2, FGFR1",4.402115898102598e-21
Reactome,R-HSA-5674400,Constitutive Signaling By AKT1 E17K In Cancer,"GSK3B, CDKN1A, GSK3A, BAD, PDPK1, AKT3, RPS6KB2, AKT1, FOXO1, MTOR",1.9692003473892345e-19
Reactome,R-HSA-199418,Negative Regulation Of PI3K/AKT Network,"PHLPP1, AKT3, PTEN, MAPK1, AKT1, IRS2, FYN, GRB2, PIK3R1, FGFR2, FGFR1",2.5469745175518235e-14
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"PDPK1, IRS2, PIK3R1, MTOR, IGF1R, VEGFA, AKT3, KDR, MAPK1, AKT1, BAX, FYN, GRB2, HRAS, FGFR2, FGFR1",6.476117700689909e-14
Reactome,R-HSA-1643685,Disease,"GSK3B, GSK3A, CDKN1A, PDPK1, BAD, PTEN, IRS2, PIK3R1, FOXO1, MTOR, NFKB2, VEGFA, NFKBIA, CCND1, AKT3, RPS6KB2, KDR, MAPK1, AKT1, FYN, GRB2, HRAS, FGFR2, FGFR1",6.476117700689909e-14
Reactome,R-HSA-1280215,Cytokine Signaling In Immune System,"CDKN1A, IRS2, PIK3R1, FOXO1, NFKB2, VEGFA, NFKBIA, CCND1, AKT3, MAPK1, AKT1, FYN, GRB2, HRAS, BIRC2, MCL1, EIF4G1",6.073144893235688e-13
