Category,ID,Term,Genes,adj_pval
BP,GO:0007169,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway,"GSK3B, GSK3A, GAB1, IRS2, PIK3R1, FOXO1, IGF1R, VEGFA, KDR, MAPK1, AKT1, FYN, GRB2, FGFR2, FGFR1",6.8376735474792114e-15
BP,GO:0032869,Cellular Response To Insulin Stimulus,"GSK3B, GSK3A, RPS6KB1, PDPK1, GAB1, AKT1, IRS2, GRB2, PIK3R1, FOXO1, IGF1R",3.8926046493165145e-14
BP,GO:0046777,Protein Autophosphorylation,"GSK3B, PDPK1, KDR, AKT1, ULK2, FYN, ULK1, MTOR, FGFR2, IGF1R, FGFR1",6.739428860429403e-12
BP,GO:0006468,Protein Phosphorylation,"GSK3B, GSK3A, PDPK1, MTOR, IGF1R, RPS6KB1, AKT3, KDR, MAPK1, AKT1, ULK2, FYN, ULK1, FGFR2, FGFR1",7.45918155048103e-12
BP,GO:0008286,Insulin Receptor Signaling Pathway,"GSK3B, GSK3A, GAB1, IRS2, GRB2, PIK3R1, FOXO1, IGF1R",1.0108881382205704e-11
BP,GO:0042981,Regulation Of Apoptotic Process,"GSK3B, PHLPP1, BAD, XIAP, PIK3R1, FOXO1, MTOR, IGF1R, VEGFA, RPS6KB1, KDR, AKT1, BAX, FYN, BIRC2, MCL1",4.0997021289475836e-11
BP,GO:0010506,Regulation Of Autophagy,"RPTOR, GSK3B, GSK3A, BAD, AKT1, ULK2, ULK1, FOXO1, MTOR, MCL1, EIF4G1",2.2951648028830208e-10
BP,GO:0048522,Positive Regulation Of Cellular Process,"GSK3B, PTEN, IRS2, MTOR, IGF1R, VEGFA, RPTOR, KDR, AKT1, KRAS, HRAS, FGFR2, FGFR1, EIF4G1",8.487256643008136e-10
BP,GO:0043069,Negative Regulation Of Programmed Cell Death,"GSK3B, RPS6KB1, KDR, XIAP, AKT1, PIK3R1, FOXO1, MTOR, BIRC2, IGF1R, MCL1, VEGFA",1.1591325471628471e-09
BP,GO:0031331,Positive Regulation Of Cellular Catabolic Process,"RPTOR, GSK3B, GSK3A, BAD, ULK2, IRS2, ULK1, FOXO1, MTOR",1.4891705339950663e-09
BP,GO:0042327,Positive Regulation Of Phosphorylation,"CDKN1A, CCND1, KDR, AKT1, KRAS, HRAS, FGFR2, IGF1R, VEGFA, FGFR1",2.926194786613373e-09
