ID,logFC
Maff,3.014391434783998
Cxcl1,2.9491200491412304
Slc2a1,1.0108637569560892
Fos,4.293266958185272
Socs3,3.047050246865894
Nr4a1,2.518393620253444
Csrnp1,2.216480369952862
Tnfrsf12a,2.0905022875014527
Nfil3,1.9096139872446307
Bhlhe40,1.8253943801674448
Egr2,1.5719507505655412
Jun,1.4180823322461338
Ccl4,6.257516371223859
Ccl3,5.412603372683632
Ccl2,4.61058951137692
Cxcl10,4.02339932645828
Emp1,3.8309379852507184
Cd14,3.574014675309241
Hspb1,3.486836932432569
Plaur,3.4263232277653293
Ier3,2.805180674852459
Ctla2a,2.618176083132692
Klf4,2.546161584884059
Slc15a3,2.5009599158671514
Fosb,2.409347068038948
Gadd45b,2.3693014375979216
Rgs16,2.161655986040873
Fas,2.1299687186797605
Junb,1.8695812760196528
Ntrk3,-1.82934414659028
Ppp1r15a,1.6775519128209138
Nrxn3,-1.6464053210228573
Litaf,1.560448623259624
Tubb6,1.4150277920933712
Irf1,1.306627149403054
Pmp22,1.246472462799226
Klf9,-1.1073075693196452
Mxd1,1.0629327826904833
Sat1,1.0560813773761824
Ank3,-1.048348282807397
Errfi1,0.9385343365247976
Fam168a,-0.8058342564861257
Mycbp2,-0.775203307203263
Jund,0.2827458138795132
Il1rn,5.050448503207711
Atf3,4.140674908027769
Il1a,4.096907196448704
Rgs1,4.038370208958559
Osm,4.004051420922908
Spp1,3.838429503559993
Thbs1,3.636928040187459
Hspa1a,3.596164777243988
Tnf,3.5510756084381225
Zfp36,3.464561019479814
C5ar1,3.2499451028080486
P2ry2,3.022230303189393
Gem,3.0012965714133464
C3ar1,2.945352146743674
Ccl9,2.9223824632215614
Ier2,2.84050686423084
Adamts1,2.820995842687396
Csf1,2.7426386354842363
Plau,2.6893595232137457
Angptl4,2.651483350076866
Grin2b,-2.611010626757993
Plin2,2.5241504059057585
Nfkbiz,2.518180282057371
Plek,2.4323142613059154
Hmox1,2.423516378583371
Tlr2,2.3920178776258982
Rab20,2.3820001456047555
Pim1,2.263062122544901
Srgn,2.2549036786506647
Caln1,-2.229135688508496
Lynx1,-2.215433170349597
Cd36,2.2151025041012598
Cd74,2.209863418538614
Camk2a,-2.1607903878783947
Egr1,2.1544016012231637
Anxa2,2.141936560528954
Dlg2,-2.058869225288359
Tgif1,2.051418279082287
Sptbn2,-1.9609432863371687
Bcar3,1.9059532959012653
Phlda1,1.863984095261126
Bcl11b,-1.8384737963557347
Plekho2,1.8305261051430912
Vim,1.8273956203640744
Prkce,-1.7614856916593993
Ddn,-1.7592249989759066
