Category,ID,Term,Genes,adj_pval
KEGG,,MAPK signaling pathway,"FLT1, CSF1, HSPB1, ARRB1, TNF, DUSP16, IGF1R, PPP3CA, PPP3CB, DUSP10, MYC, AKT3, MAP3K8, PRKCG, MAP2K3, DUSP5, DUSP2, IL1R1, PRKCB, DUSP1, CACNA2D1, HGF, RRAS2, PRKCA, FOS, MAPK8IP2, DUSP6, TNFRSF1A, IL1A, CACNB2, MAPKAPK3, DDIT3, IL1B, KIT, ATF4, EPHA2, SRF, CACNA1C, CACNA1E, RASGRP1, PPP3R1, ERBB4, MAPK1, FLNB, CD14, FLNC, HSPA8, JUN, JUND, TGFB1, ANGPT2, GADD45B, GADD45A, BDNF, NFATC1, GADD45G, VEGFA, NFKB2, MAPK10, NR4A1, TAOK1, NF1, FAS, FGFR3, MAP3K14, HSPA1B, HSPA1A",3.0239537837766754e-14
KEGG,,TNF signaling pathway,"CEBPB, CSF1, TNFAIP3, CXCL1, PTGS2, TNF, CXCL2, CX3CL1, ICAM1, SOCS3, AKT3, CREB3L2, CCL2, MAPK1, MAP3K8, RIPK1, JUNB, MAP2K3, JUN, EDN1, JAG1, LIF, FOS, TNFRSF1B, SELE, TNFRSF1A, NFKBIA, MAPK10, CXCL10, IL6, IL1B, IRF1, BCL3, FAS, MAP3K14, ATF4, BIRC3, CREB5",7.734641821906818e-14
KEGG,,Lipid and atherosclerosis,"GSK3B, CXCL1, VLDLR, TNF, CXCL2, ICAM1, PPP3CA, PPP3CB, AKT3, CD36, MAP2K3, HSP90AA1, PDPK1, PRKCA, FOS, TNFRSF1A, DDIT3, IL1B, IRF7, PLCB1, ATF6, ATF4, TLR2, CAMK2B, CAMK2A, ITPR1, HSPD1, PPP3R1, CCL3, NLRP3, CCL2, MAPK1, CD14, LDLR, HSPA8, JUN, HSPA5, STAT3, NFATC2, TNFRSF10B, NFATC1, SELE, MIB1, NFKBIA, MAPK10, IL6, FAS, CALM3, CALM1, HSPA1B, HSPA1A, NFE2L2",2.164114790323633e-12
KEGG,,Amphetamine addiction,"CAMK2B, GRIA1, CAMK2A, CACNA1C, ADCY5, PPP3CA, PPP3CB, GRIN2A, PPP3R1, CREB3L2, GRIA3, PRKCG, JUN, PRKCB, PRKCA, FOS, GRIN2B, GRIN1, ARC, GRIN3A, CAMK4, PPP1R1B, FOSB, CALM3, CALM1, ATF4, CREB5",1.211081195713378e-11
KEGG,,Glutamatergic synapse,"GRIA1, GRIK5, SLC1A1, ITPR1, CACNA1C, ADCY1, GRM1, ADCY5, PPP3CA, GRIN2A, PPP3R1, GRM5, PPP3CB, GNG2, GNG7, MAPK1, DLGAP1, SLC17A7, GRIA3, KCNJ3, PRKCG, HOMER1, PRKCB, HOMER2, PRKCA, GRIN2B, GRIN1, ADCY9, GRIN3A, DLG4, GNAQ, PLCB1, SHANK3, SHANK2, SHANK1",1.3124896691657783e-11
KEGG,,Proteoglycans in cancer,"CAMK2B, CD63, CDKN1A, SDC4, ROCK1, PXN, CAMK2A, ITPR1, IQGAP1, TNF, THBS1, IGF1R, CCND1, CTSL, PLAU, ERBB4, MYC, AKT3, TIMP3, MAPK1, FLNB, FLNC, PRKCG, FZD3, TGFB1, FZD5, PRKCB, PDPK1, HGF, STAT3, FN1, GAB1, PLAUR, RRAS2, WNT7A, MSN, ANK2, PRKCA, ANK3, WNT9A, VEGFA, FAS, ITGA5, PPP1R12B, CD44, HBEGF, TLR2",1.5118800661282086e-10
KEGG,,Human cytomegalovirus infection,"GSK3B, CDKN1A, TNF, CX3CL1, PPP3CA, PPP3CB, CCND1, MYC, AKT3, CREB3L2, CCR5, PRKCG, IL1R1, PRKCB, PRKCA, TNFRSF1A, ADCY9, IL1B, PLCB1, ATF4, CREB5, PTGER4, ROCK1, PXN, ITPR1, ADCY1, PTGS2, ADCY5, PPP3R1, GNG2, GNG7, CCL4, EIF4EBP1, CCL3, CCL2, MAPK1, PTK2B, RIPK1, CCR1, STAT3, NFATC2, NFATC1, VEGFA, NFKBIA, IL6, GNAQ, FAS, CALM3, CALM1",3.347127913583809e-10
KEGG,,Long-term potentiation,"PRKCG, CAMK2B, GRIA1, PRKCB, CAMK2A, ITPR1, PRKCA, ADCY1, CACNA1C, GRIN2B, GRM1, GRIN1, PPP3CA, GRM5, PPP3CB, GRIN2A, PPP3R1, CAMK4, GNAQ, MAPK1, CALM3, PLCB1, CALM1, ATF4",1.2282204358275414e-09
KEGG,,Aldosterone synthesis and secretion,"CAMK2B, DAGLA, CAMK2A, ITPR1, CACNA1C, ADCY1, ADCY5, CREB3L2, LDLR, PRKCG, CAMK1D, PRKCB, PRKCE, ATP2B3, PRKCA, ATP2B2, ATP2B1, ATP1B1, AGT, NR4A1, ADCY9, PRKD3, GNAQ, CAMK4, CALM3, CALM1, PLCB1, ATF4, CREB5",2.22045074901491e-09
KEGG,,Oxytocin signaling pathway,"CAMK2B, RYR2, CDKN1A, ROCK1, CAMK2A, ITPR1, CACNA1C, ADCY1, PTGS2, PIK3CG, PRKAG3, ADCY5, PPP3CA, PPP3R1, PPP3CB, CCND1, MAPK1, KCNJ3, PRKCG, JUN, CAMK1D, PRKCB, CACNA2D1, NFATC2, PRKCA, NFATC1, FOS, PRKAB1, CACNB2, RCAN1, ADCY9, GNAQ, CAMK4, CALM3, CALM1, PLCB1, PPP1R12B",4.363415226439084e-09
