Category,ID,Term,Genes,adj_pval
Reactome,R-HSA-162582,Signal Transduction,"CYFIP2, NCKAP1, SERPINE1, WIPF3, HTR4, SOX3, SYNGAP1, MYC, AKT3, C3AR1, PDK4, PIP4K2B, SOX9, SOX7, SOX4, IER3, MEF2A, PRKCG, RBFOX2, PRKCH, PRKCB, PRKCE, PRKCA, PRKAB1, GABRG2, UHMK1, RUNX1, ARC, ADCY9, HECW1, TRIB3, MAML3, TRIB1, EPHA2, RRAD, PDE1A, NEDD4L, IQGAP1, KALRN, PRKCZ, ABR, PPP3R1, RDH10, SPTBN2, CCR1, EGR1, WWTR1, JUN, PRPF38B, EGR2, JAG1, EGR3, JUND, BCL11B, HOMER2, MCAM, FN1, NFATC1, GRIN2B, PBX1, MOV10, CCDC88A, AGO4, AGO1, ID2, GPR183, ID1, PPP1R1B, STRN, CALM1, GABRB3, ACVRL1, NRP1, GABRB2, GABRB1, CDKN1A, PTPRS, CITED1, PTPRJ, ADM, AP2A2, PRKAG3, SH3RF1, CX3CL1, SMPD3, AKAP12, PPP3CA, PPP3CB, HEY1, CCR5, NCOA1, DUSP5, DUSP2, EDN1, GPR37, NOG, RRAS2, RHOH, FOS, WNT9A, SORCS3, RHOC, DUSP6, CNKSR2, APBB1IP, ARHGEF9, NCOR1, LRRC7, CDC42EP3, KIT, RHOJ, RAPGEF1, CDC42EP2, CDC42EP1, GAS1, RHOV, PLCB1, MGLL, HBEGF, PTGER4, PLPPR4, PTAFR, AMIGO2, PRKX, ZDHHC21, ADCY1, CAMKK1, ADCY5, GPNMB, P2RY12, P2RY13, DYNC1H1, GABRA1, MPP2, CDKN2B, USP9X, STAT3, WNT7A, MYO9B, GPR4, AP2B1, MYO9A, MIB1, VEGFA, ABI2, TAOK1, CAMK4, FOSB, F2RL1, TJP2, CDK5R1, CD86, DGKG, CHRM3, CHRM1, DGKD, GPR68, DGKB, CLSTN1, PLAT, TNF, CXCL16, IGF1R, ARHGAP44, CDH5, CCND3, RGS3, CCND1, RGS1, ADORA1, SH3GL2, TPM4, FBXW7, SWAP70, USP2, DGKZ, PYGO1, DISP2, MAPKAPK3, TBL1XR1, GPRIN1, MADD, ELMO2, S100A9, S100A8, VCL, FKBP5, DGKH, ATP6V1A, CD274, ARHGEF28, SEL1L, C5AR1, ITPR1, ARHGAP17, CSF2RB, GPR84, SLC1A5, RASGRP1, HCAR2, SOCS3, BCL2L11, SOCS1, PDZD2, GRK6, UBC, EIF4EBP1, PLXNA1, ABL2, NLRP3, RIPK1, CBX8, SMAD1, CBX6, TGFB1, HTR1A, TNFRSF10B, ARHGAP29, ARHGAP28, INHBA, ARHGAP26, ARHGAP25, SMAD7, NFKBIA, CXCL10, NR4A1, ARHGAP32, IL6, BMP2, NBEA, GDNF, BAMBI, GNAQ, CNTN1, NF1, AMOTL2, NF2, FGFR3, MXD4, GSK3B, DOCK4, FLT1, DAGLA, BMPR2, B4GALT1, DOCK3, SOWAHC, DOCK9, USP34, PDE3B, PTEN, TNFAIP3, HSPB1, ARRB1, CXCL1, CHD3, TRH, TCIRG1, DUSP16, CXCL2, PIK3CG, GRM1, RND1, PTBP1, SPRED2, GRM5, DUSP10, RASGEF1A, EFHD2, PDE4B, BDKRB2, DACT1, TGIF1, HSP90AA1, PLEKHG2, PDPK1, ARHGEF17, KSR2, SPTB, ADRA2B, DNM1, TNFRSF1A, ARL4C, ATP6V1B2, MYH9, ITGA5, PPP1R12B, BIRC3, PPP1R15A, CAMK2B, ROCK1, RGS14, SRF, RGS16, CAMK2A, CXXC5, THBS2, THBS1, UACA, DLL1, DLL4, DNAJB1, PARD6B, GNG2, CCL7, ERBB4, GNG7, P2RY2, CCL4, SLITRK3, CCL3, S1PR1, CCL2, SLITRK5, PTK2B, MAPK1, STOM, S1PR3, S1PR2, WASF1, MAPK4, HES5, LINGO1, NTRK3, PCDH7, SEMA4F, PTPN12, CDC42BPA, HSPE1, MYO19, APLN, EEPD1, REST, TEC, PDE10A, ACKR3, SPRY1, VIM, PIK3AP1, PTPN2, PTPN3, TNRC6B",4.9667318918372177e-29
Reactome,R-HSA-112316,Neuronal System,"PPFIA4, PRKCG, NSF, KCNH3, PRKCB, CACNA2D1, PRKCA, PRKAB1, GABRG2, CACNB2, ADCY9, GPRIN1, KCNQ2, KCNQ3, KCNQ5, GRIA1, SLC1A1, CACNA1E, GRIN2A, GRIA3, LRRC4B, HSPA8, HOMER1, SYT1, HOMER2, GRIN2B, SYT7, LRFN3, PTPRD, LRFN2, GRIN3A, NBEA, CALM1, GABRB3, GABRB2, GABRB1, PTPRS, KCNC1, KCNC3, GRIK5, AP2A2, PRKAG3, GRM1, GRM5, SIPA1L1, LRRTM1, DLGAP1, DLGAP3, DLGAP2, KCND2, KCND3, PDPK1, SH2D3C, KCNAB2, SYN2, SYN1, ARHGEF9, LRRC7, KCNMA1, PLCB1, SHANK3, SHANK2, SHANK1, NLGN3, CAMK2B, NLGN1, NLGN2, KCNA1, NRXN1, KCNA2, CAMK2A, NRXN3, KCNA4, PRKX, ADCY1, AKAP5, PPM1E, CAMKK1, NCALD, ADCY5, GNG2, SLITRK1, ERBB4, SLITRK4, GNG7, SLITRK3, SLITRK5, MAPK1, SLC17A7, KCNJ3, GABRA2, GABRA1, MPP2, GABRA5, GABRA4, NTRK3, AP2B1, CAMK4, APBA1, KCNK1, APBA2",7.357646498774099e-27
Reactome,R-HSA-6794362,Protein-protein Interactions At Synapses,"GRIA1, NLGN3, NLGN1, PTPRS, NLGN2, NRXN1, NRXN3, GRM1, GRM5, GRIN2A, SIPA1L1, SLITRK1, LRRTM1, SLITRK4, SLITRK3, SLITRK5, DLGAP1, DLGAP3, DLGAP2, PPFIA4, GRIA3, LRRC4B, MPP2, HOMER1, SYT1, HOMER2, NTRK3, GRIN2B, SYT7, LRFN3, PTPRD, LRFN2, GPRIN1, APBA1, SHANK3, APBA2, SHANK2, SHANK1",1.5273509344208398e-17
Reactome,R-HSA-6783783,Interleukin-10 Signaling,"CD86, CCR1, IL1RN, CSF1, IL1R1, PTAFR, STAT3, LIF, CXCL1, PTGS2, TNFRSF1B, CXCL2, TNF, ICAM1, TNFRSF1A, CXCL10, IL1A, IL6, IL1B, CCL4, CCL3, CCL2, TIMP1, CCR5",2.349611266757616e-13
Reactome,R-HSA-112315,Transmission Across Chemical Synapses,"GABRB3, GABRB2, GABRB1, GRIK5, AP2A2, PRKAG3, PPFIA4, PRKCG, NSF, PRKCB, PDPK1, CACNA2D1, SH2D3C, PRKCA, PRKAB1, SYN2, GABRG2, SYN1, CACNB2, ARHGEF9, ADCY9, LRRC7, GPRIN1, PLCB1, GRIA1, CAMK2B, SLC1A1, CAMK2A, PRKX, ADCY1, AKAP5, CACNA1E, PPM1E, CAMKK1, NCALD, ADCY5, GRIN2A, GNG2, ERBB4, GNG7, MAPK1, SLC17A7, GRIA3, KCNJ3, GABRA2, GABRA1, MPP2, HSPA8, SYT1, GABRA5, GABRA4, AP2B1, GRIN2B, GRIN3A, NBEA, CAMK4, APBA1, CALM1",6.884918424564041e-13
Reactome,R-HSA-112314,Neurotransmitter Receptors And Postsynaptic Signal Transmission,"GRIA1, GABRB3, CAMK2B, GABRB2, GABRB1, GRIK5, CAMK2A, PRKX, ADCY1, AKAP5, AP2A2, PPM1E, PRKAG3, CAMKK1, NCALD, ADCY5, GRIN2A, GNG2, ERBB4, GNG7, MAPK1, GRIA3, KCNJ3, NSF, PRKCG, GABRA2, GABRA1, MPP2, PRKCB, PDPK1, GABRA5, GABRA4, PRKCA, AP2B1, PRKAB1, GRIN2B, GABRG2, ARHGEF9, ADCY9, GRIN3A, NBEA, LRRC7, GPRIN1, CAMK4, APBA1, CALM1, PLCB1",6.834615924471431e-12
Reactome,R-HSA-6794361,Neurexins And Neuroligins,"NLGN3, NLGN1, NLGN2, NRXN1, NRXN3, GRM1, GRM5, GRIN2A, SIPA1L1, LRRTM1, DLGAP1, DLGAP3, DLGAP2, MPP2, HOMER1, SYT1, HOMER2, GRIN2B, SYT7, GPRIN1, APBA1, SHANK3, APBA2, SHANK2, SHANK1",1.1611110209536315e-11
Reactome,R-HSA-168256,Immune System,"CYFIP2, IFITM3, NCKAP1, IL1RN, CCNF, WIPF3, IFIT1, IFIT3, ICAM1, LGALS3, HERC3, HERC2, HERC1, MYC, AKT3, C3AR1, TRIM25, MEF2A, WSB1, RSAD2, PRKCB, IL1R1, PRKCE, PRKCA, RNF125, ORAI2, TXNIP, TRIB3, NEDD4L, IQGAP1, SYNGR1, PPP3R1, HMOX1, S100A11, SPTBN2, TNFSF18, CCR1, VASP, EGR1, JUN, BCL11B, FN1, LIF, MYO5A, NFATC2, LNPEP, NFATC1, REL, CALM1, CDKN1A, CTSZ, PTPRJ, AP2A2, SH3RF1, PPP3CA, PPP3CB, CTSL, TRIM2, CD36, TIMP1, CCR5, CTSC, CD53, IL11, FCER1G, TNFRSF12A, ANXA2, IL16, FOS, OSMR, DUSP6, GNL3, IL17RA, MMP12, TLR1, IL1A, RAP2B, LRRC7, IL1B, RAPGEF1, CD47, PLEKHO2, CD44, TLR2, C1QB, CD63, CSTB, PTAFR, PTGS2, FLNB, RNF130, CD74, DYNC1H1, STAT3, KLHL2, MYO9B, KLHL3, AP2B1, TUBB4B, VEGFA, SPSB1, ABI2, CLCF1, CD68, HSPA1B, HSPA1A, CD86, CSF1, ATP8A1, CLSTN1, TNF, CLU, PVR, CCND1, PLAU, KIF5C, MAP3K8, SH3GL2, MAP2K3, LAG3, AREL1, CISH, CD93, FBXW7, CD300A, CD180, UBE4A, LMO7, LIFR, MAPKAPK3, ELMO2, ADAM8, MASP1, S100A9, S100A8, VCL, ATP6V1A, CD274, C5AR1, ITPR1, CSF2RB, GPR84, RASGRP1, FBXO41, SOCS3, BCL2L11, SOCS1, PDZD2, CLEC7A, UBC, CD300LB, ABL2, NLRP3, RIPK1, MCL1, RAP1GAP2, HSPA8, TGFB1, HSPA5, MSN, FBXO30, NFKB2, SMAD7, NFKBIA, CXCL10, RCAN1, IL6, PTPRC, GDNF, LCN2, NF2, MAP3K14, B4GALT1, TNFAIP6, PTEN, TNFAIP3, CXCL1, TCIRG1, CXCL2, CASP4, PGM2, ATP7A, HSP90AA1, PDPK1, SGIP1, PLAUR, KCNAB2, TNFRSF1B, DNM1, TNFRSF1A, IRF4, IRF1, TMBIM1, ATP6V1B2, IRF7, PECAM1, IRF8, MYH9, IRF5, BIRC3, CAMK2B, ROCK1, CEBPD, FGL2, CAMK2A, USP18, MALT1, TTR, CCL4, TIFA, CCL3, S1PR1, CCL2, PTK2B, MAPK1, STOM, WASF1, GBP2, MYO10, MX2, FBXL16, PTPN12, MAPK10, MYO1E, NFASC, TEC, PTX3, ASB4, PDCD1, VIM, LTBR, PIK3AP1, PTPN2",1.5532171791627853e-11
Reactome,R-HSA-9006934,Signaling By Receptor Tyrosine Kinases,"CYFIP2, GABRB3, NCKAP1, GABRB2, NRP1, GABRB1, FLT1, PTPRS, DOCK3, PDE3B, HSPB1, PTPRJ, PLAT, TCIRG1, AP2A2, IGF1R, CDH5, PTBP1, SPRED2, SYNGAP1, MYC, AKT3, SH3GL2, MEF2A, HSP90AA1, RBFOX2, PRKCB, PDPK1, PRKCE, PRKCA, FOS, GABRG2, DUSP6, DNM1, ARC, NCOR1, MAPKAPK3, KIT, RAPGEF1, ATP6V1B2, ELMO2, TRIB3, TRIB1, HBEGF, ATP6V1A, CD274, ROCK1, RRAD, SRF, ITPR1, THBS2, PRKCZ, THBS1, SOCS1, ERBB4, UBC, MAPK1, PTK2B, WASF1, GABRA1, EGR1, EGR2, JUND, EGR3, BCL11B, NTRK3, STAT3, PTPN12, AP2B1, GRIN2B, VEGFA, REST, TEC, ABI2, GDNF, ID2, ID1, FOSB, SPRY1, CALM1, FGFR3, PTPN2, PTPN3, CDK5R1, MXD4",6.89632553865757e-11
Reactome,R-HSA-1280215,Cytokine Signaling In Immune System,"IFITM3, CD86, IL1RN, CSF1, CLSTN1, IFIT1, TNF, IFIT3, ICAM1, CCND1, MYC, AKT3, TRIM25, MAP3K8, MEF2A, MAP2K3, CISH, RSAD2, IL1R1, PRKCA, LIFR, MAPKAPK3, S100A9, CSF2RB, SOCS3, BCL2L11, SOCS1, PDZD2, UBC, HMOX1, ABL2, MCL1, CCR1, TNFSF18, EGR1, HSPA8, JUN, TGFB1, BCL11B, FN1, LIF, MSN, NFKB2, SMAD7, NFKBIA, CXCL10, IL6, GDNF, LCN2, MAP3K14, CDKN1A, PTPRJ, CXCL1, CXCL2, TRIM2, TIMP1, CD36, CCR5, IL11, HSP90AA1, ANXA2, TNFRSF12A, SGIP1, IL16, FOS, TNFRSF1B, OSMR, DUSP6, GNL3, TNFRSF1A, IL17RA, IL1A, IRF4, IL1B, IRF1, RAPGEF1, IRF7, IRF8, IRF5, CD44, BIRC3, CAMK2B, CEBPD, PTAFR, CAMK2A, PTGS2, USP18, CCL4, TIFA, CCL3, S1PR1, CCL2, MAPK1, PTK2B, FLNB, GBP2, MX2, STAT3, PTPN12, VEGFA, MAPK10, TEC, CLCF1, LTBR, VIM, PTPN2",3.403981772098545e-10
