Category,ID,Term,Genes,adj_pval
CC,GO:0043005,Neuron Projection,"CYFIP2, CHRM3, CHRM1, FAM107A, HTR4, SLC8A1, SLC8A2, IGF1R, ARHGAP44, CDH2, TUBB3, ADORA1, SACS, BSN, PRKCG, EPHA5, EPHA4, EPHA7, UNC13A, SLC30A3, ANK2, ANK3, SRCIN1, GABRG2, UHMK1, MAP1B, SCN8A, MAP1A, NSMF, ATF4, GRIA1, GPM6A, SLC1A1, IQGAP1, BRINP2, MAP2, NPTX1, MAP4, MAP9, HSPA8, CADM1, HOMER1, SYT1, HOMER2, HTR1A, SLC4A10, MYO5A, NR1D1, GRIN2B, SYT7, SLC6A6, GRIN3A, DLG2, DLG4, NF1, CNTN1, STRN, SCN2A, CNIH3, GABRB3, GABRB2, PCSK1, TENM1, GSK3B, GABRB1, ROBO4, TENM2, PTPRS, TENM3, KCNC1, TENM4, KCNC3, PTPRO, PTEN, PPP1R9A, ROBO1, PPP1R9B, UNC80, PCLO, OPA1, LRRTM1, KIF1B, ATP7A, RHOC, PALLD, DCX, RGS7BP, SHANK3, SHANK2, SHANK1, CAMK2B, NLGN1, RGS14, KCNA1, AMIGO1, KCNA2, CAMK2A, ADAM22, KCNA4, PTGS2, MICALL2, PTK2B, NCDN, GABRA2, GABRA1, SLC12A5, GABRA5, GABRA4, NTRK3, SEPTIN3, CCK, GRIN1, NELL2, NELL1, NFASC, SYT11, ADGRL1, VIM, CDK5R1",1.1564507225464891e-23
CC,GO:0014069,Postsynaptic Density,"DAGLA, PTPRS, GRIK5, PPP1R9A, SLC8A1, GRM1, SLC8A2, PPP1R9B, ARHGAP44, GRM5, SIPA1L1, CDH2, NSF, KCND2, GRID1, KCND3, MAPK8IP2, SRCIN1, SHISA6, ARHGEF9, DNAJC6, LRRC7, NSMF, SHANK3, SHANK2, SHANK1, GRIA1, NLGN1, RGS14, PLPPR4, CACNA1C, AKAP5, KALRN, ADD2, GRIN2A, PTK2B, SPOCK1, SRGAP3, GRIA3, HOMER1, HOMER2, IQSEC3, ATP2B2, GRIN2B, GRIN1, ARHGAP32, DLG2, GRIN3A, DLG4, SYT11, ADGRL1, STRN, CDK5R1",2.318970657521584e-20
BP,GO:0030334,Regulation Of Cell Migration,"SEMA5A, ACVRL1, CLIC4, ROBO4, FLT1, MCTP1, CSF1, CITED2, ZMYND8, SERPINE1, FAM107A, TNC, PTEN, PTPRJ, CX3CL1, CXCL16, ROBO1, IGF1R, CDH5, PPP3CA, DUSP10, PLAU, DPYSL3, ENPP2, CYP1B1, PHACTR1, EPHA4, SUN2, EDN1, HGF, NOG, TET1, PRKCA, RHOC, SRCIN1, SAP30, RAP2B, NAV3, IL1B, KIT, CDH11, PECAM1, ITGA6, VCL, ENG, HBEGF, EPHA2, CAMK2B, ROCK1, CAMK2A, STC1, NEDD9, PRR5L, PRKX, THBS1, PARD6B, GPNMB, CCL7, CLEC7A, ERBB4, LMNA, PDPN, GCNT2, CCL3, MGAT3, HAS2, PLXNA1, PTK2B, SRGAP3, PLXNA4, CCR1, CCL24, CD74, JAG1, TGFB1, HSPA5, NTRK3, STAT3, OSGIN1, SEMA4F, SORL1, VEGFA, SMAD7, IGSF10, DAB2, BMP2, MYO1C, TRIP6, NF1, CNTN1, F2RL1, AMOTL2, NF2",4.044011240273927e-17
CC,GO:0032279,Asymmetric Synapse,"GRIA1, NLGN3, NLGN1, RGS14, SLC1A1, CACNA1C, AKAP5, PPP1R9A, KALRN, SLC8A1, SLC8A2, PPP1R9B, ADD2, ARHGAP44, GRIN2A, SIPA1L1, CDH2, PTK2B, SPOCK1, SRGAP3, NSF, HOMER1, KCND2, HOMER2, KCND3, IQSEC3, MAPK8IP2, SRCIN1, GRIN2B, SHISA6, GRIN1, ARHGAP32, ARHGEF9, DLG2, DLG4, DNAJC6, LRRC7, SYT11, ADGRL1, NSMF, STRN, SHANK3, SHANK2, SHANK1, CDK5R1",1.281853113516353e-16
BP,GO:0007399,Nervous System Development,"SEMA5A, ROBO2, NCKAP1, CHRM3, TENM1, CHRM1, MYT1L, ZMYND8, CHD7, PTEN, SLC2A1, CXCL1, VLDLR, ROBO1, SOX3, CDH2, DPYSL5, ENC1, ADORA1, CHAC1, SOX4, SH3GL2, DACT1, RBFOX1, RBFOX2, NOG, TMOD2, HPCAL4, ZEB2, NAV3, B3GNT5, SCN8A, KCNQ2, DCX, RAPGEF5, SHANK3, SHANK2, NLGN3, GPM6A, NLGN1, NLGN2, NRXN1, ADAM22, NR2C2, KALRN, CLN5, NEUROD1, NEUROD2, BRINP2, ATXN1, SLITRK1, ERBB4, BTBD3, ADAM23, SPOCK1, HES1, NPTX1, PCDH1, ASIC2, HES5, LGI1, ARNT2, EGR2, JAG1, TGFB1, FZD5, BDNF, STAT3, FN1, LSAMP, CRIM1, SEMA4F, INHBA, ARHGAP26, DCLK1, VEGFA, NELL1, SDK1, NFASC, GDNF, DLG4, NF1, PMP22, APBA1, MDGA2, SCN2A, PCDHB9, NES, MDGA1, APBA2",7.248523408669708e-16
CC,GO:0030425,Dendrite,"CHRM3, GSK3B, TENM2, CHRM1, DAGLA, KCNC1, KCNC3, HTR4, PPP1R9A, CLU, SLC8A1, SLC8A2, PPP1R9B, ARHGAP44, OPA1, TUBB3, ADORA1, SACS, KIF1B, BSN, ATP7A, EPHA5, PRKCG, EPHA4, EPHA7, CDKL5, ANK3, SRCIN1, GABRG2, UHMK1, MAP1B, MAP1A, NSMF, SHANK1, GRIA1, NLGN1, RGS14, AMIGO1, KCNA1, KCNA2, SLC1A1, AKAP5, BRINP2, MAP2, PTK2B, NCDN, GABRA2, GABRA1, HSPA8, HOMER1, HOMER2, GABRA5, GABRA4, HTR1A, SLC4A10, NR1D1, GRIN1, SLC6A6, DLG4, SYT11, NF1, STRN, CNIH3, CDK5R1",5.0477854799464505e-15
BP,GO:0050804,Modulation Of Chemical Synaptic Transmission,"GRIA1, NLGN3, GSK3B, NLGN1, MCTP1, NLGN2, CLSTN2, CLSTN3, GRIK5, PLPPR4, CLSTN1, CAMK2A, LRRC4, PTEN, CPLX2, TNF, LRP8, GRM1, SLC8A2, PPP3CA, GRM5, CDH2, DLGAP1, NPTX1, DLGAP3, DLGAP2, GRIA3, LGI1, CDKL5, UNC13A, HOMER1, IQSEC2, SYT1, GRID1, MAPK8IP2, BTBD9, DGKZ, SYN1, NPAS4, GRIN3A, DLG4, IL1B",1.6560426102411245e-14
BP,GO:0042127,Regulation Of Cell Population Proliferation,"CD86, TES, ATP8A2, CHRM1, CSF1, CLU, ETS1, IFIT3, IGF1R, MYC, CYP1B1, SOX9, IER5, JUNB, SOX7, SOX4, EPHA4, OSR2, RBFOX2, LIFR, RUNX1, SFRP4, ZFP36L1, CLEC7A, TMEM127, IGFBP7, ASIC2, S100A11, WWTR1, JUN, JAG1, JUND, TGFB1, FN1, HTR1A, LIF, OSGIN1, INHBA, ACER2, CXCL10, CCDC88A, BMP2, IL6, RGCC, GDNF, BAMBI, ID2, STRN, NF2, FGFR3, ACVRL1, BTG3, TENM1, BTG2, CDKN1A, BTG1, BMPR2, CELF1, PTEN, HMGB2, PTPRJ, CXCL1, TCIRG1, CX3CL1, PPP1R9B, MECP2, PPP3CA, ESM1, BCL7A, SIX4, ADAMTS1, TIMP1, KLF10, IL11, KLF11, EDN1, WNT9A, OSMR, CBFA2T3, GNL3, IL1A, IL1B, IRF1, KIT, BIRC6, CD47, SHANK2, ENG, HBEGF, CEBPA, TOB2, DLL1, THBS1, TOB1, DLL4, GPNMB, EPCAM, CLMN, ERBB4, LMNA, PDPN, GCNT2, HAS2, PTK2B, HES1, S1PR3, S1PR2, HES5, CDKN2B, EGLN3, NTRK3, STAT3, OSM, AGT, MYO16, VEGFA, REST, MYO1C, CLCF1, HSPA1B, PTPN2, HSPA1A",9.267705502519011e-13
CC,GO:0030424,Axon,"GSK3B, ROBO4, PTPRS, KCNC1, KCNC3, PTPRO, SLC8A1, IGF1R, SLC8A2, UNC80, PCLO, TUBB3, LRRTM1, SACS, KIF1B, BSN, ATP7A, EPHA5, EPHA4, SRCIN1, UHMK1, PALLD, MAP1B, SCN8A, MAP1A, KCNA2, SLC1A1, ADAM22, KCNA4, IQGAP1, MAP4, NCDN, MAP9, SYT1, NTRK3, ATP2B3, CCK, SYT7, NELL2, NELL1, NFASC, NFIB, SYT11, CNTN1, NF1, ADGRL1, VIM, SCN2A, CDK5R1",1.2618506691123174e-11
BP,GO:0007409,Axonogenesis,"CYFIP2, SEMA5A, ROBO2, NLGN3, ROBO4, NRXN1, PLPPR4, MYCBP2, PTPRO, PTEN, NRXN3, KALRN, EFNB1, PPP3CB, PARD6B, DPYSL5, KIF5C, TUBB3, SLITRK1, SLITRK4, SLITRK3, SLIT1, SLITRK5, PAK3, NEO1, EPHA5, VASP, LGI1, EPHA4, EPHA7, HSP90AA1, BDNF, DCC, USP9X, WNT7A, UNC5C, CCK, SEMA4F, ANK3, NELL2, NELL1, NFASC, PALLD, MAP1B, MAP1A, S100A6, CNTN1, CDK5R1",2.05628636159694e-11
