Category,ID,Term,Genes,adj_pval
BP,GO:0030334,Regulation Of Cell Migration,"SEMA5A, ACVRL1, CLIC4, ROBO4, FLT1, MCTP1, CSF1, CITED2, ZMYND8, SERPINE1, FAM107A, TNC, PTEN, PTPRJ, CX3CL1, CXCL16, ROBO1, IGF1R, CDH5, PPP3CA, DUSP10, PLAU, DPYSL3, ENPP2, CYP1B1, PHACTR1, EPHA4, SUN2, EDN1, HGF, NOG, TET1, PRKCA, RHOC, SRCIN1, SAP30, RAP2B, NAV3, IL1B, KIT, CDH11, PECAM1, ITGA6, VCL, ENG, HBEGF, EPHA2, CAMK2B, ROCK1, CAMK2A, STC1, NEDD9, PRR5L, PRKX, THBS1, PARD6B, GPNMB, CCL7, CLEC7A, ERBB4, LMNA, PDPN, GCNT2, CCL3, MGAT3, HAS2, PLXNA1, PTK2B, SRGAP3, PLXNA4, CCR1, CCL24, CD74, JAG1, TGFB1, HSPA5, NTRK3, STAT3, OSGIN1, SEMA4F, SORL1, VEGFA, SMAD7, IGSF10, DAB2, BMP2, MYO1C, TRIP6, NF1, CNTN1, F2RL1, AMOTL2, NF2",4.044011240273927e-17
BP,GO:0007399,Nervous System Development,"SEMA5A, ROBO2, NCKAP1, CHRM3, TENM1, CHRM1, MYT1L, ZMYND8, CHD7, PTEN, SLC2A1, CXCL1, VLDLR, ROBO1, SOX3, CDH2, DPYSL5, ENC1, ADORA1, CHAC1, SOX4, SH3GL2, DACT1, RBFOX1, RBFOX2, NOG, TMOD2, HPCAL4, ZEB2, NAV3, B3GNT5, SCN8A, KCNQ2, DCX, RAPGEF5, SHANK3, SHANK2, NLGN3, GPM6A, NLGN1, NLGN2, NRXN1, ADAM22, NR2C2, KALRN, CLN5, NEUROD1, NEUROD2, BRINP2, ATXN1, SLITRK1, ERBB4, BTBD3, ADAM23, SPOCK1, HES1, NPTX1, PCDH1, ASIC2, HES5, LGI1, ARNT2, EGR2, JAG1, TGFB1, FZD5, BDNF, STAT3, FN1, LSAMP, CRIM1, SEMA4F, INHBA, ARHGAP26, DCLK1, VEGFA, NELL1, SDK1, NFASC, GDNF, DLG4, NF1, PMP22, APBA1, MDGA2, SCN2A, PCDHB9, NES, MDGA1, APBA2",7.248523408669707e-16
BP,GO:0050804,Modulation Of Chemical Synaptic Transmission,"GRIA1, NLGN3, GSK3B, NLGN1, MCTP1, NLGN2, CLSTN2, CLSTN3, GRIK5, PLPPR4, CLSTN1, CAMK2A, LRRC4, PTEN, CPLX2, TNF, LRP8, GRM1, SLC8A2, PPP3CA, GRM5, CDH2, DLGAP1, NPTX1, DLGAP3, DLGAP2, GRIA3, LGI1, CDKL5, UNC13A, HOMER1, IQSEC2, SYT1, GRID1, MAPK8IP2, BTBD9, DGKZ, SYN1, NPAS4, GRIN3A, DLG4, IL1B",1.6560426102411245e-14
BP,GO:0042127,Regulation Of Cell Population Proliferation,"CD86, TES, ATP8A2, CHRM1, CSF1, CLU, ETS1, IFIT3, IGF1R, MYC, CYP1B1, SOX9, IER5, JUNB, SOX7, SOX4, EPHA4, OSR2, RBFOX2, LIFR, RUNX1, SFRP4, ZFP36L1, CLEC7A, TMEM127, IGFBP7, ASIC2, S100A11, WWTR1, JUN, JAG1, JUND, TGFB1, FN1, HTR1A, LIF, OSGIN1, INHBA, ACER2, CXCL10, CCDC88A, BMP2, IL6, RGCC, GDNF, BAMBI, ID2, STRN, NF2, FGFR3, ACVRL1, BTG3, TENM1, BTG2, CDKN1A, BTG1, BMPR2, CELF1, PTEN, HMGB2, PTPRJ, CXCL1, TCIRG1, CX3CL1, PPP1R9B, MECP2, PPP3CA, ESM1, BCL7A, SIX4, ADAMTS1, TIMP1, KLF10, IL11, KLF11, EDN1, WNT9A, OSMR, CBFA2T3, GNL3, IL1A, IL1B, IRF1, KIT, BIRC6, CD47, SHANK2, ENG, HBEGF, CEBPA, TOB2, DLL1, THBS1, TOB1, DLL4, GPNMB, EPCAM, CLMN, ERBB4, LMNA, PDPN, GCNT2, HAS2, PTK2B, HES1, S1PR3, S1PR2, HES5, CDKN2B, EGLN3, NTRK3, STAT3, OSM, AGT, MYO16, VEGFA, REST, MYO1C, CLCF1, HSPA1B, PTPN2, HSPA1A",9.267705502519011e-13
BP,GO:0007409,Axonogenesis,"CYFIP2, SEMA5A, ROBO2, NLGN3, ROBO4, NRXN1, PLPPR4, MYCBP2, PTPRO, PTEN, NRXN3, KALRN, EFNB1, PPP3CB, PARD6B, DPYSL5, KIF5C, TUBB3, SLITRK1, SLITRK4, SLITRK3, SLIT1, SLITRK5, PAK3, NEO1, EPHA5, VASP, LGI1, EPHA4, EPHA7, HSP90AA1, BDNF, DCC, USP9X, WNT7A, UNC5C, CCK, SEMA4F, ANK3, NELL2, NELL1, NFASC, PALLD, MAP1B, MAP1A, S100A6, CNTN1, CDK5R1",2.0562863615969397e-11
BP,GO:0007268,Chemical Synaptic Transmission,"GABRB3, GABRB2, CHRM3, GABRB1, CHRM1, GRIK5, PTEN, HTR4, DLGAP1, KIF1B, BSN, SLC12A6, ERC2, SLC12A7, DLGAP2, UNC13A, KCND2, GRID1, SYN2, GABRG2, SYN1, SHISA6, CACNB2, SNPH, KCNQ2, KCNQ3, AMPH, GRIA1, NLGN3, NLGN1, NLGN2, KCNA1, NRXN1, SLC1A1, CACNA1E, GRIN2A, MAPK1, SLC17A7, NPTX1, ASIC2, GRIA3, GABRA2, GABRA1, SLC12A5, HOMER1, SYT1, GABRA5, GABRA4, HTR1A, GRIN2B, GRIN1, GRIN3A, DLG2, DLG4, PMP22, APBA1, PCDHB9, APBA2, SCN2B",5.976386802570967e-11
BP,GO:0030335,Positive Regulation Of Cell Migration,"SEMA5A, BMPR2, FLT1, CSF1, FAM107A, CXCL16, IGF1R, PPP3CA, CDH5, PLAU, ENPP2, CCN4, SOX9, EPHA4, SUN2, EDN1, PRKCE, HGF, GAB1, PRKCA, RHOC, IL1B, KIT, PECAM1, NSMF, ITGA6, EPHA2, HBEGF, NEDD9, THBS1, GPNMB, CCL7, CLEC7A, PDPN, GCNT2, CCL3, HAS2, PTK2B, S100A11, CCR1, TNFSF18, CCL24, TGFB1, HSPA5, NTRK3, STAT3, FN1, SEMA4F, VEGFA, NELL1, BMP2, DAB2, PTPRC, MYO1C, TRIP6, CNTN1, F2RL1",5.259652824835264e-10
BP,GO:2000463,Positive Regulation Of Excitatory Postsynaptic Potential,"NLGN3, NLGN1, NLGN2, NRXN1, PTEN, WNT7A, GRIN2B, PRKCZ, GRIN1, STX1B, GRIN2A, DLG4, PTK2B, SHANK3, SHANK1",6.52715998971841e-10
BP,GO:0008285,Negative Regulation Of Cell Population Proliferation,"ACVRL1, BTG3, TENM1, BTG2, CDKN1A, TES, BTG1, ATP8A2, BMPR2, CELF1, PTEN, TNFAIP3, PTPRJ, CXCL1, ETS1, IFIT3, DUSP10, ADAMTS1, MYC, CYP1B1, SOX9, SLC16A2, SOX7, SOX4, KLF10, KLF11, CD300A, NOG, WNT9A, CBFA2T3, SFRP4, IL1A, IL1B, IRF1, TRIB1, VGLL4, CEBPA, TOB2, DLL1, THBS1, TOB1, DLL4, GPNMB, TMEM127, CLMN, ERBB4, LMNA, PDPN, HMOX1, PTK2B, IGFBP7, HES1, S100A11, CDKN2B, TGFB1, OSM, INHBA, MYO16, NELL1, BMP2, IL6, REST, RGCC, MYO1C, NF1, STRN, NF2, HSPA1B, PTPN2, HSPA1A",6.751513141641481e-10
BP,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II,"SPI1, ZMYND8, NUCKS1, ETS1, TNF, ETS2, SOX3, SALL1, MYC, ZC3H12A, PWWP2A, SOX9, IER5, JUNB, IER2, SOX4, MEF2A, OSR2, HGF, MRTFB, RFX3, LMO7, RUNX1, NPAS4, TBL1XR1, DDIT3, MAML3, ATF6, ATF3, ATF4, NEUROD1, NEUROD2, SBNO2, PPP3R1, NLRP3, CAMTA2, RIPK1, OTX1, ZBTB18, EGR1, WWTR1, JUN, EGR2, JAG1, JUND, TGFB1, FZD5, BCL11B, LIF, NFATC1, INHBA, NR1D1, ELL2, PBX1, NFKB2, PHOX2A, NFKBIA, CXCL10, NR4A1, BMP2, IL6, DAB2, RGCC, GDNF, AGO1, BCL3, MAFF, REL, TCF4, NFE2L2, ACVRL1, CSRNP1, BMPR2, CITED1, CITED2, PTPRN, HMGB2, ARRB1, LITAF, CX3CL1, PPP3CA, MED14, PPP3CB, HEY1, NCOA1, KDM6B, KLF10, IL11, EDN1, ANXA2, ATRX, TET1, ETV1, FOS, TNFRSF1A, MMP12, PLSCR1, ZEB2, ELF4, IRF4, IRF1, IRF7, IRF8, ITGA6, IRF5, ENG, TLR2, CEBPA, CEBPB, NFIX, SRF, NR2C2, DLL1, EPCAM, ATOH8, HES1, ARNT2, STAT3, OSM, WNT7A, USF3, KLF4, KLF2, GRIN1, VEGFA, PER1, KLF6, NFIA, NFIB, F2RL1, SSBP3",7.772092899814821e-10
