ID,logFC
Cxcl1,2.94912004914123
Maff,3.014391434783998
Slc2a1,1.010863756956089
Nr4a1,2.518393620253444
Nfil3,1.9096139872446312
Jun,1.4180823322461338
Bhlhe40,1.8253943801674448
Egr2,1.5719507505655415
Tnfrsf12a,2.0905022875014523
Fos,4.293266958185272
Socs3,3.0470502468658944
Csrnp1,2.216480369952862
Ank3,-1.048348282807397
Rgs16,2.161655986040874
Jund,0.2827458138795132
Klf9,-1.1073075693196452
Fas,2.1299687186797605
Pmp22,1.2464724627992256
Errfi1,0.9385343365247976
Sat1,1.0560813773761826
Cxcl10,4.0233993264582795
Slc15a3,2.5009599158671514
Tubb6,1.4150277920933714
Hspb1,3.4868369324325696
Nrxn3,-1.6464053210228573
Fosb,2.4093470680389477
Ier3,2.8051806748524584
Irf1,1.3066271494030541
Junb,1.8695812760196528
Cd14,3.5740146753092414
