Category,ID,Term,Genes,adj_pval
BP,GO:0006357,Regulation Of Transcription By RNA Polymerase II,"CSRNP1, JUN, EGR2, JUND, FOS, NR4A1, CXCL10, NFIL3, IRF1, MAFF, BHLHE40, KLF9, FOSB, JUNB",8.711174157562319e-05
BP,GO:0045944,Positive Regulation Of Transcription By RNA Polymerase II,"CSRNP1, NR4A1, CXCL10, JUN, EGR2, JUND, IRF1, MAFF, FOS, JUNB",8.711174157562319e-05
BP,GO:0045893,Positive Regulation Of DNA-templated Transcription,"CSRNP1, NR4A1, CXCL10, JUN, EGR2, JUND, NFIL3, IRF1, MAFF, FOS, JUNB",8.711174157562319e-05
BP,GO:0006915,Apoptotic Process,"CSRNP1, IRF1, PMP22, FAS, CD14, IER3",8.711174157562319e-05
BP,GO:0006355,Regulation Of DNA-templated Transcription,"CSRNP1, JUN, EGR2, JUND, FOS, NR4A1, NFIL3, IRF1, MAFF, BHLHE40, KLF9, FOSB, JUNB",0.00010254871655884384
BP,GO:0140467,Integrated Stress Response Signaling,"JUN, FOS, JUNB",0.0006484858465263553
BP,GO:0042981,Regulation Of Apoptotic Process,"SOCS3, CXCL10, JUN, TNFRSF12A, HSPB1, FAS, IER3",0.003345268810032
BP,GO:0051726,Regulation Of Cell Cycle,"NR4A1, JUN, JUND, IRF1, JUNB",0.003345268810032
BP,GO:1901701,Cellular Response To Oxygen-Containing Compound,"CXCL10, JUN, CXCL1, CD14, FOS",0.0117697725363749
BP,GO:0045604,Regulation Of Epidermal Cell Differentiation,"ERRFI1, MAFF",0.0117697725363749
BP,GO:0007422,Peripheral Nervous System Development,"EGR2, PMP22",0.0121748853452183
BP,GO:0006954,Inflammatory Response,"CXCL10, CXCL1, CD14, FOS",0.0121748853452183
BP,GO:0046686,Response To Cadmium Ion,"JUN, FOS",0.0123919176109756
BP,GO:0071276,Cellular Response To Cadmium Ion,"JUN, FOS",0.012645670311375
BP,GO:0045892,Negative Regulation Of DNA-templated Transcription,"JUN, JUND, NFIL3, IRF1, MAFF, BHLHE40, FOSB",0.0156914858441852
BP,GO:0071219,Cellular Response To Molecule Of Bacterial Origin,"CXCL10, CXCL1, CD14",0.0157938077882949
BP,GO:0000122,Negative Regulation Of Transcription By RNA Polymerase II,"JUN, JUND, NFIL3, MAFF, BHLHE40, FOSB",0.0157938077882949
BP,GO:0071222,Cellular Response To Lipopolysaccharide,"CXCL10, CXCL1, CD14",0.0157938077882949
BP,GO:0042127,Regulation Of Cell Population Proliferation,"CXCL10, JUN, JUND, IRF1, CXCL1, JUNB",0.0157938077882949
BP,GO:0071248,Cellular Response To Metal Ion,"JUN, FOS, ANK3",0.0191810849675375
BP,GO:0035924,Cellular Response To Vascular Endothelial Growth Factor Stimulus,"NR4A1, HSPB1",0.0202463652947441
BP,GO:1903508,Positive Regulation Of Nucleic Acid-Templated Transcription,"JUN, EGR2, NFIL3, IRF1, FOS",0.0214947293730009
BP,GO:0032496,Response To Lipopolysaccharide,"CXCL10, CXCL1, CD14",0.0266885238610451
BP,GO:1902895,Positive Regulation Of miRNA Transcription,"JUN, FOS",0.0282775387769062
BP,GO:0071260,Cellular Response To Mechanical Stimulus,"IRF1, FAS",0.0325525002158812
BP,GO:0043069,Negative Regulation Of Programmed Cell Death,"SOCS3, HSPB1, FAS, IER3",0.0325525002158812
BP,GO:2000630,Positive Regulation Of miRNA Metabolic Process,"JUN, FOS",0.0325525002158812
BP,GO:0060395,SMAD Protein Signal Transduction,"JUN, FOS",0.0339691816422779
BP,GO:0070098,Chemokine-Mediated Signaling Pathway,"CXCL10, CXCL1",0.0395915716197352
BP,GO:1990869,Cellular Response To Chemokine,"CXCL10, CXCL1",0.0395915716197352
BP,GO:0032479,Regulation Of Type I Interferon Production,"IRF1, CD14",0.0395915716197352
BP,GO:1902893,Regulation Of miRNA Transcription,"JUN, FOS",0.0395915716197352
BP,GO:0007399,Nervous System Development,"EGR2, SLC2A1, PMP22, CXCL1",0.039894715855574
BP,GO:0045444,Fat Cell Differentiation,"NR4A1, EGR2",0.039894715855574
BP,GO:2001235,Positive Regulation Of Apoptotic Signaling Pathway,"TNFRSF12A, FAS",0.039894715855574
BP,GO:0032481,Positive Regulation Of Type I Interferon Production,"IRF1, CD14",0.0412736487364002
BP,GO:0061844,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide,"CXCL10, CXCL1",0.0413945311194115
BP,GO:0000302,Response To Reactive Oxygen Species,"JUN, FOS",0.0415261442636821
BP,GO:1903507,Negative Regulation Of Nucleic Acid-Templated Transcription,"JUN, NFIL3, IRF1, BHLHE40",0.0420614100644268
BP,GO:0071396,Cellular Response To Lipid,"CXCL10, CXCL1, CD14",0.0424544002447185
BP,GO:0030593,Neutrophil Chemotaxis,"CXCL10, CXCL1",0.043171557075909
BP,GO:0007179,Transforming Growth Factor Beta Receptor Signaling Pathway,"JUN, FOS",0.0436543322517283
BP,GO:0034614,Cellular Response To Reactive Oxygen Species,"JUN, FOS",0.0436543322517283
BP,GO:0071621,Granulocyte Chemotaxis,"CXCL10, CXCL1",0.0436543322517283
BP,GO:0043066,Negative Regulation Of Apoptotic Process,"SOCS3, HSPB1, FAS, IER3",0.0443254657412101
BP,GO:0043068,Positive Regulation Of Programmed Cell Death,"JUN, TNFRSF12A, FAS",0.0450704073007428
BP,GO:1990266,Neutrophil Migration,"CXCL10, CXCL1",0.0453334273892493
BP,GO:0032760,Positive Regulation Of Tumor Necrosis Factor Production,"HSPB1, CD14",0.0455148507586498
BP,GO:1903557,Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production,"HSPB1, CD14",0.0488495714390798
BP,GO:0022607,Cellular Component Assembly,"SLC2A1, FAS, ANK3",0.0488495714390798
MF,GO:0000987,Cis-Regulatory Region Sequence-Specific DNA Binding,"NR4A1, JUN, EGR2, JUND, NFIL3, IRF1, MAFF, BHLHE40, KLF9, FOSB, FOS, JUNB",8.52083494001053e-07
MF,GO:0000978,RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding,"NR4A1, JUN, EGR2, JUND, NFIL3, IRF1, MAFF, BHLHE40, KLF9, FOSB, FOS, JUNB",8.52083494001053e-07
MF,GO:1990837,Sequence-Specific Double-Stranded DNA Binding,"NR4A1, JUN, EGR2, JUND, IRF1, MAFF, BHLHE40, FOSB, FOS, JUNB",8.52083494001053e-07
MF,GO:0043565,Sequence-Specific DNA Binding,"CSRNP1, NR4A1, JUN, EGR2, JUND, MAFF, BHLHE40, FOSB, FOS, JUNB",8.52083494001053e-07
MF,GO:0000977,RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding,"NR4A1, JUN, EGR2, JUND, NFIL3, IRF1, MAFF, BHLHE40, KLF9, FOSB, FOS, JUNB",1.0748443353043384e-06
MF,GO:0003690,Double-Stranded DNA Binding,"NR4A1, JUN, EGR2, JUND, MAFF, BHLHE40, FOSB, FOS, JUNB",3.266804556402215e-06
MF,GO:0001228,"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific","NR4A1, JUN, EGR2, IRF1, MAFF, FOS",0.00010456335530993253
MF,GO:0001067,Transcription Regulatory Region Nucleic Acid Binding,"JUN, EGR2, JUND, IRF1, FOS",0.00015260786541824412
MF,GO:0061629,RNA Polymerase II-specific DNA-binding Transcription Factor Binding,"JUN, EGR2, BHLHE40, HSPB1, FOS",0.00015260786541824412
MF,GO:0003677,DNA Binding,"CSRNP1, NR4A1, JUN, EGR2, IRF1, MAFF, FOSB, JUNB",0.0001670312545335582
MF,GO:0140297,DNA-binding Transcription Factor Binding,"JUN, EGR2, BHLHE40, HSPB1, FOS",0.0003444874625308565
