gene_symbol,n_groups,predominant_direction,n_up,n_down,mean_log2FC,groups
Maff,11,UP,11,0,3.014391434783998,HIBI144455_forebrain_HI_vs_naive_3h;HIBI144456_forebrain_P5_HI_vs_control_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Cxcl1,11,UP,11,0,2.9491200491412304,HIBI144455_forebrain_HI_vs_naive_3h;HIBI144456_forebrain_P5_HI_vs_control_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Slc2a1,11,UP,10,1,1.0108637569560892,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI23319_striatum_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Fos,10,UP,9,1,4.293266958185272,HIBI144455_forebrain_HI_vs_naive_3h;HIBI144456_forebrain_P5_HI_vs_control_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Socs3,10,UP,10,0,3.047050246865894,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Nr4a1,10,UP,10,0,2.518393620253444,HIBI144455_forebrain_HI_vs_naive_3h;HIBI144456_forebrain_P5_HI_vs_control_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Csrnp1,10,UP,10,0,2.216480369952862,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Tnfrsf12a,10,UP,10,0,2.0905022875014527,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Nfil3,10,UP,10,0,1.9096139872446307,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Bhlhe40,10,UP,10,0,1.8253943801674448,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Egr2,10,UP,9,1,1.5719507505655412,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
Jun,10,UP,9,1,1.4180823322461338,HIBI144455_forebrain_HI_vs_naive_3h;HIBI23317_cortex_HI_vs_Sham_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h;HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h;HIBI236133_hippocampus_WT_ipsi_vs_contra_3h;HIBI236133_hippocampus_WT_ipsi_vs_contra_6h;HIBI238220_hippocampus_microglia_HI_vs_control_1d;HIBI238220_hippocampus_microglia_HI_vs_control_3d
