group,accession,region,treatment,gse,kind,n_sig_LFC02
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,264
HIBI144456_forebrain_P5_HI_vs_control_3h,144456,forebrain,P5_HI_vs_control_3h,GSE144456,array,7
HIBI23317_cortex_HI_vs_Sham_3h,23317,cortex,HI_vs_Sham_3h,GSE23317,array,536
HIBI23319_striatum_HI_vs_Sham_3h,23319,striatum,HI_vs_Sham_3h,GSE23319,array,36
HIBI236133_hippocampus_WT_ipsi_vs_contra_3h,236133,hippocampus,WT_ipsi_vs_contra_3h,GSE236133,rnaseq,1732
HIBI236133_hippocampus_WT_ipsi_vs_contra_6h,236133,hippocampus,WT_ipsi_vs_contra_6h,GSE236133,rnaseq,2364
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_3h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_3h,GSE236133,rnaseq,1277
HIBI236133_hippocampus_NEIL1KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL1KO_ipsi_vs_contra_6h,GSE236133,rnaseq,1747
HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_3h,236133,hippocampus,NEIL2KO_ipsi_vs_contra_3h,GSE236133,rnaseq,2632
HIBI236133_hippocampus_NEIL2KO_ipsi_vs_contra_6h,236133,hippocampus,NEIL2KO_ipsi_vs_contra_6h,GSE236133,rnaseq,3709
HIBI238220_hippocampus_microglia_HI_vs_control_1d,238220,hippocampus_microglia,HI_vs_control_1d,GSE238220,rnaseq,4002
HIBI238220_hippocampus_microglia_HI_vs_control_3d,238220,hippocampus_microglia,HI_vs_control_3d,GSE238220,rnaseq,4444
