group,accession,region,treatment,gse,kind,symbol,symbol_key,log2FC,padj,direction
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Fos,FOS,1.67333333333333,0.0039793957965278,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Atf3,ATF3,1.07333333333333,0.0039793957965278,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,V1rf4,V1RF4,0.869,0.0039793957965278,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Loc668861,LOC668861,1.07333333333333,0.0059460613986874,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Ai480624,AI480624,0.938,0.0059460613986874,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Ccl2,CCL2,0.641666666666667,0.0059460613986874,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Ptgs2,PTGS2,0.539333333333333,0.008587520633364,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Maff,MAFF,0.946666666666667,0.0090166767753112,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,1700086l19rik,1700086L19RIK,0.786,0.0090166767753112,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Zfp36,ZFP36,0.737333333333334,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Klf4,KLF4,0.730666666666667,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Egr2,EGR2,0.727666666666667,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Kcne3,KCNE3,0.605333333333333,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Plaur,PLAUR,0.532666666666667,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Adamts1,ADAMTS1,0.507666666666667,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm13105,GM13105,0.481333333333334,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm2627,GM2627,0.464333333333333,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm2371,GM2371,0.463333333333333,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm2562,GM2562,0.447666666666667,0.0090361279422342,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Tcfap2b,TCFAP2B,-0.413333333333333,0.0090361279422342,DOWN
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm11046,GM11046,0.705333333333333,0.0094565513874682,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Csrnp1,CSRNP1,0.546333333333333,0.0094565513874682,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Au044157,AU044157,0.515333333333333,0.0094565513874682,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Cyp2r1,CYP2R1,-0.449666666666667,0.0094565513874682,DOWN
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm2563,GM2563,0.447,0.0094565513874682,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Nr1d1,NR1D1,0.422666666666667,0.0094565513874682,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Neu4,NEU4,-0.422333333333333,0.0094565513874682,DOWN
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,A130040m12rik,A130040M12RIK,0.486666666666667,0.0094878401464488,UP
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Plscr2,PLSCR2,-0.418666666666667,0.0094878401464488,DOWN
HIBI144455_forebrain_HI_vs_naive_3h,144455,forebrain,HI_vs_naive_3h,GSE144455,array,Gm2015,GM2015,0.415333333333333,0.0106701259950566,UP
