gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur,opp_mag,offset_frac,program
Nanos1,3,DOWN,-1.3198682203714904,3,UP,1.4852740383206249,False,6,1.3198682203714904,1.1253199489132175,
Hspa1b,6,UP,5.084183956813199,4,DOWN,-1.2932181819469686,False,10,1.2932181819469686,0.2543610130813533,
Plxna4,8,DOWN,-1.36581318433187,4,UP,1.1083829627399555,False,12,1.1083829627399555,0.8115187168017824,
Adra2c,3,DOWN,-0.9979038224474084,3,UP,5.6459037421378016,False,6,0.9979038224474084,3.0,
Hnrnpab,3,DOWN,-0.9965877941463704,4,UP,1.6373084563441906,False,7,0.9965877941463704,1.6429144185401456,
Cnksr2,7,DOWN,-1.5740590893784066,6,UP,0.9116621671888496,False,13,0.9116621671888496,0.5791791257016048,
Fkbp5,8,DOWN,-0.9439901352233298,12,UP,0.8321640859125016,False,20,0.8321640859125016,0.8815389640863437,
Neurl1a,5,DOWN,-0.8096541551215019,3,UP,1.3495447159561225,False,8,0.8096541551215019,1.666816266450953,
Nudt3,3,DOWN,-1.1214747028024057,4,UP,0.7508684639882085,False,7,0.7508684639882085,0.6695366931700689,
Map1lc3a,3,DOWN,-1.055213357840344,4,UP,0.6993584093063528,False,7,0.6993584093063528,0.6627649319543274,PI3K-Akt
Mtch1,3,DOWN,-1.1586893348986202,3,UP,0.6762164223852016,False,6,0.6762164223852016,0.5836045970375375,
Mef2d,4,DOWN,-0.6653147200583018,3,UP,0.7119408279474534,False,7,0.6653147200583018,1.0700812810590838,
Bmpr2,6,DOWN,-0.6122031144936865,6,DOWN,1.1258402324758798,True,12,0.6122031144936865,1.8389978845615467,
Sult1a1,7,DOWN,-1.687698578033524,5,UP,0.6084876025848638,False,12,0.6084876025848638,0.3605428187857233,
Hspa1a,8,UP,3.596164777243988,7,DOWN,-0.5921610393802871,False,15,0.5921610393802871,0.16466460133512142,
Zbtb16,4,DOWN,-0.6936634534430315,7,UP,0.575160418772313,False,11,0.575160418772313,0.8291635027295686,
Slmap,4,DOWN,-0.8292258051039287,5,UP,0.573920644555446,False,9,0.573920644555446,0.6921162378485257,
Pla2g3,3,DOWN,-1.0630176318853914,3,UP,0.5583400953607097,False,6,0.5583400953607097,0.5252406720389251,
Cgnl1,3,UP,-0.5527056529459484,4,UP,7.375259987283477,True,7,0.5527056529459484,3.0,
Nptx2,4,DOWN,-0.878978726839978,4,UP,0.5483559578609287,False,8,0.5483559578609287,0.6238557784354198,
Mxd4,4,DOWN,-1.1500074579181323,5,UP,0.5406631255339737,False,9,0.5406631255339737,0.4701387993715627,
Tmed5,3,UP,0.7244651647452484,3,DOWN,-0.5337559321800464,False,6,0.5337559321800464,0.7367585884791807,
Epha6,3,DOWN,-0.961548374207613,3,UP,0.5257434051657196,False,6,0.5257434051657196,0.5467675046499569,
Myo5b,6,DOWN,-1.4472599185015025,3,UP,0.5178419398394515,False,9,0.5178419398394515,0.3578085271480652,
