arm,term,db,padj
HIBI,Regulation Of Cell Migration,GO-BP,4.044011240273927e-17
HIBI,Modulation Of Chemical Synaptic Transmission,GO-BP,1.6560426102411245e-14
HIBI,MAPK signaling pathway,KEGG,3.0239537837766754e-14
HIBI,TNF signaling pathway,KEGG,7.734641821906818e-14
HIBI,Interleukin-10 Signaling,Reactome,2.3496112667576163e-13
HIBI,Regulation Of Cell Population Proliferation,GO-BP,9.267705502519011e-13
HIBI,Lipid and atherosclerosis,KEGG,2.164114790323633e-12
HIBI,Neurexins And Neuroligins,Reactome,1.1611110209536315e-11
HIBI,Immune System,Reactome,1.5532171791627853e-11
HIBI,Chemical Synaptic Transmission,GO-BP,5.976386802570967e-11
HIBI,Proteoglycans in cancer,KEGG,1.5118800661282086e-10
HIBI,Human cytomegalovirus infection,KEGG,3.3471279135838085e-10
HIBI,Cytokine Signaling In Immune System,Reactome,3.403981772098545e-10
HIBI,Hemostasis,Reactome,3.91006826890579e-10
HIBI,Positive Regulation Of Cell Migration,GO-BP,5.259652824835263e-10
HIBI,Positive Regulation Of Excitatory Postsynaptic Potential,GO-BP,6.52715998971841e-10
HIBI,Negative Regulation Of Cell Population Proliferation,GO-BP,6.75151314164148e-10
HIBI,Positive Regulation Of Transcription By RNA Polymerase II,GO-BP,7.77209289981482e-10
HIBI,Signaling By GPCR,Reactome,1.0825117018860712e-09
HIBI,GPCR Downstream Signaling,Reactome,1.4895431727255718e-09
HIBI,Aldosterone synthesis and secretion,KEGG,2.22045074901491e-09
HIBI,Regulation Of Inflammatory Response,GO-BP,3.0602894827189073e-09
HIBI,Neuron Development,GO-BP,5.428456066592958e-09
HIBI,Signaling By Interleukins,Reactome,5.8805844075474885e-09
HIBI,Positive Regulation Of DNA-templated Transcription,GO-BP,6.020689580496314e-09
HIBI,Calcium signaling pathway,KEGG,7.894005998669594e-09
HIBI,C-type lectin receptor signaling pathway,KEGG,8.071272234355932e-09
HIBI,Positive Regulation Of Signal Transduction,GO-BP,1.1608373004285294e-08
HIBI,Positive Regulation Of Response To External Stimulus,GO-BP,1.1730529718808074e-08
HIBI,AGE-RAGE signaling pathway in diabetic complications,KEGG,1.2517588765537412e-08
HIBI,Positive Regulation Of Intracellular Signal Transduction,GO-BP,1.3390806862210125e-08
HIBI,Neuron Projection Development,GO-BP,1.3390806862210125e-08
HIBI,Interleukin-4 And Interleukin-13 Signaling,Reactome,1.3618073200676988e-08
