term,db,padj_hibi,padj_glp,n_genes_hibi,n_genes_glp,jaccard_genes,score_hibi,score_glp,frac_up_hibi,frac_up_glp,opposite,combined_sig
Signal Transduction,Reactome,4.966731891837218e-29,2.761116205775356e-05,542,685,0.14620535714285715,0.03678427251342336,0.1342711477115452,0.44280442804428044,0.43795620437956206,False,32.86284459796802
Neuronal System,Reactome,7.357646498774099e-27,0.0012923484749141,136,126,0.2541436464088398,-1.2912191154226391,0.05851581810293893,0.08088235294117647,0.4444444444444444,True,29.021881447210333
Nervous System Development,GO-BP,7.248523408669708e-16,2.81421342699706e-14,173,248,0.016722408026755852,-0.6552786794304682,0.19308534354450313,0.2023121387283237,0.592741935483871,True,28.690393423440042
Neuron Projection,GO-CC,1.1564507225464891e-23,2.3482426980861763e-05,170,183,0.24279835390946503,-1.1489336496899702,0.12388640082053111,0.1,0.47540983606557374,True,27.56612988763345
Postsynaptic Density,GO-CC,2.318970657521584e-20,0.0001233297404474,71,61,0.26666666666666666,-1.148473830819062,0.03844111815641871,0.04225352112676056,0.45901639344262296,True,23.543636929046897
Axon guidance,KEGG,1.099090694428864e-08,1.3501070420460247e-14,109,216,0.060085836909871244,-0.727376845560027,0.24758671552479197,0.1651376146788991,0.6435185185185185,True,21.828598266603958
Asymmetric Synapse,GO-CC,1.281853113516353e-16,0.0008828771005961,64,52,0.2125,-1.0566328777732008,0.0640719336458154,0.0625,0.5,True,18.94626148484922
Dendrite,GO-CC,5.0477854799464505e-15,2.4640355863682422e-05,94,100,0.26153846153846155,-1.1332918738575382,0.09279423672994014,0.07446808510638298,0.43,True,18.90525213420186
Protein-protein Interactions At Synapses,Reactome,1.5273509344208398e-17,0.0125796614554634,45,35,0.40384615384615385,-1.5433289474289085,-0.054421502484639415,0.022222222222222223,0.4,False,18.716392211547912
Signaling By Receptor Tyrosine Kinases,Reactome,6.89632553865757e-11,8.328765906331786e-06,134,168,0.19339622641509435,-0.09909730681593916,0.09450220163493858,0.417910447761194,0.4523809523809524,True,15.240801590283485
Axon,GO-CC,1.2618506691123174e-11,0.0003475339158489,75,76,0.22549019607843138,-1.1120797508999085,0.10897846395424503,0.08,0.42105263157894735,True,14.357994843847125
Glutamatergic synapse,KEGG,1.3124896691657783e-11,0.0005734097679998,63,54,0.0,-1.2444295443805005,0.09777006726923326,0.047619047619047616,0.46296296296296297,True,14.123439019462856
Retrograde endocannabinoid signaling,KEGG,1.4983650103976826e-07,1.0772483361421477e-07,43,68,0.23170731707317074,-1.2057530799531313,0.3497840826917697,0.11627906976744186,0.7058823529411765,True,13.79206654512231
Transmission Across Chemical Synapses,Reactome,6.884918424564041e-13,0.026654535080928,80,79,0.22321428571428573,-1.2805727368636366,0.08206842136800313,0.0875,0.45569620253164556,True,13.73633008929312
Neurotransmitter Receptors And Postsynaptic Signal Transmission,Reactome,6.834615924471431e-12,0.0126406210625174,63,63,0.25,-1.2580118937285172,0.11041709178124105,0.06349206349206349,0.4603174603174603,True,13.063517473513137
Axonogenesis,GO-BP,2.05628636159694e-11,0.0047939716391819,70,70,0.2553191489361702,-0.9588458067383848,0.0882368294805728,0.15714285714285714,0.4857142857142857,True,13.00622094450059
Cellular Responses To Stress,Reactome,0.0083449572091563,1.8988098569485364e-11,139,257,0.09836065573770492,0.47837175335656956,0.3080449342422815,0.5827338129496403,0.6653696498054474,False,12.80009440840535
Amphetamine addiction,KEGG,1.211081195713378e-11,0.0163348968104849,34,28,0.375,-0.47115062947453495,0.5985856870844157,0.2647058823529412,0.4642857142857143,True,12.703710343717283
Cellular Responses To Stimuli,Reactome,0.0090294477217312,3.499774069806585e-11,141,260,0.10064935064935066,0.46011025221893215,0.30952137428596316,0.5815602836879432,0.6692307692307692,False,12.50029880302395
Long-term potentiation,KEGG,1.2282204358275414e-09,0.0002945590853353,32,32,0.3023255813953488,-1.2190714884980374,0.008004880605482573,0.03125,0.5,True,12.441551258265005
Dopaminergic synapse,KEGG,3.669729065972247e-08,3.819350503995063e-05,48,56,0.23943661971830985,-0.8772797411402746,0.23594304221915796,0.16666666666666666,0.42857142857142855,True,11.853376482624173
Signaling By NTRKs,Reactome,2.13000417061234e-06,1.8037091617130712e-06,53,60,0.2328767123287671,0.10231993205153352,0.22812248480040812,0.49056603773584906,0.5166666666666667,False,11.415453034969516
Focal Adhesion,GO-CC,1.0208726706241972e-08,0.0011290923948461,107,125,0.10404624277456648,0.4367384028048737,-0.08334957988282765,0.616822429906542,0.512,True,10.938298940189476
Cell-Substrate Junction,GO-CC,1.923069990059176e-08,0.0012103336465248,109,127,0.10285714285714286,0.46167372190267214,-0.07653214514036236,0.6238532110091743,0.5118110236220472,True,10.633099802769454
Oxytocin signaling pathway,KEGG,4.363415226439084e-09,0.0075625407642959,53,55,0.2602739726027397,-0.5557063370325379,0.1926050527219474,0.18867924528301888,0.4727272727272727,True,10.481505728560451
Signaling By NTRK1 (TRKA),Reactome,1.162531075919993e-05,4.067276867638602e-06,47,53,0.19696969696969696,0.25442936591142223,0.18258436977069453,0.5319148936170213,0.4528301886792453,False,10.32529169234293
Neuron Projection Morphogenesis,GO-BP,8.487018630221981e-09,0.0195887824721512,55,55,0.3142857142857143,-0.9187431372944951,-0.07194665211015783,0.16363636363636364,0.43636363636363634,False,9.779237400937058
RHO GTPase Cycle,Reactome,1.5557435649140714e-06,0.0001156381541261,114,147,0.15053763440860216,-0.07551172010816669,0.11744998882152247,0.40350877192982454,0.40816326530612246,True,9.744960836101068
Alzheimer disease,KEGG,0.0101495244500379,2.009414759526387e-08,78,141,0.10240963855421686,-0.18130638525787848,0.3015979505591422,0.3717948717948718,0.723404255319149,True,9.690484717975787
Prion disease,KEGG,0.0101495244500379,2.009414759526387e-08,61,111,0.09923664122137404,0.16539375796341219,0.3369156200908886,0.4262295081967213,0.7477477477477478,False,9.690484717975787
Postsynaptic Specialization Membrane,GO-CC,1.6314531141552255e-08,0.0130169340729346,21,18,0.4583333333333333,-1.4959287429147332,-0.05099628767937614,0.0,0.4444444444444444,False,9.672916697479906
Circadian entrainment,KEGG,2.7205801825134927e-08,0.0229702043122385,37,36,0.2857142857142857,-1.0506911700920873,0.29729200177649084,0.08108108108108109,0.5277777777777778,True,9.204173611675667
cAMP signaling pathway,KEGG,4.929242824304611e-08,0.0165390144998521,65,71,0.25274725274725274,-0.7327661411003417,0.3546197836003459,0.2,0.38028169014084506,True,9.088710159160765
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers,Reactome,9.113984549712172e-05,9.79376860428129e-06,99,147,0.15083798882681565,0.02558195135966963,0.10150788033615286,0.45454545454545453,0.46938775510204084,False,9.049341873180447
cGMP-PKG signaling pathway,KEGG,8.961811592761599e-08,0.0115887913310918,52,58,0.23684210526315788,-0.41695629016478064,0.41587309379015147,0.25,0.43103448275862066,True,8.983566047662787
Pathways of neurodegeneration,KEGG,0.0003379717690833,8.669176478767939e-06,95,161,0.13402061855670103,-0.3815776350705498,0.32872659026285594,0.3157894736842105,0.7515527950310559,True,8.533141731007289
Signaling By Rho GTPases,Reactome,5.2100754763312246e-05,0.0002821973796141,140,201,0.132,-0.1139747900659383,0.1818143115845204,0.37857142857142856,0.4577114427860697,True,7.832603008469341
Morphine addiction,KEGG,3.83151218457077e-07,0.0408961603543133,34,33,0.32558139534883723,-1.1460673747139158,0.3427238753754205,0.11764705882352941,0.42424242424242425,True,7.804947253988346
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",Reactome,7.057476726659834e-05,0.0002314967343484,143,206,0.12890625,-0.11455919628711633,0.17955249981777827,0.3776223776223776,0.4563106796116505,True,7.786805676403828
Non-alcoholic fatty liver disease,KEGG,0.0441456391504854,3.761485749446603e-07,29,69,0.023255813953488372,1.269724448913567,0.33783752986744037,0.8275862068965517,0.8115942028985508,False,7.779752770171402
Opioid Signaling,Reactome,1.396077624473676e-06,0.0125796614554634,32,35,0.3111111111111111,-0.8721688138067224,-0.06541779069558987,0.15625,0.45714285714285713,False,7.7554214799629575
Postsynaptic Density Membrane,GO-CC,1.2935278290710502e-06,0.025412410388965,17,16,0.5,-1.5328752906274488,-0.035948996723688974,0.0,0.4375,False,7.4831783631884505
NGF-stimulated Transcription,Reactome,3.0882936493737858e-06,0.0125796614554634,23,19,0.25925925925925924,1.007965956428449,0.3021110316863705,0.7391304347826086,0.5263157894736842,False,7.410612458116975
Endocrine and other factor-regulated calcium reabsorption,KEGG,1.543362158832422e-06,0.0285073123563298,23,22,0.3448275862068966,-0.9168783182892225,0.3292597131933284,0.08695652173913043,0.45454545454545453,True,7.35657587792519
Nuclear Events (Kinase And Transcription Factor Activation),Reactome,1.3224937295353796e-05,0.0033523159686056,29,28,0.2777777777777778,0.8318731920329617,0.17489610710708162,0.6896551724137931,0.42857142857142855,False,7.353261432645477
Transcriptional Regulation By MECP2,Reactome,2.4683306266125565e-06,0.025734836935669,26,25,0.1891891891891892,-0.8716623241534802,0.08305586342237926,0.19230769230769232,0.48,True,7.197075247337359
ErbB signaling pathway,KEGG,6.510722529366484e-05,0.0040760815132134,30,35,0.22727272727272727,-0.5747272195839378,0.134946626757216,0.23333333333333334,0.4857142857142857,True,6.576127952384132
"Growth hormone synthesis, secretion and action",KEGG,9.960428234192956e-05,0.0032920711941198,42,46,0.15,-0.3109072624135885,0.3545563566536285,0.2857142857142857,0.391304347826087,True,6.484252770646043
Endocytosis,GO-BP,0.0011776639006411,0.0004163439000729,67,98,0.00847457627118644,-0.17295815376221402,0.11139674345926125,0.31343283582089554,0.45918367346938777,True,6.309526431211443
Adrenergic signaling in cardiomyocytes,KEGG,1.4435324018586525e-05,0.0408961603543133,44,50,0.234375,-0.8478697878461279,0.4132347084879611,0.1590909090909091,0.38,True,6.228890928381256
MAPK Family Signaling Cascades,Reactome,1.9917012338779777e-05,0.0461133464950016,75,97,0.13076923076923078,-0.04709076287668853,0.10961283342614182,0.41333333333333333,0.5154639175257731,True,6.036949167004426
Cadherin Binding,GO-MF,0.0001568012126599,0.0094133575993953,90,106,0.12318840579710146,0.2160152155349259,0.2551988602768572,0.5666666666666667,0.5377358490566038,False,5.830906025717631
Renal cell carcinoma,KEGG,0.0005212461393986,0.0036688298790994,25,30,0.21621621621621623,-0.18965233061676973,0.07726268713274823,0.36,0.43333333333333335,True,5.718429574289431
FoxO signaling pathway,KEGG,6.209021387310854e-05,0.0350195709916604,41,45,0.16666666666666666,0.12829233645351362,0.02912332217724591,0.4878048780487805,0.3111111111111111,False,5.662666022758541
Cocaine addiction,KEGG,4.9178475199573344e-05,0.0459542860926106,20,20,0.3076923076923077,-0.6301605420115516,0.234735081567012,0.3,0.4,True,5.645898917225523
Negative Regulation Of Gene Expression,GO-BP,8.527739315568062e-05,0.0344240877541834,86,108,0.12056737588652482,0.5438108267137904,0.06916647813529846,0.5697674418604651,0.4444444444444444,False,5.532303643877845
