gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur,key,program,px,py,clipped
Tjp1,4,UP,-0.8321326140413885,7,DOWN,0.0064141589536271,False,11,TJP1,BBB / MMP,-0.8321326140413885,0.0064141589536271,False
Mapk1,6,DOWN,-0.4981543865020959,3,UP,1.1180066982974668,False,9,MAPK1,BBB / MMP,-0.4981543865020959,1.1180066982974668,False
Rock1,5,UP,-0.0298931044710871,4,DOWN,-0.1564810623872492,False,9,ROCK1,BBB / MMP,-0.0298931044710871,-0.1564810623872492,False
Jam2,4,UP,-0.0010272147889154,5,DOWN,-0.1621108890455685,False,9,JAM2,BBB / MMP,-0.0010272147889154,-0.1621108890455685,False
Tfrc,4,DOWN,-0.5501897512693547,5,UP,0.0403933580408015,False,9,TFRC,BBB / MMP,-0.5501897512693547,0.0403933580408015,False
Cav1,3,UP,-0.8319229300948822,6,DOWN,-0.3991277453283162,False,9,CAV1,BBB / MMP,-0.8319229300948822,-0.3991277453283162,False
Vegfa,6,UP,0.62261703631614,2,DOWN,-0.2128985320070028,False,8,VEGFA,BBB / MMP,0.62261703631614,-0.2128985320070028,False
Eng,6,UP,0.0337957555366662,2,DOWN,-0.548489459895924,False,8,ENG,BBB / MMP,0.0337957555366662,-0.548489459895924,False
Slc16a1,3,UP,0.7728846684663747,4,DOWN,-0.3685314607302296,False,7,SLC16A1,BBB / MMP,0.7728846684663747,-0.3685314607302296,False
Kdr,3,UP,0.7193245570121315,4,DOWN,2.579222388751128,False,7,KDR,BBB / MMP,0.7193245570121315,2.579222388751128,False
Hif1a,2,UP,1.3746908458707692,5,DOWN,-0.1755350895193818,False,7,HIF1A,BBB / MMP,1.3746908458707692,-0.1755350895193818,False
Cldn5,3,UP,0.6694844368457229,2,DOWN,-0.3348953075369641,False,5,CLDN5,BBB / MMP,0.6694844368457229,-0.3348953075369641,False
Slc7a5,2,DOWN,-1.0576694070996149,3,UP,0.1034542286025938,False,5,SLC7A5,BBB / MMP,-1.0576694070996149,0.1034542286025938,False
Fyn,2,DOWN,-0.467438106724205,2,UP,2.260464333866312,False,4,FYN,BBB / MMP,-0.467438106724205,2.260464333866312,False
F11r,2,DOWN,-2.0490958108014627,2,UP,9.888863559913142,False,4,F11R,BBB / MMP,-2.0490958108014627,2.772158314402034,True
Slc2a1,11,UP,1.0108637569560892,4,UP,0.4315996375923225,True,15,SLC2A1,BBB / MMP,1.0108637569560892,0.4315996375923225,False
Nfkb2,7,UP,1.5596681779860877,2,UP,0.6330114204093285,True,9,NFKB2,BBB / MMP,1.5596681779860877,0.6330114204093285,False
Nfkbia,5,UP,1.1019713850898296,2,UP,0.7811430590132886,True,7,NFKBIA,BBB / MMP,1.1019713850898296,0.7811430590132886,False
Lrp1,2,UP,0.2580801382506806,5,UP,0.1547963136268957,True,7,LRP1,BBB / MMP,0.2580801382506806,0.1547963136268957,False
Aqp4,2,DOWN,-2.177314557032344,5,DOWN,-0.3169237495161019,True,7,AQP4,BBB / MMP,-2.177314557032344,-0.3169237495161019,False
Adam9,3,UP,0.8344119119887203,3,UP,0.2677417914017869,True,6,ADAM9,BBB / MMP,0.8344119119887203,0.2677417914017869,False
Adam10,3,DOWN,-0.1923357860165106,3,DOWN,-0.299471686041034,True,6,ADAM10,BBB / MMP,-0.1923357860165106,-0.299471686041034,False
Rock2,2,DOWN,-1.7558208455888948,4,DOWN,-0.1634041574305709,True,6,ROCK2,BBB / MMP,-1.7558208455888948,-0.1634041574305709,False
Mmp16,2,DOWN,-0.4987271929640208,3,DOWN,0.0027907357736214,True,5,MMP16,BBB / MMP,-0.4987271929640208,0.0027907357736214,False
Mapk1,6,DOWN,-0.4981543865020959,3,UP,1.1180066982974668,False,9,MAPK1,JAK-STAT3 inflammatory,-0.4981543865020959,1.1180066982974668,False
Lifr,6,DOWN,-0.9504884495545508,3,UP,0.1658889690613668,False,9,LIFR,JAK-STAT3 inflammatory,-0.9504884495545508,0.1658889690613668,False
Vegfa,6,UP,0.62261703631614,2,DOWN,-0.2128985320070028,False,8,VEGFA,JAK-STAT3 inflammatory,0.62261703631614,-0.2128985320070028,False
