gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp,predominant_direction_glp,mean_log2FC_glp,concordant,recur
Fkbp5,8,DOWN,-0.9439901352233298,12,UP,0.8321640859125016,False,20
Fos,10,UP,4.293266958185272,6,DOWN,-0.2606512323917716,False,16
Ank3,9,DOWN,-1.048348282807397,7,UP,0.1087075988860994,False,16
Fosb,9,UP,2.409347068038948,6,DOWN,0.0508991127534972,False,15
Hspa1a,8,UP,3.596164777243988,7,DOWN,-0.5921610393802871,False,15
Nfil3,10,UP,1.9096139872446307,4,DOWN,-0.3790279650971892,False,14
Egr2,10,UP,1.5719507505655412,4,DOWN,-0.4164034682680435,False,14
Plekho2,8,UP,1.8305261051430912,5,DOWN,-0.3220528202255565,False,13
Hspa5,8,UP,1.511748174704812,5,DOWN,-0.2850520245902049,False,13
Cnksr2,7,DOWN,-1.5740590893784066,6,UP,0.9116621671888496,False,13
Bhlhe40,10,UP,1.8253943801674448,2,DOWN,-0.3619633577640176,False,12
Adgrl4,8,UP,0.9078213368130642,4,DOWN,-0.2103305709088064,False,12
Plxna4,8,DOWN,-1.36581318433187,4,UP,1.1083829627399555,False,12
Celsr2,8,DOWN,-1.4249746708035396,4,UP,0.1481712462165493,False,12
Ank2,7,DOWN,-0.970559666797338,5,UP,0.16114596242194,False,12
Sult1a1,7,DOWN,-1.687698578033524,5,UP,0.6084876025848638,False,12
Hspb1,9,UP,3.486836932432569,2,DOWN,-0.378845253675,False,11
Sat1,9,UP,1.0560813773761824,2,DOWN,-0.3037240140033859,False,11
Nrxn3,9,DOWN,-1.6464053210228573,2,UP,-0.4495848000237099,False,11
Ntrk3,9,DOWN,-1.82934414659028,2,UP,0.1517559325749999,False,11
Nes,8,UP,1.2191757486111194,3,DOWN,1.499506543544575,False,11
Insig1,8,UP,0.8815958047089056,3,DOWN,-0.1144959673344862,False,11
Celf2,8,DOWN,-0.8718444824112823,3,UP,0.2648777114576525,False,11
Ppp1r9b,8,DOWN,-0.8953502110532304,3,UP,0.0716264683831769,False,11
Bsn,8,DOWN,-1.5056662803114362,3,UP,0.1562668847251933,False,11
Grin2b,8,DOWN,-2.611010626757993,3,UP,0.3200517111756277,False,11
Bmp2k,7,UP,0.6610212052842025,4,DOWN,-0.3576152639956049,False,11
Tug1,7,DOWN,-0.4650421540820376,4,UP,-0.0462249017644779,False,11
Map1b,7,DOWN,-1.436112712876998,4,UP,-0.1370937983184138,False,11
Atp2b3,7,DOWN,-1.7237137046756943,4,UP,0.1511351532240129,False,11
Cd93,6,UP,1.3862850319133466,5,DOWN,-0.4753764474273933,False,11
Bach1,6,UP,1.1784233409877312,5,DOWN,-0.2941615002927751,False,11
Lnpep,6,DOWN,-0.3237403132393956,5,UP,0.5567165307632145,False,11
Zbtb16,4,DOWN,-0.6936634534430315,7,UP,0.575160418772313,False,11
Tjp1,4,UP,-0.8321326140413885,7,DOWN,0.0064141589536271,False,11
Hif3a,2,DOWN,-3.390229057751386,9,UP,0.8990094968985244,False,11
Srgn,8,UP,2.2549036786506647,2,DOWN,-0.3476036176065535,False,10
Egr1,8,UP,2.1544016012231637,2,DOWN,-1.3052745647462287,False,10
Phlda1,8,UP,1.863984095261126,2,DOWN,-0.212515329469785,False,10
Vim,8,UP,1.8273956203640744,2,DOWN,-0.431086208854707,False,10
Dusp16,8,UP,1.5357082727180993,2,DOWN,-0.2986317731426697,False,10
Tlr13,8,UP,1.2929359592576566,2,DOWN,-0.4734483291975075,False,10
Myo5a,8,DOWN,-0.3097745957072872,2,UP,0.0592102505168973,False,10
Herc2,8,DOWN,-1.007255270018634,2,UP,0.3050759562357589,False,10
Epha5,8,DOWN,-1.1628002149555543,2,UP,0.006379942409383,False,10
Agap2,8,DOWN,-1.2641153203556077,2,UP,-0.0403490044252282,False,10
Ddn,8,DOWN,-1.7592249989759066,2,UP,-0.0417966112536283,False,10
Dlg2,8,DOWN,-2.058869225288359,2,UP,-0.026105835210922,False,10
Bag3,7,UP,1.842604284704333,3,DOWN,-0.2500240541117404,False,10
Pdk4,7,UP,1.50293765642664,3,DOWN,-0.1491888435014605,False,10
Ptgs2,7,DOWN,1.4037938810504609,3,UP,0.9744049674284164,False,10
Pde4b,7,UP,1.1490770609805965,3,DOWN,-0.1022683475796055,False,10
Dnajb1,7,UP,1.041081979842628,3,DOWN,-0.3048768625123455,False,10
Idi1,7,UP,0.9459515241000712,3,DOWN,-0.2735479387646539,False,10
Zfp36l2,7,UP,0.7192642384070707,3,DOWN,-0.3687926425952104,False,10
Serpinh1,7,UP,0.6836234772575346,3,DOWN,-0.3661136907717866,False,10
Gab1,7,UP,0.4597524787923248,3,DOWN,-0.4917396221858954,False,10
Fbxw7,7,DOWN,-0.7522927522763874,3,UP,0.1255773278159749,False,10
Fry,7,DOWN,-1.129806204236356,3,UP,0.1034948743821111,False,10
Robo1,7,DOWN,-1.5709067680086548,3,UP,0.0648409069568626,False,10
Wipf3,7,DOWN,-2.1839816076177354,3,UP,0.1728318959935108,False,10
Hspa1b,6,UP,5.084183956813199,4,DOWN,-1.2932181819469686,False,10
Zhx1,6,DOWN,-0.758387712504644,4,UP,0.04830808205008,False,10
Sorl1,6,DOWN,-0.7647421514823192,4,UP,0.1753712329762953,False,10
Prrc2b,6,DOWN,-0.8094778504678586,4,UP,0.1722572785045326,False,10
Sipa1l3,6,DOWN,-0.9756047798656624,4,UP,-0.3541040247665047,False,10
