gene_symbol,n_groups_hibi,predominant_direction_hibi,mean_log2FC_hibi,n_groups_glp1r,predominant_direction_glp1r,mean_log2FC_glp1r,direction_concordant
Slc2a1,11,UP,1.0108637569560892,4,UP,0.4315996375923225,True
Maff,11,UP,3.014391434783998,2,UP,0.2751432001076863,True
Csrnp1,10,UP,2.216480369952862,4,UP,0.5036942196772236,True
Tnfrsf12a,10,UP,2.0905022875014527,2,UP,0.330707585808115,True
Errfi1,9,UP,0.9385343365247976,5,UP,0.2979127358711027,True
Fam168a,9,DOWN,-0.8058342564861257,4,DOWN,-0.1103527147529912,True
Ppp1r15a,9,UP,1.6775519128209138,2,UP,0.4823180140066998,True
Jund,9,UP,0.2827458138795132,2,UP,3.928290698391218,True
Arl4d,8,UP,0.7511651317020848,6,UP,0.8873665220961525,True
Mbnl2,8,DOWN,-0.4177025953810826,5,DOWN,-0.2102878565123246,True
Uhmk1,8,DOWN,-1.2682129123356014,4,DOWN,-0.1495374747782695,True
Cebpd,8,UP,1.448371220260949,3,UP,0.6920637034664955,True
Nf1,8,DOWN,-0.7279555222461834,3,DOWN,-0.0956370620385717,True
Angptl4,8,UP,2.651483350076866,2,UP,0.6981907969231284,True
Klf6,8,UP,1.6697042253428729,2,UP,-0.0056446419446896,True
Cd68,8,UP,1.229506248266815,2,UP,0.50101479354983,True
Coq10b,8,UP,1.1368194502770086,2,UP,-0.067569052166559,True
Nfe2l2,8,UP,1.0727608337534025,2,UP,0.1177255475793288,True
Fcrls,8,UP,0.8129883392912838,2,UP,-0.0249377073608676,True
Btbd3,8,DOWN,-1.3342423610133247,2,DOWN,-0.3827620613901623,True
Hspe1,7,UP,0.8851046008286959,6,UP,0.1625700930493162,True
Atp2b2,7,DOWN,-1.0135740654066634,6,DOWN,-0.1044534369115032,True
Cpd,7,DOWN,0.0454989993244773,5,DOWN,-0.1938308068538058,True
Map2,7,DOWN,-1.7368663981457213,5,DOWN,-0.1484050932450862,True
Nr1d1,7,UP,1.1460536292917447,4,UP,0.1774266849178645,True
Spsb1,7,UP,0.7439297030901086,4,UP,0.4524437583596369,True
Gnptab,7,DOWN,0.3710966270264325,4,DOWN,-0.150544788367785,True
Megf9,7,DOWN,-0.606229312390267,4,DOWN,-0.1304618051516689,True
Pum2,7,DOWN,-0.7671493271200625,4,DOWN,-0.3570070494510012,True
Ids,7,DOWN,-0.9709222705410142,4,DOWN,-0.417221372685513,True
Bdnf,7,DOWN,-1.707741646759286,4,DOWN,-0.3171472641229688,True
Pcdh19,7,DOWN,-2.2429886488333426,4,DOWN,-0.1996573848830367,True
Rsad2,7,UP,2.9693006210378483,3,UP,0.1225931384639141,True
Gadd45g,7,UP,2.2191407731704085,3,UP,0.572181953637053,True
Mafk,7,UP,1.5504445260125153,3,UP,0.297511102677806,True
Btg2,7,UP,1.4590008087242088,3,UP,0.4416232772995648,True
Arrdc3,7,UP,1.429662745091952,3,UP,0.1265607612039201,True
Tiparp,7,UP,1.3001770830862862,3,UP,0.0500622900578866,True
Csrp1,7,UP,0.5620749152592538,3,UP,0.3294386010302136,True
Tob2,7,UP,0.4686375418932528,3,UP,0.131122574720043,True
Sel1l,7,DOWN,-0.03882675099663,3,DOWN,-0.0762405152017534,True
Wdr7,7,DOWN,-0.5746834772157623,3,DOWN,-0.0887626420897271,True
Purb,7,DOWN,-0.7719551733701138,3,DOWN,-0.3948358520511359,True
Cdk14,7,DOWN,-0.8187126235043847,3,DOWN,-0.0669723726327196,True
Synj1,7,DOWN,-0.8927803408341995,3,DOWN,-0.0530724712188055,True
Akap11,7,DOWN,-0.8996042269957768,3,DOWN,-0.0558576401786813,True
Man1a2,7,DOWN,-0.9003144292223306,3,DOWN,-0.2478632868705257,True
Ppm1l,7,DOWN,-0.9723189030549084,3,DOWN,-0.0677498418590415,True
Sgip1,7,DOWN,-1.0293304912842616,3,DOWN,-0.04118418081478,True
Fzd3,7,DOWN,-1.404651432793609,3,DOWN,-0.1639634002176437,True
Gabrb3,7,DOWN,-2.4452871826873874,3,DOWN,-0.2681917803504521,True
Nfkb2,7,UP,1.5596681779860877,2,UP,0.6330114204093285,True
