input_id,SYMBOL,log2FoldChange,padj,plot_status
Ctsd,Ctsd,2.769724931559,0,Up in HI
Ctsb,Ctsb,2.834961691116132,4.514314597772618e-291,Up in HI
Tlr2,Tlr2,3.515253598012818,2.5197605448035143e-180,Up in HI
Lgals3,Lgals3,6.274117591260408,1.61789098586007e-179,Up in HI
Gpx3,Gpx3,2.9803225436504888,3.2442403531746208e-158,Up in HI
Apoe,Apoe,3.308522465629655,1.0687783999609961e-145,Up in HI
Plin2,Plin2,4.27699802768666,3.4996731397141745e-138,Up in HI
Cd83,Cd83,4.478236333360621,3.2134631129919055e-126,Up in HI
Lgals1,Lgals1,4.028441937089748,5.8820073786274565e-123,Up in HI
Ctsl,Ctsl,2.036673846977779,5.9652173369323125e-123,Up in HI
Lyz2,Lyz2,3.631239764725339,7.505071255369599e-122,Up in HI
Lpl,Lpl,4.220465814649489,7.4567434502910876e-121,Up in HI
