"sample_id","title","condition_ch1","condition_ch2","tissue_ch1","tissue_ch2","include_HI_vs_control","age","time_point","analysis_group"
"GSM4288536","Hypoxia-ischemia + 3h at day 5 [P5+3h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","3h","P5_3h"
"GSM4288537","Hypoxia-ischemia + 3h at day 5 [P5+3h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","3h","P5_3h"
"GSM4288538","Hypoxia-ischemia + 3h at day 5 [P5+3h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","3h","P5_3h"
"GSM4288539","Hypoxia-ischemia + 6h at day 5 [P5+6h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","6h","P5_6h"
"GSM4288540","Hypoxia-ischemia + 6h at day 5 [P5+6h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","6h","P5_6h"
"GSM4288541","Hypoxia-ischemia + 6h at day 5 [P5+6h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","6h","P5_6h"
"GSM4288542","Hypoxia-ischemia + 12h at day 5 [P5+12h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","12h","P5_12h"
"GSM4288543","Hypoxia-ischemia + 12h at day 5 [P5+12h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","12h","P5_12h"
"GSM4288544","Hypoxia-ischemia + 12h at day 5 [P5+12h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","12h","P5_12h"
"GSM4288545","Hypoxia-ischemia + 24h at day 5 [P5+24h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","24h","P5_24h"
"GSM4288546","Hypoxia-ischemia + 24h at day 5 [P5+24h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","24h","P5_24h"
"GSM4288547","Hypoxia-ischemia + 24h at day 5 [P5+24h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P5","24h","P5_24h"
"GSM4288548","Hypoxia-ischemia + 3h at day 10 [P10+3h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","3h","P10_3h"
"GSM4288549","Hypoxia-ischemia + 3h at day 10 [P10+3h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","3h","P10_3h"
"GSM4288550","Hypoxia-ischemia + 3h at day 10 [P10+3h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","3h","P10_3h"
"GSM4288551","Hypoxia-ischemia + 6h at day 10 [P10+6h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","6h","P10_6h"
"GSM4288552","Hypoxia-ischemia + 6h at day 10 [P10+6h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","6h","P10_6h"
"GSM4288553","Hypoxia-ischemia + 6h at day 10 [P10+6h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","6h","P10_6h"
"GSM4288554","Hypoxia-ischemia + 12h at day 10 [P10+12h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","12h","P10_12h"
"GSM4288555","Hypoxia-ischemia + 12h at day 10 [P10+12h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","12h","P10_12h"
"GSM4288556","Hypoxia-ischemia + 12h at day 10 [P10+12h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","12h","P10_12h"
"GSM4288557","Hypoxia-ischemia + 24h at day 10 [P10+24h-a]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","24h","P10_24h"
"GSM4288558","Hypoxia-ischemia + 24h at day 10 [P10+24h-b]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","24h","P10_24h"
"GSM4288559","Hypoxia-ischemia + 24h at day 10 [P10+24h-c]","control","ischemic","Forebrain","Forebrain",TRUE,"P10","24h","P10_24h"
