SYMBOL,ENTREZID,ENSEMBL,GENENAME
Gnai3,14679,ENSMUSG00000000001,G protein subunit alpha i3
Cdc45,12544,ENSMUSG00000000028,cell division cycle 45
H19,14955,ENSMUSG00000000031,"H19, imprinted maternally expressed transcript"
Scml2,107815,ENSMUSG00000000037,Scm polycomb group protein like 2
Apoh,11818,ENSMUSG00000000049,apolipoprotein H
Narf,67608,ENSMUSG00000000056,nuclear prelamin A recognition factor
Cav2,12390,ENSMUSG00000000058,caveolin 2
Klf6,23849,ENSMUSG00000000078,Kruppel-like transcription factor 6
Scmh1,29871,ENSMUSG00000000085,Scm polycomb group homolog 1
Cox5a,12858,ENSMUSG00000000088,cytochrome c oxidase subunit 5A
Tbx2,21385,ENSMUSG00000000093,T-box 2
Tbx4,21387,ENSMUSG00000000094,T-box 4
Zfy2,22768,ENSMUSG00000000103,"zinc finger protein 2, Y-linked"
Ngfr,18053,ENSMUSG00000000120,"nerve growth factor receptor (TNFR superfamily, member 16)"
Wnt3,22415,ENSMUSG00000000125,"wingless-type MMTV integration site family, member 3"
Wnt9a,216795,ENSMUSG00000000126,"wingless-type MMTV integration site family, member 9A"
Fer,14158,ENSMUSG00000000127,FER tyrosine kinase
Xpo6,74204,ENSMUSG00000000131,exportin 6
Tfe3,209446,ENSMUSG00000000134,transcription factor E3
Axin2,12006,ENSMUSG00000000142,axin 2
Brat1,231841,ENSMUSG00000000148,BRCA1-associated ATM activator 1
Gna12,14673,ENSMUSG00000000149,"guanine nucleotide binding protein, alpha 12"
Slc22a18,18400,ENSMUSG00000000154,"solute carrier family 22 (organic cation transporter), member 18"
Itgb2l,16415,ENSMUSG00000000157,integrin beta 2-like
Igsf5,72058,ENSMUSG00000000159,"immunoglobulin superfamily, member 5"
Pih1d2,72614,ENSMUSG00000000167,PIH1 domain containing 2
Dlat,235339,ENSMUSG00000000168,dihydrolipoamide S-acetyltransferase
Sdhd,66925,ENSMUSG00000000171,"succinate dehydrogenase complex, subunit D, integral membrane protein"
Fgf23,64654,ENSMUSG00000000182,fibroblast growth factor 23
Fgf6,14177,ENSMUSG00000000183,fibroblast growth factor 6
Ccnd2,12444,ENSMUSG00000000184,cyclin D2
Gpr107,277463,ENSMUSG00000000194,G protein-coupled receptor 107
Nalcn,338370,ENSMUSG00000000197,"sodium leak channel, non-selective"
Btbd17,72014,ENSMUSG00000000202,BTB domain containing 17
Slfn4,20558,ENSMUSG00000000204,schlafen 4
Th,21823,ENSMUSG00000000214,tyrosine hydroxylase
Ins2,16334,ENSMUSG00000000215,insulin II
Scnn1g,20278,ENSMUSG00000000216,"sodium channel, nonvoltage-gated 1 gamma"
Drp2,13497,ENSMUSG00000000223,dystrophin related protein 2
Tspan32,27027,ENSMUSG00000000244,tetraspanin 32
Lhx2,16870,ENSMUSG00000000247,LIM homeobox protein 2
Clec2g,70809,ENSMUSG00000000248,"C-type lectin domain family 2, member g"
Gmpr,66355,ENSMUSG00000000253,guanosine monophosphate reductase
Glra1,14654,ENSMUSG00000000263,"glycine receptor, alpha 1 subunit"
Mid2,23947,ENSMUSG00000000266,midline 2
Trim25,217069,ENSMUSG00000000275,tripartite motif-containing 25
Dgke,56077,ENSMUSG00000000276,"diacylglycerol kinase, epsilon"
Scpep1,74617,ENSMUSG00000000278,serine carboxypeptidase 1
Mnt,17428,ENSMUSG00000000282,max binding protein
Itgb2,16414,ENSMUSG00000000290,integrin beta 2
Hddc2,69692,ENSMUSG00000000295,HD domain containing 2
Tpd52l1,21987,ENSMUSG00000000296,tumor protein D52-like 1
Pemt,18618,ENSMUSG00000000301,phosphatidylethanolamine N-methyltransferase
Cdh1,12550,ENSMUSG00000000303,cadherin 1
Cdh4,12561,ENSMUSG00000000305,cadherin 4
Ckmt1,12716,ENSMUSG00000000308,"creatine kinase, mitochondrial 1, ubiquitous"
Bcl6b,12029,ENSMUSG00000000317,"B cell CLL/lymphoma 6, member B"
Clec10a,17312,ENSMUSG00000000318,"C-type lectin domain family 10, member A"
Alox12,11684,ENSMUSG00000000320,arachidonate 12-lipoxygenase
Comt,12846,ENSMUSG00000000326,catechol-O-methyltransferase
Rtca,66368,ENSMUSG00000000339,RNA 3'-terminal phosphate cyclase
Dbt,13171,ENSMUSG00000000340,dihydrolipoamide branched chain transacylase E2
Dazap2,23994,ENSMUSG00000000346,DAZ associated protein 2
Mcts1,68995,ENSMUSG00000000355,malignant T cell amplified sequence 1
Rem1,19700,ENSMUSG00000000359,rad and gem related GTP binding protein 1
Rnf17,30054,ENSMUSG00000000365,ring finger protein 17
Trappc10,216131,ENSMUSG00000000374,trafficking protein particle complex 10
Ccm2,216527,ENSMUSG00000000378,cerebral cavernous malformation 2
Tbrg4,21379,ENSMUSG00000000384,transforming growth factor beta regulated gene 4
Tmprss2,50528,ENSMUSG00000000385,"transmembrane protease, serine 2"
Mx1,17857,ENSMUSG00000000386,MX dynamin-like GTPase 1
Fap,14089,ENSMUSG00000000392,fibroblast activation protein
Gcg,14526,ENSMUSG00000000394,glucagon
Ndufa9,66108,ENSMUSG00000000399,NADH:ubiquinone oxidoreductase subunit A9
Egfl6,54156,ENSMUSG00000000402,"EGF-like-domain, multiple 6"
Lck,16818,ENSMUSG00000000409,lymphocyte protein tyrosine kinase
Tssk3,58864,ENSMUSG00000000411,testis-specific serine kinase 3
Cttnbp2,30785,ENSMUSG00000000416,cortactin binding protein 2
Galnt1,14423,ENSMUSG00000000420,polypeptide N-acetylgalactosaminyltransferase 1
Mkrn2,67027,ENSMUSG00000000439,"makorin, ring finger protein, 2"
Pparg,19016,ENSMUSG00000000440,peroxisome proliferator activated receptor gamma
Raf1,110157,ENSMUSG00000000441,v-raf-leukemia viral oncogene 1
Septin1,54204,ENSMUSG00000000486,septin 1
Pdgfb,18591,ENSMUSG00000000489,"platelet derived growth factor, B polypeptide"
Acvrl1,11482,ENSMUSG00000000530,"activin A receptor, type II-like 1"
Grasp,NA,NA,NA
Acvr1b,11479,ENSMUSG00000000532,"activin A receptor, type 1B"
Tom1l2,216810,ENSMUSG00000000538,target of myb1-like 2 (chicken)
Gpa33,59290,ENSMUSG00000000544,glycoprotein A33 transmembrane
Zfp385a,29813,ENSMUSG00000000552,zinc finger protein 385A
Itga5,16402,ENSMUSG00000000555,integrin alpha 5 (fibronectin receptor alpha)
Gabra2,14395,ENSMUSG00000000560,gamma-aminobutyric acid type A receptor subunit alpha 2
Wdr77,70465,ENSMUSG00000000561,WD repeat domain 77
Adora3,11542,ENSMUSG00000000562,adenosine A3 receptor
Atp5pb,11950,ENSMUSG00000000563,ATP synthase peripheral stalk-membrane subunit b
Sox9,20682,ENSMUSG00000000567,SRY (sex determining region Y)-box 9
Hnrnpd,11991,ENSMUSG00000000568,heterogeneous nuclear ribonucleoprotein D
Dynlt1c,100040563,ENSMUSG00000000579,dynein light chain Tctex-type 1C
C1d,57316,ENSMUSG00000000581,C1D nuclear receptor co-repressor
Gm2a,14667,ENSMUSG00000000594,GM2 ganglioside activator protein
Krit1,79264,ENSMUSG00000000600,"KRIT1, ankyrin repeat containing"
Clcn4,12727,ENSMUSG00000000605,"chloride channel, voltage-sensitive 4"
Vmn2r88,669149,ENSMUSG00000000606,"vomeronasal 2, receptor 88"
Grm6,108072,ENSMUSG00000000617,"glutamate receptor, metabotropic 6"
Sema4f,20355,ENSMUSG00000000627,"sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain"
Hk2,15277,ENSMUSG00000000628,hexokinase 2
Myo18a,360013,ENSMUSG00000000631,myosin XVIIIA
Sez6,20370,ENSMUSG00000000632,seizure related gene 6
Haao,107766,ENSMUSG00000000673,"3-hydroxyanthranilate 3,4-dioxygenase"
Cd52,23833,ENSMUSG00000000682,CD52 antigen
Abhd15,67477,ENSMUSG00000000686,abhydrolase domain containing 15
Loxl3,16950,ENSMUSG00000000693,lysyl oxidase-like 3
Btn1a1,12231,ENSMUSG00000000706,"butyrophilin, subfamily 1, member A1"
Kat2b,18519,ENSMUSG00000000708,K(lysine) acetyltransferase 2B
Rab5b,19344,ENSMUSG00000000711,"RAB5B, member RAS oncogene family"
Cryba1,12957,ENSMUSG00000000724,"crystallin, beta A1"
Dnmt3l,54427,ENSMUSG00000000730,DNA methyltransferase 3-like
Aire,11634,ENSMUSG00000000731,autoimmune regulator
Icosl,50723,ENSMUSG00000000732,icos ligand
Spg7,234847,ENSMUSG00000000738,"SPG7, paraplegin matrix AAA peptidase subunit"
Sult5a1,57429,ENSMUSG00000000739,"sulfotransferase family 5A, member 1"
Rpl13,270106,ENSMUSG00000000740,ribosomal protein L13
Chmp1a,234852,ENSMUSG00000000743,charged multivesicular body protein 1A
Rpa1,68275,ENSMUSG00000000751,replication protein A1
Serpinf1,20317,ENSMUSG00000000753,"serine (or cysteine) peptidase inhibitor, clade F, member 1"
Tubgcp3,259279,ENSMUSG00000000759,"tubulin, gamma complex component 3"
Oprm1,18390,ENSMUSG00000000766,"opioid receptor, mu 1"
Polr3d,67065,ENSMUSG00000000776,polymerase (RNA) III (DNA directed) polypeptide D
Tcf7,21414,ENSMUSG00000000782,"transcription factor 7, T cell specific"
Ddx3x,13205,ENSMUSG00000000787,"DEAD box helicase 3, X-linked"
Il12rb1,16161,ENSMUSG00000000791,"interleukin 12 receptor, beta 1"
Slc5a5,114479,ENSMUSG00000000792,"solute carrier family 5 (sodium iodide symporter), member 5"
Kcnn3,140493,ENSMUSG00000000794,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"
Usp32,237898,ENSMUSG00000000804,ubiquitin specific peptidase 32
Car4,12351,ENSMUSG00000000805,carbonic anhydrase 4
Txnrd3,232223,ENSMUSG00000000811,thioredoxin reductase 3
Fasl,14103,ENSMUSG00000000817,Fas ligand
Zfp512b,269401,ENSMUSG00000000823,zinc finger protein 512B
Dnajc5,13002,ENSMUSG00000000826,DnaJ heat shock protein family (Hsp40) member C5
Tpd52l2,66314,ENSMUSG00000000827,tumor protein D52-like 2
Fmr1,14265,ENSMUSG00000000838,fragile X messenger ribonucleoprotein 1
Bcl11a,14025,ENSMUSG00000000861,BCL11 transcription factor A
Il4,16189,ENSMUSG00000000869,interleukin 4
Pxmp4,59038,ENSMUSG00000000876,peroxisomal membrane protein 4
Dlg3,53310,ENSMUSG00000000881,discs large MAGUK scaffold protein 3
Gnb1l,13972,ENSMUSG00000000884,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like"
Dbh,13166,ENSMUSG00000000889,dopamine beta hydroxylase
Mmp11,17385,ENSMUSG00000000901,matrix metallopeptidase 11
Smarcb1,20587,ENSMUSG00000000902,SWI/SNF related BAF chromatin remodeling complex subunit B1
Vpreb3,22364,ENSMUSG00000000903,V-set pre-B cell surrogate light chain 3
Hip1r,29816,ENSMUSG00000000915,huntingtin interacting protein 1 related
Nsun5,100609,ENSMUSG00000000916,"NOL1/NOP2/Sun domain family, member 5"
Top1mt,72960,ENSMUSG00000000934,"DNA topoisomerase 1, mitochondrial"
Mmp14,17387,ENSMUSG00000000957,matrix metallopeptidase 14 (membrane-inserted)
Slc7a7,20540,ENSMUSG00000000958,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
Oxa1l,69089,ENSMUSG00000000959,oxidase assembly 1-like
Heatr6,217026,ENSMUSG00000000976,HEAT repeat containing 6
Ccl3,20302,ENSMUSG00000000982,C-C motif chemokine ligand 3
Wfdc18,14038,ENSMUSG00000000983,WAP four-disulfide core domain 18
Ilf2,67781,ENSMUSG00000001016,interleukin enhancer binding factor 2
Chtop,66511,ENSMUSG00000001017,chromatin target of PRMT1
Snapin,20615,ENSMUSG00000001018,SNAP-associated protein
S100a4,20198,ENSMUSG00000001020,S100 calcium binding protein A4
S100a3,20197,ENSMUSG00000001021,S100 calcium binding protein A3
S100a6,20200,ENSMUSG00000001025,S100 calcium binding protein A6 (calcyclin)
Scn4a,110880,ENSMUSG00000001027,"sodium channel, voltage-gated, type IV, alpha"
Icam2,15896,ENSMUSG00000001029,intercellular adhesion molecule 2
Mapk7,23939,ENSMUSG00000001034,mitogen-activated protein kinase 7
Epn2,13855,ENSMUSG00000001036,epsin 2
B9d1,27078,ENSMUSG00000001039,B9 protein domain 1
Sec24b,99683,ENSMUSG00000001052,"SEC24 homolog B, COPII coat complex component"
N4bp3,212706,ENSMUSG00000001053,NEDD4 binding protein 3
Rmnd5b,66089,ENSMUSG00000001054,required for meiotic nuclear division 5 homolog B
Nhp2,52530,ENSMUSG00000001056,NHP2 ribonucleoprotein
Vps9d1,72325,ENSMUSG00000001062,VPS9 domain containing 1
Zfp276,57247,ENSMUSG00000001065,zinc finger protein (C2H2 type) 276
C1ql4,239659,ENSMUSG00000001076,"complement component 1, q subcomponent-like 4"
Mfsd10,68294,ENSMUSG00000001082,major facilitator superfamily domain containing 10
Luzp1,269593,ENSMUSG00000001089,leucine zipper protein 1
Kctd10,330171,ENSMUSG00000001098,potassium channel tetramerisation domain containing 10
Poldip2,67811,ENSMUSG00000001100,"polymerase (DNA-directed), delta interacting protein 2"
Sebox,18292,ENSMUSG00000001103,SEBOX homeobox
Ift20,55978,ENSMUSG00000001105,intraflagellar transport 20
Col6a1,12833,ENSMUSG00000001119,"collagen, type VI, alpha 1"
Pcbp3,59093,ENSMUSG00000001120,poly(rC) binding protein 3
Lgals9,16859,ENSMUSG00000001123,"lectin, galactose binding, soluble 9"
Araf,11836,ENSMUSG00000001127,"Araf proto-oncogene, serine/threonine kinase"
Cfp,18636,ENSMUSG00000001128,complement factor properdin
Timp1,21857,ENSMUSG00000001131,tissue inhibitor of metalloproteinase 1
Uxt,22294,ENSMUSG00000001134,ubiquitously expressed prefoldin like chaperone
Cnnm3,94218,ENSMUSG00000001138,cyclin M3
Lman2l,214895,ENSMUSG00000001143,"lectin, mannose-binding 2-like"
Mcm3ap,54387,ENSMUSG00000001150,minichromosome maintenance complex component 3 associated protein
Pcnt,18541,ENSMUSG00000001151,pericentrin (kendrin)
Ftcd,14317,ENSMUSG00000001155,formiminotransferase cyclodeaminase
Mxd1,17119,ENSMUSG00000001156,MAX dimerization protein 1
Gmcl1,23885,ENSMUSG00000001157,"germ cell-less, spermatogenesis associated 1"
Snrnp27,66618,ENSMUSG00000001158,small nuclear ribonucleoprotein 27 (U4/U6.U5)
Oas1c,114643,ENSMUSG00000001166,2'-5' oligoadenylate synthetase 1C
Oas1h,246729,ENSMUSG00000001168,2'-5' oligoadenylate synthetase 1H
Ocrl,320634,ENSMUSG00000001173,"OCRL, inositol polyphosphate-5-phosphatase"
Calm1,12313,ENSMUSG00000001175,calmodulin 1
Agpat3,28169,ENSMUSG00000001211,1-acylglycerol-3-phosphate O-acyltransferase 3
Slc26a3,13487,ENSMUSG00000001225,"solute carrier family 26, member 3"
Sema6b,20359,ENSMUSG00000001227,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B"
Uhrf1,18140,ENSMUSG00000001228,"ubiquitin-like, containing PHD and RING finger domains, 1"
Dpp9,224897,ENSMUSG00000001229,dipeptidylpeptidase 9
Ramp2,54409,ENSMUSG00000001240,receptor (calcitonin) activity modifying protein 2
Lsr,54135,ENSMUSG00000001247,lipolysis stimulated lipoprotein receptor
Gramd1a,52857,ENSMUSG00000001248,GRAM domain containing 1A
Hpn,15451,ENSMUSG00000001249,hepsin
Gabrg1,14405,ENSMUSG00000001260,gamma-aminobutyric acid type A receptor subunit gamma 1
Ckb,12709,ENSMUSG00000001270,"creatine kinase, brain"
Sp1,20683,ENSMUSG00000001280,trans-acting transcription factor 1
Itgb7,16421,ENSMUSG00000001281,integrin beta 7
Myg1,60315,ENSMUSG00000001285,melanocyte proliferating gene 1
Rarg,19411,ENSMUSG00000001288,"retinoic acid receptor, gamma"
Pfdn5,56612,ENSMUSG00000001289,prefoldin 5
Efnb2,13642,ENSMUSG00000001300,ephrin B2
Rrp15,67223,ENSMUSG00000001305,ribosomal RNA processing 15 homolog
Rnd2,11858,ENSMUSG00000001313,Rho family GTPase 2
Srr,27364,ENSMUSG00000001323,serine racemase
Sync,68828,ENSMUSG00000001333,syncoilin
Fndc5,384061,ENSMUSG00000001334,fibronectin type III domain containing 5
Acp5,11433,ENSMUSG00000001348,"acid phosphatase 5, tartrate resistant"
Cnn1,12797,ENSMUSG00000001349,calponin 1
Fbxo9,71538,ENSMUSG00000001366,F-box protein 9
Vps50,73288,ENSMUSG00000001376,VPS50 EARP/GARPII complex subunit
Hars,NA,NA,NA
