"title","geo_accession","source_name_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2"
"WT contralateral biol rep 1 3h","GSM7518701","hippocampus","tissue: hippocampus","region: contralateral","genotype: WT"
"WT contralateral biol rep 1 6h","GSM7518702","hippocampus","tissue: hippocampus","region: contralateral","genotype: WT"
"WT contralateral biol rep 2 3h","GSM7518703","hippocampus","tissue: hippocampus","region: contralateral","genotype: WT"
"WT contralateral biol rep 2 6h","GSM7518704","hippocampus","tissue: hippocampus","region: contralateral","genotype: WT"
"WT ipsilateral biol rep 1 3h","GSM7518705","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: WT"
"WT ipsilateral biol rep 1 6h","GSM7518706","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: WT"
"WT ipsilateral biol rep 2 3h","GSM7518707","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: WT"
"WT ipsilateral biol rep 2 6h","GSM7518708","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: WT"
"NEIL1-KO contralateral biol rep 1 3h","GSM7518709","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL1-KO contralateral biol rep 1 6h","GSM7518710","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL1-KO contralateral biol rep 2 3h","GSM7518711","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL1-KO contralateral biol rep 2 6h","GSM7518712","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL1-KO ipsilateral biol rep 1 3h","GSM7518713","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL1-KO ipsilateral biol rep 1 6h","GSM7518714","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL1-KO ipsilateral biol rep 2 3h","GSM7518715","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL1-KO ipsilateral biol rep 2 6h","GSM7518716","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL2-KO contralateral biol rep 1 3h","GSM7518717","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL2-KO contralateral biol rep 1 6h","GSM7518718","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL2-KO contralateral biol rep 2 3h","GSM7518719","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL2-KO contralateral biol rep 2 6h","GSM7518720","hippocampus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO"
"NEIL2-KO ipsilateral biol rep 1 3h","GSM7518721","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL2-KO ipsilateral biol rep 1 6h","GSM7518722","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL2-KO ipsilateral biol rep 2 3h","GSM7518723","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
"NEIL2-KO ipsilateral biol rep 2 6h","GSM7518724","hippocampus","tissue: hippocampus","region: ipsilateral","genotype: NEIL1-KO"
