"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","data_processing.6","platform_id","contact_name","contact_email","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","genotype:ch1","region:ch1","tissue:ch1"
"GSM7518701","WT contralateral biol rep 1 3h","GSM7518701","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071757","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825328","NONE","WT","contralateral","hippocampus"
"GSM7518702","WT contralateral biol rep 1 6h","GSM7518702","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071756","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825329","NONE","WT","contralateral","hippocampus"
"GSM7518703","WT contralateral biol rep 2 3h","GSM7518703","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071755","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825330","NONE","WT","contralateral","hippocampus"
"GSM7518704","WT contralateral biol rep 2 6h","GSM7518704","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071754","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825331","NONE","WT","contralateral","hippocampus"
"GSM7518705","WT ipsilateral biol rep 1 3h","GSM7518705","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071753","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825332","NONE","WT","ipsilateral","hippocampus"
"GSM7518706","WT ipsilateral biol rep 1 6h","GSM7518706","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071752","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825333","NONE","WT","ipsilateral","hippocampus"
"GSM7518707","WT ipsilateral biol rep 2 3h","GSM7518707","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071751","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825334","NONE","WT","ipsilateral","hippocampus"
"GSM7518708","WT ipsilateral biol rep 2 6h","GSM7518708","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: ipsilateral","genotype: WT","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071750","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825335","NONE","WT","ipsilateral","hippocampus"
"GSM7518709","NEIL1-KO contralateral biol rep 1 3h","GSM7518709","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071749","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825336","NONE","NEIL1-KO","contralateral","hippocampus"
"GSM7518710","NEIL1-KO contralateral biol rep 1 6h","GSM7518710","Public on Dec 31 2023","Jun 29 2023","Dec 31 2023","SRA","1","hippocampus","Mus musculus","tissue: hippocampus","region: contralateral","genotype: NEIL1-KO","total RNA","Total RNA was isolated from homogenized mouse brain using Allprep DNA/RNA/Protein kit  (Qiagen) according to the manufacturer’s instructions. RNA quality and concentration were measured using a RNA Pico chip on an Agilent Bioanalyzer.","RNA libraries were prepared for sequencing using standard Illumina protocols","10090","Sequence reads were trimmed with TrimGalore, in single-end mode, clipping 10 bases at the 5’ of each read to remove sequencing bias, and filtering out all low-quality bases from reads (<30 Phred score).","Trimmed sequence reads were mapped to GRCm39/mm39 using HISAT2, with --dta in additional to default parameters.","Aligned sequence reads were sorted by coordinates and indexed using samtools.","Indexed sequence reads were annotated using featureCounts.","Read count normalization was performed with DESeq2.","Assembly: GRCm39/mm39","Supplementary files format and content: tab-delimited text file includes normalized counts for each Sample (normalization by median of ratios method).","GPL13112","Magnar,,Bjørås","magnar.bjoras@ntnu.no","M.Bjørås´s Lab","Department of Clinical and Molecular Medicine (IKOM)","Faculty of Medicine and Health Sciences,NTNU","Erling Skjalgssonsgate 1","Trondheim","7030","Norway","0","Illumina HiSeq 2000","cDNA","transcriptomic","RNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN36071748","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX20825337","NONE","NEIL1-KO","contralateral","hippocampus"
